year, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, CMCC-CM2-SR5, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, NorESM2-LM, TaiESM1, CNRM-ESM2-1
2.052000000000000000e+03, 1.311040511934463893e+03, 1.801026352971775850e+03, 1.478529740963839913e+03, 1.893221181423615917e+03, 5.712246105702399745e+02, 8.743350823813119632e+02, 2.903910872252416084e+03, 1.225008693116928043e+03, 7.396935619051520234e+02, 1.362244038295551945e+03, 2.466485633023999981e+03, 5.161538688122880103e+02, 1.625717733326848020e+03
2.053000000000000000e+03, 1.311000783486975934e+03, 1.801008233578495947e+03, 1.479272770306047960e+03, 1.893565181460480062e+03, 5.715116351815679536e+02, 8.741850269614079707e+02, 2.904505725222912133e+03, 1.226348454477823907e+03, 7.406659693445119501e+02, 1.362798089076736005e+03, 2.467024114548735724e+03, 5.160526686453760021e+02, 1.626627595304959868e+03
2.054000000000000000e+03, 1.311001320357888062e+03, 1.801467526643712063e+03, 1.479981171474431903e+03, 1.894051452289023928e+03, 5.720341447966719670e+02, 8.740180601077760230e+02, 2.904636721725440111e+03, 1.227592787034112007e+03, 7.417626623999999538e+02, 1.363311606104063912e+03, 2.467597492682752090e+03, 5.159177462743040223e+02, 1.627825756962816058e+03
2.055000000000000000e+03, 1.311304115552256008e+03, 1.801992586395648004e+03, 1.480652528549888075e+03, 1.894727506984959973e+03, 5.725830953041919429e+02, 8.739871229214719506e+02, 2.904136894906368070e+03, 1.228751891333120057e+03, 7.430651783413759404e+02, 1.363961756778496010e+03, 2.468111815016447963e+03, 5.162840600084480229e+02, 1.629176658395135973e+03
2.056000000000000000e+03, 1.311443433553919931e+03, 1.802907011776512036e+03, 1.481363748290559897e+03, 1.895388260859903994e+03, 5.730527231344640313e+02, 8.739169270497279740e+02, 2.904048311205887785e+03, 1.229388083363839996e+03, 7.434468264509439450e+02, 1.364784779886591878e+03, 2.468695662133247879e+03, 5.162281918791679800e+02, 1.630231743954944022e+03
2.057000000000000000e+03, 1.311780320051200079e+03, 1.803793922523135961e+03, 1.481898740154367943e+03, 1.895718570688512045e+03, 5.735871781273599481e+02, 8.736400358768639762e+02, 2.904715641749503902e+03, 1.230344653111295884e+03, 7.441349607424000396e+02, 1.365547807670272050e+03, 2.469250518220800132e+03, 5.167697604116480079e+02, 1.631746256797695878e+03
2.058000000000000000e+03, 1.311930107035648007e+03, 1.803307383259136031e+03, 1.482262604414976067e+03, 1.896430327300095996e+03, 5.741527045242879694e+02, 8.731306124902399688e+02, 2.905089840775167886e+03, 1.231652739088383896e+03, 7.448677895372800322e+02, 1.366371636084735883e+03, 2.469889394606079804e+03, 5.167392258785280319e+02, 1.633030854672384066e+03
2.059000000000000000e+03, 1.312084994293760019e+03, 1.803067938832384016e+03, 1.482830613839872058e+03, 1.897005987135487885e+03, 5.746330697728000132e+02, 8.726856136130560344e+02, 2.905359886843903951e+03, 1.232572935831552059e+03, 7.462396289351679570e+02, 1.367150769995776045e+03, 2.470330970931199772e+03, 5.164346522992640303e+02, 1.634410210263039971e+03
2.060000000000000000e+03, 1.311817229926399932e+03, 1.803896330649600031e+03, 1.483631088369663985e+03, 1.897507827220480067e+03, 5.751279976447999616e+02, 8.723922136596479504e+02, 2.906101842444287740e+03, 1.233359049064448072e+03, 7.471581479567360020e+02, 1.367855547285503917e+03, 2.470689600700416122e+03, 5.158121504767999568e+02, 1.635750240059391899e+03
2.061000000000000000e+03, 1.311542217801727929e+03, 1.804728212127743973e+03, 1.484327409942527993e+03, 1.898185492529152043e+03, 5.756408435834879356e+02, 8.721686069247999740e+02, 2.906778031357951932e+03, 1.234594389032959953e+03, 7.478007824384000060e+02, 1.368441139232767910e+03, 2.471297607008255909e+03, 5.163482160824320317e+02, 1.636908002181119855e+03
2.062000000000000000e+03, 1.311510005547007950e+03, 1.805256895758335986e+03, 1.484854080307199865e+03, 1.898690016968703958e+03, 5.762321397841919861e+02, 8.718931250380800293e+02, 2.906470672760831803e+03, 1.236044343148543931e+03, 7.481423665561600274e+02, 1.369367375773696040e+03, 2.471872327319551914e+03, 5.166980210360319461e+02, 1.638261051097088057e+03
2.063000000000000000e+03, 1.311584630603776077e+03, 1.806424455774207900e+03, 1.485387729993728044e+03, 1.898954694328319874e+03, 5.766285518438400004e+02, 8.716131468574719747e+02, 2.906332696936447974e+03, 1.237277804068864043e+03, 7.478620528312319493e+02, 1.370134430089216039e+03, 2.472277933293567912e+03, 5.162041669058560274e+02, 1.639364991909887976e+03
2.064000000000000000e+03, 1.311563424202752003e+03, 1.806981325127680066e+03, 1.486037075361791949e+03, 1.899329430224895987e+03, 5.769732229693439649e+02, 8.717116626698240225e+02, 2.906756556521471794e+03, 1.238462812389376040e+03, 7.485048886394879446e+02, 1.370716398157823960e+03, 2.472788229095423958e+03, 5.155213342146560080e+02, 1.640277672460287931e+03
2.065000000000000000e+03, 1.311558055493632082e+03, 1.806164073381887874e+03, 1.486779299397632030e+03, 1.899779328049151900e+03, 5.774301672243200301e+02, 8.718756767334399456e+02, 2.907000295915519928e+03, 1.239881225338880085e+03, 7.497314373468159374e+02, 1.371507477446655912e+03, 2.473550854225919920e+03, 5.154321800888319558e+02, 1.641395437699071863e+03
2.066000000000000000e+03, 1.311612682108928084e+03, 1.807060379369472003e+03, 1.487311338471424051e+03, 1.900463972679679955e+03, 5.778305387069440258e+02, 8.718262846095359464e+02, 2.907145519497215901e+03, 1.241348896194559984e+03, 7.509402022051839367e+02, 1.372440827527168040e+03, 2.474037796143104060e+03, 5.158681528238080318e+02, 1.642461663330303963e+03
2.067000000000000000e+03, 1.311693346963455951e+03, 1.807909977587711865e+03, 1.487855994011647908e+03, 1.901005541212159869e+03, 5.781477623070719574e+02, 8.712990102650879862e+02, 2.907818755620864067e+03, 1.242351234187264026e+03, 7.518821422202879603e+02, 1.373307068743680020e+03, 2.474373877334016015e+03, 5.160810892492800122e+02, 1.643593789865984036e+03
2.068000000000000000e+03, 1.311256199823360021e+03, 1.808611936305151858e+03, 1.488579696001023876e+03, 1.901494899048447905e+03, 5.784711599226880026e+02, 8.707913988177920146e+02, 2.908188928114687769e+03, 1.243444303364095958e+03, 7.528889765068799989e+02, 1.374167941251072079e+03, 2.474807400595455874e+03, 5.157630603427840015e+02, 1.644572102885375898e+03
2.069000000000000000e+03, 1.311050175610879933e+03, 1.808789103706111973e+03, 1.489357890387967927e+03, 1.902050023571455995e+03, 5.787787869552639677e+02, 8.702938537000959514e+02, 2.908356700274688137e+03, 1.245012369080320013e+03, 7.533259894292480112e+02, 1.375161957744639949e+03, 2.475514728022015788e+03, 5.159117735854080138e+02, 1.645462637510655895e+03
2.070000000000000000e+03, 1.311135269650432065e+03, 1.808389134876671960e+03, 1.489985760919551922e+03, 1.902419122323455895e+03, 5.791240620605440199e+02, 8.698454322708479367e+02, 2.907685611634688030e+03, 1.246578287312896009e+03, 7.538619879260160133e+02, 1.376210063982591919e+03, 2.476006770212864012e+03, 5.161776253501440124e+02, 1.646168085889024042e+03
2.071000000000000000e+03, 1.311346125701119945e+03, 1.809403284029439874e+03, 1.490537395781631858e+03, 1.903013572640767961e+03, 5.793869945896959734e+02, 8.693786230128639545e+02, 2.907761578868735796e+03, 1.247622232801280006e+03, 7.543677874339839491e+02, 1.377466744569856019e+03, 2.476399222849535818e+03, 5.157566850007040102e+02, 1.647366784417791905e+03
2.072000000000000000e+03, 1.311337669984256081e+03, 1.809677490847743911e+03, 1.491116411060223982e+03, 1.903498769727488025e+03, 5.796037562204160167e+02, 8.689114111016959896e+02, 2.908253352624127729e+03, 1.248320030769152027e+03, 7.550443118919679364e+02, 1.378801674092543863e+03, 2.476792212357119752e+03, 5.155440841195519397e+02, 1.648691513393152036e+03
2.073000000000000000e+03, 1.311041048805376022e+03, 1.808118015066111866e+03, 1.491533022887935886e+03, 1.904041009348607986e+03, 5.798830633123840244e+02, 8.684340657520639297e+02, 2.908783512649727982e+03, 1.249310826037248034e+03, 7.564285664296959339e+02, 1.380201430777855876e+03, 2.477003202625535778e+03, 5.158552008130559443e+02, 1.649780019167232012e+03
2.074000000000000000e+03, 1.310943069863935989e+03, 1.808662670606335951e+03, 1.491953661247488071e+03, 1.904295754596352026e+03, 5.801613637713919616e+02, 8.677237855354879912e+02, 2.909216499040256167e+03, 1.250585357582335973e+03, 7.577436988375039846e+02, 1.381348321263616072e+03, 2.477387870633983766e+03, 5.155178109992959889e+02, 1.650551234232319985e+03
2.075000000000000000e+03, 1.311056349626368046e+03, 1.809449454927872011e+03, 1.492622602403839892e+03, 1.904620561498112011e+03, 5.804142299709440067e+02, 8.671672517263359623e+02, 2.909974023897088045e+03, 1.251911026081791988e+03, 7.576478002708479380e+02, 1.382591177424895932e+03, 2.477894139903999985e+03, 5.154349651066879687e+02, 1.651439218720767940e+03
2.076000000000000000e+03, 1.310661749506047954e+03, 1.809510389776384045e+03, 1.493177324273663999e+03, 1.904846986805247980e+03, 5.806125366640640095e+02, 8.670071299768319477e+02, 2.910076834676735871e+03, 1.252875783110655902e+03, 7.573347374202879791e+02, 1.384112132718591965e+03, 2.478388061143039977e+03, 5.153551726673920257e+02, 1.652428537593855935e+03
2.077000000000000000e+03, 1.310289161093119901e+03, 1.809840833822720015e+03, 1.493546959896576027e+03, 1.905329633755136001e+03, 5.808152725422079357e+02, 8.666731962695679385e+02, 2.909944227561471962e+03, 1.253463656759295873e+03, 7.581901070008319721e+02, 1.385394985762816077e+03, 2.478628847747072086e+03, 5.148348776448000308e+02, 1.653356787400703979e+03
2.078000000000000000e+03, 1.310150111526912042e+03, 1.809434959413247952e+03, 1.494014574460927861e+03, 1.905774297087999912e+03, 5.810355238338560184e+02, 8.657894396395520289e+02, 2.909882487406591736e+03, 1.254379155881983934e+03, 7.590788296867839335e+02, 1.386898358534143881e+03, 2.478977545404416105e+03, 5.147153567580160143e+02, 1.654101427355647957e+03
2.079000000000000000e+03, 1.310289429528575965e+03, 1.808630592569343889e+03, 1.494682039222271897e+03, 1.905914957266943929e+03, 5.811503471001599337e+02, 8.648330712186880191e+02, 2.910424727027711924e+03, 1.255971380789248087e+03, 7.604596616724479645e+02, 1.388275298205695890e+03, 2.479735607132160112e+03, 5.149306084392959519e+02, 1.654945925300223962e+03
2.080000000000000000e+03, 1.310052669456383910e+03, 1.809508242292735986e+03, 1.495277965934591975e+03, 1.906411428642815963e+03, 5.812920139120640215e+02, 8.642720411156479940e+02, 2.910862813691903739e+03, 1.257397712584703868e+03, 7.615106535915519999e+02, 1.389614925348864062e+03, 2.480258787835904059e+03, 5.147298522726399597e+02, 1.655490178187264064e+03
2.081000000000000000e+03, 1.309948382281728072e+03, 1.807813609259007990e+03, 1.495839801344000080e+03, 1.906961050238975986e+03, 5.814515316817919484e+02, 8.638135533567999573e+02, 2.910931801604096108e+03, 1.258301266329599912e+03, 7.617797601361919533e+02, 1.390665984376832057e+03, 2.480445350477823922e+03, 5.144482634792959743e+02, 1.656120733073408019e+03
2.082000000000000000e+03, 1.309862885588991958e+03, 1.807359684902912022e+03, 1.496602158039039978e+03, 1.907237807194112065e+03, 5.816163510517759505e+02, 8.634709626060799792e+02, 2.910385803886591930e+03, 1.259457686274048001e+03, 7.620582619217919955e+02, 1.391724828033023869e+03, 2.480675668099072027e+03, 5.140784600842239342e+02, 1.656528754966527913e+03
2.083000000000000000e+03, 1.309706253500415869e+03, 1.808635827060735892e+03, 1.497203453460479977e+03, 1.907691328897024050e+03, 5.816919156326399616e+02, 8.632353433845760264e+02, 2.910268497592319818e+03, 1.260851537379327965e+03, 7.622401269432319850e+02, 1.393100693962752075e+03, 2.481098990813184173e+03, 5.143332053319679744e+02, 1.657444656742399957e+03
2.084000000000000000e+03, 1.309235015057407963e+03, 1.807911319764991958e+03, 1.497700595924992058e+03, 1.908036000022528015e+03, 5.817453342883840151e+02, 8.624984880578559796e+02, 2.910766176927743800e+03, 1.262160294445056024e+03, 7.631174411223039442e+02, 1.394663927840767883e+03, 2.481254146506752022e+03, 5.136308439613439987e+02, 1.658043133591552078e+03
2.085000000000000000e+03, 1.308624458612735907e+03, 1.806660276322304071e+03, 1.498211697033216069e+03, 1.908518781190143955e+03, 5.817692250439679356e+02, 8.617966635581440187e+02, 2.911448271421440040e+03, 1.263344765894655893e+03, 7.644818985451520348e+02, 1.396032814448640011e+03, 2.481232940105728176e+03, 5.137840870522879868e+02, 1.658255331819520052e+03
2.086000000000000000e+03, 1.308194425012223974e+03, 1.807042394193920018e+03, 1.498757963186175857e+03, 1.908853251768319979e+03, 5.817290939432959931e+02, 8.611084621578239648e+02, 2.911592958132223885e+03, 1.264169802268671901e+03, 7.645965204848639587e+02, 1.397567325732863992e+03, 2.481401517572096054e+03, 5.139531342807040346e+02, 1.658816361922559963e+03
2.087000000000000000e+03, 1.307929613434879911e+03, 1.807727709913087892e+03, 1.499168132562944038e+03, 1.909270266249215865e+03, 5.818545204101119452e+02, 8.605367617454079436e+02, 2.910817179664383730e+03, 1.265490504712191978e+03, 7.643540561592319591e+02, 1.399074053947392031e+03, 2.481757999857663890e+03, 5.134428049244160093e+02, 1.659218880888832018e+03
2.088000000000000000e+03, 1.307483473707007988e+03, 1.808453827821567984e+03, 1.499640444747775973e+03, 1.909554942050303907e+03, 5.820885961277440401e+02, 8.602432275742719412e+02, 2.910450765266944018e+03, 1.266593103347712031e+03, 7.654883301785599770e+02, 1.400445088038911990e+03, 2.482203334279167848e+03, 5.132238622556160408e+02, 1.659686629670911998e+03
