year, MIROC-ES2L, INM-CM5-0, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg, NorESM2-LM, ACCESS-ESM1-5, CMCC-CM2-SR5, TaiESM1, NorESM2-MM, CESM2-WACCM, UKESM1-0-LL, CanESM5, IPSL-CM6A-LR, INM-CM4-8, CNRM-ESM2-1
2.051000000000000000e+03, 7.777038560399999767e+01, 9.039838550399998951e+01, 8.618518378799998914e+01, 6.085567751399999281e+01, 6.638210528399999077e+01, 5.558806569599999392e+01, 5.465603892599999369e+01, 5.187585670199999299e+01, 4.866658777799999314e+01, 5.588669190599999581e+01, 5.765037818399999736e+01, 8.017280596799999159e+01, 1.049009798519999919e+02, 6.350019186599999443e+01, 8.837324607599998672e+01, 5.640329888999999497e+01
2.052000000000000000e+03, 7.937602527599999291e+01, 9.098419823999999778e+01, 8.524343998799999156e+01, 6.362982453599999388e+01, 6.671738026799999943e+01, 5.564359664999999922e+01, 5.267172284999999476e+01, 5.088754605599999792e+01, 4.812879648599999882e+01, 5.663618042399999553e+01, 5.793378038999999546e+01, 7.961943589199999849e+01, 1.074495143879999972e+02, 6.302545286399999469e+01, 8.834829321599998764e+01, 5.558885409599999861e+01
2.053000000000000000e+03, 7.952710636799999122e+01, 8.937341031599999042e+01, 8.655206572799998810e+01, 6.342931470599999244e+01, 6.904009339199998863e+01, 5.496249788999999453e+01, 5.215367309399999840e+01, 5.245251611399999803e+01, 4.884674111999999724e+01, 5.628638311199999578e+01, 5.934638426399999389e+01, 8.127657385199999851e+01, 1.049064907679999976e+02, 6.574749847199998953e+01, 8.951943776399998853e+01, 5.644636918199999798e+01
2.054000000000000000e+03, 7.878987352799998689e+01, 9.102018869999999140e+01, 8.569844927999999129e+01, 6.560080482600000096e+01, 7.025204552399999613e+01, 5.524575818399999605e+01, 5.372631034199999789e+01, 5.476635185399999273e+01, 4.916965793399999285e+01, 5.669398591199999515e+01, 5.985001024199999620e+01, 8.252536791599999333e+01, 1.051766596799999860e+02, 6.614478111599999011e+01, 9.194761515599999768e+01, 5.681199756599999517e+01
2.055000000000000000e+03, 7.884227847599998995e+01, 9.108598856399999022e+01, 8.444452273199999581e+01, 6.871619502000000068e+01, 6.707655953999999099e+01, 5.575392534599999550e+01, 5.395045246199999411e+01, 5.464879352999999895e+01, 4.897217161799999730e+01, 5.690628232199999559e+01, 5.806313711999999327e+01, 8.132376747600000044e+01, 1.077756912359999859e+02, 6.671084443200000180e+01, 9.133302581999998893e+01, 5.669699365799999669e+01
2.056000000000000000e+03, 7.855473322799998925e+01, 8.968958236799998929e+01, 8.434051700399999163e+01, 6.596935423200000059e+01, 6.819596139600000129e+01, 5.642471971799999864e+01, 5.329392024599999900e+01, 5.147830994399999582e+01, 4.843950492599999791e+01, 5.672659019399999636e+01, 6.003113725799999401e+01, 8.124636236399999234e+01, 1.079012202839999901e+02, 6.522750530999999796e+01, 9.165153941999999176e+01, 5.942580373799999194e+01
2.057000000000000000e+03, 8.070505480799999987e+01, 9.171923932799998624e+01, 8.567981938799999853e+01, 6.549491482199999837e+01, 6.859795867199999009e+01, 5.507301974399999267e+01, 5.220869552999999286e+01, 5.292025018199999664e+01, 4.801582664999999395e+01, 5.686344460799999467e+01, 6.003557200799999549e+01, 8.030390900399999055e+01, 1.083033594719999968e+02, 6.718827582000000120e+01, 9.240931796399999598e+01, 5.562588918599999488e+01
2.058000000000000000e+03, 8.131093232399999238e+01, 8.945909362799999087e+01, 8.839339757999999847e+01, 6.506758231199999898e+01, 6.749323682399999313e+01, 5.556607327799999752e+01, 5.163942342599999336e+01, 5.340755627999999433e+01, 4.889803048199999580e+01, 5.874548155199999400e+01, 5.821778966399999433e+01, 8.071706213999999591e+01, 1.086658263719999979e+02, 6.509019756600000051e+01, 9.191139605999998707e+01, 5.683829464799999442e+01
2.059000000000000000e+03, 7.900695946799999092e+01, 9.253885996799999702e+01, 8.584209575999999231e+01, 6.632504089199998987e+01, 6.764187387599999113e+01, 5.791968379799999411e+01, 5.420069850599999484e+01, 5.272596476999999737e+01, 4.970528900999999422e+01, 5.793096580199999579e+01, 5.995215534599999785e+01, 8.127985359599999526e+01, 1.090936516319999896e+02, 6.493552531199999578e+01, 9.131820389999998611e+01, 5.728720960799999773e+01
2.060000000000000000e+03, 7.984080284399999528e+01, 9.319099291199999868e+01, 8.412441656400000056e+01, 6.443340911999999321e+01, 6.895289635199999623e+01, 5.796939635999999751e+01, 5.244044570999999877e+01, 5.215508432999999400e+01, 4.960570620599999359e+01, 5.724628770599999683e+01, 5.996072525399999620e+01, 8.132974354799999617e+01, 1.097920400039999862e+02, 6.566829974999998853e+01, 9.080377289999999846e+01, 5.628491274599999628e+01
