year, EC-Earth3-Veg, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-MM, ACCESS-ESM1-5, CNRM-ESM2-1, TaiESM1, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, MIROC-ES2L
1.880000000000000000e+03, 1.732304779782777526e+00, 1.006275962336774832e+01, 1.105318047130100068e+00, 1.003504968599372482e+01, 3.938301556238889667e+00, 1.359105969704875960e+00, 1.231805437976065676e+00, 7.275103453066524395e+00, 4.590729446784250212e-01, 1.755949033056815489e+00, 2.606395799712776018e+00, 1.227957614673506948e+00, 7.317286069697658490e+00
1.881000000000000000e+03, 1.678163258612618280e+00, 9.977821781398350964e+00, 1.106953611257738057e+00, 9.990592198510327648e+00, 3.959279015898239162e+00, 1.372336300338282911e+00, 1.246564858402202214e+00, 7.239579159182684798e+00, 5.486618348427492187e-01, 1.661502645620777541e+00, 2.622949519012240049e+00, 1.226014321399429230e+00, 7.297405212230572147e+00
1.882000000000000000e+03, 1.618061179389513438e+00, 9.877747204825130467e+00, 1.094844491266001363e+00, 1.002435227973682785e+01, 3.943868005299980606e+00, 1.328321840373370755e+00, 1.249177955031516296e+00, 7.250019192994960449e+00, 7.196306077247087707e-01, 1.713975876791664410e+00, 2.536793310979285732e+00, 1.289004273446179738e+00, 7.324214688904619130e+00
1.883000000000000000e+03, 1.607112124360465133e+00, 9.978558138337461969e+00, 1.122332265658212425e+00, 1.008347547851757575e+01, 3.941850255602643127e+00, 1.293712238598740516e+00, 1.233574692583825128e+00, 7.167842518488185988e+00, 4.740086608790162748e-01, 1.503466164258482785e+00, 2.594268944356378004e+00, 1.279835822625178920e+00, 7.381972868240037400e+00
1.884000000000000000e+03, 1.699790213059241273e+00, 1.009704627243136521e+01, 1.123723813728174648e+00, 1.008938029849687901e+01, 3.968914148139902842e+00, 1.354610316381192447e+00, 1.240235482662839228e+00, 7.243755238542974872e+00, 6.290890615430372312e-01, 1.808729174926915206e+00, 2.705883663276233531e+00, 1.264064327042216940e+00, 7.415050297485559661e+00
1.885000000000000000e+03, 1.716347572779150177e+00, 1.000008155920401620e+01, 1.122979535674895057e+00, 1.004219574638343460e+01, 3.971577043000361407e+00, 1.349423783553295175e+00, 1.257692266030240535e+00, 7.216718547200634326e+00, 5.968754923185688455e-01, 2.078295055002547187e+00, 2.651653997658001138e+00, 1.272735228202716007e+00, 7.424294562830486832e+00
1.886000000000000000e+03, 1.731002711354528323e+00, 9.896942954295914419e+00, 1.123928281898870729e+00, 1.002475015794352053e+01, 3.958348554879806080e+00, 1.366848487013282876e+00, 1.252302827035055133e+00, 7.261559220934509895e+00, 4.358645131730319866e-01, 1.827075434497594353e+00, 2.598723046346680832e+00, 1.255569929733868273e+00, 7.406995290973818591e+00
1.887000000000000000e+03, 1.719117833006390539e+00, 9.873140351771004575e+00, 1.100098802976026358e+00, 1.006175352451859339e+01, 3.953650819363210278e+00, 1.377960028682566618e+00, 1.240132698647365528e+00, 7.273037279899221552e+00, 6.631627190760410739e-01, 1.623973732978731821e+00, 2.601687117485115497e+00, 1.261475348511756245e+00, 7.371241298024064470e+00
1.888000000000000000e+03, 1.760812076499020273e+00, 9.924254113371855368e+00, 1.112919094526169328e+00, 1.020172866371957454e+01, 3.958233606596517795e+00, 1.373633222363604967e+00, 1.234186075335639732e+00, 7.265134589486565986e+00, 6.495767369277630765e-01, 1.606312226464616577e+00, 2.578681352728585896e+00, 1.202838738260289864e+00, 7.377395761243525918e+00
1.889000000000000000e+03, 1.758290376394848975e+00, 1.003155608733936965e+01, 1.135754743582658266e+00, 1.015051886187150387e+01, 3.980479507816901297e+00, 1.342544160017047128e+00, 1.219215841735573624e+00, 7.256252029241649026e+00, 5.114979026653078131e-01, 1.858452361696037114e+00, 2.580485529065144945e+00, 1.247221758550042914e+00, 7.315079895906029250e+00
