year, MPI-ESM1-2-LR, NorESM2-LM, CNRM-ESM2-1, CanESM5, EC-Earth3-Veg, NorESM2-MM, INM-CM4-8, TaiESM1, IPSL-CM6A-LR, INM-CM5-0, CMCC-CM2-SR5, UKESM1-0-LL, CESM2-WACCM, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5
1.870000000000000000e+03, 4.230438656296581001e+00, 3.153867606186229189e+00, 2.664564241516478305e+00, 3.692598084456411467e+00, 3.996447333993249362e+00, 3.792118086790515097e+00, 5.357030028633759322e+00, 3.727571607938712450e+00, 2.252182859885592858e+00, 5.085456416546693781e+00, 3.131919290681325130e+00, 5.164965187105372557e+00, 3.376091378341310456e+00, 2.789851099635785037e+00, 4.318405835974135520e+00, 2.333365751849985070e+00
1.871000000000000000e+03, 4.310748023793879113e+00, 2.950658281692008167e+00, 2.811243546268904048e+00, 3.806323035001796029e+00, 3.952222494016914833e+00, 3.957833096102409964e+00, 4.939521884258221363e+00, 4.027701022040875323e+00, 2.246629662711189912e+00, 5.083720867463766169e+00, 3.419448734272960255e+00, 4.830276264693475596e+00, 3.616285388829947767e+00, 2.865690724387547572e+00, 4.384162858779180993e+00, 2.266359656453909022e+00
1.872000000000000000e+03, 4.292117869762791749e+00, 2.950565869118364937e+00, 2.578099764198249932e+00, 3.784458425937770709e+00, 4.020239143895112832e+00, 3.723011839792464528e+00, 5.232522438083910821e+00, 4.046385193280200632e+00, 2.281166795008478410e+00, 5.038819841844735414e+00, 3.058683807996231963e+00, 4.011791358719330347e+00, 3.713458183911855226e+00, 2.707749508650509451e+00, 4.310972247679133673e+00, 2.415901142085285613e+00
1.873000000000000000e+03, 4.139555777325182540e+00, 3.183388304106580691e+00, 2.228394245463142909e+00, 3.745551589152663841e+00, 3.740735312063175666e+00, 3.790937487762845226e+00, 5.217274696876859963e+00, 3.824132754961543590e+00, 2.211216692204680534e+00, 5.213269752977820026e+00, 2.899588742870113034e+00, 4.341250470961718122e+00, 3.394703473069490940e+00, 2.735404082328093622e+00, 4.465766884866264164e+00, 2.184844881066447364e+00
1.874000000000000000e+03, 4.485805143091209146e+00, 3.198732969042690666e+00, 2.825336131040022902e+00, 3.780409283196011216e+00, 3.806464050440133917e+00, 3.611603153843488290e+00, 5.099606413782223235e+00, 4.243686383238427062e+00, 2.272055029462780151e+00, 5.154988306751950411e+00, 3.307984558162123001e+00, 4.773157624517566866e+00, 3.528123500307883464e+00, 2.782661111970824219e+00, 4.224658773374117438e+00, 2.296427427079733796e+00
1.875000000000000000e+03, 4.528628847279927427e+00, 3.177038281863590274e+00, 2.830112164476661363e+00, 3.760292894293551402e+00, 3.937888799023913311e+00, 3.597318100269489172e+00, 5.147650558679375266e+00, 3.923188742135484741e+00, 2.509974249922032552e+00, 5.092264526802371627e+00, 3.151035376873243088e+00, 4.727038894954014303e+00, 3.629813714102242184e+00, 2.884348308635746427e+00, 4.215876133974147066e+00, 2.257750050287102628e+00
1.876000000000000000e+03, 4.299927581903452811e+00, 2.969391063940846731e+00, 2.453510698415965141e+00, 3.629176784766752650e+00, 4.085697598770534178e+00, 3.776966190896661413e+00, 5.221014066704444012e+00, 3.678345556425028917e+00, 2.161192235994343847e+00, 5.073207466326547177e+00, 3.193063458856412407e+00, 4.694025302797856014e+00, 3.476586606935147206e+00, 2.710799314121345116e+00, 4.451307332705757069e+00, 2.354813913485712895e+00
1.877000000000000000e+03, 4.090933186633257002e+00, 2.848897475171244587e+00, 2.552180465850541147e+00, 3.964980155334354883e+00, 3.963790369315480344e+00, 3.562116243985482988e+00, 5.193956330555038470e+00, 4.025924802515879364e+00, 2.280269738212227004e+00, 4.879376246349751867e+00, 3.168008712907217195e+00, 4.283265672115082801e+00, 3.585625844323382605e+00, 2.691713665144446210e+00, 4.431960942657219071e+00, 2.337365685012924299e+00
1.878000000000000000e+03, 3.970252020458363784e+00, 2.995488679242961805e+00, 2.476820867615944888e+00, 3.702439735763960016e+00, 3.722179044323892683e+00, 3.863817558114566175e+00, 5.281951088755036494e+00, 3.974897967369801943e+00, 2.459979130044610773e+00, 5.058596589974705182e+00, 3.193363518188189865e+00, 4.129465519308853416e+00, 3.256438529631037859e+00, 2.744458566807058464e+00, 4.448526578065551185e+00, 2.347134934484974345e+00
1.879000000000000000e+03, 4.130262115535748180e+00, 2.932991236912507294e+00, 2.705468492650636492e+00, 3.777692903690502479e+00, 4.172857054760016560e+00, 3.700785420731896203e+00, 5.312890230189924345e+00, 3.865497242379559939e+00, 2.333071469060729708e+00, 5.083772898437438847e+00, 3.148375823182519184e+00, 4.614123877570410315e+00, 3.331168987566983652e+00, 2.752635556053140586e+00, 4.140795639486754887e+00, 2.351933004672400518e+00
1.880000000000000000e+03, 4.393189528590611737e+00, 3.050054091192290873e+00, 2.453041517387505976e+00, 3.741654063041170986e+00, 3.855281394894538582e+00, 3.690664549959997043e+00, 5.125387357478559558e+00, 4.161896220576245753e+00, 2.292544349535103887e+00, 5.172862051902678004e+00, 3.181093669583632710e+00, 4.712826928692224193e+00, 3.650391326201713582e+00, 2.819875956382107418e+00, 4.292702787799538733e+00, 2.339315926854285799e+00
1.881000000000000000e+03, 4.432237458661028029e+00, 3.076199336414986885e+00, 2.713272114333385332e+00, 3.670549545092156141e+00, 3.683465260948185271e+00, 3.443420478554708453e+00, 5.214324016938633122e+00, 3.789441780174005014e+00, 2.171894760803111168e+00, 5.155975227975566177e+00, 3.143093670268545914e+00, 4.843991876211220848e+00, 3.688842034344316456e+00, 2.860601291365481913e+00, 4.382730437092077658e+00, 2.472394051673547644e+00
