year, NorESM2-MM, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-CM2-SR5, CESM2-WACCM, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-LM, CNRM-ESM2-1, CanESM5, TaiESM1, INM-CM4-8
1.885000000000000000e+03, 7.541626273397046276e+00, 7.071182894780623229e+00, 5.716528571487582866e+00, 7.888972737232229804e+00, 6.491623727992767989e+00, 6.895883644648579391e+00, 8.691242886588565142e+00, 6.122861014911992861e+00, 8.837112262569082333e+00, 6.952479715584728659e+00, 9.372136397981142508e+00, 7.058853069055474272e+00, 7.203999146453025304e+00, 7.457541023612801467e+00, 7.458168915808156996e+00, 8.328666994961151815e+00
1.886000000000000000e+03, 7.570497052295998230e+00, 6.503082639271347887e+00, 6.074816678298612160e+00, 7.651135968094870066e+00, 6.425258598161561530e+00, 7.714392580815021994e+00, 6.981022834951345679e+00, 6.304671487074731573e+00, 8.729183488949999514e+00, 6.814190150049917349e+00, 9.479776736252745195e+00, 7.278981184501992274e+00, 6.652724364684344138e+00, 7.830923561923135878e+00, 7.432758481255521410e+00, 8.569308985079652885e+00
1.887000000000000000e+03, 7.135892841423547850e+00, 7.000231434312583545e+00, 5.884512451555591106e+00, 7.389935430241370007e+00, 5.976651490379992993e+00, 7.832079177535763215e+00, 8.419280190694278687e+00, 5.605333944784178790e+00, 8.900276807124884115e+00, 7.378493690597252019e+00, 8.782106014366206637e+00, 7.023307849834597327e+00, 6.564975958201816120e+00, 7.649531995630582060e+00, 6.197506276241401935e+00, 8.555319282033506667e+00
1.888000000000000000e+03, 7.005188073485196121e+00, 7.177878013509912059e+00, 5.327704632864341150e+00, 7.852961378435574957e+00, 6.207657122836772068e+00, 7.998623110538380487e+00, 8.351518713260064786e+00, 6.302488121407986199e+00, 8.636335131504631946e+00, 6.298188796255604238e+00, 9.264030692187937177e+00, 6.701885806524684241e+00, 7.430821866437280931e+00, 7.847200000134241016e+00, 7.168072563589824142e+00, 8.586799087117585216e+00
1.889000000000000000e+03, 7.670434591555888915e+00, 6.598182742658089239e+00, 5.039838844079324254e+00, 6.963136493483245815e+00, 6.593919919033978339e+00, 7.791588046382917021e+00, 8.478673817317986305e+00, 6.663197153488615854e+00, 8.848588627986769595e+00, 7.003487779267471680e+00, 9.218732877048918084e+00, 6.762236679674073159e+00, 6.713879209196825570e+00, 7.919145923826557798e+00, 7.391484848989284373e+00, 8.356746824244542182e+00
1.890000000000000000e+03, 7.569895905081242660e+00, 6.789222886256268019e+00, 5.083094393766875996e+00, 7.912123510420198791e+00, 6.241222198726357639e+00, 7.945310121607601417e+00, 7.717506439040517918e+00, 6.217266100629123216e+00, 8.983728280782221631e+00, 7.010281790914111077e+00, 9.598300826009200648e+00, 7.254632488405469815e+00, 6.012472976741999098e+00, 7.457649374317180779e+00, 6.961175159080167596e+00, 8.418522660891264664e+00
1.891000000000000000e+03, 7.227982194149921824e+00, 6.697396601780856606e+00, 5.881957015501401820e+00, 7.587784177182370193e+00, 5.982285630557795386e+00, 7.887945891431491496e+00, 8.444150872521982265e+00, 5.889901800935129828e+00, 8.332812247251919047e+00, 7.073456637172884420e+00, 9.463465082846463261e+00, 6.485589991966658197e+00, 6.731079126917752120e+00, 7.564044127743289714e+00, 7.540116239285619137e+00, 8.543429026273765103e+00
1.892000000000000000e+03, 7.973807205581751489e+00, 6.473715023308153960e+00, 5.784793890939929462e+00, 7.897807426043607748e+00, 6.673717542997148477e+00, 7.554751608536946605e+00, 8.196108685649814873e+00, 5.770767829070449828e+00, 8.912932651865583367e+00, 7.014588650198713360e+00, 9.267550253648007441e+00, 8.100377805685264221e+00, 6.619656353096458723e+00, 7.823292280409532395e+00, 7.344461030290267090e+00, 8.525037344157711416e+00
1.893000000000000000e+03, 7.507863418961163049e+00, 6.896950169228619032e+00, 5.154352385141825366e+00, 8.153232929346298619e+00, 6.409852514745534080e+00, 7.018350218028085230e+00, 7.988144418598038143e+00, 6.466448672865486635e+00, 9.108828933649107285e+00, 7.272028995884348035e+00, 8.758708176401011514e+00, 7.288049861557035491e+00, 6.348356204829928018e+00, 7.758735166586420817e+00, 7.567301944754769139e+00, 8.381704689398452146e+00
1.894000000000000000e+03, 7.745620369584024445e+00, 6.922398748328980389e+00, 5.996745716704769080e+00, 7.628432955135130200e+00, 6.411785019823022402e+00, 6.449339013197324277e+00, 7.282378541958665963e+00, 6.286054592028340160e+00, 9.403245342594050982e+00, 7.200742336013049361e+00, 9.365030276826871614e+00, 6.251947436291242610e+00, 6.861191773618553924e+00, 7.697183737495968181e+00, 6.126239872232261519e+00, 8.382940454403057018e+00
