year, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1
1.896000000000000000e+03, 8.508736950148308298e-10, -6.917406497015472712e-10, 2.630806811765464085e-10, 9.360737166715073713e-11
1.897000000000000000e+03, 8.735456551055899443e-10, -7.033884475159524358e-10, 2.649616662039072079e-10, 9.591685883784861769e-11
1.898000000000000000e+03, 8.811299298150044006e-10, -7.088510800282116571e-10, 2.670500642486116755e-10, 9.833176689035765272e-11
1.899000000000000000e+03, 8.936030892325752336e-10, -6.785841218129909932e-10, 2.675262901207363387e-10, 1.014161626382864797e-10
1.900000000000000000e+03, 9.414958640468068902e-10, -6.712986990913269465e-10, 2.684668067175442161e-10, 1.032826073095453221e-10
1.901000000000000000e+03, 9.597901314615752148e-10, -7.479572551927120348e-10, 3.082604102671179661e-10, 1.163712714686799645e-10
1.902000000000000000e+03, 9.843047772072190454e-10, -7.702159184521414591e-10, 3.133499720563337065e-10, 1.173086425783590600e-10
1.903000000000000000e+03, 9.706859296476257640e-10, -7.884125145102937800e-10, 3.173190457547269133e-10, 1.191824341342562135e-10
1.904000000000000000e+03, 1.080824608084109761e-09, -7.382863767593695536e-10, 3.192944054235008282e-10, 1.202629409234734033e-10
1.905000000000000000e+03, 1.035975730420912072e-09, -7.912847033528887564e-10, 3.213967155406136540e-10, 1.220684139113034654e-10
1.906000000000000000e+03, 1.030627362788108841e-09, -7.671489098116177703e-10, 3.245444469244392608e-10, 1.241424735791448933e-10
1.907000000000000000e+03, 9.881559192542396539e-10, -8.101007829317684747e-10, 3.229597852392850117e-10, 1.247628775225486214e-10
1.908000000000000000e+03, 1.008704834501579604e-09, -8.268703617421025582e-10, 3.251722454048212582e-10, 1.259698330301101558e-10
1.909000000000000000e+03, 1.068670345555368834e-09, -8.449841897612938357e-10, 3.283658494614620407e-10, 1.269805042270354782e-10
1.910000000000000000e+03, 1.190231918398430688e-09, -8.186918933946429779e-10, 3.294420900041659981e-10, 1.281710558972061593e-10
1.911000000000000000e+03, 1.206901566545121563e-09, -8.647295940381433472e-10, 3.593522044819359083e-10, 1.331542394767265966e-10
1.912000000000000000e+03, 1.116892906059783876e-09, -8.664152378664670925e-10, 3.623841761308529679e-10, 1.337724053799927689e-10
1.913000000000000000e+03, 1.106287566221347603e-09, -9.214382071536999080e-10, 3.652089583571578777e-10, 1.362604574242112555e-10
1.914000000000000000e+03, 1.171627581334859188e-09, -9.051007203796361026e-10, 3.689332025357191418e-10, 1.368389518216579780e-10
1.915000000000000000e+03, 1.192612856749295586e-09, -9.217111445449203281e-10, 3.706385048827158014e-10, 1.375086591309479708e-10
