year, EC-Earth3-Veg, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, CMCC-CM2-SR5, MIROC-ES2L
1.920000000000000000e+03, 4.302422637482040957e-02, 6.663033311377446477e-01, 5.577462453944560111e-02, 2.772470259542221885e-02, 1.374403516522985369e-01, 4.155896481203045036e-04, 5.240753490424178151e-01, 9.833031487385160418e-02, 7.760209007764006239e-01
1.921000000000000000e+03, 4.313464974870636487e-02, 6.675481363466573281e-01, 5.407672662361379806e-02, 2.604992787100313470e-02, 1.320633136999754542e-01, 4.062910028226465525e-04, 5.236015341228817954e-01, 9.513415863997942701e-02, 7.740251784204904562e-01
1.922000000000000000e+03, 4.320749673611942038e-02, 6.696707251622511237e-01, 5.267663516021107301e-02, 2.482355388153253267e-02, 1.291765083524341606e-01, 4.044121016466064862e-04, 5.247673344123466865e-01, 9.301334637593956789e-02, 7.753259416979334517e-01
1.923000000000000000e+03, 4.323087173053947324e-02, 6.727615847959715900e-01, 5.144733845073761608e-02, 2.362998246089552043e-02, 1.302225743387276924e-01, 4.017933911526404495e-04, 5.277076863705548737e-01, 9.217516413092788352e-02, 7.760383441202481913e-01
1.924000000000000000e+03, 4.302010798279688047e-02, 6.754606522382395895e-01, 5.044322598866277790e-02, 2.262651266251033619e-02, 1.292867627636851147e-01, 3.987593119078315347e-04, 5.304275298211126310e-01, 9.239489842652967577e-02, 7.776761689309052983e-01
1.925000000000000000e+03, 4.285451636286639887e-02, 6.785247209793618950e-01, 4.953436836037099916e-02, 2.164692767282348079e-02, 1.326629087342311442e-01, 3.974020423576032522e-04, 5.340947543179547230e-01, 9.348783189375080294e-02, 7.779243174407942663e-01
1.926000000000000000e+03, 4.263464481446888749e-02, 6.824176722561953179e-01, 4.882548358372495317e-02, 2.098293339816525299e-02, 1.352431956224258436e-01, 4.001447220634528758e-04, 5.381190538919806698e-01, 9.529968344026761018e-02, 7.809421372718313714e-01
1.927000000000000000e+03, 4.246803035918884223e-02, 6.863157553611962669e-01, 4.817243843204161574e-02, 2.065643086858764618e-02, 1.368478010550799595e-01, 4.031292555407621167e-04, 5.401002662725012948e-01, 9.770983052561579840e-02, 7.856807231394438151e-01
1.928000000000000000e+03, 4.236740117611736967e-02, 6.900518469810141831e-01, 4.751214256345528963e-02, 2.073146944090225458e-02, 1.407480984141237512e-01, 4.006837214232561884e-04, 5.418248937906753326e-01, 1.006066825667031733e-01, 7.902262178759212885e-01
1.929000000000000000e+03, 4.226801562961828018e-02, 6.936749077258586027e-01, 4.699866030634237274e-02, 2.100794448475824805e-02, 1.453566576642999209e-01, 3.993711267956493198e-04, 5.433427517532258832e-01, 1.039142476483209121e-01, 7.951796132237316517e-01
1.930000000000000000e+03, 4.215141283354102014e-02, 6.982092008346214573e-01, 4.718324028141315796e-02, 2.121188396963935574e-02, 1.507400425251727571e-01, 3.968762530184942851e-04, 5.491576475943580338e-01, 1.087014535764117551e-01, 8.043023089560485950e-01
1.931000000000000000e+03, 4.216942961607322848e-02, 7.054413405839976559e-01, 4.766428662236045499e-02, 2.187970836799576352e-02, 1.557750898572199116e-01, 4.028950077092646612e-04, 5.555718409739296426e-01, 1.146177317650551447e-01, 8.125642358542276567e-01
1.932000000000000000e+03, 4.217096957010965652e-02, 7.114550664943962710e-01, 4.883343005669284198e-02, 2.264170181758822648e-02, 1.620418185247961274e-01, 4.101620493526729840e-04, 5.610733219140116024e-01, 1.204229552759880917e-01, 8.190431877370988323e-01
1.933000000000000000e+03, 4.213823599064370901e-02, 7.177615239502603828e-01, 5.005815624908508538e-02, 2.340874930812128843e-02, 1.713572189606908103e-01, 4.168911728120129265e-04, 5.663767219458137880e-01, 1.261747605293423724e-01, 8.275828232001598561e-01
1.934000000000000000e+03, 4.209340963283154935e-02, 7.246305858911527009e-01, 5.116213664037499997e-02, 2.401409248969445590e-02, 1.784099667742087558e-01, 4.202883141999016092e-04, 5.703970505249833511e-01, 1.319124598746567456e-01, 8.352264061144912821e-01
1.935000000000000000e+03, 4.205856324574827609e-02, 7.300066161714383606e-01, 5.205831679555194408e-02, 2.465990313787209606e-02, 1.830273593134719434e-01, 4.272439331054834533e-04, 5.738688760138104250e-01, 1.376694381530216005e-01, 8.416265302736978260e-01
1.936000000000000000e+03, 4.206824988256636227e-02, 7.368842863847056002e-01, 5.279679371960724343e-02, 2.505189952857596672e-02, 1.876636456315279311e-01, 4.233004949456734109e-04, 5.777925151656798652e-01, 1.434451601021732026e-01, 8.485627897339819148e-01
1.937000000000000000e+03, 4.214880040481799178e-02, 7.434013127130438825e-01, 5.343629904014302046e-02, 2.532154345325698247e-02, 1.991009390695082648e-01, 4.313048600483167195e-04, 5.824030766945292870e-01, 1.492638825399316971e-01, 8.548529442379289023e-01
1.938000000000000000e+03, 4.215699404371710951e-02, 7.505127812717131697e-01, 5.391175149397804678e-02, 2.540239240463560907e-02, 2.059890927373083935e-01, 4.405663165007878547e-04, 5.870226856233130563e-01, 1.551499668317197766e-01, 8.611716840337754197e-01
1.939000000000000000e+03, 4.212392213395952517e-02, 7.562979457523452131e-01, 5.446684857588842549e-02, 2.565649428395902834e-02, 2.122722648176505189e-01, 4.475519947096751137e-04, 5.907856503847296326e-01, 1.611058915594254515e-01, 8.663201845737348306e-01
1.940000000000000000e+03, 4.216209268675927962e-02, 7.629957282953686581e-01, 5.495380296886708676e-02, 2.602803688499108828e-02, 2.196465129648680070e-01, 4.494361273746289086e-04, 5.975959269742503466e-01, 1.674498448859762234e-01, 8.753529374791557682e-01
1.941000000000000000e+03, 4.216965446810881646e-02, 7.695461280940925075e-01, 5.559695710282962916e-02, 2.638918876534137453e-02, 2.284322951348448649e-01, 4.606137121446742476e-04, 6.025771827505342904e-01, 1.741343747763524352e-01, 8.853126367952870446e-01
1.942000000000000000e+03, 4.225843514972048298e-02, 7.759040499513593092e-01, 5.602799094482943665e-02, 2.687489607845961609e-02, 2.361004354194784494e-01, 4.628728836947795387e-04, 6.059301969484491845e-01, 1.807909640672547835e-01, 8.947872272264687510e-01
