year, CMCC-CM2-SR5, MPI-ESM1-2-LR, CanESM5, EC-Earth3-Veg, NorESM2-LM, TaiESM1, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CESM2-WACCM, GFDL-ESM4, IPSL-CM6A-LR, ACCESS-ESM1-5, NorESM2-MM
1.908000000000000000e+03, 7.082840457265356804e+01, 2.248532908212437320e+01, 5.148150658154551707e+01, 4.894050019492072323e+01, 3.280181743788832449e+01, 2.870307445554202985e+01, 4.240731034767527063e+01, 6.141474155373308719e+01, 2.516536929763518771e+01, 3.776586336614845862e+01, 1.612844562620049160e+01, 2.351854600146955576e+01, 1.547585719302625940e+01, 4.011161547031714747e+01
1.909000000000000000e+03, 7.086214025061573807e+01, 2.248480434204094180e+01, 5.148402880257138747e+01, 4.892676977438276253e+01, 3.280057435268725641e+01, 2.865318919798876962e+01, 4.243913343663200521e+01, 6.133883171758191821e+01, 2.517299163995191691e+01, 3.773764189660715829e+01, 1.611493393467454283e+01, 2.351493468943850829e+01, 1.548005276668801145e+01, 4.010475344159717537e+01
1.910000000000000000e+03, 7.097520880755837425e+01, 2.254522168766982304e+01, 5.147246402874470306e+01, 4.892445430280324103e+01, 3.280816273420956719e+01, 2.868326974304832788e+01, 4.244169581321362728e+01, 6.126278779518855089e+01, 2.518290569234822485e+01, 3.774153009512076551e+01, 1.593611346054238886e+01, 2.351525911248034006e+01, 1.550500245115845210e+01, 4.009498771553727892e+01
1.911000000000000000e+03, 7.092955222716139474e+01, 2.248546207103872874e+01, 5.144827642361742193e+01, 4.890563103573586545e+01, 3.279787967284091366e+01, 2.874850370588832504e+01, 4.245996563994797413e+01, 6.118876056387848905e+01, 2.515191362495217220e+01, 3.775374613527489487e+01, 1.577441029124084793e+01, 2.351025731690571163e+01, 1.552866304605362835e+01, 4.010715630278151167e+01
1.912000000000000000e+03, 7.084890397656748462e+01, 2.242600983420404148e+01, 5.144263996425127772e+01, 4.885873076302961948e+01, 3.280212724076944397e+01, 2.861464911611072992e+01, 4.246696068185976713e+01, 6.121428000676991132e+01, 2.511903707140416131e+01, 3.775586098098193588e+01, 1.595524827458600470e+01, 2.350487087924886609e+01, 1.553348650565923172e+01, 4.011068615960726191e+01
1.913000000000000000e+03, 7.087513093455027047e+01, 2.244390987860217379e+01, 5.144300896460909200e+01, 4.878656138856069191e+01, 3.282817090752305234e+01, 2.861724551493344393e+01, 4.247658006839940015e+01, 6.134057721861904611e+01, 2.509607469358254761e+01, 3.775368967561878719e+01, 1.605307101279957038e+01, 2.349862586677306453e+01, 1.553229677668704589e+01, 4.010756939138909871e+01
1.914000000000000000e+03, 7.092635702450417057e+01, 2.241237693042916135e+01, 5.144067184920159974e+01, 4.875731124417237083e+01, 3.280641439280718430e+01, 2.874841648551054263e+01, 4.251103900212840614e+01, 6.141733633353547361e+01, 2.508563163716718591e+01, 3.773807636231533280e+01, 1.609002854118606862e+01, 2.350326406442310656e+01, 1.553196240979662157e+01, 4.011049912037396581e+01
1.915000000000000000e+03, 7.096494357750586346e+01, 2.238831560648475616e+01, 5.142031702776096580e+01, 4.875893312353040443e+01, 3.277531121630906341e+01, 2.874854686232069056e+01, 4.251820826426084921e+01, 6.140707857499332079e+01, 2.505593920272363206e+01, 3.772531429740730147e+01, 1.589592637014460585e+01, 2.350338641205258483e+01, 1.553508457560114309e+01, 4.008935284011256783e+01
1.916000000000000000e+03, 7.101134757932555885e+01, 2.238465590770606539e+01, 5.140932574339689154e+01, 4.875461565952318921e+01, 3.278799544962221546e+01, 2.877219893450726929e+01, 4.255159474531150465e+01, 6.128940833097582441e+01, 2.499795084091912400e+01, 3.771552723715970501e+01, 1.598734544633823518e+01, 2.349536955967526808e+01, 1.552929437620481146e+01, 4.007023369914431044e+01
1.917000000000000000e+03, 7.108353265495105688e+01, 2.242115187863186065e+01, 5.140763710726083957e+01, 4.875403752377002320e+01, 3.278732658829755309e+01, 2.880799597859962446e+01, 4.255546032951684765e+01, 6.128825380933859890e+01, 2.496196104499544077e+01, 3.771828585326380079e+01, 1.607395984007354528e+01, 2.348703918637508536e+01, 1.551960754847615220e+01, 4.006339875577793208e+01
1.918000000000000000e+03, 7.101525518557735950e+01, 2.234932054121733458e+01, 5.140636088390202474e+01, 4.873068301327205631e+01, 3.277032710160933959e+01, 2.866164913895447697e+01, 4.254698344100965102e+01, 6.139542468111248752e+01, 2.496107588266233179e+01, 3.771708486229730539e+01, 1.607348010426571960e+01, 2.348539013817232046e+01, 1.552077975466228921e+01, 4.005039804372239587e+01
