year, UKESM1-0-LL, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR
1.904000000000000000e+03, 5.152794752167813006e-13, 1.789686863571002627e-10, 2.794939079966758097e-10, 1.454015778723352530e-09, 7.078756701702528830e-10, 1.019961009596778545e-10, 3.905176708182693166e-11, 2.151026925646910678e-09
1.905000000000000000e+03, 5.179785648318354333e-13, 1.809467070152163218e-10, 2.990319877923411516e-10, 1.466945611583048405e-09, 7.603636801869449930e-10, 1.039837325101710309e-10, 4.021213391860365716e-11, 2.148686060809057681e-09
1.906000000000000000e+03, 4.894186409867059997e-13, 1.818133000995651538e-10, 2.974099618881357398e-10, 1.473514655919703005e-09, 7.357134084290158170e-10, 1.057183127938899332e-10, 4.137326310656311747e-11, 2.155990876177393567e-09
1.907000000000000000e+03, 4.655847672175672849e-13, 1.874727639642653509e-10, 2.819026452653950307e-10, 1.501463657626074848e-09, 7.781605402471974001e-10, 1.072475188848210067e-10, 4.254104284661331121e-11, 2.216142351128596630e-09
1.908000000000000000e+03, 4.465467625610934272e-13, 1.884551252226473309e-10, 3.272427006892093488e-10, 1.484109038408852352e-09, 7.944296442089256003e-10, 1.085934842206839209e-10, 4.363502411984979898e-11, 2.265863828354985266e-09
1.909000000000000000e+03, 4.361261967314935102e-13, 1.890882717169034849e-10, 3.387449963665594791e-10, 1.522539945733752486e-09, 8.120210498004005714e-10, 1.098176852338059895e-10, 4.464612305005025622e-11, 2.294620652573999830e-09
1.910000000000000000e+03, 4.872967478465581564e-13, 1.884834953096103294e-10, 3.170417840100816454e-10, 1.539285556172418003e-09, 7.851589317557918653e-10, 1.126984555016621025e-10, 4.562521011764093769e-11, 2.328831010574265862e-09
1.911000000000000000e+03, 5.572465898912624475e-13, 2.010586035284752790e-10, 3.121414954740980619e-10, 1.574505994561690456e-09, 8.305383492423499145e-10, 1.167855918057648669e-10, 4.598977486139159395e-11, 2.347497475717257027e-09
1.912000000000000000e+03, 5.762723405707639981e-13, 2.047037331939138099e-10, 3.331155507530008249e-10, 1.584744022873951945e-09, 8.315466973867392352e-10, 1.201824069689468568e-10, 4.661778038707554964e-11, 2.369541898710446367e-09
1.913000000000000000e+03, 5.102999560220375571e-13, 2.081044424172826880e-10, 3.533696251529240078e-10, 1.627782866983564407e-09, 8.859191568383530113e-10, 1.227548886404933867e-10, 4.719727105253187938e-11, 2.408577180501792389e-09
1.914000000000000000e+03, 4.975088151527246931e-13, 2.089786846522534986e-10, 3.667323261939460865e-10, 1.619258157850588262e-09, 8.689345815946260142e-10, 1.247991749234351739e-10, 4.789799429030571425e-11, 2.435586269610319342e-09
1.915000000000000000e+03, 5.145104541860824449e-13, 2.119192562187506146e-10, 3.757709771506523631e-10, 1.640249084849297572e-09, 8.848972340397326466e-10, 1.265803189490105197e-10, 4.854678376030981377e-11, 2.462238805510974197e-09
1.916000000000000000e+03, 4.850248738326679917e-13, 2.115366420340619672e-10, 3.697184497442323046e-10, 1.652198440350504778e-09, 8.659338936667958951e-10, 1.281805541863494587e-10, 4.912794577639952829e-11, 2.481889513856561778e-09
1.917000000000000000e+03, 5.059571168355452504e-13, 2.136260162293667834e-10, 3.645874947323893258e-10, 1.673524238357825931e-09, 9.043307449405301895e-10, 1.296420810326935482e-10, 4.974690791194376882e-11, 2.506338154459193868e-09
1.918000000000000000e+03, 5.237146599769974129e-13, 2.183868973693423670e-10, 3.614670862775517995e-10, 1.684918880306491700e-09, 8.973145920981313724e-10, 1.309690079503473565e-10, 5.033911224340845664e-11, 2.520726400198787146e-09
1.919000000000000000e+03, 5.051956159450295365e-13, 2.201808323917846343e-10, 4.006593579079188684e-10, 1.693190172793538394e-09, 9.834934242427586852e-10, 1.321923921728745141e-10, 5.121575641075173057e-11, 2.535555906077880173e-09
1.920000000000000000e+03, 4.617625725567120502e-13, 2.197259436961907375e-10, 3.810919823921976509e-10, 1.624074577967446514e-09, 9.646694789473635556e-10, 1.301717947299847609e-10, 5.217431197129901096e-11, 2.511938346694869379e-09
1.921000000000000000e+03, 4.132256895909003728e-13, 2.007308574923608660e-10, 3.582789144432513059e-10, 1.610045846386942870e-09, 9.212380180627150724e-10, 1.257205890334107335e-10, 5.294085174434191895e-11, 2.496823107969395328e-09
1.922000000000000000e+03, 4.054690133770664833e-13, 1.922137471639936480e-10, 3.480755149682754302e-10, 1.616709105874211349e-09, 9.021256151429050401e-10, 1.227079768906385520e-10, 5.164647378203848136e-11, 2.513440111195545058e-09
