year, MIROC-ES2L, GFDL-ESM4, IPSL-CM6A-LR, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, EC-Earth3-Veg, INM-CM5-0, CanESM5, NorESM2-MM, CMCC-ESM2, UKESM1-0-LL, TaiESM1, CESM2-WACCM, NorESM2-LM
1.902000000000000000e+03, 2.464616914819967697e+00, 4.324701841490366405e+00, 2.826342198214692569e+00, 2.579969317076917346e+00, 3.904704387082169603e+00, 2.742808771411464175e+00, 1.889149352128893344e+00, 4.187114947254745978e+00, 2.514589622589774809e+00, 2.835365481529796394e+00, 2.946941545959015585e+00, 3.288297372859233292e+00, 4.191214568568474519e+00, 4.150036180479866665e+00, 3.083393358160934739e+00, 2.589496538318816654e+00
1.903000000000000000e+03, 2.464945093348908767e+00, 4.098496867797480903e+00, 2.783419175530040590e+00, 2.585868150408672239e+00, 3.792312028595198115e+00, 2.725844440133212920e+00, 1.894999529184634657e+00, 4.133656974308880905e+00, 2.542211974638096006e+00, 2.889313014086808185e+00, 3.025257891182293601e+00, 3.096356547006758664e+00, 4.191575531359392315e+00, 4.052011955818501043e+00, 3.098618261433248033e+00, 2.512715205160673815e+00
1.904000000000000000e+03, 2.476037648826183268e+00, 3.660538864606128762e+00, 2.569925522929023654e+00, 2.572749039423706918e+00, 3.610347279370094586e+00, 2.830827581897700895e+00, 1.885630008003529534e+00, 4.109876204147252743e+00, 2.528713105607315548e+00, 2.859927445445249461e+00, 2.943167882997790752e+00, 3.460969999197753388e+00, 4.210723779622262519e+00, 3.457596663779402668e+00, 3.116145784426008536e+00, 2.469447973622280301e+00
1.905000000000000000e+03, 2.474353289819844814e+00, 3.802128382994458988e+00, 2.726777371013352713e+00, 2.556844320111054891e+00, 3.545238266042088249e+00, 2.959874994165237361e+00, 1.925645288857363635e+00, 4.155673802437398479e+00, 2.533043357422067654e+00, 2.860111140432914478e+00, 2.947244098067673956e+00, 3.878914067600375493e+00, 4.204581606624649304e+00, 3.629204206853707593e+00, 3.028988410719009039e+00, 2.413129245273102796e+00
1.906000000000000000e+03, 2.465083142598702537e+00, 4.076221935223724557e+00, 2.720196737951660726e+00, 2.574859598163127039e+00, 3.826256141904018193e+00, 2.949577053591858178e+00, 1.856985910910554427e+00, 4.051308206560356950e+00, 2.547872333406757672e+00, 2.832546063162033612e+00, 3.029695087326097713e+00, 3.806197080378613595e+00, 4.202740336141446598e+00, 4.089446666252703366e+00, 3.068447734876565303e+00, 2.450787888116941371e+00
1.907000000000000000e+03, 2.476000823878809154e+00, 4.086536075886084696e+00, 2.822586265770817615e+00, 2.581924526999683778e+00, 4.059741721004704651e+00, 2.865527074436769350e+00, 1.869521823094782542e+00, 4.065659137736077788e+00, 2.500301425264413346e+00, 2.918520330463470369e+00, 3.034056628614542728e+00, 3.502692888743069943e+00, 4.204211113324136662e+00, 3.919944184269973153e+00, 3.002867172788139971e+00, 2.457418356640306278e+00
1.908000000000000000e+03, 2.451450208549160958e+00, 3.960924248315328633e+00, 2.805804431061270421e+00, 2.543995864024671150e+00, 3.910464785660614062e+00, 2.916370618663895353e+00, 1.823110702570018837e+00, 4.122343420774514655e+00, 2.526355319623968754e+00, 2.899284965421548677e+00, 3.033480575569648341e+00, 3.317128238710115529e+00, 4.203981607411276578e+00, 3.973944282185474020e+00, 3.030880497924789641e+00, 2.521705877267847562e+00
1.909000000000000000e+03, 2.450958564897471437e+00, 3.944974166369207058e+00, 2.753681200318245370e+00, 2.576358367828105678e+00, 3.871648197416713622e+00, 2.807062005316643294e+00, 1.895119470978024800e+00, 4.176911035647206560e+00, 2.532925529069340875e+00, 2.864848282386896816e+00, 3.040473868243867894e+00, 3.624396757239890743e+00, 4.194647616293211811e+00, 4.164773573736400891e+00, 3.124640692551542642e+00, 2.547657464960609630e+00
1.910000000000000000e+03, 2.448625436489711760e+00, 3.712181009301812828e+00, 2.712433809943635588e+00, 2.591545898607140685e+00, 3.765156338989530838e+00, 2.883090600826263117e+00, 1.939308631175228781e+00, 4.146231267758884620e+00, 2.509884276772023970e+00, 2.831344626071271797e+00, 3.037291897256467976e+00, 3.700716001200579974e+00, 4.198197420764357979e+00, 3.940779270312290805e+00, 3.138846468411508273e+00, 2.453865470138357541e+00
1.911000000000000000e+03, 2.450482318007209059e+00, 3.826695040389308300e+00, 2.746613986193340295e+00, 2.570610733741860887e+00, 3.846386992208564948e+00, 2.851295474903640770e+00, 1.865163057374963795e+00, 4.036035532476180521e+00, 2.547838128679115410e+00, 2.788907726893818495e+00, 3.011174208134969277e+00, 3.698572307013245908e+00, 4.204553201553938635e+00, 3.560388740309675004e+00, 3.050895641290493732e+00, 2.461223588761725090e+00
1.912000000000000000e+03, 2.451400830407568954e+00, 4.228700127743503678e+00, 2.745849981801911088e+00, 2.577211252561925292e+00, 3.903777075259232010e+00, 2.892361396895090753e+00, 1.825377943842658723e+00, 4.028030781979371255e+00, 2.522809536431817712e+00, 2.773418483351461905e+00, 2.969886592396620451e+00, 3.175476113224717789e+00, 4.199099623249196611e+00, 4.024856319937565097e+00, 3.046035735796608357e+00, 2.501208519162136934e+00
1.913000000000000000e+03, 2.438685841408349209e+00, 3.984833422749602505e+00, 2.803309877286773055e+00, 2.586226015387938837e+00, 3.916158915024587461e+00, 2.904491481302982070e+00, 1.799741147319758650e+00, 3.903296803967132966e+00, 2.572825243610491253e+00, 2.850274140181343174e+00, 2.964263294643183055e+00, 2.806931266213979814e+00, 4.192851470788808932e+00, 4.241742601704821425e+00, 3.044601630427667960e+00, 2.450601158873118024e+00
