year, TaiESM1, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, UKESM1-0-LL, NorESM2-MM, INM-CM4-8, CanESM5, CESM2-WACCM, CMCC-CM2-SR5, INM-CM5-0, ACCESS-ESM1-5, EC-Earth3-Veg, IPSL-CM6A-LR, NorESM2-LM
1.883000000000000000e+03, 2.973300120561924587e+02, 2.968138848909213721e+02, 2.969549535347813389e+02, 2.977662173975236897e+02, 2.964320355324467187e+02, 2.985832011743632961e+02, 2.976753591932553604e+02, 2.973459528194333075e+02, 2.980900890077820691e+02, 2.980937460484104236e+02, 2.976642686274399239e+02, 2.974715160876957611e+02, 2.993764525420990026e+02, 2.965091064998476327e+02, 2.962503468057565783e+02, 2.981718495534036606e+02
1.884000000000000000e+03, 2.969643214153268787e+02, 2.963640921994684732e+02, 2.966979123858817502e+02, 2.971125656124498278e+02, 2.960384129397294828e+02, 2.976152096957274580e+02, 2.971488816039557719e+02, 2.969892403104135497e+02, 2.978689642046713288e+02, 2.977336274653535497e+02, 2.974051182974196195e+02, 2.970303761274367389e+02, 2.991049464218375533e+02, 2.956561967166814497e+02, 2.962598536012231989e+02, 2.981849446974883335e+02
1.885000000000000000e+03, 2.973408562458059805e+02, 2.962336762165350592e+02, 2.967850591064678270e+02, 2.974310679636345753e+02, 2.960342472332648640e+02, 2.978403965594735610e+02, 2.970594034627234805e+02, 2.974481097890747492e+02, 2.979338588089281075e+02, 2.981095859820387091e+02, 2.979157620133620412e+02, 2.972468899839175265e+02, 2.991998477876954894e+02, 2.959240980059554431e+02, 2.964392749164126144e+02, 2.982707867037566984e+02
1.886000000000000000e+03, 2.968289287499027296e+02, 2.965135361342628926e+02, 2.968152659011556693e+02, 2.975276649258780708e+02, 2.961110200184915584e+02, 2.978158118886623242e+02, 2.975229869603053316e+02, 2.975809665583582273e+02, 2.977343559949059113e+02, 2.979797121482598072e+02, 2.982805002988914680e+02, 2.971896647539193737e+02, 2.993871153952219970e+02, 2.962005266189635222e+02, 2.965635774617834954e+02, 2.984845063000234404e+02
1.887000000000000000e+03, 2.968016894116609592e+02, 2.964592345376773892e+02, 2.967752813864060499e+02, 2.977205807550661234e+02, 2.960013066847472487e+02, 2.980803739192707553e+02, 2.977471480591091790e+02, 2.974172131605188838e+02, 2.979912201280392878e+02, 2.981061279335249878e+02, 2.981950875531923657e+02, 2.972297525359940096e+02, 2.993965643422589551e+02, 2.963560955034597555e+02, 2.963936643791965935e+02, 2.984186076835302401e+02
1.888000000000000000e+03, 2.971901679285338673e+02, 2.966393440729941631e+02, 2.972091776371642595e+02, 2.980396550138729026e+02, 2.965001278830668525e+02, 2.984433518460026562e+02, 2.979279246285030922e+02, 2.976392970709163706e+02, 2.982254262010451384e+02, 2.979167625705229625e+02, 2.977833964179097848e+02, 2.971508156395886431e+02, 2.994315133750931750e+02, 2.959231375003896005e+02, 2.962911578249326681e+02, 2.981931096158499486e+02
1.889000000000000000e+03, 2.974288673641113405e+02, 2.962955103630914095e+02, 2.975477657586892519e+02, 2.973889901226860388e+02, 2.965749933421332685e+02, 2.983946230539708608e+02, 2.979344447616181810e+02, 2.974292201313792816e+02, 2.982787438926761752e+02, 2.978552463176773699e+02, 2.979243330947174968e+02, 2.973077253950647787e+02, 2.997183909850833743e+02, 2.964140657333085187e+02, 2.962663635239375708e+02, 2.985134586485863792e+02
1.890000000000000000e+03, 2.969883673325971358e+02, 2.964429406842843946e+02, 2.975652157040349266e+02, 2.973144984990544799e+02, 2.967568984615086833e+02, 2.980972391054343689e+02, 2.976018925763677885e+02, 2.974373366887320458e+02, 2.980512478489815180e+02, 2.978601062389253116e+02, 2.980701872777892731e+02, 2.974486617940403903e+02, 2.998085254948048828e+02, 2.963516724433716831e+02, 2.964461892411966915e+02, 2.986360730806018182e+02
1.891000000000000000e+03, 2.974023659961179078e+02, 2.969198397461400987e+02, 2.970585019159474882e+02, 2.974177339170781238e+02, 2.965212510388157057e+02, 2.986520638606363605e+02, 2.975668081330355221e+02, 2.974789270429965313e+02, 2.978936909614709521e+02, 2.979243090061204953e+02, 2.978803981669880727e+02, 2.971942315635353111e+02, 2.993953989842831334e+02, 2.962588675578370498e+02, 2.965571404663321573e+02, 2.987821398879559069e+02
1.892000000000000000e+03, 2.972058929007449137e+02, 2.963459813549740716e+02, 2.965531152143962572e+02, 2.981594995867694706e+02, 2.962819677100675335e+02, 2.988040444734986067e+02, 2.981301004161369406e+02, 2.974082976343611335e+02, 2.978871397913154624e+02, 2.979247051825182666e+02, 2.979128307024872129e+02, 2.973884181370430611e+02, 2.992446540143899938e+02, 2.962579702195756681e+02, 2.964934161802404446e+02, 2.987975677876768827e+02
1.893000000000000000e+03, 2.971122764204687314e+02, 2.969000969786217752e+02, 2.970297288852778479e+02, 2.981477385784741045e+02, 2.966220872100602151e+02, 2.982063001372899862e+02, 2.977529867524708038e+02, 2.974425166244798788e+02, 2.981041995587340807e+02, 2.981098565164049319e+02, 2.982323690964465754e+02, 2.973998495183760724e+02, 2.996695410519639609e+02, 2.964946661218165787e+02, 2.964355680243147049e+02, 2.982139842442279019e+02
1.894000000000000000e+03, 2.967302287733920707e+02, 2.968877387502735132e+02, 2.973873744002570447e+02, 2.974879245594753456e+02, 2.965420289668558667e+02, 2.981803904942410668e+02, 2.975468384820488836e+02, 2.975524201395409136e+02, 2.978462483038763935e+02, 2.981817339972900527e+02, 2.984254448844714034e+02, 2.971858574809482434e+02, 2.994280355959559188e+02, 2.962994611476948990e+02, 2.965185348736679316e+02, 2.982906764515415148e+02
