year, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-MM, ACCESS-ESM1-5, INM-CM4-8, IPSL-CM6A-LR, CanESM5, GFDL-ESM4, CESM2-WACCM, CMCC-ESM2, EC-Earth3-Veg, TaiESM1, INM-CM5-0, MIROC-ES2L, CNRM-ESM2-1, NorESM2-LM
2.059000000000000000e+03, 1.593290511982402347e+00, 1.248477562467745994e+00, 1.293624718304828169e+00, 7.277570964774596751e-01, 1.625221462014760032e+00, 8.937806080207253423e-01, 1.252563902169945509e+00, 8.269442852097033114e-01, 1.320098086130828907e+00, 1.468585413550424157e+00, 1.719124151642823728e+00, 1.445521069427597283e+00, 1.504597610713509948e+00, 1.067527532842801996e+00, 1.686165378813286431e+00, 1.015146011400878123e+00
2.060000000000000000e+03, 1.614483106100786713e+00, 1.214962960873752662e+00, 1.318429115914620642e+00, 7.053503028707170941e-01, 1.654057895895571173e+00, 1.038620597607995855e+00, 1.332218142450270371e+00, 7.522138462644945012e-01, 1.295696042428585049e+00, 1.771035436633087157e+00, 1.796014707005988864e+00, 1.714864488800089681e+00, 1.593775255176388628e+00, 1.112068878576992992e+00, 1.496275234700483736e+00, 1.099892832484800964e+00
2.061000000000000000e+03, 1.609582649876844185e+00, 1.277089420491104077e+00, 1.308834536874752708e+00, 6.816612687088542399e-01, 1.708786870788070900e+00, 1.145185838688417723e+00, 1.300528038619639837e+00, 7.950954934094970339e-01, 1.271856791412892651e+00, 1.995375161766504535e+00, 1.944228640658356211e+00, 1.845027008886434228e+00, 1.586050337359501627e+00, 1.077635226252401379e+00, 1.511958670181501763e+00, 1.119670170451521285e+00
2.062000000000000000e+03, 1.593047703418634109e+00, 1.410566497876246439e+00, 1.251297835852635876e+00, 7.175267090767941669e-01, 1.675164144632471652e+00, 1.065757019768140523e+00, 1.264472709138916739e+00, 8.708776399907680599e-01, 1.361938588963059971e+00, 1.828378408264420329e+00, 1.900688466856765180e+00, 1.758825268448359624e+00, 1.463158311978647319e+00, 1.097269861507141897e+00, 1.558193225209002719e+00, 1.095540521457087468e+00
2.063000000000000000e+03, 1.572264273022157210e+00, 1.511133994501847599e+00, 1.209524447514093159e+00, 7.272219228445645500e-01, 1.677653490468552722e+00, 1.013592633432671475e+00, 1.269462968834531136e+00, 9.371459209425410108e-01, 1.349055730795739594e+00, 1.528250718061062940e+00, 1.893196939033376491e+00, 1.918982372246906154e+00, 1.523578958416394347e+00, 1.082341899965602039e+00, 1.591120783696609475e+00, 1.125992463127115872e+00
2.064000000000000000e+03, 1.583152137453936126e+00, 1.378135302651343874e+00, 1.205867914959911857e+00, 7.709217236873312507e-01, 1.656686064113441770e+00, 1.043501461455098145e+00, 1.224948389613322641e+00, 9.628716438441680125e-01, 1.217786977707423279e+00, 1.434547666082206741e+00, 2.043282484021663237e+00, 1.779247849000191506e+00, 1.535920050150876959e+00, 1.011213297077500961e+00, 1.566757391668602617e+00, 1.161152565800753322e+00
2.065000000000000000e+03, 1.662971718998887960e+00, 1.454877734740862572e+00, 1.287415332133012846e+00, 7.948904125179352409e-01, 1.664181083723836219e+00, 1.012228081355947440e+00, 1.308543647974121482e+00, 8.512397499675101731e-01, 1.202414541986398078e+00, 1.606153938677123305e+00, 1.919638064703741209e+00, 1.824360303930944838e+00, 1.563920783886866950e+00, 1.063359765594053208e+00, 1.444696401568258182e+00, 1.108146971835731964e+00
2.066000000000000000e+03, 1.549077370883798599e+00, 1.431116111688895520e+00, 1.292632539735088182e+00, 7.475170311383720900e-01, 1.572889229478301010e+00, 1.013624124956936212e+00, 1.205239164277434494e+00, 8.326660852390825873e-01, 1.222592212349962182e+00, 1.487565323165178199e+00, 1.809188256870011946e+00, 1.698244131993541517e+00, 1.525946237210797474e+00, 1.091899087395241441e+00, 1.549958298417613900e+00, 1.153086540959779915e+00
2.067000000000000000e+03, 1.550930389737164461e+00, 1.315872069652876508e+00, 1.196671974959763185e+00, 7.657639038665198239e-01, 1.677059216728989277e+00, 1.048009441287921506e+00, 1.205973462396328744e+00, 8.680881664002521036e-01, 1.257503993496002392e+00, 1.380885319780690068e+00, 1.800923102394787367e+00, 1.682046803102550836e+00, 1.533387619944867275e+00, 1.092458994337960565e+00, 1.656464233194889557e+00, 1.149790127834386722e+00
2.068000000000000000e+03, 1.601166911137942073e+00, 1.346202248933089596e+00, 1.231010653884774708e+00, 7.760555651504992269e-01, 1.605848343029153469e+00, 1.132556339374175991e+00, 1.227321231898947262e+00, 8.678190478594076662e-01, 1.161144771513429319e+00, 1.183922609185600550e+00, 1.788250583519028325e+00, 1.702899539336188095e+00, 1.524105807351407327e+00, 1.084643431234580291e+00, 1.573187382412975843e+00, 1.223198323909308272e+00
2.069000000000000000e+03, 1.558350403696140196e+00, 1.338419396946750828e+00, 1.327927900939795514e+00, 7.720625344542538793e-01, 1.592413745183814955e+00, 1.122098060558179178e+00, 1.193171274989213382e+00, 8.568260922175409133e-01, 1.155013014935876381e+00, 1.445989054472015312e+00, 1.901295749225280662e+00, 1.742668220156366354e+00, 1.469492958436660501e+00, 1.121643886659791978e+00, 1.432437708011911726e+00, 1.247392085823445074e+00
2.070000000000000000e+03, 1.539829619535562300e+00, 1.363493231770618097e+00, 1.318053247859046095e+00, 7.525710832441036002e-01, 1.679388805918292871e+00, 1.018095524381053663e+00, 1.266866851627996615e+00, 1.043674475735391516e+00, 1.273576049663075471e+00, 1.695342379118538467e+00, 2.046435643541869354e+00, 2.041465594977576625e+00, 1.521552119399298242e+00, 1.128521214195933542e+00, 1.619722687834261654e+00, 1.197832703616716232e+00
2.071000000000000000e+03, 1.560817392827952954e+00, 1.273066163525505390e+00, 1.242222950016234728e+00, 7.835437464241074013e-01, 1.697393124209460202e+00, 1.166265517421918751e+00, 1.285698611998262519e+00, 9.170740495137172932e-01, 1.301244606471857024e+00, 1.688957595729415617e+00, 1.931003887440919442e+00, 2.081683440417928299e+00, 1.440039957659616787e+00, 1.117123340973863455e+00, 1.737389042500329106e+00, 1.229418131583136731e+00
2.072000000000000000e+03, 1.588610663392067357e+00, 1.343770039785712855e+00, 1.248182782863811013e+00, 8.130578370654893972e-01, 1.582126066643677165e+00, 1.258387885277922225e+00, 1.233628578962891131e+00, 1.026370717540890931e+00, 1.379859995388320160e+00, 1.383240103558441847e+00, 1.860276883309660123e+00, 1.619944863774656518e+00, 1.436364481237649926e+00, 1.093405453948602890e+00, 1.538598480931925971e+00, 1.223356380168598490e+00
2.073000000000000000e+03, 1.526870824542850613e+00, 1.370226931926892711e+00, 1.317212052672093181e+00, 7.327328510620729762e-01, 1.612955906950867435e+00, 1.165657628739235285e+00, 1.274586812541818492e+00, 9.193937119093495980e-01, 1.406176848337552521e+00, 1.223747258175376107e+00, 2.054558888532996619e+00, 1.486502637119770931e+00, 1.568711629304553323e+00, 1.119219907729572361e+00, 1.496058138651019442e+00, 1.152440407370161513e+00
2.074000000000000000e+03, 1.522188356945366916e+00, 1.485698622442922057e+00, 1.372782871547412187e+00, 6.796386053786598325e-01, 1.601318168063227576e+00, 1.041476103775542450e+00, 1.255064137358489207e+00, 8.176704519061405163e-01, 1.310614246695442464e+00, 1.664853573966422307e+00, 1.922180828084479876e+00, 1.836996377319150664e+00, 1.599546398290446092e+00, 1.087892546001598237e+00, 1.505597546133365938e+00, 1.094244662059169260e+00
