year, ACCESS-ESM1-5, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, INM-CM4-8, CESM2-WACCM, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, INM-CM5-0, UKESM1-0-LL, MIROC-ES2L
2.053000000000000000e+03, 2.996848792535015349e+00, 2.721489608615299538e+00, 3.687635762398590256e+00, 2.587802317452049472e+00, 3.781488468676972747e+00, 2.464244201478145602e+00, 1.420180683645746678e+00, 2.501614924248074967e+00, 4.351954945977772660e+00, 2.470318613950672759e+00, 2.539932891759924871e+00, 3.088820522792115053e+00, 2.730391065877289858e+00, 3.194424135639537088e+00, 2.407373466854969557e+00, 3.395994645468364936e+00
2.054000000000000000e+03, 2.623468215981854534e+00, 2.007886818217147429e+00, 3.690018482471792094e+00, 2.184621525016395172e+00, 4.313131197256872440e+00, 2.099739987976281697e+00, 1.356346340225690783e+00, 2.624001125048509575e+00, 3.455776176203697148e+00, 2.061291274469321699e+00, 2.349927036552199588e+00, 2.461578798751994590e+00, 3.081259873868399612e+00, 3.205164508022943171e+00, 1.954652427164612849e+00, 3.147713577059750634e+00
2.055000000000000000e+03, 3.102533902379390973e+00, 2.310619597648770895e+00, 3.938095854448064870e+00, 2.135944052633485413e+00, 4.003346609745426221e+00, 3.841667348882604305e+00, 1.516336587546330383e+00, 2.811537831023976253e+00, 2.834569815831179174e+00, 2.739518833440018675e+00, 1.907878326794887336e+00, 3.574528933278023679e+00, 3.188926162773909390e+00, 3.653794060270280752e+00, 2.016728668610081598e+00, 3.060410478347369789e+00
2.056000000000000000e+03, 2.730513058716534935e+00, 2.423251890126014274e+00, 4.178122857864656758e+00, 2.004715759974546430e+00, 3.676008998498534019e+00, 3.979343168595260050e+00, 1.762033865846727609e+00, 3.211785722372395124e+00, 3.440144514178344437e+00, 2.359267034030960275e+00, 2.291063102572672872e+00, 3.102602768957414270e+00, 2.609116858024986829e+00, 3.098571422589981417e+00, 2.224437489359474274e+00, 3.154973196050161466e+00
2.057000000000000000e+03, 2.459976033937726125e+00, 2.264569995709149630e+00, 3.994502386493472113e+00, 2.297630520428166179e+00, 3.621981374922887298e+00, 2.214044897446421523e+00, 1.744676609299408820e+00, 3.097868558728224642e+00, 3.854522204554422515e+00, 1.850218502928782094e+00, 2.283589212128303458e+00, 2.472736045883885847e+00, 2.848268616016149668e+00, 4.108761605206447065e+00, 2.083500220356904187e+00, 3.378602930856150710e+00
2.058000000000000000e+03, 2.444858234158360677e+00, 2.468401110729927073e+00, 3.219018835180384563e+00, 1.997799150149722758e+00, 3.913406867847687209e+00, 3.739587750998204285e+00, 1.429621197954539014e+00, 3.002923504347974060e+00, 2.913647449286731028e+00, 2.205747466940466861e+00, 2.447483194670254658e+00, 2.959001155289262996e+00, 2.480471786803257750e+00, 3.245837223696821816e+00, 2.080327694213671030e+00, 3.735109398746058407e+00
2.059000000000000000e+03, 2.671644963073534385e+00, 2.075355044449430864e+00, 4.239276184936984215e+00, 2.268874182815003859e+00, 3.988922319683776863e+00, 3.820127141730964571e+00, 1.581271150470575870e+00, 3.231455547921955329e+00, 3.522432805801865907e+00, 1.621376767075546566e+00, 2.031612842653258255e+00, 3.114150232836822241e+00, 2.692605968815624529e+00, 3.285772410175792135e+00, 2.520677348800067108e+00, 3.434724618550501596e+00
2.060000000000000000e+03, 2.758036804992221924e+00, 2.141512142532348228e+00, 3.824663997478343624e+00, 2.658124233867206865e+00, 4.043061281398884432e+00, 2.454704990136972853e+00, 2.392309606974265979e+00, 2.730172538360962964e+00, 3.554023215256544965e+00, 2.609803940274955547e+00, 2.348885562626964241e+00, 3.147972652765958390e+00, 3.096114788439931154e+00, 3.720544245961715735e+00, 2.469490007801441234e+00, 3.535252727276277263e+00
2.061000000000000000e+03, 2.425822535940588498e+00, 2.265844591803585661e+00, 3.770270875946632572e+00, 2.513520687668130638e+00, 4.269930515953313410e+00, 4.265056329733472928e+00, 1.544727460734682589e+00, 2.900620656306122758e+00, 4.285329354626361109e+00, 2.593524211296484250e+00, 2.330052816379907021e+00, 2.940879450211139279e+00, 3.055177761367452671e+00, 3.615286936173591315e+00, 2.141148438507843199e+00, 3.231322772994911219e+00
2.062000000000000000e+03, 2.678375989965477988e+00, 2.350610553377805445e+00, 3.820744762616084866e+00, 2.332614141869451263e+00, 3.590437819976703082e+00, 2.818077339094799960e+00, 1.333019602488066502e+00, 2.993449076437384004e+00, 4.568040912302405054e+00, 2.065486185455710721e+00, 2.577368210041699914e+00, 2.820664216765311760e+00, 2.532874365876877754e+00, 3.122168190251564113e+00, 2.227404899095112079e+00, 3.482796162494804282e+00
2.063000000000000000e+03, 2.476382840916523165e+00, 2.831642808300575354e+00, 4.088536883799674726e+00, 2.478036816507908302e+00, 4.260017165521112759e+00, 2.873944717207157495e+00, 1.745923876127464691e+00, 3.179783596626351905e+00, 4.468095028077147646e+00, 2.532101577452273045e+00, 2.472436034639243996e+00, 2.220299852627051873e+00, 2.734416401497107074e+00, 3.217643945003065831e+00, 2.174173082103796784e+00, 3.249188029565799329e+00
2.064000000000000000e+03, 2.986830747507979389e+00, 2.225052105698180682e+00, 3.448101509173813639e+00, 2.419341753808041950e+00, 4.315402512779326294e+00, 2.398020260048429275e+00, 1.646862586257650474e+00, 2.599276210589849700e+00, 3.584038227183052427e+00, 2.587627365810330815e+00, 2.124187350637943172e+00, 3.265254535044772144e+00, 2.948851284076296153e+00, 3.703917638821381697e+00, 2.625400713515838369e+00, 3.240754577239835399e+00
2.065000000000000000e+03, 2.913094024328530818e+00, 2.170211309073972306e+00, 4.437066320690285615e+00, 2.344119052439501250e+00, 3.819013138919104655e+00, 3.360235879322521324e+00, 1.555963730536823020e+00, 2.713882883070043217e+00, 3.207080673646926616e+00, 1.804187600386784274e+00, 2.698057115278144735e+00, 3.384693857403848316e+00, 2.659139096749612463e+00, 3.436553093639121759e+00, 2.424554352018172487e+00, 3.637870548245594637e+00
2.066000000000000000e+03, 2.566934729960300920e+00, 2.325814304028785084e+00, 3.587673100124133097e+00, 2.291631556716734242e+00, 3.765123116627226096e+00, 2.956103040447334518e+00, 1.221245696215365717e+00, 2.719961588309689038e+00, 4.388673033742433560e+00, 2.875313252294527278e+00, 2.150987924614814695e+00, 2.715709024320009490e+00, 2.741809706255675216e+00, 3.564793627353830097e+00, 1.844139573282435052e+00, 3.591761768790699971e+00
2.067000000000000000e+03, 2.785921035448261307e+00, 2.174058971498758375e+00, 3.851683996275219179e+00, 2.278023562066838537e+00, 4.125062598401491698e+00, 2.550773141275891387e+00, 1.388511693241200939e+00, 3.299162220124109979e+00, 4.533864224846267277e+00, 3.019489133617517584e+00, 2.121890258051585487e+00, 2.531098204489935721e+00, 2.960865109089337643e+00, 3.791500949849000435e+00, 2.549372015581972128e+00, 3.477722339754459213e+00
2.068000000000000000e+03, 2.483727346044749762e+00, 2.263493173783644341e+00, 4.072742363907289942e+00, 2.319421093269163237e+00, 3.521593598115143831e+00, 2.295614655711681440e+00, 1.353321973858633509e+00, 2.576452805942790469e+00, 4.519260264646833392e+00, 2.686866127584938368e+00, 2.472623246179547429e+00, 3.256970133133901601e+00, 3.153323972552710686e+00, 3.071735901915148670e+00, 2.281531656094481164e+00, 3.555480371149756458e+00
2.069000000000000000e+03, 2.887758926832126871e+00, 2.586181409005683829e+00, 4.281656759088289910e+00, 2.884487452644582284e+00, 3.916117368003699362e+00, 3.584101469877417845e+00, 1.502527148644516197e+00, 2.680014625617461732e+00, 4.132545307185279349e+00, 2.489707906456255504e+00, 2.204715954090529451e+00, 3.067932633737483705e+00, 2.950131447633089543e+00, 3.175433214439682406e+00, 2.040837564563254602e+00, 3.450489367616646597e+00
2.070000000000000000e+03, 3.084641301515632428e+00, 2.521416695689350007e+00, 4.063428014374420805e+00, 2.716240913581593919e+00, 4.384087009859168660e+00, 2.826536495042144104e+00, 1.736188973180152306e+00, 3.128638716083513849e+00, 3.781336507898883426e+00, 2.824653442492880195e+00, 2.101139141946089861e+00, 3.063229575184689857e+00, 2.955866883843412118e+00, 3.363720050130141193e+00, 2.143295201114522097e+00, 3.943330274371126709e+00
2.071000000000000000e+03, 2.627139477703972492e+00, 2.551180650364281099e+00, 3.959754595800700105e+00, 1.996505037071925281e+00, 4.169347218450380588e+00, 3.149508218413508143e+00, 1.253561745412151707e+00, 2.900609375518238053e+00, 3.250728226281720978e+00, 3.078356452834392964e+00, 2.344044768737020945e+00, 2.613584882969698153e+00, 3.316682072992458430e+00, 2.920791115667614957e+00, 2.658524383583879214e+00, 3.418769351740200690e+00
2.072000000000000000e+03, 2.908031617009891434e+00, 2.606481247667012280e+00, 3.772761415232535942e+00, 2.924564573769095066e+00, 3.638578895025076587e+00, 3.608031211942567928e+00, 1.768296795123456722e+00, 2.701165168135373662e+00, 3.532594562470072752e+00, 2.333354868836885476e+00, 2.104295795043442663e+00, 3.148721638007570434e+00, 3.333807274513497454e+00, 3.350262710524525733e+00, 2.030088515778742941e+00, 3.222113608990686551e+00
2.073000000000000000e+03, 2.419517953035517088e+00, 2.011638095967650752e+00, 3.716307790170045422e+00, 2.561084841108580701e+00, 3.779231210874174796e+00, 3.440166599032166150e+00, 1.660693883884942768e+00, 2.612246455228492970e+00, 3.620331379763608748e+00, 2.211914829437556573e+00, 2.610657894700689763e+00, 3.058566866089216241e+00, 2.961694950700168416e+00, 3.737228384697959704e+00, 2.265444992816267877e+00, 3.686984609959987669e+00
2.074000000000000000e+03, 2.396923109906407667e+00, 2.189491745482261553e+00, 3.908213182967744892e+00, 2.459699211152955645e+00, 3.788033269298510142e+00, 2.494101052519946293e+00, 1.702718480075680496e+00, 2.959041966965038739e+00, 3.954793470066610528e+00, 2.319619990794818509e+00, 2.435803715533324088e+00, 3.278918964031781513e+00, 2.821091197228497549e+00, 3.828346739951410616e+00, 2.469528485703032405e+00, 3.703431462587886358e+00
2.075000000000000000e+03, 3.005614948382981488e+00, 2.436703657459379002e+00, 3.511388049733667582e+00, 2.273369371080541157e+00, 3.673248467459242494e+00, 3.555813022414711089e+00, 1.282213359854137869e+00, 3.060266540154310544e+00, 4.031428032531233718e+00, 3.133602194358404258e+00, 2.245854968265866614e+00, 2.983138033031835334e+00, 2.485395722648894079e+00, 3.348520928611745884e+00, 2.396508997936895202e+00, 3.628884228354421815e+00
2.076000000000000000e+03, 2.412428281424937371e+00, 2.434006622069089243e+00, 4.117255896080107114e+00, 2.578351627235024424e+00, 4.349190109763517498e+00, 2.011638567659420396e+00, 1.787727100869333841e+00, 3.271401505432919965e+00, 4.102514430390378664e+00, 2.169905264450313176e+00, 2.353653650858854807e+00, 3.103827648795027372e+00, 2.984214564088397470e+00, 2.962147942583654547e+00, 2.392654470259377941e+00, 3.138936133424886421e+00
2.077000000000000000e+03, 2.552530450477921153e+00, 2.215909385689140532e+00, 3.692251669556581906e+00, 2.496915299347073347e+00, 3.890045534366664448e+00, 4.446499973463400757e+00, 1.213552242863161323e+00, 3.155517903081535902e+00, 3.471580165617970781e+00, 2.256748431282350698e+00, 2.237411881142161718e+00, 3.046454996151544137e+00, 2.976886187016261953e+00, 3.522692126427123593e+00, 2.482237703667319551e+00, 3.278286046817525445e+00
