year, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1
2.054000000000000000e+03, 1.726688590118916814e-09, 2.560640704117519259e-10, 2.596485790498749105e-13, 1.946480502537276686e-09, 2.328505149699658124e-09, 2.509485831384814931e-09, 3.849672883264151128e-11, 3.041491041958951967e-09, 1.494201079883347795e-11
2.055000000000000000e+03, 1.784285669023532512e-09, 2.571480492054097194e-10, 2.398919558390160589e-13, 1.676130736486390360e-09, 2.364679136023265969e-09, 2.490037493943414000e-09, 3.715146028601026455e-11, 3.451271340028643598e-09, 1.369229416469653853e-11
2.056000000000000000e+03, 1.759337368037818519e-09, 2.582178255006534367e-10, 1.474659100590729524e-13, 1.667402084200882662e-09, 2.207866568983120786e-09, 2.432985019792881870e-09, 6.321710580303918336e-11, 2.895271765887700016e-09, 1.307718913996300120e-11
2.057000000000000000e+03, 1.746679769562421683e-09, 2.590884150602409305e-10, 1.022170639569272011e-13, 1.792349066923525580e-09, 2.236754607729835292e-09, 2.412301233813940311e-09, 4.716481092569655653e-11, 2.913295190443967002e-09, 1.253435290352397183e-11
2.058000000000000000e+03, 1.668628178114660599e-09, 2.595429831612390462e-10, 8.308542728067481580e-14, 1.845867588343061046e-09, 2.298223580941412367e-09, 2.414840513153263268e-09, 6.763971921855142964e-11, 2.885866598928197921e-09, 1.209016954399772192e-11
2.059000000000000000e+03, 1.817232213629194203e-09, 2.613152393851125266e-10, 8.524856537604055482e-14, 2.097834439714571312e-09, 2.260743550960046174e-09, 2.402401459825123872e-09, 5.008659804931211929e-11, 2.394573269444245286e-09, 1.168028567207924266e-11
2.060000000000000000e+03, 1.789604054907582495e-09, 2.640963312902701165e-10, 1.022945220520503350e-13, 1.862876706570459248e-09, 2.042437081259179462e-09, 2.386421088958136459e-09, 6.814274527527009297e-11, 2.984771043908910541e-09, 1.125804847033160629e-11
2.061000000000000000e+03, 1.804197077069484641e-09, 2.659537813751760660e-10, 2.215188357827635160e-13, 1.694303869108529364e-09, 2.009224898238872222e-09, 2.388543883083657381e-09, 5.091516597712643168e-11, 3.274667465065605352e-09, 1.134015531432345518e-11
2.062000000000000000e+03, 1.873637106577125698e-09, 2.673726911580877722e-10, 2.997905365613073076e-13, 1.720783309914776189e-09, 2.164334848057423827e-09, 2.395530456740805692e-09, 4.305400200938675437e-11, 3.077295053443957574e-09, 1.073963687534259765e-11
2.063000000000000000e+03, 1.856207541251514491e-09, 2.680829342115913213e-10, 2.703437153369230036e-13, 1.912136752088935215e-09, 2.412138597510304100e-09, 2.377264091320644657e-09, 4.040991540724353874e-11, 2.887765185971914268e-09, 1.012900126827673988e-11
2.064000000000000000e+03, 1.778185955588994277e-09, 2.680611477417931096e-10, 2.819335626964404795e-13, 2.095552549904282229e-09, 2.463935685979659140e-09, 2.332417259261923171e-09, 4.041013358335969693e-11, 2.893295342894732875e-09, 9.533413732204444652e-12
2.065000000000000000e+03, 1.853858455365743378e-09, 2.677831070304694001e-10, 3.085657859412703842e-13, 1.946415572985777387e-09, 2.405617699117207934e-09, 2.313297667799772803e-09, 4.004227268262584180e-11, 2.893568692749725914e-09, 8.966378995948135980e-12
2.066000000000000000e+03, 1.802997518639451047e-09, 2.675456170074837803e-10, 1.919397532512128192e-13, 1.819687883124714485e-09, 2.431311501208223032e-09, 2.324932101379248813e-09, 3.698366325496483276e-11, 2.770894575926118800e-09, 8.282729798263176051e-12
2.067000000000000000e+03, 1.795331841794235161e-09, 2.669639916962867881e-10, 1.308035409320989381e-13, 1.812943289490399379e-09, 2.289493869578141810e-09, 2.347708892734621644e-09, 3.514701429765432395e-11, 2.927210400314242596e-09, 7.633569218514435591e-12
2.068000000000000000e+03, 1.662090926631888880e-09, 2.658643809185530721e-10, 1.068809639130625281e-13, 1.865236898138337291e-09, 2.176102191901483498e-09, 2.333743874896455022e-09, 3.574834970292575708e-11, 3.212178567577906811e-09, 6.965442347661738525e-12
2.069000000000000000e+03, 1.746401469312893967e-09, 2.648006689462874383e-10, 8.830879640944523376e-14, 1.858663346583676141e-09, 2.247123550460312658e-09, 2.322700446930745088e-09, 3.446301108380525078e-11, 3.301628689177871040e-09, 6.365154066249335993e-12
2.070000000000000000e+03, 1.767381223374423760e-09, 2.640815180701122858e-10, 1.208480007883363611e-13, 1.830033550843975100e-09, 2.254294432600702338e-09, 2.326681020988219513e-09, 3.506330568017032704e-11, 2.845598288468876908e-09, 5.780755200660766811e-12
2.071000000000000000e+03, 1.747880163583339854e-09, 2.638108082059030834e-10, 1.487058918125385144e-13, 2.022046198560000656e-09, 2.120422228831060837e-09, 2.323327232664107574e-09, 3.637061558286541835e-11, 3.291945941406418488e-09, 5.703505328958835850e-12
2.072000000000000000e+03, 1.913193016971667271e-09, 2.637657749817247963e-10, 1.543156702855399831e-13, 1.964375299899335371e-09, 2.203988204124416214e-09, 2.340651571307898220e-09, 3.646775622929642532e-11, 3.731920041424110791e-09, 6.658473474362327342e-12
2.073000000000000000e+03, 1.788445648094807029e-09, 2.638823725038885700e-10, 1.393928250187279515e-13, 2.050941915375091566e-09, 2.127619772054828052e-09, 2.344662041905674863e-09, 3.598646124305664032e-11, 3.454588794096671899e-09, 7.917985573295708792e-12
2.074000000000000000e+03, 1.753236079393505331e-09, 2.641111206999353220e-10, 1.335627549209683586e-13, 1.771659963007926377e-09, 2.245492674904652020e-09, 2.331562820080439913e-09, 3.602996336962992369e-11, 2.888405312789924231e-09, 9.156453754514396727e-12
