year, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, CanESM5, CMCC-ESM2, UKESM1-0-LL, MIROC-ES2L, MPI-ESM1-2-LR
2.069000000000000000e+03, -1.639215933415782076e-10, 1.431640978042358952e-10, -5.956833067675245927e-10, -1.022488701792813942e-09, -1.165933423917983426e-09, -4.348408962732988924e-11, 7.666182037577430019e-10, 7.650961638798858354e-10
2.070000000000000000e+03, 1.122187029878162948e-09, 1.011914444003233428e-09, 1.887361820474909025e-09, -8.138381920771222305e-10, -2.265912532237377544e-09, -1.184588996600721779e-10, 6.623204700394976353e-10, 9.724934197354729687e-10
2.071000000000000000e+03, -1.818408840394398509e-10, 4.017493938482310027e-10, 7.511693144839012857e-10, 2.358226599328079725e-09, 5.167765811391851922e-10, 3.446089910417232021e-10, 1.665280988475594151e-09, -1.858980691995589925e-10
2.072000000000000000e+03, 6.473799374868844027e-10, 1.058638488775134804e-09, -8.393376191176882805e-10, -1.427611987721392624e-09, 1.866719626536426183e-09, 8.732947699491225669e-11, 6.259211418771810970e-10, 1.374494895821136058e-10
2.073000000000000000e+03, -1.124441973098827421e-09, 7.107384413571173331e-10, -8.087489379715036988e-10, 9.508330495646259479e-10, -1.505157198750592838e-09, 5.554375796016865005e-11, 8.463513230119452100e-10, -7.147978651524535792e-10
2.074000000000000000e+03, -7.485059451487488528e-10, 1.269630964369515127e-10, 3.231073612013010756e-10, -1.797024288406527382e-10, -3.606698408407627395e-09, -1.043487886905391045e-10, -7.255976364217510757e-10, 1.497431943721545160e-09
2.075000000000000000e+03, 8.526604166328792084e-11, -1.793503197573301177e-11, 4.879126519686740799e-10, 2.624888614568849222e-09, 8.788686734088303871e-10, 8.822935568676784661e-10, 4.522626682275559515e-10, 1.035563795020631683e-09
2.076000000000000000e+03, 2.353125250057966393e-10, 4.003548006723141499e-10, 8.684685768449957105e-10, -2.500986016176069467e-09, 1.089987511894108720e-09, 5.730242262993741370e-10, 6.086557397536893866e-10, 2.894790000596447979e-10
2.077000000000000000e+03, -1.030564010150929114e-09, -2.829653985106706002e-10, -7.936304010332271174e-11, 2.686497060453392078e-09, 6.165168290948191505e-10, 7.208483357144896351e-10, 2.760229172070928776e-10, 6.937252906589005914e-10
2.078000000000000000e+03, 7.333849420936780765e-10, 1.356148626307676897e-09, -3.719799054020717980e-10, -2.756884311274707725e-09, -3.323527375388087490e-09, 6.603658522282012171e-11, 5.043838986070349926e-11, -8.113744006871873432e-10
