year, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, ACCESS-ESM1-5, CNRM-ESM2-1, MIROC-ES2L
1.895000000000000000e+03, 2.993818959871999752e+00, 1.011236470784000030e+00, 1.479937720320000094e-01, 5.601797603327999475e+00, 5.495008788480000295e-01, 2.234083966975999758e+00, 4.233077456895999902e+00, 6.415340666879999487e-01, 7.612185182208000001e+00
1.896000000000000000e+03, 3.038090887167999909e+00, 1.033708306432000068e+00, 1.607539261439999978e-01, 5.630161584127999497e+00, 5.743090728959999725e-01, 2.270458281983999793e+00, 4.335156854783999592e+00, 6.505451356160000254e-01, 7.682572419071999725e+00
1.897000000000000000e+03, 3.088190799871999737e+00, 1.054083907584000057e+00, 1.784200069119999954e-01, 5.658338918400000139e+00, 6.002425855999999893e-01, 2.305827536895999952e+00, 4.433848565759999971e+00, 6.564463247359999531e-01, 7.748175003647999937e+00
1.898000000000000000e+03, 3.130138558464000020e+00, 1.072390406143999941e+00, 1.959187087360000079e-01, 5.697163493376000254e+00, 6.268861153279999820e-01, 2.340479565823999852e+00, 4.529689460735999873e+00, 6.603626905599999652e-01, 7.810095513599999428e+00
1.899000000000000000e+03, 3.168747651072000071e+00, 1.088840073215999960e+00, 2.114555740159999864e-01, 5.758335320063999951e+00, 6.537086894079999766e-01, 2.374726057984000160e+00, 4.624619143168000157e+00, 6.625308180479999587e-01, 7.877305040896000143e+00
1.900000000000000000e+03, 3.211143413759999898e+00, 1.106660687872000004e+00, 2.018680012799999868e-01, 5.833223569408000131e+00, 6.803258736639999915e-01, 2.410932600832000006e+00, 4.718616641536000245e+00, 6.608064348159999879e-01, 7.972254646271999867e+00
1.901000000000000000e+03, 3.268831608831999969e+00, 1.119493160960000067e+00, 1.807276441600000061e-01, 5.916741074943999479e+00, 6.929112760319999786e-01, 2.449637376000000089e+00, 4.818934956031999839e+00, 6.513906810880000231e-01, 8.062093492223999291e+00
1.902000000000000000e+03, 3.316384006143999752e+00, 1.123935846399999994e+00, 1.705854730239999839e-01, 5.975991386111999759e+00, 7.066124943360000410e-01, 2.487226728447999857e+00, 4.922933247999999651e+00, 6.427696168959999845e-01, 8.137555836927999664e+00
1.903000000000000000e+03, 3.368195719167999869e+00, 1.127543996415999894e+00, 1.670215598079999864e-01, 6.024785821695999743e+00, 7.211186913279999944e-01, 2.522856554495999770e+00, 5.026744369151999514e+00, 6.349986856960000425e-01, 8.210607505407999440e+00
1.904000000000000000e+03, 3.413571796992000085e+00, 1.135194669055999972e+00, 1.667177676799999897e-01, 6.091786682368000250e+00, 7.368958935039999769e-01, 2.558203002880000021e+00, 5.126320816127999613e+00, 6.272242155520000306e-01, 8.283346173951999347e+00
1.905000000000000000e+03, 3.455940820991999729e+00, 1.141527937023999906e+00, 1.682701516800000074e-01, 6.165695561727999596e+00, 7.537681367040000024e-01, 2.593725874176000090e+00, 5.224891678719999710e+00, 6.202196623360000105e-01, 8.359499005951999351e+00
1.906000000000000000e+03, 3.502533509120000055e+00, 1.149032988671999878e+00, 1.754144604160000065e-01, 6.251217944576000107e+00, 7.713348648960000054e-01, 2.628995776511999782e+00, 5.329269555199999786e+00, 6.139607777279999512e-01, 8.432578985983999686e+00
1.907000000000000000e+03, 3.555759751167999916e+00, 1.157600378880000003e+00, 1.855027937279999928e-01, 6.326547644416000260e+00, 7.894033367039999805e-01, 2.663822393343999728e+00, 5.429471477759999942e+00, 6.082946662399999482e-01, 8.505750192127999654e+00
1.908000000000000000e+03, 3.605986541567999915e+00, 1.166779088895999905e+00, 1.971397754879999908e-01, 6.395816050687999521e+00, 8.079970795519999527e-01, 2.698562502655999840e+00, 5.524014235647999982e+00, 6.038663987200000305e-01, 8.568688869376000383e+00
1.909000000000000000e+03, 3.644870098943999714e+00, 1.176949358591999895e+00, 2.109576970239999960e-01, 6.476833226751999462e+00, 8.260311449599999634e-01, 2.733235765248000160e+00, 5.617821417472000256e+00, 5.997471989760000399e-01, 8.640435585023999110e+00
1.910000000000000000e+03, 3.687575453695999705e+00, 1.192576024575999982e+00, 2.016872202239999856e-01, 6.521872187391999809e+00, 8.447430492159999638e-01, 2.765663240192000050e+00, 5.710980579327999962e+00, 5.966622228479999679e-01, 8.651444060159999339e+00
1.911000000000000000e+03, 3.732084621312000028e+00, 1.202716671999999987e+00, 1.800971714559999881e-01, 6.523631173632000291e+00, 8.379682652159999856e-01, 2.800115777535999939e+00, 5.746880151552000271e+00, 5.856768163840000430e-01, 8.690554372095999014e+00
1.912000000000000000e+03, 3.778663940096000040e+00, 1.214288625663999976e+00, 1.667053977599999848e-01, 6.560103268351999972e+00, 8.327462911999999884e-01, 2.836947009535999875e+00, 5.787023310848000257e+00, 5.764384686079999653e-01, 8.727859560447999598e+00
