year, MIROC-ES2L, GFDL-ESM4, INM-CM5-0, TaiESM1, NorESM2-LM, CESM2-WACCM, ACCESS-ESM1-5, CMCC-CM2-SR5, MPI-ESM1-2-LR, EC-Earth3-Veg, CanESM5, UKESM1-0-LL, IPSL-CM6A-LR, CNRM-ESM2-1, INM-CM4-8, NorESM2-MM
1.880000000000000000e+03, 5.710687099199999750e+01, 5.147974483199999440e+01, 6.615920883599999058e+01, 4.338487148399999427e+01, 3.656018543399999743e+01, 4.021799876999999412e+01, 4.212325803599999574e+01, 3.858048408599999846e+01, 6.170579740799999513e+01, 4.971241614599999536e+01, 6.256810596599999741e+01, 6.196196433599999409e+01, 3.962719940399999530e+01, 4.003368267599999797e+01, 6.519763283399998954e+01, 3.731588260199999496e+01
1.881000000000000000e+03, 5.865769715399999740e+01, 5.186380994999999672e+01, 6.558532064999999989e+01, 4.307748614999999859e+01, 3.629689925399999595e+01, 4.021063511399999868e+01, 4.283010199799999640e+01, 3.840762738599999437e+01, 6.376279213799999468e+01, 4.889283098399999972e+01, 6.294401508599999318e+01, 5.980681380599999386e+01, 3.976885123199999583e+01, 4.120714117799999343e+01, 6.481518393599999683e+01, 3.627958598999999396e+01
1.882000000000000000e+03, 5.803037515799999824e+01, 5.339665664999999706e+01, 6.567323513399999513e+01, 4.198417639199999485e+01, 3.749471931599999408e+01, 3.887364274199999414e+01, 4.239608385599999707e+01, 3.915201889799999435e+01, 6.297838932599999850e+01, 4.710560702399999400e+01, 6.379643316599999281e+01, 5.772480314399999202e+01, 4.020139900799999566e+01, 3.999569362199999745e+01, 6.576688128600000027e+01, 3.733556500799999611e+01
1.883000000000000000e+03, 5.780104536599999676e+01, 5.243558916599999264e+01, 6.661507748399999684e+01, 4.352833268999999916e+01, 3.761669267999999988e+01, 3.873429304199999734e+01, 4.228921229399999504e+01, 4.067076900599999334e+01, 6.097176941399999350e+01, 5.035244320799999684e+01, 6.116309438399999721e+01, 6.051621218399999691e+01, 4.017517682399999757e+01, 4.066834861799999601e+01, 6.650681439599999578e+01, 3.779422459199999906e+01
1.884000000000000000e+03, 5.776922554199999382e+01, 5.283686505599999350e+01, 6.791607939600000066e+01, 4.200841574999999750e+01, 3.718616714999999573e+01, 3.903923433599999981e+01, 4.420296656999999385e+01, 3.850754920199999987e+01, 5.998542976799999593e+01, 5.005096298999999505e+01, 6.214352891399999379e+01, 6.012811045799999476e+01, 3.973552950599999889e+01, 4.076529816599999378e+01, 6.769673074799999313e+01, 3.860333980199999360e+01
1.885000000000000000e+03, 5.749312786199999437e+01, 5.238501724799999693e+01, 6.558043651199999147e+01, 4.295043548999999672e+01, 3.741553636199999744e+01, 3.858870315599999401e+01, 4.388297077799999357e+01, 3.751774453799999520e+01, 6.319921228199999774e+01, 4.866605560799999353e+01, 6.269117126399999762e+01, 6.161698020599999381e+01, 3.918872680199999792e+01, 4.013306443799999812e+01, 6.453882214200000078e+01, 3.799787225399999357e+01
1.886000000000000000e+03, 5.757770347199999605e+01, 5.511169470599999443e+01, 6.507190668599999128e+01, 4.297197851999999330e+01, 3.715854161400000066e+01, 3.845682354599999542e+01, 4.236567920999999615e+01, 3.880532788200000027e+01, 6.204678434999999581e+01, 4.819845162599999355e+01, 6.384772252799999848e+01, 6.184397633399999705e+01, 4.008167258399999611e+01, 4.057531741799999736e+01, 6.572452055399999438e+01, 3.780465118200000063e+01
1.887000000000000000e+03, 5.809723936199999628e+01, 5.498654408999999532e+01, 6.656565268800000013e+01, 4.175287954199999518e+01, 3.757043330999999853e+01, 3.914717812199999969e+01, 4.167651905999999684e+01, 4.035754556999999920e+01, 6.110665676999999363e+01, 4.752021081599999519e+01, 6.312004115399999193e+01, 6.055376761799999485e+01, 4.087589491800000019e+01, 3.959705887199999808e+01, 6.641257694399999423e+01, 3.726048961799999404e+01
1.888000000000000000e+03, 5.719941338399999609e+01, 5.214915556199999713e+01, 6.644790514799998959e+01, 4.264104367799999551e+01, 3.751166597399999603e+01, 3.980773117799999739e+01, 4.145514028199999501e+01, 3.939692747399999462e+01, 6.125243587199999240e+01, 4.990773830399999866e+01, 6.144554656799999748e+01, 5.934828824999999597e+01, 4.033307363399999446e+01, 4.126432382999999504e+01, 6.572108707199998889e+01, 3.637155285000000049e+01
1.889000000000000000e+03, 5.783387039999999502e+01, 5.325902566199999910e+01, 6.660124106399999278e+01, 4.347533249999999327e+01, 3.738705935399999447e+01, 4.021817221799999942e+01, 4.058579525399999710e+01, 3.818052876599999479e+01, 5.931668129399999856e+01, 4.827082674599999734e+01, 6.377725139399999676e+01, 6.101525361599999542e+01, 4.070686195799999751e+01, 4.201389512999999454e+01, 6.523561006199999213e+01, 3.748363835399999999e+01
1.890000000000000000e+03, 5.753839384799999834e+01, 5.357113351199999585e+01, 6.636764602799999579e+01, 4.269601092599999959e+01, 3.729010980599999669e+01, 3.898292286599999557e+01, 4.045673023199999818e+01, 3.958898565599999841e+01, 5.785762883399999623e+01, 4.957804124999999829e+01, 6.310186853399999762e+01, 6.217432775999999706e+01, 4.048078825799999692e+01, 4.000623453000000040e+01, 6.645766553999999360e+01, 3.760726735799999432e+01
1.891000000000000000e+03, 5.719761188999999746e+01, 5.377223464199999370e+01, 6.605893618199999651e+01, 4.234147927199999373e+01, 3.708444778199999803e+01, 3.958682938199999768e+01, 4.261133676599999376e+01, 3.902680915199999845e+01, 6.102763543799999724e+01, 5.134106527199999448e+01, 6.347488422599999325e+01, 5.724402105599999402e+01, 3.906586648799999750e+01, 4.135123704599999428e+01, 6.574726195199998813e+01, 3.653814176999999574e+01
