year, TaiESM1, EC-Earth3-Veg, NorESM2-MM, GFDL-ESM4, IPSL-CM6A-LR, UKESM1-0-LL, CMCC-CM2-SR5, CNRM-ESM2-1, NorESM2-LM, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM
1.896000000000000000e+03, 5.024494334771200101e+02, 1.328753762369535934e+03, 1.429881183272960016e+03, 3.435120547594240179e+02, 5.321474210529279389e+02, 1.761898127163392019e+03, 2.884243948568575888e+03, 1.485539664461824032e+03, 2.428791389421568056e+03, 8.260303905095679511e+02, 1.183566419460096085e+03, 6.900802471854079840e+02, 1.415398956204031947e+03, 1.858774201532415873e+03
1.897000000000000000e+03, 5.026547866009599943e+02, 1.328243466567679889e+03, 1.429923461857280017e+03, 3.434506837032959652e+02, 5.322944565739519476e+02, 1.761189054906368028e+03, 2.883796466663423871e+03, 1.486055865843711899e+03, 2.428708174430208146e+03, 8.264148571914239483e+02, 1.183489110048767998e+03, 6.897807403253759730e+02, 1.415151458713600050e+03, 1.858696623685631948e+03
1.898000000000000000e+03, 5.033602014248959904e+02, 1.328027510243327924e+03, 1.429954197716991985e+03, 3.434875600240640097e+02, 5.324191783976959869e+02, 1.761373470064640060e+03, 2.883707882962944041e+03, 1.486476369985535939e+03, 2.428718374977535859e+03, 8.267912037007359913e+02, 1.183151686680575949e+03, 6.895284781056000156e+02, 1.415087436857344073e+03, 1.858739036487679869e+03
1.899000000000000000e+03, 5.035086462320639953e+02, 1.327644050194431884e+03, 1.430017011613696013e+03, 3.431503379824640092e+02, 5.325056146145279854e+02, 1.761779478691840040e+03, 2.883714056978431927e+03, 1.486784533889024033e+03, 2.428732333621248017e+03, 8.270490359562239746e+02, 1.183025253580799927e+03, 6.895711593431040001e+02, 1.415126628433919905e+03, 1.858661995511808072e+03
1.900000000000000000e+03, 5.032307148718080043e+02, 1.327108789895168002e+03, 1.430059692851199998e+03, 3.421197471580159686e+02, 5.324442435583999895e+02, 1.761766459572223994e+03, 2.883861696479231796e+03, 1.487310667382784004e+03, 2.428813937999871996e+03, 8.271752006205439329e+02, 1.182972908666879903e+03, 6.896916197539840141e+02, 1.415063948754944022e+03, 1.858630051692543930e+03
1.901000000000000000e+03, 5.033765759877119876e+02, 1.326735530393599902e+03, 1.430090026057727982e+03, 3.419461365268479653e+02, 5.324361904947199946e+02, 1.762116230971392042e+03, 2.884010678157311759e+03, 1.487642856259584050e+03, 2.428917017214976113e+03, 8.271736571166719614e+02, 1.183055586787327911e+03, 6.900590407843840239e+02, 1.414969056821247932e+03, 1.858676491026431904e+03
1.902000000000000000e+03, 5.032658463621119722e+02, 1.326496757055487933e+03, 1.430090697146368029e+03, 3.423765056716799791e+02, 5.325649052958719949e+02, 1.762749201776639893e+03, 2.883992692981759774e+03, 1.487871697485823915e+03, 2.428925338714112058e+03, 8.272643211919360056e+02, 1.182696822800383870e+03, 6.900452163584000118e+02, 1.414817122353151944e+03, 1.858673269800960043e+03
1.903000000000000000e+03, 5.032967835484159878e+02, 1.326276639981567996e+03, 1.430163040501759951e+03, 3.426119235665919973e+02, 5.326910699601919532e+02, 1.762216491614208053e+03, 2.883640237228031765e+03, 1.488520505982975919e+03, 2.429013653979136052e+03, 8.275514129121279439e+02, 1.182077407985663967e+03, 6.902784867696640276e+02, 1.414666530062336051e+03, 1.858798629158912036e+03
1.904000000000000000e+03, 5.036784987668480085e+02, 1.326294088286208080e+03, 1.430211224666112003e+03, 3.422639305523200051e+02, 5.326985861529599333e+02, 1.762401712078848050e+03, 2.883467364794367768e+03, 1.488837125603327877e+03, 2.429175788994559753e+03, 8.279300411228159646e+02, 1.181909367390207990e+03, 6.904803502325760292e+02, 1.414590294392831993e+03, 1.858909627219967888e+03
1.905000000000000000e+03, 5.036525611909119675e+02, 1.326411663015936028e+03, 1.430179817717759988e+03, 3.418121872343040195e+02, 5.326611729612800445e+02, 1.762569886892031946e+03, 2.883295297667071736e+03, 1.489128109637631951e+03, 2.429241824116736097e+03, 8.284152382095360281e+02, 1.182050967093247891e+03, 6.908093178839039865e+02, 1.414580496498688035e+03, 1.858888152383487977e+03
1.906000000000000000e+03, 5.034909294919680178e+02, 1.326333816733696040e+03, 1.430243973791743883e+03, 3.420294186270720047e+02, 5.326437582110719404e+02, 1.763354657947647866e+03, 2.883267380379647875e+03, 1.489799600930816041e+03, 2.429158340689919896e+03, 8.288666795376640266e+02, 1.182106667450367922e+03, 6.908994450882560159e+02, 1.414598615891967938e+03, 1.858905332252671997e+03
1.907000000000000000e+03, 5.037034632642560155e+02, 1.326212483907583874e+03, 1.430305311293439900e+03, 3.421348466524160017e+02, 5.327014718341119988e+02, 1.763217621647359920e+03, 2.883234899689472059e+03, 1.490288556113919867e+03, 2.428995400368127775e+03, 8.291708840181760252e+02, 1.182110425546751912e+03, 6.908442816020479995e+02, 1.414598213238783956e+03, 1.858908687695872004e+03
1.908000000000000000e+03, 5.038559346032640178e+02, 1.325878281764863914e+03, 1.430469862227967951e+03, 3.422478915338239744e+02, 5.327354960281600142e+02, 1.762585187713023970e+03, 2.883342005436416002e+03, 1.490783551094783888e+03, 2.428899837345792093e+03, 8.294550900572160117e+02, 1.181967617884160063e+03, 6.908435434045439933e+02, 1.414481846468607955e+03, 1.858898352930815918e+03
1.909000000000000000e+03, 5.038102670213119723e+02, 1.325422746796032015e+03, 1.430743934828544070e+03, 3.419341240401919890e+02, 5.327482467123199967e+02, 1.761765385830399964e+03, 2.883427636346879808e+03, 1.491106076295167895e+03, 2.428912990683135831e+03, 8.296515177021440195e+02, 1.182085192613888012e+03, 6.913861856788479372e+02, 1.414396483993599986e+03, 1.858885065375744034e+03
1.910000000000000000e+03, 5.040638043095040075e+02, 1.325187597336575891e+03, 1.430950361694207913e+03, 3.413506795765759989e+02, 5.327704261918719340e+02, 1.761227172741120057e+03, 2.883481591873535763e+03, 1.491624290942975904e+03, 2.428909232586751841e+03, 8.299128396185599286e+02, 1.182141966712832073e+03, 6.917132071731199403e+02, 1.414096104718335937e+03, 1.858893386874879980e+03
1.911000000000000000e+03, 5.043891145277439705e+02, 1.325028415111167988e+03, 1.431129273925631878e+03, 3.405528558469119957e+02, 5.328268311920639917e+02, 1.761305287458815883e+03, 2.883156516536319941e+03, 1.492210017107968042e+03, 2.428890173669376054e+03, 8.300918189588479663e+02, 1.181879436836863988e+03, 6.914650385940479964e+02, 1.413764989583359920e+03, 1.858903587422207920e+03
1.912000000000000000e+03, 5.040036412129280166e+02, 1.324892049899519861e+03, 1.431151688286207900e+03, 3.408658515886079954e+02, 5.328927992053760363e+02, 1.760947194560511889e+03, 2.882663132168192078e+03, 1.492650385473536062e+03, 2.428987347304448122e+03, 8.301157097144320005e+02, 1.181300824211456074e+03, 6.914777892782079789e+02, 1.413319252508671980e+03, 1.858983849623552032e+03
1.913000000000000000e+03, 5.038463715901439741e+02, 1.324580530552831988e+03, 1.431251680493568074e+03, 3.410748285911039943e+02, 5.329567539527679401e+02, 1.760752981508095900e+03, 2.882364095070207895e+03, 1.493257989128191866e+03, 2.429095258357760031e+03, 8.302367741050879886e+02, 1.180621279854591876e+03, 6.919963394703360109e+02, 1.413077929033727969e+03, 1.859078338904063912e+03
1.914000000000000000e+03, 5.041782584770559765e+02, 1.324463895347199923e+03, 1.431332211130368023e+03, 3.414618454097919766e+02, 5.330385596579840239e+02, 1.759969686847487992e+03, 2.882472811429887770e+03, 1.493863579516927985e+03, 2.429199142879232113e+03, 8.305502396088319301e+02, 1.180485719949311942e+03, 6.913222309314560334e+02, 1.413010954387455968e+03, 1.859105182449663971e+03
1.915000000000000000e+03, 5.044954485227519854e+02, 1.324289680736256059e+03, 1.431289261457407974e+03, 3.409278937333759814e+02, 5.331472089087999393e+02, 1.759511333306367987e+03, 2.882781243768832155e+03, 1.494462324801535942e+03, 2.429159145996287862e+03, 8.308026360463360334e+02, 1.180403981352960045e+03, 6.911910331023359504e+02, 1.412920357421055996e+03, 1.859156050968575983e+03
1.916000000000000000e+03, 5.044619947540479643e+02, 1.324249952288767872e+03, 1.431306843979775977e+03, 3.407150915256319763e+02, 5.330864082780159379e+02, 1.758426585628672001e+03, 2.882713866469375716e+03, 1.495137976844288005e+03, 2.429148945448960148e+03, 8.309116208414719722e+02, 1.179868721053695936e+03, 6.916581107957759968e+02, 1.412764933292032083e+03, 1.859110551158783892e+03
1.917000000000000000e+03, 5.040934664273920021e+02, 1.324109963198463902e+03, 1.431350733176831909e+03, 3.402594894479360050e+02, 5.330466127216640189e+02, 1.758759714029567931e+03, 2.882701250002944107e+03, 1.495719273824255879e+03, 2.429168809672703901e+03, 8.309993992355839509e+02, 1.179289168904191911e+03, 6.918946695413759471e+02, 1.412590584463360074e+03, 1.859108135239679996e+03
1.918000000000000000e+03, 5.038367414681599712e+02, 1.323906891776000066e+03, 1.431434082385919965e+03, 3.399751156367360068e+02, 5.331468062556159566e+02, 1.759120893935615868e+03, 2.882660984684544019e+03, 1.496164071374847936e+03, 2.429177399607296138e+03, 8.310661725552639609e+02, 1.178981273436159881e+03, 6.919949972930560307e+02, 1.412283628519423928e+03, 1.859067333050368006e+03
