year, EC-Earth3-Veg, ACCESS-ESM1-5, TaiESM1, CESM2-WACCM, MIROC-ES2L, NorESM2-LM, CNRM-ESM2-1, INM-CM4-8, CMCC-CM2-SR5, GFDL-ESM4, MPI-ESM1-2-LR, INM-CM5-0, IPSL-CM6A-LR, NorESM2-MM, UKESM1-0-LL, CanESM5
1.873000000000000000e+03, 1.368664607519999947e+02, 1.008316611359999939e+02, 1.229919058439999873e+02, 9.704913080399998648e+01, 1.064802869639999869e+02, 9.305939318399998683e+01, 8.682342512399999634e+01, 1.401098910479999802e+02, 9.229763321999999448e+01, 1.090283721119999853e+02, 1.155003398279999942e+02, 1.374401951999999767e+02, 9.600292400399999337e+01, 9.365277455999999745e+01, 1.185320926079999850e+02, 1.233389752919999864e+02
1.874000000000000000e+03, 1.367694875519999869e+02, 1.000363941719999872e+02, 1.226297227679999935e+02, 9.673689286799999820e+01, 1.073042043839999877e+02, 9.296083529999999939e+01, 8.982364190399999870e+01, 1.389652130879999845e+02, 9.319004683199999306e+01, 1.098132085439999912e+02, 1.161026301239999867e+02, 1.391906008799999768e+02, 9.611224354799999503e+01, 9.342227793599998620e+01, 1.216785339359999938e+02, 1.246147247519999866e+02
1.875000000000000000e+03, 1.349398319039999876e+02, 9.998696149199999184e+01, 1.223136137879999836e+02, 9.722287051199998587e+01, 1.088099458919999876e+02, 9.393405202799999643e+01, 8.598450445199999592e+01, 1.422278330399999788e+02, 9.283315391999998667e+01, 1.100062719359999903e+02, 1.189801009079999972e+02, 1.419338702160000025e+02, 9.997374790799999289e+01, 9.382294281599999408e+01, 1.181166688799999918e+02, 1.254469282559999925e+02
1.876000000000000000e+03, 1.337551662959999987e+02, 1.006404583679999973e+02, 1.214146328039999929e+02, 9.739757995199998675e+01, 1.069878983039999980e+02, 9.498996403199998895e+01, 8.659912532399999918e+01, 1.400901810479999767e+02, 9.254301483599999756e+01, 1.125799485479999902e+02, 1.180550159999999948e+02, 1.412133356880000008e+02, 9.821977865999998869e+01, 9.352382385599999282e+01, 1.196192567879999871e+02, 1.221703772759999964e+02
1.877000000000000000e+03, 1.351415203919999897e+02, 1.019438806679999914e+02, 1.246112479079999957e+02, 9.683154817199999798e+01, 1.067313135239999866e+02, 9.365483228399999405e+01, 8.833642779599999528e+01, 1.419239363760000003e+02, 9.350014031999999986e+01, 1.115562269159999857e+02, 1.179975574079999916e+02, 1.415885510159999967e+02, 9.716348822399999108e+01, 9.315933076799998958e+01, 1.170898251839999915e+02, 1.245677439959999901e+02
1.878000000000000000e+03, 1.352060745839999925e+02, 1.033240773599999898e+02, 1.238288082119999842e+02, 9.791238149999999507e+01, 1.078238151719999962e+02, 9.521150443199999813e+01, 8.943839812799998867e+01, 1.423517537519999792e+02, 9.306782117999999571e+01, 1.116248492519999900e+02, 1.168071758999999901e+02, 1.401590399039999966e+02, 9.935325345599999025e+01, 9.562230025199998806e+01, 1.149544595519999888e+02, 1.225977452639999967e+02
1.879000000000000000e+03, 1.352090862719999791e+02, 1.027050572159999859e+02, 1.235629597319999959e+02, 9.748746543599999370e+01, 1.082690167679999860e+02, 9.292602743999999859e+01, 8.983483718399999418e+01, 1.421305917839999893e+02, 9.166185169199999905e+01, 1.119507265079999883e+02, 1.145660385239999925e+02, 1.423921355999999889e+02, 9.895492223999998771e+01, 9.385379290799998842e+01, 1.214408471039999853e+02, 1.230942165119999885e+02
1.880000000000000000e+03, 1.346909655599999951e+02, 1.017360268919999982e+02, 1.244073676679999920e+02, 9.949705761599999221e+01, 1.071947035079999893e+02, 9.321265814399998817e+01, 8.764886415599998770e+01, 1.400210856719999981e+02, 9.171873475199998893e+01, 1.102384163159999986e+02, 1.189507724279999934e+02, 1.417562594639999816e+02, 9.726188842799999179e+01, 9.410922662399998728e+01, 1.241478736919999903e+02, 1.237370384519999931e+02
1.881000000000000000e+03, 1.356109652879999885e+02, 1.024496550359999958e+02, 1.246848923519999914e+02, 9.974066533199999185e+01, 1.095056458199999980e+02, 9.221969199599999456e+01, 8.940850988399999721e+01, 1.393573317119999899e+02, 9.101835961199999758e+01, 1.106202463199999926e+02, 1.228862050559999943e+02, 1.410180332399999941e+02, 9.710524123199999735e+01, 9.246676867199998640e+01, 1.182014061119999866e+02, 1.242458875799999873e+02
1.882000000000000000e+03, 1.329073840079999798e+02, 1.024140508919999917e+02, 1.224412320959999931e+02, 9.795538083599998913e+01, 1.089472063319999933e+02, 9.414575319599998693e+01, 8.739229514399998777e+01, 1.410122306159999823e+02, 9.158789977199998589e+01, 1.133539996679999859e+02, 1.218202015319999845e+02, 1.414129901039999879e+02, 9.779559580799998741e+01, 9.278820723599999098e+01, 1.141841612159999926e+02, 1.254520292039999845e+02
1.883000000000000000e+03, 1.361459262239999930e+02, 1.013490801719999865e+02, 1.236359024999999860e+02, 9.585330145199999663e+01, 1.084855981319999927e+02, 9.483710115599998858e+01, 8.812087135199999466e+01, 1.412396997839999813e+02, 9.435061105199999076e+01, 1.113817066919999945e+02, 1.183979778839999852e+02, 1.424313821519999976e+02, 9.762062619599998925e+01, 9.410147665199998812e+01, 1.201388439239999855e+02, 1.219768093079999858e+02
1.884000000000000000e+03, 1.316678772960000003e+02, 1.038724883999999946e+02, 1.213756858439999888e+02, 9.698108399999999563e+01, 1.075692881159999956e+02, 9.449260977599999478e+01, 8.811275871599998766e+01, 1.402293494159999909e+02, 9.235367269199998930e+01, 1.104756852959999947e+02, 1.153160276759999903e+02, 1.419665099759999976e+02, 9.666961081199998773e+01, 9.677938762799999495e+01, 1.178583259679999884e+02, 1.221386126399999910e+02
1.885000000000000000e+03, 1.321777828799999952e+02, 1.041784270199999867e+02, 1.222322351399999860e+02, 9.636725941199999568e+01, 1.072628528039999907e+02, 9.422266949999999497e+01, 8.753799934799999960e+01, 1.370093661359999828e+02, 9.002663913600000001e+01, 1.107303700319999962e+02, 1.213857773639999920e+02, 1.392193774799999915e+02, 9.569451769199999092e+01, 9.584032438799999909e+01, 1.212230910239999844e+02, 1.231363564919999902e+02
1.886000000000000000e+03, 1.308381414839999763e+02, 1.022911156799999901e+02, 1.229200510679999923e+02, 9.649408143599998766e+01, 1.075516043039999943e+02, 9.435379618799998980e+01, 8.903324725199999534e+01, 1.404092307599999856e+02, 9.129004225199999212e+01, 1.158497350559999859e+02, 1.201604539679999846e+02, 1.389287417039999752e+02, 9.787805456399999571e+01, 9.594973853999999847e+01, 1.218117498839999939e+02, 1.245621857759999926e+02
1.887000000000000000e+03, 1.322445209400000010e+02, 1.003626971639999965e+02, 1.212255823679999907e+02, 9.706452825599998846e+01, 1.088424673919999890e+02, 9.435660289199999795e+01, 8.588469301199999961e+01, 1.418684645519999776e+02, 9.390510197999999775e+01, 1.157888153879999891e+02, 1.186791134399999947e+02, 1.414486257840000007e+02, 9.870367492799999809e+01, 9.518532166799998606e+01, 1.195321622399999910e+02, 1.243128542759999959e+02
1.888000000000000000e+03, 1.341402208559999849e+02, 9.955309708799998702e+01, 1.221013607399999898e+02, 9.788593856399998572e+01, 1.077843794039999921e+02, 9.429450062399999410e+01, 8.901822034799999983e+01, 1.410504995519999909e+02, 9.465890698799999825e+01, 1.111671357479999926e+02, 1.190616372359999957e+02, 1.414582600319999983e+02, 9.813432398399999101e+01, 9.305878611599999317e+01, 1.177457345639999886e+02, 1.226276492759999854e+02
1.889000000000000000e+03, 1.318770792359999859e+02, 9.882827366399999391e+01, 1.236350589119999910e+02, 9.945498070799999368e+01, 1.079818578359999890e+02, 9.579956410799999844e+01, 9.134852576399998725e+01, 1.395747251279999830e+02, 9.275110513199999218e+01, 1.127925327239999973e+02, 1.157039835479999965e+02, 1.429671472559999756e+02, 9.868051961999999833e+01, 9.403178209199998605e+01, 1.207150697159999879e+02, 1.249352330039999970e+02
1.890000000000000000e+03, 1.352529370799999811e+02, 9.844857233999999835e+01, 1.237829706359999875e+02, 9.724408635599999684e+01, 1.074186091079999983e+02, 9.521522567999998898e+01, 8.834610934799999882e+01, 1.414447783919999893e+02, 9.337320003599998586e+01, 1.138217731559999919e+02, 1.130987315159999866e+02, 1.418407128719999832e+02, 9.846634287599999880e+01, 9.368297816399999078e+01, 1.231452417599999904e+02, 1.243130513759999900e+02
1.891000000000000000e+03, 1.359756475920000014e+02, 1.012703820839999906e+02, 1.236429034919999879e+02, 9.815807059199998719e+01, 1.070561185559999871e+02, 9.428529211199999338e+01, 8.982773369999999602e+01, 1.401618939119999823e+02, 9.276122818799998981e+01, 1.130818203359999927e+02, 1.176862576679999961e+02, 1.409194517039999823e+02, 9.590071582799998851e+01, 9.332029839599999832e+01, 1.144965331799999859e+02, 1.239896496959999865e+02
1.892000000000000000e+03, 1.319113036800000032e+02, 1.029994694279999976e+02, 1.232440361639999935e+02, 9.912823621199999025e+01, 1.088450769959999889e+02, 9.385404519599998707e+01, 8.967516253199998744e+01, 1.403797130639999864e+02, 9.212744131199998776e+01, 1.099199184839999930e+02, 1.192334768999999852e+02, 1.406614399199999923e+02, 9.849639668399998982e+01, 9.297619333199999403e+01, 1.206468652319999961e+02, 1.254914807399999859e+02
1.893000000000000000e+03, 1.336376789279999855e+02, 1.028997368279999876e+02, 1.207932159239999947e+02, 9.813858922799998652e+01, 1.073000179799999927e+02, 9.503858465999999794e+01, 8.898390129599999909e+01, 1.417119986879999942e+02, 9.036319921199999783e+01, 1.124489164679999931e+02, 1.189008745919999939e+02, 1.404729965519999837e+02, 9.928643655599999818e+01, 9.438214705199999344e+01, 1.210736419199999858e+02, 1.245699120959999959e+02
1.894000000000000000e+03, 1.351868376239999918e+02, 1.051840154519999970e+02, 1.220218032959999874e+02, 9.716940910799999642e+01, 1.071617562719999910e+02, 9.476814769199999944e+01, 8.911969531199999039e+01, 1.397607402239999885e+02, 9.112721399999999505e+01, 1.118657921759999851e+02, 1.211708043359999891e+02, 1.392217742160000000e+02, 9.887831341199999713e+01, 9.471329870399999606e+01, 1.212872352479999876e+02, 1.256073834239999911e+02
1.895000000000000000e+03, 1.367842306320000034e+02, 1.040425541639999949e+02, 1.241568535679999883e+02, 9.860903539199999557e+01, 1.077571874879999854e+02, 9.555735974399999577e+01, 9.070844745599998760e+01, 1.399137844319999999e+02, 9.364177637999999604e+01, 1.107389793599999877e+02, 1.228760425799999894e+02, 1.433458315439999922e+02, 9.718339532399998859e+01, 9.409761349199999358e+01, 1.202694187319999912e+02, 1.251342093959999886e+02
