year, MIROC-ES2L, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, CMCC-CM2-SR5, TaiESM1, INM-CM5-0, CESM2-WACCM, EC-Earth3-Veg, MPI-ESM1-2-LR, CanESM5, INM-CM4-8, UKESM1-0-LL, IPSL-CM6A-LR, GFDL-ESM4, NorESM2-LM
1.887000000000000000e+03, 2.630307815156249784e-01, 9.701935681640624920e-02, -3.268430152031249758e-01, -3.479697022499999570e-01, 1.547122529812499980e+00, -1.375894491750000004e+00, 2.933937716624999581e+00, -8.389878707812499226e-01, -3.070997360999999870e+00, -1.037597225624999897e+00, 5.961511853437500008e-01, 1.718180815499999792e+00, -8.826795200500487434e-04, 5.784218555624999203e-01, 1.635021738562499882e+00, -3.497267255624999516e-01
1.888000000000000000e+03, -1.262109770437499945e+00, 8.696498554687499549e-01, -1.339636345312499977e+00, -6.620770701562499472e-01, 9.307506090937499588e-01, -6.117361287187499386e-01, 2.495926574999999925e+00, 4.364810296874999801e-02, 7.882239034687499313e-01, -1.000930774218749875e+00, -1.800389624062499916e+00, 1.431601203515624754e-01, -1.526685969937499943e+00, -8.496584490234374010e-02, -2.449667944124999774e+00, -3.855215638124999677e-01
1.889000000000000000e+03, 3.341760591093749788e-01, 1.997792911687499950e+00, -8.536441035937499811e-01, -1.738229827499999880e+00, -1.497792464999999851e+00, 1.093693487062499914e+00, 1.283658220687499796e+00, -2.016438941249999728e-01, -2.154043567125000003e+00, -2.599788666374999835e+00, -1.121508008085937425e-01, 6.578436085312499015e-01, 6.201447765820312236e-02, 4.192368738749999713e-01, 3.824227745507811915e-02, -4.170293230781249583e-01
1.890000000000000000e+03, 4.376313853593749581e-01, -4.274124586874999410e-01, -1.128079676249999913e-01, -1.655836237687499768e+00, 2.147653338749999918e-01, -6.715434905859374304e-02, 1.811131820437499762e+00, -5.440278439687499246e-01, -1.358500539937499862e+00, -2.052459828562499755e+00, 2.677012199999999689e-02, 1.509275387812499813e+00, 1.255124792812500001e+00, -1.803659020312499972e-01, -3.125224683281249694e-01, -5.848298845312499550e-01
1.891000000000000000e+03, 1.665163163671875002e-01, 7.027800063749999326e-01, -7.210847449687499688e-01, 8.163901094062498975e-01, 1.183580572499999928e+00, -1.317962613374999981e+00, 1.376904506062499811e+00, -5.864148149062499149e-01, 2.692380826124999960e+00, 3.530797353281249773e-01, 5.985760080937500005e-01, 9.082953756562499592e-01, -2.268378566999999624e+00, -1.002607787249999882e+00, 3.943965764531249807e-01, -9.723590350312498742e-01
1.892000000000000000e+03, -1.631468148749999902e-01, 1.051285820624999978e+00, -9.605548392187499562e-01, 1.523181901499999880e+00, -3.834041862656249466e-01, -1.675743738046874820e-01, 3.958958915156249869e-01, -2.870749181249999948e-02, -1.588783064062499806e+00, 4.297974918749999929e-01, 6.546755955937499927e-01, 1.843061897249999914e+00, -1.780155338062499926e+00, -3.887267793749999562e-02, -2.108562742124999723e+00, -1.375374517312499822e+00
1.893000000000000000e+03, -1.614453368062499949e+00, 9.485874815624999179e-02, 4.055264746874999437e-02, 8.239660174687499783e-01, -1.539676830937499963e+00, -6.732010861874999641e-01, 4.669627600250243803e-04, -1.208117921062499933e+00, -3.754281959999999918e-01, -1.122967025437499933e+00, 5.800391842500000061e-01, 1.840554169312499821e+00, 1.957358216249999727e-01, 5.804356632187499532e-01, -1.069703953312499900e+00, 2.336895554589843438e-02
1.894000000000000000e+03, -1.659109729921874887e-01, -3.464475974999999819e-01, -8.409148312499999112e-02, 2.173799392874999903e+00, -6.812856970312499705e-01, 8.598893402812499698e-01, 1.999595052421874741e-01, -1.132938683999999974e+00, -2.178079172999999980e+00, 8.001868879687499270e-01, 4.463200461093749793e-01, 8.461909518749999304e-02, 1.863782897062499888e+00, -3.104162084531249532e-01, -9.257513523749999473e-01, -4.131481777031249525e-01
1.895000000000000000e+03, 5.905029152812499849e-01, 9.266075054999999283e-01, -7.267698480937498928e-01, 6.160199740312499728e-01, 1.206170819437499819e+00, -9.395077158984374566e-02, 2.116089005624999686e+00, 1.312435775390624892e-01, -1.013700390468749823e+00, 7.454704497187499834e-01, -8.592786382499999487e-01, 5.686719344999999759e-01, -6.278521949999998908e-02, -1.252595999812499805e+00, -9.131618978437499035e-01, -9.558376202812499667e-01
1.896000000000000000e+03, 3.789953903320312373e-02, 1.151883320062499827e+00, -5.172949245937499274e-01, 1.198977778124999949e+00, 1.475242746749999778e+00, 4.159223602031249523e-01, 1.982123708062499823e+00, -3.137487074999999875e-02, -7.419241649249999071e+00, -1.457536391437499912e+00, 9.536156873437499071e-01, 2.061130257562499679e+00, -6.327636806249999912e-01, 9.130260836249999290e-01, -2.217930575624999623e+00, 5.309828959570311868e-02
