year, GFDL-ESM4, MIROC-ES2L, CanESM5, CNRM-ESM2-1, INM-CM5-0, MPI-ESM1-2-LR, CESM2-WACCM, EC-Earth3-Veg, TaiESM1, NorESM2-LM, UKESM1-0-LL, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM, IPSL-CM6A-LR, ACCESS-ESM1-5
1.880000000000000000e+03, 4.028554836705279740e+02, 5.252412478586879843e+02, 5.080869807063039616e+02, 4.988908853002239994e+02, 5.778033596170239434e+02, 4.048525763543040057e+02, 5.276971638456319624e+02, 3.973840644341759685e+02, 5.596859460485119371e+02, 5.093896644198400168e+02, 5.843503661711359882e+02, 3.964047112273919993e+02, 5.775149257195520249e+02, 5.117137785978879947e+02, 3.621628831334400047e+02, 6.371865169756159730e+02
1.881000000000000000e+03, 4.024128000491519970e+02, 5.255915561287679338e+02, 5.078549518090239872e+02, 4.985356445286399776e+02, 5.778242304737279937e+02, 4.061962635837439848e+02, 5.277870897233920005e+02, 3.975572053032959730e+02, 5.601417158983680338e+02, 5.084266522214400084e+02, 5.843416420188159464e+02, 3.962132831928319661e+02, 5.770835499417599976e+02, 5.105226298163199772e+02, 3.615706474086400135e+02, 6.374093184040959841e+02
1.882000000000000000e+03, 4.028412565913599792e+02, 5.261293665648639717e+02, 5.088868177018879919e+02, 4.982160385638400157e+02, 5.775751894794240116e+02, 4.069348301864960149e+02, 5.270481540218879672e+02, 3.967432083374079639e+02, 5.586524695429119447e+02, 5.081296283893759664e+02, 5.837031011778559559e+02, 3.952255749324800149e+02, 5.768062561157120172e+02, 5.094232859607039927e+02, 3.617480161361920068e+02, 6.380934261637120244e+02
1.883000000000000000e+03, 4.022500946083840176e+02, 5.259607219896320203e+02, 5.078880700334079847e+02, 4.975017318154239661e+02, 5.776052542504959320e+02, 4.071560210022399815e+02, 5.252960758005759772e+02, 3.949103310438400172e+02, 5.586344172584960006e+02, 5.080643314647039688e+02, 5.835200953057279776e+02, 3.985918562140159906e+02, 5.774424481464319570e+02, 5.090267732377599827e+02, 3.619524968448000095e+02, 6.377489563647999375e+02
1.884000000000000000e+03, 4.011501132185599658e+02, 5.260007524270080239e+02, 5.067281604280319698e+02, 4.977286268846079906e+02, 5.791846613647360300e+02, 4.057347223715839846e+02, 5.249686516531199914e+02, 3.959020658360319658e+02, 5.585028167761919349e+02, 5.075339030036479926e+02, 5.838680547655679902e+02, 3.993600178257919993e+02, 5.790831927623679576e+02, 5.093005774028799806e+02, 3.616925171056639670e+02, 6.387509588131839564e+02
1.885000000000000000e+03, 4.011644409610240132e+02, 5.256018237849599473e+02, 5.066133707161599773e+02, 4.973252355031040111e+02, 5.790832598712320305e+02, 4.055385967165439638e+02, 5.239463823278080099e+02, 3.960294049054720062e+02, 5.573623351869439375e+02, 5.071040707297279937e+02, 5.840817964974079359e+02, 3.972024342937600068e+02, 5.785629648486400356e+02, 5.097273562234880160e+02, 3.613551272919040116e+02, 6.401472258375679303e+02
1.886000000000000000e+03, 4.020905097297920179e+02, 5.253285564907520211e+02, 5.070744086118399991e+02, 4.976817177886720174e+02, 5.789082399539199741e+02, 4.048729103400959843e+02, 5.232403970785279625e+02, 3.946944753827839918e+02, 5.588950680862719764e+02, 5.068264078049280101e+02, 5.845553837506560058e+02, 3.963416288952320201e+02, 5.784216335810559713e+02, 5.091901497671680090e+02, 3.617031874150400199e+02, 6.402954693181440007e+02
1.887000000000000000e+03, 4.027062000025599673e+02, 5.254802225233919444e+02, 5.081564719349759685e+02, 4.962204222750719964e+02, 5.791000370872319536e+02, 4.034167822090240065e+02, 5.221717555281919658e+02, 3.939255755735039770e+02, 5.574271959039999729e+02, 5.062996032225279919e+02, 5.849795788799999627e+02, 3.986819163095040039e+02, 5.784141844971519504e+02, 5.083838367662079918e+02, 3.615252482621439754e+02, 6.396645788876800225e+02
1.888000000000000000e+03, 4.018873711984639954e+02, 5.251181366476799894e+02, 5.071105802895360171e+02, 4.964438276833279815e+02, 5.796336867737600187e+02, 4.026668742082559902e+02, 5.224495862251519611e+02, 3.918359062118399834e+02, 5.561315586211840127e+02, 5.065848494489599716e+02, 5.847802655539200032e+02, 4.012028272312319928e+02, 5.789137428807680408e+02, 5.069310976327680009e+02, 3.621278523064319756e+02, 6.388359186350079426e+02
1.889000000000000000e+03, 4.012815123742719834e+02, 5.246549512683519652e+02, 5.061891420323839839e+02, 4.975878995968000140e+02, 5.799484944547839405e+02, 4.017410738749439929e+02, 5.225542760529920088e+02, 3.922372172185599766e+02, 5.574589383966720106e+02, 5.062680285020159658e+02, 5.848338855362559343e+02, 3.992054325575679741e+02, 5.782909726228480167e+02, 5.056515664773119738e+02, 3.619923595100160014e+02, 6.378833754193919958e+02
