year, CMCC-CM2-SR5, CanESM5, EC-Earth3-Veg, MIROC-ES2L, INM-CM4-8, NorESM2-LM, ACCESS-ESM1-5, IPSL-CM6A-LR, MPI-ESM1-2-LR, NorESM2-MM, TaiESM1, CNRM-ESM2-1, INM-CM5-0, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4
1.883000000000000000e+03, 2.869916687011718750e+02, 2.868885803222656250e+02, 2.868599548339843750e+02, 2.882224121093750000e+02, 2.865017089843750000e+02, 2.876617736816406250e+02, 2.877007751464843750e+02, 2.857120361328125000e+02, 2.866655273437500000e+02, 2.868623352050781250e+02, 2.870244445800781250e+02, 2.869700622558593750e+02, 2.863702697753906250e+02, 2.866208801269531250e+02, 2.870523986816406250e+02, 2.865373229980468750e+02
1.884000000000000000e+03, 2.867493591308593750e+02, 2.864897155761718750e+02, 2.864501953125000000e+02, 2.878784790039062500e+02, 2.861615295410156250e+02, 2.874302673339843750e+02, 2.874290771484375000e+02, 2.855637817382812500e+02, 2.863684082031250000e+02, 2.865702514648437500e+02, 2.868756713867187500e+02, 2.866566467285156250e+02, 2.860306091308593750e+02, 2.863202819824218750e+02, 2.868205261230468750e+02, 2.861829833984375000e+02
1.885000000000000000e+03, 2.870205383300781250e+02, 2.865763244628906250e+02, 2.865287170410156250e+02, 2.878248596191406250e+02, 2.862632141113281250e+02, 2.876109008789062500e+02, 2.873890686035156250e+02, 2.856398010253906250e+02, 2.864170227050781250e+02, 2.865381774902343750e+02, 2.868304748535156250e+02, 2.867275085449218750e+02, 2.860176086425781250e+02, 2.862775878906250000e+02, 2.869255676269531250e+02, 2.862354431152343750e+02
1.886000000000000000e+03, 2.870715026855468750e+02, 2.864715881347656250e+02, 2.865851745605468750e+02, 2.879419250488281250e+02, 2.864083557128906250e+02, 2.875769042968750000e+02, 2.875874938964843750e+02, 2.857788391113281250e+02, 2.865446472167968750e+02, 2.868119812011718750e+02, 2.867700195312500000e+02, 2.866789855957031250e+02, 2.861726684570312500e+02, 2.863526916503906250e+02, 2.869767456054687500e+02, 2.863288879394531250e+02
1.887000000000000000e+03, 2.869200744628906250e+02, 2.866183471679687500e+02, 2.866948852539062500e+02, 2.881361389160156250e+02, 2.864462585449218750e+02, 2.874228820800781250e+02, 2.875312500000000000e+02, 2.857190246582031250e+02, 2.865255432128906250e+02, 2.869001770019531250e+02, 2.869168701171875000e+02, 2.866866149902343750e+02, 2.860625305175781250e+02, 2.864511718750000000e+02, 2.869351501464843750e+02, 2.863904724121093750e+02
1.888000000000000000e+03, 2.869238281250000000e+02, 2.868373413085937500e+02, 2.866323547363281250e+02, 2.881999816894531250e+02, 2.864893798828125000e+02, 2.875258483886718750e+02, 2.876001892089843750e+02, 2.857221984863281250e+02, 2.866506042480468750e+02, 2.870277404785156250e+02, 2.871220397949218750e+02, 2.867040405273437500e+02, 2.861927185058593750e+02, 2.866111145019531250e+02, 2.868102416992187500e+02, 2.866194763183593750e+02
1.889000000000000000e+03, 2.869830932617187500e+02, 2.868232727050781250e+02, 2.867511901855468750e+02, 2.879970397949218750e+02, 2.864558715820312500e+02, 2.875931701660156250e+02, 2.876695251464843750e+02, 2.857126464843750000e+02, 2.868428039550781250e+02, 2.870429382324218750e+02, 2.868584899902343750e+02, 2.864693603515625000e+02, 2.863467712402343750e+02, 2.865634765625000000e+02, 2.868036193847656250e+02, 2.866849670410156250e+02
1.890000000000000000e+03, 2.869240417480468750e+02, 2.867442932128906250e+02, 2.869081420898437500e+02, 2.878861999511718750e+02, 2.865401306152343750e+02, 2.877208251953125000e+02, 2.877364807128906250e+02, 2.859320373535156250e+02, 2.868170166015625000e+02, 2.868609619140625000e+02, 2.869489440917968750e+02, 2.866934204101562500e+02, 2.862321166992187500e+02, 2.865217590332031250e+02, 2.868797607421875000e+02, 2.865950012207031250e+02
1.891000000000000000e+03, 2.869499816894531250e+02, 2.865593566894531250e+02, 2.867032775878906250e+02, 2.879123535156250000e+02, 2.864628601074218750e+02, 2.877483215332031250e+02, 2.875907287597656250e+02, 2.857909851074218750e+02, 2.865782165527343750e+02, 2.868328247070312500e+02, 2.870143127441406250e+02, 2.866815795898437500e+02, 2.862416076660156250e+02, 2.867314453125000000e+02, 2.868866271972656250e+02, 2.866134033203125000e+02
1.892000000000000000e+03, 2.870982055664062500e+02, 2.867587585449218750e+02, 2.867696228027343750e+02, 2.881591186523437500e+02, 2.863792419433593750e+02, 2.876820373535156250e+02, 2.875623474121093750e+02, 2.860026245117187500e+02, 2.865252075195312500e+02, 2.869632263183593750e+02, 2.868814086914062500e+02, 2.865240173339843750e+02, 2.863746032714843750e+02, 2.867167053222656250e+02, 2.868786010742187500e+02, 2.866112976074218750e+02
