year, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, CMCC-ESM2, IPSL-CM6A-LR, NorESM2-MM, TaiESM1, NorESM2-LM, CNRM-ESM2-1, MPI-ESM1-2-LR
2.063000000000000000e+03, 3.301151735807321448e-11, 1.036296516084277313e-13, 1.744084914244903761e-12, 2.458993388749707683e-12, 8.797106847072339688e-12, 3.627986615677808045e-10, 5.368518733450186635e-12, 3.108275041333140703e-10, 4.101970294124541350e-11, 4.614990258082884264e-12
2.064000000000000000e+03, 3.251486797518867716e-11, 8.392964932286523934e-14, 1.651251864684672574e-12, 2.596864694036683096e-12, 8.800958583871332414e-12, 3.485101868787387392e-10, 5.332031006226457892e-12, 3.592070306599482649e-10, 4.087263013909339560e-11, 4.622637096007171438e-12
2.065000000000000000e+03, 3.413001992894574883e-11, 8.911205853037596970e-14, 1.677793210543862547e-12, 3.032905976502218908e-12, 8.858878912057859937e-12, 3.606818483548510438e-10, 5.314109638071360523e-12, 3.820881576239963207e-10, 4.062367068233425940e-11, 4.702253867053679244e-12
2.066000000000000000e+03, 3.414172929661187888e-11, 9.971585779669655144e-14, 1.524473962389659974e-12, 2.607604691297422408e-12, 9.231270897165879109e-12, 3.907616452649025130e-10, 5.169442455851600492e-12, 4.140442065161404982e-10, 3.985462261305067688e-11, 4.686945535997225464e-12
2.067000000000000000e+03, 3.100014983328543647e-11, 1.086437930686705786e-13, 1.682377484282146965e-12, 2.600047241725595244e-12, 9.319948030678593044e-12, 3.963568032573235952e-10, 5.678299388647538009e-12, 3.954732597626131490e-10, 4.075983493284469419e-11, 4.578453995472073539e-12
2.068000000000000000e+03, 3.451076904565857672e-11, 1.054451875306400833e-13, 1.621808106574528289e-12, 3.007203426211495579e-12, 9.425879246531217486e-12, 4.214956457590223566e-10, 5.775243678722281291e-12, 3.938621605332162654e-10, 4.176436358281932138e-11, 4.549410290808876601e-12
2.069000000000000000e+03, 3.505318176163507169e-11, 1.249782782240297653e-13, 1.509206383101922813e-12, 2.955577195104681130e-12, 9.535780831253554959e-12, 3.717290126157433641e-10, 5.524763589944066304e-12, 4.175633417524628224e-10, 4.193817091456463446e-11, 4.626680687824809577e-12
2.070000000000000000e+03, 3.415025249810012774e-11, 1.097370690819268010e-13, 1.641570915487817937e-12, 2.699184370477836627e-12, 9.701392684100981638e-12, 3.742555398918627230e-10, 5.212224101441926989e-12, 4.082912739728111339e-10, 4.332214747255219656e-11, 4.836563088856568841e-12
2.071000000000000000e+03, 3.167914184294312319e-11, 9.761696563101933163e-14, 1.423305592381176435e-12, 2.650379978884526032e-12, 1.172182937232269382e-11, 4.258765864529682012e-10, 5.198835564210153055e-12, 3.995536860837238105e-10, 4.415554419511912940e-11, 4.983984847753451679e-12
2.072000000000000000e+03, 3.099665695602590774e-11, 1.217135492699338426e-13, 1.484995911873854060e-12, 2.713090495475652831e-12, 1.196693946351714497e-11, 4.265053350129087845e-10, 5.043527061949085129e-12, 3.586223209079469862e-10, 4.457016619279278818e-11, 4.794680210081210439e-12
