year, CanESM5, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, EC-Earth3-Veg, MIROC-ES2L, GFDL-ESM4, NorESM2-MM, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, ACCESS-ESM1-5
2.047000000000000000e+03, 6.167972600921336479e+00, 1.254647097788827992e+00, 2.521986613096138807e+00, 1.174676487784338752e+00, 1.608834650596198124e+00, 4.551571930317748205e+00, 1.201427981058468930e+00, 1.035275776910566270e+00, 1.090191392530494019e+00, 8.449942677222125553e+00, 2.146505305575211742e-01, 1.326600036062863808e+01, 1.794795797996924680e+00
2.048000000000000000e+03, 6.424129365236008304e+00, 1.237686692698376723e+00, 2.564654370247486437e+00, 1.085991726403559232e+00, 1.618699156719010768e+00, 4.633907295981289032e+00, 1.198206794843253320e+00, 1.050863318235272903e+00, 1.065367602014584802e+00, 8.492457773754145123e+00, 2.155188644399005093e-01, 1.338463651873871640e+01, 1.792354400670437942e+00
2.049000000000000000e+03, 6.398214202829975328e+00, 1.178536623856587306e+00, 2.593291419035065548e+00, 1.012286017346158529e+00, 1.840154709580672732e+00, 4.689466834426663233e+00, 1.212015814600303054e+00, 1.054703881084449346e+00, 1.031289161430205104e+00, 8.472939724942007089e+00, 2.504896775218934390e-01, 1.341311644103278944e+01, 1.808870141034276902e+00
2.050000000000000000e+03, 6.224731634747362463e+00, 1.214410983393901411e+00, 2.552983409244864887e+00, 1.073739459169087196e+00, 1.833064595199290325e+00, 4.699323624100403052e+00, 1.238397674072374999e+00, 1.059316778676686166e+00, 1.071609083599530665e+00, 8.512012997145403048e+00, 2.315446994761276300e-01, 1.348419203372885988e+01, 1.827948758597432555e+00
2.051000000000000000e+03, 6.172610808631779022e+00, 1.220410347674875773e+00, 2.544374672861901221e+00, 1.175381016242190269e+00, 1.755419672486959515e+00, 4.726734696688882131e+00, 1.208731475413109990e+00, 1.026625266540232229e+00, 1.106707114047164486e+00, 8.543055875502766128e+00, 2.050121020316218456e-01, 1.355170934197017196e+01, 1.831415185873646712e+00
2.052000000000000000e+03, 6.417741366211185294e+00, 1.122713263028537467e+00, 2.551846291830208724e+00, 1.129838437841964138e+00, 1.721824981840091473e+00, 4.770622368890359510e+00, 1.224950797824257753e+00, 1.085123091396282824e+00, 1.099395854851076271e+00, 8.528875150113135462e+00, 2.111664016963040180e-01, 1.357153699113923651e+01, 1.801747757616519063e+00
2.053000000000000000e+03, 6.518543302305749521e+00, 1.307948089970518923e+00, 2.584332794414635703e+00, 1.092705905287481238e+00, 1.589788632164794935e+00, 4.790117797047928505e+00, 1.183384013373049548e+00, 1.114885097004973291e+00, 1.044421586794139545e+00, 8.526163060013402628e+00, 2.008744659624458195e-01, 1.365626241805211372e+01, 1.804382852039385643e+00
2.054000000000000000e+03, 6.462066523949556718e+00, 1.345040660380291797e+00, 2.603816466352027348e+00, 1.009767253522462216e+00, 1.600436492641579278e+00, 4.800410292782796517e+00, 1.184711792461110580e+00, 1.184277978549945987e+00, 1.002901819217574486e+00, 8.521212893909861918e+00, 1.971144222925816647e-01, 1.371588955391295173e+01, 1.830674448843845115e+00
2.055000000000000000e+03, 6.490215561699805846e+00, 1.214113094419170036e+00, 2.606624172549419693e+00, 1.155823434971707586e+00, 1.808250508948823665e+00, 4.757517034585635685e+00, 1.236016244179520163e+00, 1.162628505513414234e+00, 1.009085240362160851e+00, 8.441860768455754283e+00, 2.357129528601055735e-01, 1.379216535737302429e+01, 1.846018757538518962e+00
2.056000000000000000e+03, 6.451027197102329858e+00, 1.144162842605178643e+00, 2.653811798009694911e+00, 1.201890155449536701e+00, 1.863419662687486156e+00, 4.717795524017276421e+00, 1.217827173030305188e+00, 1.169665742427116628e+00, 9.856883201097579317e-01, 8.459037311176155427e+00, 2.421785131509897326e-01, 1.389353568665391414e+01, 1.826899051097618409e+00
2.057000000000000000e+03, 6.329085665733148680e+00, 1.317750272287287361e+00, 2.689809550354510304e+00, 1.128869876119837912e+00, 1.589936900495119154e+00, 4.705196815851469871e+00, 1.197427571643955524e+00, 1.152536468115240798e+00, 1.091861099256939971e+00, 8.527546938851653380e+00, 2.234656078145390579e-01, 1.389478785939205885e+01, 1.838302320898633990e+00
2.058000000000000000e+03, 6.406490512986296793e+00, 1.261458070312374335e+00, 2.714288266854752329e+00, 1.203000553669052675e+00, 1.762431966249492721e+00, 4.713214145005364841e+00, 1.209152234749454990e+00, 1.230606373599584691e+00, 1.116437693913090223e+00, 8.523075833865235040e+00, 2.541981803388310146e-01, 1.392891748603178570e+01, 1.867764219558353034e+00
2.059000000000000000e+03, 6.398812942479899846e+00, 1.213794046722968423e+00, 2.716284653429457130e+00, 1.219182534392328821e+00, 2.084094636910128084e+00, 4.686645913201251901e+00, 1.234620977820225507e+00, 1.265465303441350997e+00, 1.144979292227386480e+00, 8.531892320469596669e+00, 2.193946621693725618e-01, 1.399126725959291662e+01, 1.871653129055246723e+00
2.060000000000000000e+03, 6.366313480075596942e+00, 1.316890168322793819e+00, 2.687750202665517563e+00, 1.134964511018422328e+00, 1.929114569842768745e+00, 4.706330102738976784e+00, 1.226071642854414279e+00, 1.152482000697287123e+00, 1.110371096581864281e+00, 8.513337272289851043e+00, 2.771353186047386674e-01, 1.404050663587278791e+01, 1.839794397408137661e+00
2.061000000000000000e+03, 6.461246250649572254e+00, 1.222712989371686154e+00, 2.691646421112710019e+00, 1.053086497688085821e+00, 1.907655695423036368e+00, 4.747476349507570248e+00, 1.252561055459451067e+00, 1.180312196849213624e+00, 1.064848792285193690e+00, 8.536156763324287411e+00, 2.643026838715405447e-01, 1.410883635020975291e+01, 1.823974945203604481e+00
2.062000000000000000e+03, 6.549587525956382272e+00, 1.146748907531135231e+00, 2.698216916478490379e+00, 1.068413508781753452e+00, 1.955728601956186585e+00, 4.766882467143555679e+00, 1.268640618743323900e+00, 1.205371886098520751e+00, 1.053566294484313159e+00, 8.572559504403033159e+00, 2.151705733260993736e-01, 1.415846564334458435e+01, 1.808354185545388404e+00
2.063000000000000000e+03, 6.415368626600395530e+00, 1.251694792979693549e+00, 2.691482174642581437e+00, 1.187336025103187254e+00, 2.075863463638861983e+00, 4.754579231988844690e+00, 1.316640464497454976e+00, 1.203793156007182397e+00, 1.118720824851476392e+00, 8.619133335623372361e+00, 1.947808197031565269e-01, 1.425323309954304207e+01, 1.793053677237645527e+00
2.064000000000000000e+03, 6.484432364160520379e+00, 1.323294066447983752e+00, 2.681691658630801722e+00, 1.232701446148622315e+00, 1.741845277898806943e+00, 4.784953620726391854e+00, 1.286058991674619456e+00, 1.139314032608874871e+00, 1.129302934823546600e+00, 8.605678548939314609e+00, 2.522900229920197468e-01, 1.434617020708393476e+01, 1.818809059184596011e+00
2.065000000000000000e+03, 6.605609919317595669e+00, 1.379228287115551677e+00, 2.702196939057184721e+00, 1.098661032071609922e+00, 1.637716583639779788e+00, 4.824175721881606371e+00, 1.261929749911644194e+00, 1.134338343719923481e+00, 1.090822549537239006e+00, 8.643443104206721017e+00, 2.932122454422474433e-01, 1.438766968401144908e+01, 1.830976112364043340e+00
2.066000000000000000e+03, 6.751382255795070897e+00, 1.205366032046542024e+00, 2.713312991737568236e+00, 1.060730666605383066e+00, 1.758412051396645470e+00, 4.860101356647593462e+00, 1.294597757562145457e+00, 1.104735798032059346e+00, 1.034216643554803472e+00, 8.691598371345389040e+00, 2.314811231488146936e-01, 1.445808903172002857e+01, 1.861399905818197364e+00
2.067000000000000000e+03, 6.653215313741250192e+00, 1.284488744717696695e+00, 2.707032702332378804e+00, 1.116301445503507850e+00, 2.115573353634953691e+00, 4.824307777626427374e+00, 1.317985825757545859e+00, 1.152378008400225085e+00, 1.102212841254201159e+00, 8.704384408206404800e+00, 1.951556762747901907e-01, 1.447523524422745567e+01, 1.883154584317369151e+00
2.068000000000000000e+03, 6.669022358166984077e+00, 1.347373588487702056e+00, 2.726314033788090896e+00, 1.055042970570232663e+00, 1.844886679259865270e+00, 4.823494720805431513e+00, 1.309073051167846558e+00, 1.196935980489898244e+00, 1.179832698846160932e+00, 8.664804869951350241e+00, 2.720582217691902560e-01, 1.458665841750112868e+01, 1.868180832437311922e+00
