year, UKESM1-0-LL, CanESM5, EC-Earth3-Veg, MIROC-ES2L, GFDL-ESM4, INM-CM4-8, IPSL-CM6A-LR, CNRM-ESM2-1, CMCC-CM2-SR5, INM-CM5-0, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, NorESM2-LM, CESM2-WACCM, MPI-ESM1-2-LR
2.059000000000000000e+03, -5.779643537090550787e-02, 9.611999371610909990e-03, -2.321028541584768332e-02, 2.647317596728571143e-01, 1.759021635397704786e-02, -2.073339721766130905e-01, -5.858818255842557915e-02, 1.330144058963863007e-01, -6.794588509408976129e-02, -5.998312704447883448e-02, -1.544206111373189194e-01, -1.582986672798064876e-01, 1.071269142190930668e-01, 1.926158548433774473e-02, 2.079419264108416099e-01, 1.145644894231188926e-02
2.060000000000000000e+03, -3.095786955732260023e-02, 1.089957453262373199e-01, 2.536743835975437400e-01, 1.092217691917026084e-01, 9.252435892402120776e-02, -2.870651505453548913e-02, 2.686784409795341978e-03, 2.249064544513988961e-01, 5.015162036648388409e-03, 4.056181035451416617e-01, 1.406417837767567625e-01, -6.058435712249619909e-02, -1.003136612181217691e-01, -8.524776320551077924e-02, -9.391256898517294505e-02, 7.245028419362810335e-02
2.061000000000000000e+03, 7.186397167009551945e-02, 1.926319056983352984e-01, 3.034362183492932963e-01, -7.538286090619039648e-02, 6.270025488495892425e-03, -1.751547267867513413e-01, 4.108132779877616408e-02, 2.215129336840127861e-01, 4.257983308324785748e-02, 8.291984757213904933e-02, 7.257579778778536217e-02, 1.130055526129311316e-01, -4.752310163122378667e-02, 9.924472264099419572e-02, -2.395333382471262918e-03, 1.690019265696083572e-01
2.062000000000000000e+03, 1.979864668134076466e-01, 4.638247524171900532e-02, -8.683616752614673473e-01, -7.138820787952989463e-04, 7.018070086861315227e-02, 1.357964238461758788e-01, 4.100868889007280860e-02, 3.796742972898382584e-01, 5.552948659703966366e-02, 1.400566338385517695e-01, 2.228647993725164228e-02, -1.440142056910373967e-02, 6.198155057451600058e-02, 2.013856456304666531e-01, 2.614528406418143991e-01, 1.238159262432697583e-01
2.063000000000000000e+03, 6.213604423108232827e-02, 7.041949246069618973e-02, -6.535423044690930050e-01, 1.628840308343246779e-01, -1.470515500039853152e-01, 1.060326948771467825e-01, 2.733157919398695665e-02, 2.329890999934288720e-01, -1.682756846461515299e-02, 4.968785100296609081e-02, -1.284972361792784123e-01, 1.101951205465737244e-01, 1.718873067959676981e-01, -2.364907156572058911e-02, 7.909329974460296842e-02, -1.123475093527317031e-01
2.064000000000000000e+03, 5.757189695718371858e-02, 9.311205473242753494e-02, 2.835318678596341346e-01, -6.051553920610108078e-02, 2.455439710008764688e-03, 3.616333972673758113e-01, 5.754146432730574551e-02, 1.875140327637121185e-01, -1.097080042458813270e-01, 1.109749568216473609e-01, 1.124209906795933800e-01, 6.007216201113925458e-02, -9.037148336636926724e-03, -9.121629251351385040e-03, 6.471660793709919923e-02, 1.251305074938467710e-01
2.065000000000000000e+03, 1.971604601186428274e-01, 2.502898585544797716e-01, 1.280508408480107718e+00, -2.455736108684649505e-02, 1.164262330930209283e-01, 2.742899636584112955e-01, 7.819467451601534724e-02, 2.289820255856283293e-01, 5.941079497532570503e-02, -8.652768447539552210e-02, 4.058933304935970210e-02, 7.177382565769453715e-02, -1.185891183588190234e-01, 2.384803074720068684e-03, -1.160737668065699030e-01, 1.970880837454701273e-01
2.066000000000000000e+03, 9.738870610039628353e-03, 2.826783291011738392e-02, -3.308763273028140772e-01, -3.036604806249739580e-02, -1.167707726850120836e-01, 1.460601907955802192e-01, -3.051570399488314281e-02, 2.507991368615064554e-01, 7.832452136778908502e-02, 2.227916943782944359e-01, 1.382012155004019305e-01, 1.371315551275757438e-01, 5.348389523803367962e-02, 1.887058849439915420e-01, 2.317847992053952144e-01, 5.500775916483153366e-02
2.067000000000000000e+03, 9.222909581646261679e-02, 1.454707325473263146e-01, 1.002294995141592704e-01, 3.146807550626413291e-02, -5.997543400886017062e-02, 5.982912887265010027e-02, 8.599252852728413166e-02, 3.263736395334917439e-01, 7.885029013088630523e-02, 5.922315922519148790e-02, 1.257205781147227031e-01, 4.318876319975068628e-02, 1.992294355572122588e-01, 1.009963568588140154e-01, 7.023064880444829239e-02, -2.546714959146021556e-03
2.068000000000000000e+03, 2.924096093739870714e-02, 9.787749897667201437e-02, 6.559478264286586757e-01, -1.313383552374637608e-01, -1.657790472531608383e-01, 2.172780258135815212e-01, -9.138619877378890630e-03, 1.117756563235297040e-01, 1.451494644336108197e-01, -8.507854088634257683e-02, 2.347373464601443804e-01, -3.905937712748571572e-02, -7.451782464180656262e-02, -1.200934381607903501e-01, -4.274320554758073015e-02, -7.607265059814925789e-02
2.069000000000000000e+03, 1.375170372487671822e-01, 1.577984385730527017e-01, -2.923843986119580296e-01, -5.470643408643041661e-02, 1.123445808577008820e-01, 1.177360822192972112e-01, 1.278301478189245444e-01, 2.004166216782896082e-01, 6.593155985437428035e-02, 1.413986857213200277e-01, -9.620995527731619756e-02, 6.616295238255361089e-02, -7.155639399725995109e-02, -3.282564637696352289e-02, 1.042943388861537063e-01, 3.681941048686296347e-02
2.070000000000000000e+03, -3.324310611644520908e-02, 2.750825037822967056e-01, -1.024949372770764144e+00, -7.330455213606747178e-02, -6.926641612357672950e-02, 5.080773643462618144e-02, 3.165806637197001393e-04, 2.912815433285800282e-01, 1.644590504527272401e-01, 1.003991265310449910e-01, 6.333192903131247553e-02, -2.890670196552806714e-02, 1.005894553198154184e-01, 1.958157786876227879e-01, 7.813340595818950296e-02, 1.530633181887297301e-01
2.071000000000000000e+03, -1.088428508879316775e-01, -1.008170927550675923e-02, -6.111589769718082099e-01, 1.647867824563292727e-01, 1.850514430157243484e-02, 1.126616660533201753e-01, 8.596811204886287139e-02, 3.199551185041080159e-01, 4.565629328192426228e-02, 2.987616027546507458e-01, -4.089346944132192518e-02, 6.043978890389483521e-02, 8.877549479776143670e-02, 4.739874148471078658e-02, 1.975750119350786760e-01, 1.224636212716038314e-01
2.072000000000000000e+03, 1.441746810308809634e-01, 1.970488155965139376e-01, 1.434679954873061547e+00, -1.241485211188054494e-01, 4.495275788282504514e-02, 2.624235944332179438e-01, 7.130784366556204568e-02, 1.796257138118608765e-01, -5.742283976728982525e-02, -3.934600246960621300e-02, 1.386069197186661495e-01, 1.174227107367197681e-01, -9.644265811626900886e-02, -8.728747472789124065e-03, 2.314114117281054483e-01, -8.706186543523931898e-02
2.073000000000000000e+03, 1.596697004369121431e-02, -2.851515498468883830e-02, 9.188410132026552102e-01, -1.945924244722267438e-01, 2.343944084601609912e-01, 1.824967197641528260e-01, -4.951629773843142096e-02, 2.166494608376325903e-01, -5.671413063627245982e-03, 9.009258487510760083e-02, 2.904978907920298115e-01, -3.159150753795304106e-02, 2.028407515088680516e-02, -9.364546635289849874e-02, -1.040354958300304666e-01, 6.410473481429897202e-02
2.074000000000000000e+03, -4.150663262383379876e-02, 1.104876886914352672e-02, -5.027021538050390204e-01, -1.709594420101110956e-01, 9.755248007613626093e-02, 2.689977202435628878e-01, 6.299098391805806052e-02, 2.997642999353856141e-01, 9.013732768972665399e-02, 2.048011582298499000e-01, 4.632084316430684634e-02, 7.000109166779102700e-04, -2.608456450566148943e-02, 2.626145572049829457e-01, 1.258577695575500144e-01, 4.445355568705063043e-02
2.075000000000000000e+03, 3.140798630137420916e-02, 4.648453546704860856e-02, -4.569408799457210790e-01, 3.433499417756901706e-01, -5.111388183196758674e-03, 2.661380714806675374e-01, 7.306379912378213604e-02, 2.125279123889231014e-01, 1.067640660513676648e-01, -7.850152450434288998e-02, 1.822847513529983754e-01, -1.191293647428975574e-02, 5.547053119220474171e-02, 2.117322768310605369e-02, 2.125825435999849078e-01, 1.845617769755271073e-02
2.076000000000000000e+03, 2.341264858456617859e-01, 1.585513178229106535e-01, 9.536217030327848176e-01, 4.238205265143803468e-01, -1.709211196048408543e-01, 4.833912465678760068e-02, 1.751680450501951480e-01, 1.382914870258937501e-01, -5.730845312642385281e-02, 1.142361744126132589e-01, 1.707135469581133949e-02, -9.547860314011966110e-02, 3.660550474018901129e-02, 3.046048762908914465e-01, -9.716749295715827739e-02, 7.771798124791133057e-03
2.077000000000000000e+03, -4.540288239454189079e-02, 1.808540031012643712e-01, -2.390661594873801782e-02, -7.893497482543754273e-02, 5.956170891574233406e-02, 2.572709831953980397e-01, -1.224474396558147132e-01, 2.007043230788471966e-01, 3.926151954602068173e-02, -1.215511893139551575e-01, -1.274556902745111187e-01, 3.627104204345307781e-02, 1.126458644765587908e-01, -3.935926147334185832e-02, -4.733028151040055698e-02, 9.354654895569665396e-02
2.078000000000000000e+03, -6.144642819202823097e-02, 6.940488292366842060e-02, -9.288609297305835399e-01, 5.387408851521223452e-02, 6.263240713308503016e-02, 1.571397091723662209e-01, 1.040938793978900684e-01, 2.233720288560699374e-01, 6.612974707415768261e-02, 2.022879208974540377e-01, -1.141591609619742459e-01, 4.026393099909406081e-02, -9.589200924972567097e-02, -9.915820599260459500e-02, 2.375669817876547574e-01, 5.453267566396988869e-02
2.079000000000000000e+03, 5.298139306146211480e-02, 1.200186635299814279e-02, 9.430129462081829339e-02, -5.566501445457194830e-02, -2.245483755791172209e-02, -5.075032058363138782e-02, 5.089241109292452075e-02, 1.391490852711750048e-01, -2.258327553456230603e-05, 1.111140117746249739e-01, 3.224468922617460681e-02, 8.564275182736381942e-02, 5.910601615885352489e-02, 6.081762329247763707e-03, -1.053463674103970182e-01, 9.046166098966754165e-02
2.080000000000000000e+03, -9.786648358441753931e-03, 2.895233980507979643e-01, 1.339348472982814675e+00, 1.742941673836280736e-01, 1.272449543205431410e-01, -5.625236292358277990e-02, 3.269253285906972145e-02, 2.361228304265690081e-01, 1.658204802863191551e-01, 2.200820110579444419e-02, 3.375999186965730203e-01, -6.705234202148861039e-03, -5.944797288513769011e-04, 2.687536320194974793e-01, -6.697171869080122131e-02, 8.470415906428471753e-02
2.081000000000000000e+03, 2.248934376724316120e-01, 1.403000913498265445e-01, -3.635257434186807135e-01, 1.893121441004135819e-01, 8.464902946095032021e-02, 2.969214169776668300e-01, -3.471066058998636267e-02, 3.185939667511335505e-01, 1.353553085682736856e-01, 2.657633624159850827e-01, -3.580459062268608050e-02, 3.744124885133378461e-02, 3.717829121780148738e-02, -1.570479356222849107e-02, 2.978971257989232457e-01, 1.012534333895909536e-02
2.082000000000000000e+03, 2.915375000724029081e-02, 1.507517778282619660e-02, -8.030521232763355721e-01, 3.552722042944771869e-02, 1.134208442960381313e-01, -8.592434003522907149e-03, 5.078214051610149826e-02, 2.135785667696788181e-01, -8.157585505851813745e-02, 2.249199925741756922e-01, 1.341854180389145945e-01, -7.194117420784852668e-02, 5.723936261788873520e-02, 6.218913959325970964e-02, 2.762737938963452655e-02, 1.410846919277482514e-01
2.083000000000000000e+03, 3.206129790063590168e-02, 3.043777688352348743e-01, -3.953012708252328644e-01, -1.094451854976249278e-01, -4.199208362659075100e-02, 7.258594902060909460e-02, -1.338589200448322795e-02, 2.888881162630387300e-01, -5.591723124830280493e-03, -4.983256926097411575e-03, 2.410878537846260772e-01, -9.536316035748275410e-02, 5.721467115265811004e-02, -1.200662690657755827e-01, 2.117290045022374168e-01, 8.667014278371814109e-03
