year, NorESM2-MM, IPSL-CM6A-LR, TaiESM1, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, NorESM2-LM, MPI-ESM1-2-LR, CESM2-WACCM
2.055000000000000000e+03, 9.241533905273550178e-13, 7.234620356899233997e-10, 2.791044620930936639e-12, 2.020529584827000875e-10, 1.225275319034924211e-09, 5.331034093251523004e-11, 1.124755976692686834e-12, 2.182633893056360656e-10, 2.848744919897612643e-10
2.056000000000000000e+03, 9.103238463737665169e-13, 6.839211431799628578e-10, 2.787530449221163606e-12, 1.924120046131126333e-10, 1.226583496193326605e-09, 7.674121444675968117e-11, 9.770342207780416217e-13, 2.451511086660109531e-10, 3.583901731366625988e-10
2.057000000000000000e+03, 9.070910157699839059e-13, 6.095609997109734992e-10, 2.790347051209450777e-12, 2.138274163573291849e-10, 1.393733677026203351e-09, 6.431852823918664830e-11, 9.813871329768264489e-13, 2.337113389867642223e-10, 2.837568956083536863e-10
2.058000000000000000e+03, 9.056815587586385901e-13, 6.307048395997908454e-10, 2.796783658302107079e-12, 2.704679971016258055e-10, 1.375156953969531084e-09, 8.645167641759619411e-11, 9.902068297820392274e-13, 2.102058062014932221e-10, 2.997343225818499668e-10
2.059000000000000000e+03, 9.105950527595641355e-13, 5.672865325203409124e-10, 2.789352208652343621e-12, 2.107519138398539583e-10, 1.439980854829137581e-09, 7.905370638365654763e-11, 9.986704767659319522e-13, 2.026358072375051645e-10, 3.328776693149814433e-10
2.060000000000000000e+03, 9.114761139209891054e-13, 5.998792837279827679e-10, 2.781409732972753477e-12, 1.996038219238542865e-10, 1.338910866592033278e-09, 9.070038914918400665e-11, 1.006462107958829876e-12, 2.163691728068701605e-10, 2.930693559420030768e-10
2.061000000000000000e+03, 9.128947452363693171e-13, 5.892410608052502873e-10, 2.760188625342753060e-12, 2.398107212978645523e-10, 1.335967604079495496e-09, 8.783671341026920172e-11, 1.017115640304855071e-12, 2.659385390225427183e-10, 2.754020217015767493e-10
2.062000000000000000e+03, 9.090987897513121292e-13, 6.372287922458609872e-10, 2.744889638540644730e-12, 2.828604812298358613e-10, 1.393746350983901710e-09, 8.462929190160199464e-11, 1.029654844603073960e-12, 2.856414607644457854e-10, 3.643665817095982471e-10
2.063000000000000000e+03, 8.994831217916305593e-13, 6.328789319155237344e-10, 2.735858837114460479e-12, 2.552368812230082467e-10, 1.202130205145820617e-09, 9.336137458193884725e-11, 1.042801605236097377e-12, 2.562494610738318016e-10, 3.587530948547713426e-10
2.064000000000000000e+03, 7.963232966601199121e-13, 5.873399721453307944e-10, 2.727202604249042446e-12, 2.463256368679432510e-10, 1.402548071736492987e-09, 7.725097699846190284e-11, 1.055914863860038480e-12, 2.545110225165427212e-10, 3.372526453469061528e-10
2.065000000000000000e+03, 6.516639467452803978e-13, 7.179576821572295226e-10, 2.725775562501311035e-12, 2.925557230013106825e-10, 1.388339781171212513e-09, 8.528799053560492667e-11, 1.069432453722441417e-12, 2.674200144858175597e-10, 3.020832579655366174e-10
2.066000000000000000e+03, 6.488157385905383994e-13, 6.322272272764480316e-10, 2.731792476681211708e-12, 2.244440733911443159e-10, 1.453439783850855331e-09, 7.946435846123567503e-11, 1.083078919136595711e-12, 2.635321690049080488e-10, 3.316242853687502923e-10
2.067000000000000000e+03, 6.439698707345344828e-13, 6.499413833063211209e-10, 2.743085174028665211e-12, 2.473934939207958785e-10, 1.490057872966558926e-09, 4.985579620802358035e-11, 1.092564365063494550e-12, 2.515723960968324545e-10, 3.304172462570011466e-10
2.068000000000000000e+03, 6.353240047092384342e-13, 6.287537701105275296e-10, 2.748975830126818058e-12, 2.397249865693596824e-10, 1.576965261283833076e-09, 9.329348901338161053e-11, 1.102842269586378222e-12, 2.380383953670424463e-10, 2.873369502381822341e-10
2.069000000000000000e+03, 6.386177469777678722e-13, 6.808163109289796984e-10, 2.746460008976952548e-12, 2.876335077965134162e-10, 1.433409085182876681e-09, 8.194439582632357672e-11, 1.114498211348232105e-12, 2.277193671049999219e-10, 3.895894445257491322e-10
2.070000000000000000e+03, 6.453920530795139654e-13, 6.181632048724555444e-10, 2.747368312464177658e-12, 2.236730893050529471e-10, 1.321702310929854456e-09, 7.665099479794854752e-11, 1.125812048527733416e-12, 2.472780294068832327e-10, 3.441146320004773347e-10
2.071000000000000000e+03, 6.460310621503109432e-13, 7.047845842320840595e-10, 2.756367635791281282e-12, 2.013831698125258356e-10, 1.381754489459653213e-09, 6.448371831191358271e-11, 1.130582724626953431e-12, 2.639031828216725488e-10, 3.885837421596741559e-10
2.072000000000000000e+03, 6.488042893525642550e-13, 7.143755896924383959e-10, 2.754826601512710930e-12, 2.632852037458153853e-10, 1.553545220528917981e-09, 9.628412672132906871e-11, 1.139027102602945523e-12, 2.299155525326237004e-10, 4.026075054060544005e-10
2.073000000000000000e+03, 6.486970282575013221e-13, 6.501845240325504601e-10, 2.783551369722383497e-12, 2.450633080659819242e-10, 1.728706916946968435e-09, 1.128919420504103709e-10, 1.144084003734846274e-12, 2.390983963520936784e-10, 3.253338383143782199e-10
2.074000000000000000e+03, 7.564472234669072558e-13, 7.346556168536895559e-10, 2.802504329822028273e-12, 2.151458808490393527e-10, 1.629230785110343050e-09, 1.129892051635788586e-10, 1.283657277719240999e-12, 2.613944184295139136e-10, 3.312003100152239898e-10
