year, EC-Earth3-Veg, NorESM2-LM, INM-CM5-0, ACCESS-ESM1-5, CNRM-ESM2-1, CanESM5, TaiESM1, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-MM, INM-CM4-8, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, GFDL-ESM4, UKESM1-0-LL
2.056000000000000000e+03, 2.724467435192658549e+00, 1.181936958690486650e+00, 1.780985686408395718e+00, 1.478625322987338953e+00, 1.309810494154271865e+00, 2.754739343509582383e+00, 6.052318892619310553e-01, 1.001767437237276015e+00, 1.812272160042506686e+00, 1.093058625531136308e+00, 1.789467831852074697e+00, 1.326082117377802572e+00, 8.678287725885008852e-01, 1.137966224074607791e+00, 7.322574821337785034e-01, 1.177750814550453606e+00
2.057000000000000000e+03, 3.127106815367267867e+00, 9.849083887542607885e-01, 2.071613132963102455e+00, 1.510099302907716767e+00, 1.476302028552806567e+00, 2.793746343886072125e+00, 6.511637909198546570e-01, 1.093239654682420126e+00, 1.378575903681732218e+00, 1.280154730500569604e+00, 1.945685279156515124e+00, 8.393971465999422454e-01, 8.633242987502129928e-01, 1.028364584159437101e+00, 7.306698547897644280e-01, 1.195388920488984263e+00
2.058000000000000000e+03, 2.710005519847864530e+00, 9.815604913876222470e-01, 1.856214124130944665e+00, 1.527904163411018423e+00, 1.534001027448282262e+00, 2.596305538184465966e+00, 6.468852865265978247e-01, 9.833903717005471057e-01, 1.510797405472695587e+00, 9.655422267994884233e-01, 1.641767394364470167e+00, 1.251573724905205243e+00, 7.659137500457848802e-01, 1.145790172965906795e+00, 7.952516124311511669e-01, 1.531138859585371659e+00
2.059000000000000000e+03, 2.973762703693976661e+00, 8.516495704333842953e-01, 1.879262103294426778e+00, 1.257754488873776388e+00, 1.441948889447788984e+00, 2.844596359389185203e+00, 6.929537329542265756e-01, 1.241886397027343492e+00, 1.572234480144601987e+00, 7.573780806246079855e-01, 1.481334947797767532e+00, 1.320563147980672092e+00, 7.207737822875180944e-01, 9.558294849235134949e-01, 7.728611385688053392e-01, 1.228461065827750165e+00
2.060000000000000000e+03, 3.021168044376237205e+00, 7.229042663344000808e-01, 2.297668821643740866e+00, 1.303924946188190548e+00, 1.481313913181938169e+00, 2.689040730526996104e+00, 5.454998531347732271e-01, 1.069646535192374515e+00, 1.825510937893575214e+00, 1.166478764765066289e+00, 1.606764865770735407e+00, 8.849479162598102855e-01, 8.480105263840852503e-01, 9.643679910369372665e-01, 8.516484569436395535e-01, 1.175329397934021358e+00
2.061000000000000000e+03, 2.607896342728080796e+00, 9.967007972070446309e-01, 1.985714189844127731e+00, 1.486223718014386019e+00, 1.483188227999304720e+00, 2.916341932755223798e+00, 5.689825821903480296e-01, 9.003480783544053345e-01, 1.980958203555521768e+00, 9.560875382428174474e-01, 1.522212544052961913e+00, 1.123451996450360646e+00, 8.567025218752442051e-01, 9.897415658231805136e-01, 7.869640077809059164e-01, 1.438333022397924044e+00
2.062000000000000000e+03, 2.162278090508383599e+00, 1.077885731023394245e+00, 2.018591192049170147e+00, 1.422551497837117651e+00, 1.720988226341972682e+00, 2.889606453642555639e+00, 6.573668097099995000e-01, 9.833324782268659803e-01, 1.935821287828237924e+00, 9.497869674659078498e-01, 1.768368150051331078e+00, 1.428765087907799103e+00, 8.630101508997161108e-01, 1.054274902012827475e+00, 8.557785166932468934e-01, 1.567017217153164887e+00
2.063000000000000000e+03, 2.220490458558720626e+00, 8.005127568856011955e-01, 1.952633443612703523e+00, 1.523906971294149537e+00, 1.711702467454296661e+00, 2.977123578571296392e+00, 7.570236694174297121e-01, 1.133210038642799455e+00, 1.322337330609097306e+00, 6.571433434110804939e-01, 1.753309660343774556e+00, 1.140514828587943175e+00, 7.646215018001539798e-01, 1.064882113076312642e+00, 6.336230420416905096e-01, 1.345592364480198366e+00
2.064000000000000000e+03, 2.869223431227161392e+00, 8.668772868970857637e-01, 1.979391813250496401e+00, 1.471553717105924974e+00, 1.582761070964940897e+00, 2.837982479073639652e+00, 6.107683662597640506e-01, 9.046408279613262771e-01, 1.879429106122138649e+00, 1.069847351613095965e+00, 1.949505359054775955e+00, 1.134648844544944080e+00, 6.679577148023444488e-01, 1.034250242777997597e+00, 7.741963373148743610e-01, 1.376321978328246098e+00
2.065000000000000000e+03, 2.745266484725139566e+00, 9.414396503152007156e-01, 1.767447909551985274e+00, 1.512730519550827823e+00, 1.547077142728781940e+00, 2.959839392690764459e+00, 5.456285898731217943e-01, 9.408850315626083871e-01, 1.750431617553334984e+00, 1.066118961417030331e+00, 1.892026635362037634e+00, 1.002466561832951797e+00, 8.185149242818900994e-01, 1.179820974215836760e+00, 8.983753540416287153e-01, 1.625075015948460599e+00
2.066000000000000000e+03, 2.504754946698484641e+00, 1.194353916360826773e+00, 2.124974901578022379e+00, 1.570804647054672820e+00, 1.606452215601798406e+00, 2.923811327048533304e+00, 6.560799021101685335e-01, 9.667350339302333007e-01, 1.705968369665693540e+00, 1.144206203166248104e+00, 1.796529185142808682e+00, 1.448399064276067350e+00, 8.346128729079433928e-01, 9.948749319332228502e-01, 6.547252426665906011e-01, 1.308817613298552951e+00
2.067000000000000000e+03, 3.235834276445463953e+00, 9.878011495359568794e-01, 2.009861750674525105e+00, 1.532009826844584532e+00, 1.843801882130875924e+00, 3.184655846552487457e+00, 7.894119536206002374e-01, 1.049786777037643004e+00, 1.522662176835609227e+00, 1.099947004133208006e+00, 1.735148255467783951e+00, 1.159352868886724952e+00, 8.876680984809709463e-01, 1.090749976815139410e+00, 6.792390122410569830e-01, 1.452801626950376734e+00
2.068000000000000000e+03, 3.463067972504111580e+00, 8.027720441057201173e-01, 1.834884939514626501e+00, 1.464428180732851859e+00, 1.499502649295658019e+00, 3.135846466746191830e+00, 5.733080947312130249e-01, 8.407486128925560909e-01, 1.604772693417845675e+00, 1.234261242375406464e+00, 1.886234883646075611e+00, 9.972633123056775517e-01, 9.854472329216505955e-01, 1.016803056357560742e+00, 5.762011115880161238e-01, 1.365942942608139310e+00
2.069000000000000000e+03, 2.439546302260955368e+00, 9.698929637680755445e-01, 2.075580540544101460e+00, 1.515017651831941592e+00, 1.618102571681634849e+00, 2.960447052910420318e+00, 6.155573925617054964e-01, 9.263946399374378693e-01, 1.674418817321899899e+00, 8.817876782619356035e-01, 1.787925863114840475e+00, 1.445002445800673607e+00, 9.338417927460553880e-01, 1.186926077530491952e+00, 8.499314273935700825e-01, 1.597668053199102101e+00
2.070000000000000000e+03, 2.095071832652979804e+00, 1.124834886799903844e+00, 2.017418118145986483e+00, 1.472924904233842813e+00, 1.619792814112942736e+00, 3.021710779792117219e+00, 7.107116808455637980e-01, 9.185432941546756158e-01, 1.808526229494642923e+00, 1.068566522034684052e+00, 1.764999164995887826e+00, 1.233208736430820185e+00, 1.046245074589519541e+00, 1.032712800863123448e+00, 6.685562083207224893e-01, 1.276399842972580911e+00
