year, CMCC-ESM2, CNRM-ESM2-1, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL
2.073000000000000000e+03, 1.222597939654967137e-12, 1.620567379157943235e-11, 2.825045751811438637e-12, 2.438957350599533069e-10, 3.378389651113652745e-10, 3.261834503696448042e-10, 6.623304601665629584e-10, 1.304430324768642785e-13
2.074000000000000000e+03, 1.228448672868808454e-12, 1.641207630005008438e-11, 2.828718505831598307e-12, 2.664102776421533238e-10, 3.296552422455444373e-10, 3.320611156343496565e-10, 7.469453886770247292e-10, 1.198640432863477911e-13
2.075000000000000000e+03, 1.257096959338354573e-12, 1.674695227100096902e-11, 2.836796441940519747e-12, 2.746638922867321904e-10, 3.360184971003798649e-10, 3.762831161149441721e-10, 7.208931259340988175e-10, 1.105255120746819514e-13
2.076000000000000000e+03, 1.292134368944551392e-12, 1.715710634509664185e-11, 2.488063408961323514e-12, 2.568601253354402142e-10, 3.549631971750047267e-10, 3.394313641428464630e-10, 8.145396993162630203e-10, 1.183702527086644065e-13
2.077000000000000000e+03, 1.339878441008184502e-12, 1.674254680860152338e-11, 2.336663018090908493e-12, 2.466681154303854497e-10, 3.630884983932889503e-10, 3.443761671751328715e-10, 6.170507396518645394e-10, 8.370449636959429427e-14
2.078000000000000000e+03, 1.394534836275011834e-12, 1.632343710776850722e-11, 2.260060249495133572e-12, 2.513115171144221357e-10, 3.642070006186964101e-10, 3.626441801494139024e-10, 6.686250198075085994e-10, 6.126237042609756179e-14
2.079000000000000000e+03, 1.432618956853453512e-12, 1.594282025751978248e-11, 2.213433705331155931e-12, 2.684959831594191248e-10, 3.631816296212808920e-10, 3.065342263805017605e-10, 7.424361207319062145e-10, 6.362565095829133025e-14
2.080000000000000000e+03, 1.465343268528021724e-12, 1.552931936509830794e-11, 2.179314063560104508e-12, 2.852793575180537371e-10, 3.684755013736087489e-10, 3.190626222727511838e-10, 6.881413586284820423e-10, 6.187956847941173626e-14
2.081000000000000000e+03, 1.497553720118583593e-12, 1.500983607521879406e-11, 1.965485336107312670e-12, 2.757012354235231014e-10, 3.770227238145083176e-10, 3.854395160385727963e-10, 6.867159140119674824e-10, 9.671630876590805600e-14
2.082000000000000000e+03, 1.530169057392934993e-12, 1.536409292331572364e-11, 1.855740718810047878e-12, 2.717579676603439405e-10, 3.818961457238911754e-10, 3.835170969136035784e-10, 7.277325957810613732e-10, 1.109072238031881267e-13
