year, CESM2-WACCM, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, TaiESM1, IPSL-CM6A-LR, INM-CM5-0, GFDL-ESM4, NorESM2-LM, NorESM2-MM, CNRM-ESM2-1, MIROC-ES2L, INM-CM4-8, MPI-ESM1-2-LR, CanESM5, EC-Earth3-Veg
2.056000000000000000e+03, 5.985308503204596065e-01, 5.704429695247252852e-01, 8.128424818840511712e-01, 9.361070715991531843e-01, 5.783592773710434232e-01, 9.921951260142112261e-01, 7.421425621814922158e-01, 9.957323052731084090e-01, 6.241469372078471967e-01, 6.781749144609293678e-01, 8.647123492044658244e-01, 9.053947889036519925e-01, 7.166106970964292167e-01, 6.874616283864826149e-01, 7.932803983836536066e-01, 7.742980975508506614e-01
2.057000000000000000e+03, 5.477109800049614341e-01, 6.141258218348748521e-01, 7.915154029125714974e-01, 1.078764921134609533e+00, 7.075256920934954730e-01, 9.538716327966814124e-01, 8.978152689534950603e-01, 7.871966773177471177e-01, 5.143914428468125966e-01, 7.161304440167870489e-01, 1.075520680009409258e+00, 9.393461096209086980e-01, 8.907701821948991183e-01, 4.846468402406293174e-01, 8.641057432873152644e-01, 7.006220508568552496e-01
2.058000000000000000e+03, 7.520718654684322990e-01, 7.770331056863172270e-01, 6.836673770673934447e-01, 1.049599714973031839e+00, 7.476725973042717133e-01, 8.846956130066473412e-01, 6.967238224300971172e-01, 8.711744623973637358e-01, 5.745319279823726255e-01, 6.001809156924416966e-01, 9.164604277265916421e-01, 9.385869943702613849e-01, 6.683593549500574937e-01, 5.822386135852901656e-01, 6.343398153675375850e-01, 6.262282707005029092e-01
2.059000000000000000e+03, 7.189909542308162704e-01, 5.246375168551414836e-01, 6.256622707522986326e-01, 8.043546223391900840e-01, 7.839392672506201309e-01, 9.778437914455293534e-01, 7.878221947628056832e-01, 8.272151145596791100e-01, 4.654838175289905955e-01, 4.286194149148339072e-01, 1.002493978427587473e+00, 1.139190283595276076e+00, 5.656930075601989127e-01, 5.529324170175633490e-01, 7.817042246494726454e-01, 9.404661524642918824e-01
2.060000000000000000e+03, 4.661824387396072966e-01, 4.945748183601371140e-01, 6.901252867492277954e-01, 8.738584321216820161e-01, 5.613064840181104520e-01, 8.582788129149023781e-01, 9.362735686939495094e-01, 8.755094605832867138e-01, 4.876967500791867249e-01, 5.799595294633035358e-01, 8.782775973089411714e-01, 8.258792042675759948e-01, 6.157694027970256334e-01, 7.279752533695851291e-01, 6.540385556328517369e-01, 7.468336732037273995e-01
2.061000000000000000e+03, 6.404318988101677101e-01, 8.126997554607957586e-01, 6.713306466843100839e-01, 1.029004970778319761e+00, 5.298280232761213293e-01, 8.793351921539711569e-01, 7.571999356055502117e-01, 7.842578617359178272e-01, 5.292307150918444947e-01, 5.019607804644116156e-01, 8.812971971759612222e-01, 8.170269032442444290e-01, 6.209424346985381593e-01, 7.122562866826177563e-01, 7.120797209528404448e-01, 6.006057949279088870e-01
2.062000000000000000e+03, 7.160550305610661193e-01, 6.908267075361901322e-01, 7.258198006922708112e-01, 9.138552739687175741e-01, 6.727198621516895516e-01, 8.682476298504268053e-01, 8.245154894835279302e-01, 8.426929129576796740e-01, 5.695479145990450798e-01, 5.612328346603813189e-01, 9.569994201675274814e-01, 9.497626736263412583e-01, 6.863920321798775426e-01, 7.005901307708205517e-01, 8.052363961048691898e-01, 5.338727823979373399e-01
2.063000000000000000e+03, 5.992914443764347787e-01, 5.364911464824487775e-01, 5.978108050185813038e-01, 9.047372638804757061e-01, 9.791845060721892091e-01, 9.687742998695382246e-01, 7.718959951286752386e-01, 6.941192422241690974e-01, 4.282516772178277531e-01, 3.388391719087551213e-01, 1.165632449431249773e+00, 9.932246496334682373e-01, 7.320281704161533121e-01, 5.247836606547762184e-01, 8.157321743777437018e-01, 5.743857495831319326e-01
2.064000000000000000e+03, 5.613592243625364908e-01, 7.389068299121562822e-01, 5.379326191054616402e-01, 8.891579669510158990e-01, 6.203964830925045026e-01, 8.670145365997595777e-01, 7.430280294008351216e-01, 8.743178679547423116e-01, 4.527620880303965811e-01, 5.811191281415908350e-01, 9.587342152900759640e-01, 7.602197893947331142e-01, 7.454620914941417764e-01, 7.057910434365070040e-01, 7.266554932472897299e-01, 7.384322377680937466e-01
2.065000000000000000e+03, 6.305829416585660985e-01, 7.256525629570496072e-01, 5.748393173598475014e-01, 9.025076671439234977e-01, 5.797249435232817438e-01, 1.003553518449351589e+00, 7.129928207593678735e-01, 7.452695718922665025e-01, 5.092447880110082536e-01, 6.158955560010686003e-01, 9.454574343886363863e-01, 8.325678122692182770e-01, 7.914708333631048642e-01, 5.701232518177423714e-01, 6.887374385442400770e-01, 6.247387737133611729e-01
2.066000000000000000e+03, 7.795766801655514833e-01, 5.109268510069457925e-01, 6.864543677559680201e-01, 1.107501151702814823e+00, 6.428566227967819069e-01, 9.557867190377192790e-01, 8.435596241430911579e-01, 7.005624740360512082e-01, 6.539837274586723925e-01, 5.752480554238292854e-01, 9.200386039679286920e-01, 9.700843419159840275e-01, 7.200967725053158963e-01, 6.483591428860699946e-01, 7.114409132492233168e-01, 6.701716528793720817e-01
2.067000000000000000e+03, 5.560415649569413477e-01, 6.435763274731559624e-01, 6.582041318894600312e-01, 9.625801886723168721e-01, 9.592477726098352919e-01, 8.353676669964547052e-01, 7.991668573226780037e-01, 6.379336992157123021e-01, 4.674646424904453368e-01, 4.910240025901925209e-01, 1.084908129803370480e+00, 9.333467139534389334e-01, 6.575093017583495403e-01, 4.917838372000104541e-01, 1.004891313178753354e+00, 8.530601143024715283e-01
2.068000000000000000e+03, 5.529366548511707169e-01, 6.452990590445419894e-01, 8.605586399638189832e-01, 9.637980707539750558e-01, 5.429949119553230119e-01, 9.301827262675169683e-01, 7.259064008098179421e-01, 6.844026821814969130e-01, 4.215273627586879623e-01, 5.886653599165589945e-01, 1.014743630359291826e+00, 7.757069046229960740e-01, 8.177004938823051461e-01, 5.884146297252965674e-01, 8.671810395339253352e-01, 7.503835362139468224e-01
2.069000000000000000e+03, 8.090314667671768545e-01, 7.022607200663375515e-01, 1.068331136085683752e+00, 8.562789026063898357e-01, 5.664739181022970804e-01, 9.136133029143567175e-01, 7.497429168282959688e-01, 8.494204396877447216e-01, 5.790997035374814139e-01, 4.838182610455693533e-01, 1.015123659162360248e+00, 8.197024434066711995e-01, 5.867201846962976086e-01, 5.617599841101712510e-01, 6.285031629442567880e-01, 6.136792475408208158e-01
2.070000000000000000e+03, 6.574114231463009661e-01, 4.872853171320732923e-01, 1.022327040414779509e+00, 9.678782875168088218e-01, 8.228089176787293235e-01, 9.758581300816729920e-01, 8.877268651434836455e-01, 6.791564521694475332e-01, 5.262276016055993377e-01, 5.000614715315363501e-01, 1.034273816253157285e+00, 8.968094712139501601e-01, 6.587268210686237913e-01, 6.531247280861298687e-01, 5.547506352798270424e-01, 4.692937905321264980e-01
2.071000000000000000e+03, 7.186907121242850360e-01, 4.991895840962761732e-01, 7.269395770783106947e-01, 1.094374834786339346e+00, 7.851381513985571381e-01, 9.496064141772191380e-01, 8.463371015381692120e-01, 6.914248275597690840e-01, 4.669363284182955209e-01, 5.839681463483125112e-01, 8.306508836693226039e-01, 1.002853968086636849e+00, 7.535790470402664587e-01, 5.408405062302856781e-01, 5.999865432005330179e-01, 6.393904812730888398e-01
2.072000000000000000e+03, 5.856501943750435091e-01, 6.947037005340253035e-01, 7.613189669220264966e-01, 9.280235691662583886e-01, 6.013307444961699666e-01, 1.019033515890991115e+00, 7.123411948251239245e-01, 8.515406754446176452e-01, 5.409666682951896899e-01, 7.232126910666366593e-01, 9.277198244589481835e-01, 7.027816918992337847e-01, 8.330512346389863376e-01, 4.043276068715475069e-01, 5.771395442747733195e-01, 9.082814624920992896e-01
2.073000000000000000e+03, 6.443276919699549854e-01, 5.953869037266542596e-01, 7.052853644667809174e-01, 9.627590916628445683e-01, 6.463952307616843695e-01, 1.030989985024895361e+00, 8.850308657417178537e-01, 9.588559569376702285e-01, 5.206988021694270996e-01, 5.451472291446333163e-01, 1.052598790879354151e+00, 7.374741815768630637e-01, 7.201888259692399430e-01, 6.670392805634886013e-01, 6.964172741973222447e-01, 7.096046188695749324e-01
2.074000000000000000e+03, 7.189422886303415972e-01, 5.237930709900679993e-01, 6.665305938536688624e-01, 8.992774205633342621e-01, 5.403955564976978820e-01, 1.037571414398505532e+00, 8.066970994388528160e-01, 8.297413069267576269e-01, 5.090828490011570784e-01, 6.210237330548075141e-01, 1.015159716470954487e+00, 9.092702151068242644e-01, 7.812472530297496220e-01, 6.812816486376124248e-01, 6.857750535222116861e-01, 5.895375240214671964e-01
