year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, TaiESM1, GFDL-ESM4, NorESM2-LM, CESM2-WACCM
2.048000000000000000e+03, 1.123645250644696249e-10, 1.966685488274863783e-10, 1.195719725569281515e-10, 3.753236124422335485e-10, 1.966685488274863783e-10, 6.297519380904049383e-10, 1.870206673645924385e-11, 1.195719725569281515e-10, 1.870206673645924385e-11, 1.095061665054568835e-10, 1.134728729123848044e-10, 1.501250241299561742e-10
2.049000000000000000e+03, 1.363735841711144243e-10, 2.559256389570456335e-10, 1.449870389455214308e-10, 3.005200826578357469e-10, 2.559256389570456335e-10, 4.691008906545430533e-10, 3.130237016060800098e-11, 1.449870389455214308e-10, 3.130237016060800098e-11, 1.334633302111094107e-10, 9.635398760353506954e-11, 1.722770047769498899e-10
2.050000000000000000e+03, 1.066500748103079557e-10, 2.435983725376749281e-10, 1.807688480614386530e-10, 2.237930146830995584e-10, 2.435983725376749281e-10, 4.754729992975854566e-10, 3.401814855855295865e-11, 1.807688480614386530e-10, 3.401814855855295865e-11, 1.036067528051400141e-10, 1.103720271370116405e-10, 1.779769952960684844e-10
2.051000000000000000e+03, 9.750530452152452708e-11, 2.122504797080035730e-10, 1.512438055073594539e-10, 2.765959603755029308e-10, 2.122504797080035730e-10, 5.537090026059831325e-10, 3.014737017295604187e-11, 1.512438055073594539e-10, 3.014737017295604187e-11, 9.476325933500063083e-11, 1.302008955848871648e-10, 1.811888201257435383e-10
2.052000000000000000e+03, 1.226445004009446945e-10, 1.956253882214802465e-10, 1.744783679438705120e-10, 1.632403632693371220e-10, 1.956253882214802465e-10, 6.556888799192899319e-10, 2.494701035802551607e-11, 1.744783679438705120e-10, 2.494701035802551607e-11, 1.197549774628332961e-10, 1.190584786086896303e-10, 1.411407626359921382e-10
2.053000000000000000e+03, 6.612004160537707299e-11, 2.481746113247457191e-10, 1.728100087575856945e-10, 1.411082638727499700e-10, 2.481746113247457191e-10, 6.810232708841475898e-10, 2.446290085116719505e-11, 1.728100087575856945e-10, 2.446290085116719505e-11, 6.326597652946678965e-11, 1.099600330447144634e-10, 1.980173987433795542e-10
2.054000000000000000e+03, 9.069807009996231314e-11, 1.686134159226881141e-10, 1.847036092343747525e-10, 5.619525534034660574e-10, 1.686134159226881141e-10, 5.931692526227402227e-10, 2.217919157013770052e-11, 1.847036092343747525e-10, 2.217919157013770052e-11, 8.794251036266960763e-11, 1.135679636757035850e-10, 2.373323347551372777e-10
2.055000000000000000e+03, 1.050167581502045792e-10, 3.927495011801597859e-10, 1.696919189094072960e-10, 5.468529791262704885e-10, 3.927495011801597859e-10, 5.459395864830955377e-10, 3.223885732570074667e-11, 1.696919189094072960e-10, 3.223885732570074667e-11, 1.021127565072239185e-10, 1.383922196156941252e-10, 1.832649770912279334e-10
2.056000000000000000e+03, 7.060668365387109449e-11, 2.326253851808680240e-10, 1.440617888547620093e-10, 1.383795975528816129e-10, 2.326253851808680240e-10, 5.059187868645890866e-10, 3.115307672853285780e-11, 1.440617888547620093e-10, 3.115307672853285780e-11, 6.784912501198510637e-11, 1.104426343295614519e-10, 1.749539615338838026e-10
2.057000000000000000e+03, 8.303019863273258511e-11, 2.444107124627365540e-10, 1.401401746123729264e-10, 1.942312455809649515e-10, 2.444107124627365540e-10, 6.546733479600128678e-10, 2.760926395356408426e-11, 1.401401746123729264e-10, 2.760926395356408426e-11, 8.026555236310881985e-11, 1.382995142885032985e-10, 2.248643253864779577e-10
2.058000000000000000e+03, 1.059246430153825926e-10, 2.638619147995014565e-10, 1.619791351984555610e-10, 3.109184725063821293e-10, 2.638619147995014565e-10, 5.413716504553524547e-10, 2.814464344212395728e-11, 1.619791351984555610e-10, 2.814464344212395728e-11, 1.031581318476697691e-10, 1.563651188789223735e-10, 1.362518027824402883e-10
2.059000000000000000e+03, 1.368803929099884391e-10, 2.208694170412710410e-10, 2.109087278140696904e-10, 1.627245393204466652e-10, 2.208694170412710410e-10, 5.786796430298934732e-10, 2.490723056390246676e-11, 2.109087278140696904e-10, 2.490723056390246676e-11, 1.340029274534948875e-10, 1.327044737199418241e-10, 1.487969408698895344e-10
2.060000000000000000e+03, 9.046144739654184759e-11, 2.969503132144905816e-10, 1.324947981291195495e-10, 2.809317239867128616e-10, 2.969503132144905816e-10, 4.084213957617589827e-10, 3.952919832844062532e-11, 1.324947981291195495e-10, 3.952919832844062532e-11, 8.762469764228812354e-11, 1.236045626677283163e-10, 1.918896239728015117e-10
2.061000000000000000e+03, 1.038181682745243775e-10, 2.292343367482666145e-10, 1.714522099775809329e-10, 3.193107674475798722e-10, 2.292343367482666145e-10, 5.866967261698398100e-10, 4.179454471138162560e-11, 1.714522099775809329e-10, 4.179454471138162560e-11, 1.008736107165597584e-10, 1.189384713131077218e-10, 1.836096566363598760e-10
2.062000000000000000e+03, 9.978965244922181368e-11, 2.222451708514990491e-10, 1.646212553917511128e-10, 5.183575308866104535e-10, 2.222451708514990491e-10, 5.662656484052945327e-10, 3.015718179348786954e-11, 1.646212553917511128e-10, 3.015718179348786954e-11, 9.680671487783570840e-11, 1.484680478158802615e-10, 1.550563044141724002e-10
2.063000000000000000e+03, 1.394816427689532469e-10, 2.696058949390912556e-10, 1.999234105045357743e-10, 3.442906618722058575e-10, 2.696058949390912556e-10, 5.661539300716848014e-10, 2.585133222602636548e-11, 1.999234105045357743e-10, 2.585133222602636548e-11, 1.364791990022014763e-10, 1.782249218533147346e-10, 2.007320571828231289e-10
2.064000000000000000e+03, 9.629477730993093598e-11, 3.044980898433586212e-10, 1.653214003175685550e-10, 1.555206873090911696e-10, 3.044980898433586212e-10, 5.151483084957453211e-10, 3.631462554247723640e-11, 1.653214003175685550e-10, 3.631462554247723640e-11, 9.331378774694676274e-11, 1.675945913200987414e-10, 2.629942554537265266e-10
2.065000000000000000e+03, 1.052651444840116462e-10, 2.602894200142738689e-10, 1.624316359723019760e-10, 2.097346016370878604e-10, 2.602894200142738689e-10, 5.350627581958690416e-10, 3.980370592026965166e-11, 1.624316359723019760e-10, 3.980370592026965166e-11, 1.023196224229880895e-10, 1.219126293018833203e-10, 1.897354544097036511e-10
2.066000000000000000e+03, 1.410742010302416446e-10, 2.461459547578486100e-10, 1.584010558531363627e-10, 3.895249213139894435e-10, 2.461459547578486100e-10, 5.602920137719489652e-10, 3.017626983910757879e-11, 1.584010558531363627e-10, 3.017626983910757879e-11, 1.380549074967700116e-10, 1.504783837522530261e-10, 1.433428877375364505e-10
2.067000000000000000e+03, 1.529137055280363581e-10, 2.823367407486081572e-10, 1.781730834702444425e-10, 1.833755338619837885e-10, 2.823367407486081572e-10, 6.055238528223941002e-10, 2.600562892887102949e-11, 1.781730834702444425e-10, 2.600562892887102949e-11, 1.497787724318026656e-10, 1.647370398354402125e-10, 1.900696226057914578e-10
2.068000000000000000e+03, 1.093852754855092041e-10, 3.227021287867527498e-10, 1.695674768520127354e-10, 2.128344698350043887e-10, 3.227021287867527498e-10, 5.124538073996206787e-10, 3.827807337263324827e-11, 1.695674768520127354e-10, 3.827807337263324827e-11, 1.059635915862143054e-10, 1.603637482013892124e-10, 2.271008265980519915e-10
2.069000000000000000e+03, 6.863749218147420597e-11, 2.877472822522533125e-10, 1.824623162670569427e-10, 4.546277352469563770e-10, 2.877472822522533125e-10, 4.353034387002126466e-10, 3.846085259899348591e-11, 1.824623162670569427e-10, 3.846085259899348591e-11, 6.569665629485712286e-11, 1.077962332343764263e-10, 2.023285532004197869e-10
2.070000000000000000e+03, 1.138445177496126371e-10, 3.391078201536482181e-10, 1.934655085108835453e-10, 4.945871461326064503e-10, 3.391078201536482181e-10, 6.090667124669511705e-10, 3.444347976052390877e-11, 1.934655085108835453e-10, 3.444347976052390877e-11, 1.107843718459134494e-10, 1.638385256338941926e-10, 2.460658376235467408e-10
