year, INM-CM4-8, EC-Earth3-Veg, ACCESS-ESM1-5, CanESM5, TaiESM1, NorESM2-MM, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM5-0, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-LM
2.047000000000000000e+03, 2.902274898378041712e+02, 2.902944919458299182e+02, 2.903290533367810440e+02, 2.912681829608400790e+02, 2.931525137979122064e+02, 2.913634646234469869e+02, 2.917236195890922090e+02, 2.937890036858460121e+02, 2.905260914939984218e+02, 2.893266349794996586e+02, 2.916195645173654043e+02, 2.903585920179286859e+02, 2.910047601032286479e+02, 2.920821637848128489e+02, 2.903906523215903235e+02, 2.917669342202523808e+02
2.048000000000000000e+03, 2.906866564294090267e+02, 2.905297502047797025e+02, 2.902493544893401918e+02, 2.914960083016427461e+02, 2.918643478537205738e+02, 2.909667835680620556e+02, 2.916600439557645359e+02, 2.935450540728720625e+02, 2.903686612636169571e+02, 2.885789491666418485e+02, 2.926599788710015559e+02, 2.913633073372259901e+02, 2.916710199273890112e+02, 2.933086212049633446e+02, 2.902071878522601764e+02, 2.917733923238948819e+02
2.049000000000000000e+03, 2.902816761500288294e+02, 2.906914398746271786e+02, 2.906387682811327409e+02, 2.916258769120630632e+02, 2.929845082975573405e+02, 2.915547628760855901e+02, 2.918113723799556851e+02, 2.934113934294251180e+02, 2.905612006554740674e+02, 2.897930486839389346e+02, 2.929830763937059714e+02, 2.910613800399751767e+02, 2.913428922106247683e+02, 2.915210191851293189e+02, 2.908018337410802587e+02, 2.920807452836486959e+02
2.050000000000000000e+03, 2.899215319237816857e+02, 2.903293870094847193e+02, 2.905851822178343014e+02, 2.921907036098929211e+02, 2.929817322650000619e+02, 2.913944426485996360e+02, 2.917578542511878936e+02, 2.937081613771301249e+02, 2.905029749758703588e+02, 2.899829255416872229e+02, 2.922488104890915679e+02, 2.901721277313523615e+02, 2.910611277470089249e+02, 2.925588001282465029e+02, 2.907554173714933086e+02, 2.915205946756285016e+02
2.051000000000000000e+03, 2.908034234988647881e+02, 2.908934356074659604e+02, 2.906097449779462636e+02, 2.915510269868849491e+02, 2.927571766810767713e+02, 2.914991317880242718e+02, 2.916700750943502953e+02, 2.938375900708094264e+02, 2.908259503676982831e+02, 2.893921311051600469e+02, 2.924758298329371087e+02, 2.906484676139610315e+02, 2.912481236564543678e+02, 2.922839992935678310e+02, 2.905652156547980667e+02, 2.917764170465779898e+02
2.052000000000000000e+03, 2.909805397340804234e+02, 2.911507326893914751e+02, 2.909659136474419370e+02, 2.919188964642424935e+02, 2.926840304888209516e+02, 2.920089837377079220e+02, 2.922931765246734130e+02, 2.937802644471269673e+02, 2.908094319823485421e+02, 2.898805673630375850e+02, 2.921243961101348532e+02, 2.907373192104575992e+02, 2.913817378034982539e+02, 2.931488821951770660e+02, 2.909002680707852164e+02, 2.921736371450518277e+02
2.053000000000000000e+03, 2.910143558150921308e+02, 2.911331840701872125e+02, 2.906109602494688602e+02, 2.918582682526674148e+02, 2.931277658210821642e+02, 2.919795307418768289e+02, 2.922215296447447486e+02, 2.938860283568025125e+02, 2.911628688717615887e+02, 2.901754458705450475e+02, 2.921781334418422489e+02, 2.909527305951841640e+02, 2.922923613870416943e+02, 2.937348689518277638e+02, 2.901331664370495673e+02, 2.920177048086164859e+02
2.054000000000000000e+03, 2.906807589885509628e+02, 2.911177215809032646e+02, 2.901372435934188161e+02, 2.916282224109100980e+02, 2.934018626789759310e+02, 2.920488182587844790e+02, 2.918332347711270245e+02, 2.939433250132560715e+02, 2.907137573766217997e+02, 2.899890193695813991e+02, 2.923554894525000805e+02, 2.903840117169702353e+02, 2.916753363527568013e+02, 2.924423406415132263e+02, 2.898658716462577445e+02, 2.918252959453953963e+02
2.055000000000000000e+03, 2.907170617078177202e+02, 2.917261803010264885e+02, 2.910919030369975076e+02, 2.924537009845616353e+02, 2.926767659233342442e+02, 2.915403057590373237e+02, 2.916835278575931625e+02, 2.942805468215475457e+02, 2.908933785105989500e+02, 2.907390694678815066e+02, 2.929771729118443773e+02, 2.910856346079723380e+02, 2.920815886318164871e+02, 2.928378997377873816e+02, 2.900438859545247396e+02, 2.914878469998871537e+02
2.056000000000000000e+03, 2.911973974155835094e+02, 2.907756261242196842e+02, 2.915485842300140007e+02, 2.924801989722490134e+02, 2.937547216311795069e+02, 2.920554890185233035e+02, 2.920102187503304094e+02, 2.945943563149531883e+02, 2.913015964040239965e+02, 2.902063269607791085e+02, 2.923664798358666985e+02, 2.909752113628480856e+02, 2.919594168153246301e+02, 2.925199399263815394e+02, 2.899034873723099395e+02, 2.921689319287180524e+02
