year, CMCC-CM2-SR5, IPSL-CM6A-LR, NorESM2-LM, GFDL-ESM4, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, ACCESS-ESM1-5, CanESM5, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, INM-CM5-0, MIROC-ES2L
1.880000000000000000e+03, 2.971538524425095034e+02, 2.948534034614763186e+02, 2.973998498077099839e+02, 2.957549774250522319e+02, 2.955898897169632278e+02, 2.965385309368996900e+02, 2.963983640944165927e+02, 2.968965845412001272e+02, 2.965994406886740080e+02, 2.964753705069841203e+02, 2.961117177191393353e+02, 2.964843088174916943e+02, 2.966894560779431913e+02, 2.950392487293713657e+02, 2.954824878187621948e+02, 2.973291442367559512e+02
1.881000000000000000e+03, 2.974034998142143422e+02, 2.946970904751661351e+02, 2.972179462850038476e+02, 2.957310451502924025e+02, 2.955112125969827161e+02, 2.961187034061259169e+02, 2.969614423189803460e+02, 2.967225078549743671e+02, 2.967846432061160726e+02, 2.963829889824613133e+02, 2.959590355233896730e+02, 2.972306249594364544e+02, 2.965377694973551002e+02, 2.951555178335423193e+02, 2.956408588079083302e+02, 2.973829854288704269e+02
1.882000000000000000e+03, 2.974211223516572318e+02, 2.946486446694016763e+02, 2.967605176648621637e+02, 2.955495282907141359e+02, 2.959125301785272768e+02, 2.960562366964443299e+02, 2.968244665233186197e+02, 2.973767483558147546e+02, 2.970233437377755763e+02, 2.965433479325349140e+02, 2.959297808023225116e+02, 2.970796539912039975e+02, 2.969319675470250104e+02, 2.951705377407881201e+02, 2.959886684341066143e+02, 2.975856969212767922e+02
1.883000000000000000e+03, 2.965921598323332660e+02, 2.944553478610372963e+02, 2.969442636949304983e+02, 2.951987612787159492e+02, 2.954255197842587108e+02, 2.963397051318925719e+02, 2.970705637316149819e+02, 2.973626421973780793e+02, 2.966535345609975138e+02, 2.963072850604098676e+02, 2.962178135959913448e+02, 2.960681741997107679e+02, 2.964935138489332758e+02, 2.950820341423040531e+02, 2.956788674873512832e+02, 2.975324354100653750e+02
1.884000000000000000e+03, 2.964592403691397635e+02, 2.940122094440673095e+02, 2.964049266361516288e+02, 2.949878883190707484e+02, 2.950647935084461437e+02, 2.958925582122935225e+02, 2.962674011145458053e+02, 2.967345226164641758e+02, 2.966272193573562390e+02, 2.963108409986619449e+02, 2.952470597840374467e+02, 2.956970251319724525e+02, 2.963206054502513780e+02, 2.944829968235929982e+02, 2.951249617585112333e+02, 2.965436098018834059e+02
1.885000000000000000e+03, 2.970082390690486704e+02, 2.944634778658260075e+02, 2.967356562614350537e+02, 2.953974479278986109e+02, 2.953756822065321330e+02, 2.956437389348938041e+02, 2.965798180960400714e+02, 2.970010883658154057e+02, 2.964762600082637505e+02, 2.964610289375759180e+02, 2.958397985449808516e+02, 2.959687809055616867e+02, 2.964513519466780735e+02, 2.948484778655859486e+02, 2.953674951016598698e+02, 2.967531327589926491e+02
1.886000000000000000e+03, 2.970208842561301594e+02, 2.947984030164412275e+02, 2.973076134759327829e+02, 2.952053391067740904e+02, 2.954917838599242828e+02, 2.958003280078025341e+02, 2.967289192474113406e+02, 2.971111601469411312e+02, 2.963077100718789438e+02, 2.966725103678379583e+02, 2.956498789345682212e+02, 2.963804170709724985e+02, 2.963544397972637512e+02, 2.949574890410543162e+02, 2.955131248033716815e+02, 2.971929827747330819e+02
1.887000000000000000e+03, 2.966536411745912574e+02, 2.944764901850868455e+02, 2.967467850900964663e+02, 2.953050355167259795e+02, 2.955110449622757187e+02, 2.960499895729519721e+02, 2.966218950624933655e+02, 2.972194183399282110e+02, 2.967975582743375753e+02, 2.967287553622865062e+02, 2.954380279152630351e+02, 2.967352072178149456e+02, 2.967795860024618833e+02, 2.948181409636378021e+02, 2.953037309140726165e+02, 2.975255680990571818e+02
1.888000000000000000e+03, 2.965651398714069842e+02, 2.944531866064481278e+02, 2.968127171868561049e+02, 2.956291878706816192e+02, 2.955029166343006750e+02, 2.962195997884035705e+02, 2.969339859105815549e+02, 2.970678769362351090e+02, 2.969843467717042245e+02, 2.966671208674787863e+02, 2.960543826778823018e+02, 2.966942572057723169e+02, 2.970861777785059985e+02, 2.947845937663947780e+02, 2.954321668456069006e+02, 2.975256880906658807e+02
1.889000000000000000e+03, 2.968413865778607033e+02, 2.945941351965589661e+02, 2.970896628757059830e+02, 2.959671690105689095e+02, 2.955560357643917087e+02, 2.966592140235023862e+02, 2.961840058173808643e+02, 2.966756433501495280e+02, 2.966547902945330861e+02, 2.970023834265174401e+02, 2.962220956837358585e+02, 2.966006234734588247e+02, 2.965562771655297070e+02, 2.951452586457996858e+02, 2.958309557029008943e+02, 2.971049812310263292e+02
