year, TaiESM1, GFDL-ESM4, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, CESM2-WACCM, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM
1.906000000000000000e+03, 4.967339571139776591e-10, 1.416756420239340939e-09, 9.568159964758544658e-10, 1.400847771488191982e-09, 4.967339571139776591e-10, 9.577256998758780695e-10, 9.568159964758544658e-10, 7.523544739556383323e-10, 5.708131463796876994e-10, 1.508359437254796553e-09, 7.523544739556383323e-10, 6.611493864597052445e-10
1.907000000000000000e+03, 4.433548387983311769e-10, 1.432643562624605894e-09, 1.018017558463384475e-09, 1.416757409062224117e-09, 4.433548387983311769e-10, 6.544158548147350580e-10, 1.018017558463384475e-09, 6.755403048704337788e-10, 5.527985287807301529e-10, 1.627186485718305858e-09, 6.755403048704337788e-10, 6.764621142919546654e-10
1.908000000000000000e+03, 4.930632865694887761e-10, 1.445975779544313670e-09, 6.719817004987329516e-10, 1.429977527928911403e-09, 4.930632865694887761e-10, 7.121536757587255228e-10, 6.719817004987329516e-10, 7.290356200947597708e-10, 5.878296360324801748e-10, 1.304732664631536204e-09, 7.290356200947597708e-10, 4.915944527285181443e-10
1.909000000000000000e+03, 5.887242239363131603e-10, 1.767040565243937904e-09, 1.115201145581518174e-09, 1.750841787472165864e-09, 5.887242239363131603e-10, 8.109634337423358389e-10, 1.115201145581518174e-09, 8.664402655342246724e-10, 5.752480596517610936e-10, 1.601901583859019684e-09, 8.664402655342246724e-10, 5.483981268160739083e-10
1.910000000000000000e+03, 4.356802749007141043e-10, 1.271978936406971044e-09, 8.604170585862023833e-10, 1.255571465488715935e-09, 4.356802749007141043e-10, 6.150945157519146677e-10, 8.604170585862023833e-10, 7.433426109826257210e-10, 5.337522583376985432e-10, 1.348335095003146064e-09, 7.433426109826257210e-10, 4.647045706073778860e-10
1.911000000000000000e+03, 4.830043392160892931e-10, 1.740659636447185767e-09, 8.585637589204605204e-10, 1.723895205225754809e-09, 4.830043392160892931e-10, 9.277570996696470336e-10, 8.585637589204605204e-10, 8.755975719168928280e-10, 6.287049556259695054e-10, 1.754563287469332901e-09, 8.755975719168928280e-10, 5.909009015777619988e-10
1.912000000000000000e+03, 6.472625745889714619e-10, 1.546287375618593407e-09, 1.061656214840811599e-09, 1.529632142323165123e-09, 6.472625745889714619e-10, 6.522800313749739161e-10, 1.061656214840811599e-09, 7.201330930064893555e-10, 6.075167076729289850e-10, 2.335752833384439996e-09, 7.201330930064893555e-10, 5.150176018100840821e-10
1.913000000000000000e+03, 5.566025965884883880e-10, 1.420051745374085081e-09, 9.371026150316909090e-10, 1.403029706044386136e-09, 5.566025965884883880e-10, 7.718048514193119166e-10, 9.371026150316909090e-10, 6.567433105685889698e-10, 5.720407680750421874e-10, 2.028388053234598445e-09, 6.567433105685889698e-10, 6.852865167395432546e-10
1.914000000000000000e+03, 4.647937077442730293e-10, 1.477465415264548297e-09, 9.207700102731614656e-10, 1.460532640443907401e-09, 4.647937077442730293e-10, 8.638564111585841000e-10, 9.207700102731614656e-10, 6.753573938869340935e-10, 6.144281318212973987e-10, 1.790387511483810572e-09, 6.753573938869340935e-10, 6.461417872888855735e-10
1.915000000000000000e+03, 5.883046128030658938e-10, 1.435597594057731292e-09, 9.447122346529661626e-10, 1.418704934016445270e-09, 5.883046128030658938e-10, 8.093455833981835423e-10, 9.447122346529661626e-10, 7.203032280800292192e-10, 5.565780049201098212e-10, 1.766524461570194596e-09, 7.203032280800292192e-10, 5.058063114180044320e-10
1.916000000000000000e+03, 4.806564592181577993e-10, 1.911428758196555334e-09, 9.533436834614191565e-10, 1.894258908703410453e-09, 4.806564592181577993e-10, 8.412639183444936849e-10, 9.533436834614191565e-10, 8.997580080994875361e-10, 5.543866879126611387e-10, 1.124246678429308938e-09, 8.997580080994875361e-10, 5.773526242326676481e-10
1.917000000000000000e+03, 3.593155904695495466e-10, 1.458795911773749596e-09, 8.728808001111256515e-10, 1.441601966709813378e-09, 3.593155904695495466e-10, 1.046742841159474452e-09, 8.728808001111256515e-10, 1.155284478968634472e-09, 5.711162572764305699e-10, 9.951673758661128794e-10, 1.155284478968634472e-09, 4.305037410253304619e-10
