year, IPSL-CM6A-LR, INM-CM5-0, NorESM2-MM, CMCC-CM2-SR5, TaiESM1, UKESM1-0-LL, NorESM2-LM, CanESM5, INM-CM4-8, CNRM-ESM2-1, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4, MIROC-ES2L, ACCESS-ESM1-5, CESM2-WACCM
1.889000000000000000e+03, 2.486558414218351132e+01, 3.236967373211655996e+01, 1.711409035523815803e+01, 1.488890965449807169e+01, 2.684251853134724897e+01, 2.176880213654311902e+01, 1.706093910047721351e+01, 2.741818264038002440e+01, 2.979768585514065649e+01, 1.588349506920491905e+01, 2.173946444411176770e+01, 2.883539478783007226e+01, 2.394525083363063800e+01, 2.162077569801637367e+01, 2.473283420489184437e+01, 1.912732472372742265e+01
1.890000000000000000e+03, 2.463846622460816604e+01, 3.059289355043517133e+01, 1.698522032904561030e+01, 1.470030360360761534e+01, 2.692423969976802667e+01, 2.200330872999943921e+01, 1.707564031773162228e+01, 2.843211322824720000e+01, 3.192322914702060288e+01, 1.661705677678395077e+01, 2.111415695841245110e+01, 2.988819669953684155e+01, 2.398841159162171266e+01, 2.175946661758594658e+01, 2.496626015635312967e+01, 1.917538253249282221e+01
1.891000000000000000e+03, 2.386695127301021202e+01, 3.043441172907086312e+01, 1.719532612674364458e+01, 1.505671674118068104e+01, 2.761598239434787061e+01, 1.939765215175384583e+01, 1.647916373818932101e+01, 2.831677301299513161e+01, 3.052540569966797435e+01, 1.542210687423187387e+01, 2.152574007765931441e+01, 2.976918779196196496e+01, 2.416997684201628616e+01, 2.178213979643860299e+01, 2.575201702171700546e+01, 1.951709620620483676e+01
1.892000000000000000e+03, 2.477748737551567615e+01, 3.180646110850378250e+01, 1.698077126717250351e+01, 1.483231867372010271e+01, 2.698758168711213301e+01, 2.203956696927750158e+01, 1.654082633814079273e+01, 2.809077611772222127e+01, 3.047472823945459552e+01, 1.530909165158171348e+01, 2.350156457291134160e+01, 3.000185037883278838e+01, 2.334880236516934104e+01, 2.192388418867973954e+01, 2.564386242990039833e+01, 2.031554947092023156e+01
1.893000000000000000e+03, 2.458510880855480352e+01, 3.130806564214626064e+01, 1.737069194509358994e+01, 1.451700646744314405e+01, 2.516560441883036958e+01, 1.918419592839459398e+01, 1.571426104043917960e+01, 2.808139321013657153e+01, 3.251390520185298527e+01, 1.573972267383499712e+01, 2.238229032258178464e+01, 2.849701568862339229e+01, 2.501086746700771002e+01, 2.159718867088095351e+01, 2.598426512217720941e+01, 1.976519412690403854e+01
1.894000000000000000e+03, 2.428119104735512934e+01, 3.173435174692199823e+01, 1.789776321756497879e+01, 1.493256302778395472e+01, 2.587058105915431838e+01, 2.172837984128295830e+01, 1.582427666680719369e+01, 2.838659037917731709e+01, 3.058480720828678656e+01, 1.498426292004594451e+01, 2.275807449426245199e+01, 2.899831245726087303e+01, 2.453194298775204985e+01, 2.165266219038452178e+01, 2.647160046886320472e+01, 1.944710932673094206e+01
1.895000000000000000e+03, 2.400310385123788137e+01, 3.253959491592829778e+01, 1.759890758354993423e+01, 1.571515602582326032e+01, 2.898686930719373578e+01, 2.123996474001205925e+01, 1.599321052339465865e+01, 2.821198220911876575e+01, 3.015050627761525703e+01, 1.633909452314663113e+01, 2.314589436628337893e+01, 3.023980661996682073e+01, 2.410464871996052239e+01, 2.152733508527186501e+01, 2.612926715338635475e+01, 2.014230199829521339e+01
1.896000000000000000e+03, 2.364131192170151863e+01, 3.181209928428503275e+01, 1.762569868794885153e+01, 1.514512791158931115e+01, 2.624726017451919802e+01, 2.134348869655294223e+01, 1.608776519176390352e+01, 2.814400717783464501e+01, 3.064056615293186780e+01, 1.482479210916702428e+01, 2.362318858839361013e+01, 2.975328556741161279e+01, 2.240296846203724002e+01, 2.167971812730457870e+01, 2.628765334216981842e+01, 2.048901322357392729e+01
1.897000000000000000e+03, 2.502336792354700989e+01, 3.233480508456133862e+01, 1.740433542743448569e+01, 1.512069423365317888e+01, 2.560832363670762746e+01, 2.195834501405486705e+01, 1.554329053771335545e+01, 2.805576474473236459e+01, 3.073398615207937112e+01, 1.563179089399298505e+01, 2.172715633876011410e+01, 2.988673921783341214e+01, 2.388195103146804144e+01, 2.208845061957915945e+01, 2.582496706179550827e+01, 2.046915639339867710e+01
1.898000000000000000e+03, 2.441496205305049472e+01, 3.087478605958960642e+01, 1.775149364421886489e+01, 1.493176874880974481e+01, 2.670732469031016620e+01, 2.390320873281955016e+01, 1.622611169260882491e+01, 2.803843300276971817e+01, 2.908996136513252750e+01, 1.672028310930534190e+01, 2.036999091689640906e+01, 2.810066739578159201e+01, 2.346996348889992134e+01, 2.160497891104809653e+01, 2.488316395740131171e+01, 2.002328126072796266e+01
