year, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-ESM2, IPSL-CM6A-LR
1.887000000000000000e+03, 1.929012635516356252e-12, 3.630929748208658198e-10, 2.757383450227534545e-10, 4.850889058996334754e-11, 6.550822565420067535e-12, 9.618186201959845339e-14, 3.543238646032364966e-12, 2.595239678301411129e-10
1.888000000000000000e+03, 1.970589395247544907e-12, 3.638167287754625036e-10, 2.704612733960035357e-10, 4.925125613317527004e-11, 6.597597601752885693e-12, 9.127921228628420482e-14, 3.568611489312805620e-12, 2.629469412138584150e-10
1.889000000000000000e+03, 2.020233481187079299e-12, 3.642298606571879547e-10, 2.673713792660383241e-10, 4.916564372754142988e-11, 6.721806913318812120e-12, 7.231808110740068567e-14, 3.593840113649653447e-12, 2.754500857574886620e-10
1.890000000000000000e+03, 2.079853461571735582e-12, 3.682167308671665317e-10, 2.648628080926121972e-10, 4.986607896689407642e-11, 6.639108868717480981e-12, 1.085195247241484600e-13, 3.773537448699757942e-12, 2.792622536671087066e-10
1.891000000000000000e+03, 2.130217383761287712e-12, 3.710525766122756917e-10, 2.637821463389984453e-10, 5.059169703363050817e-11, 7.223873670287109072e-12, 1.364218934390543269e-13, 4.063889225813526802e-12, 2.625118160030488535e-10
1.892000000000000000e+03, 2.212639728234713609e-12, 3.712467907108544155e-10, 2.633946038238236638e-10, 5.405441228947640247e-11, 7.303806150505008258e-12, 1.529411662627091922e-13, 4.299757239809573763e-12, 2.779510384598152255e-10
1.893000000000000000e+03, 2.287433497063223350e-12, 3.735066895784184829e-10, 2.676440206801569489e-10, 5.189119431607709774e-11, 7.500992867095124785e-12, 1.517655216650774826e-13, 4.496659511458733966e-12, 2.767326876802932307e-10
1.894000000000000000e+03, 2.369953136696686666e-12, 3.732015713235514608e-10, 2.657693548976928279e-10, 5.318226380389120522e-11, 7.654410427486961869e-12, 1.505114683350012264e-13, 4.662129561589417324e-12, 2.743494611459780496e-10
1.895000000000000000e+03, 2.446010248309780554e-12, 3.736464623597873611e-10, 2.649422624015250421e-10, 5.720283944755544493e-11, 7.762450801457848037e-12, 1.583352830462133723e-13, 4.802913556179820119e-12, 2.738922081921889581e-10
1.896000000000000000e+03, 2.519642881712463637e-12, 3.728120554031047906e-10, 2.691880990902695977e-10, 5.654429491504414098e-11, 7.830861815993139957e-12, 1.411010018520770525e-13, 4.923614500115016104e-12, 2.588851877664674338e-10
1.897000000000000000e+03, 2.617840414824359666e-12, 3.739195300061621981e-10, 2.650721054489012660e-10, 5.613578189579301517e-11, 7.786470267458592940e-12, 1.413755774877102954e-13, 5.026541555747119016e-12, 2.819410874870726618e-10
1.898000000000000000e+03, 2.724829583503039427e-12, 3.748336533230873333e-10, 2.597469751878479349e-10, 5.548116619591749511e-11, 7.911939235397449332e-12, 1.583787398107747884e-13, 5.115785515137559682e-12, 2.912365086936089811e-10
1.899000000000000000e+03, 2.839146549585533744e-12, 3.738963914929732917e-10, 2.597842166384866116e-10, 6.153293884455896252e-11, 8.008558037378999021e-12, 1.876658595935370182e-13, 5.194850554872436047e-12, 2.799200693768588946e-10
1.900000000000000000e+03, 2.929341524524806335e-12, 3.788754389958412962e-10, 2.677090875968012430e-10, 6.030641358504075585e-11, 8.084628305608340172e-12, 3.295339198100411444e-13, 5.325943303613292240e-12, 2.876933779178632809e-10
1.901000000000000000e+03, 2.998661122962219469e-12, 3.808262185824349228e-10, 2.776503702719739474e-10, 6.020786453675545675e-11, 8.823553403770267668e-12, 6.108062217119333778e-13, 5.492850077010147448e-12, 2.954131807203265241e-10
1.902000000000000000e+03, 3.142793385098273536e-12, 3.817121189497971239e-10, 2.760706709417008686e-10, 5.996016238576168419e-11, 8.941838557366710759e-12, 1.036274756866121627e-12, 5.632778449848337232e-12, 2.932950535764879328e-10
