year, TaiESM1, EC-Earth3-Veg, CMCC-ESM2, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, NorESM2-LM, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1
1.932000000000000000e+03, 1.075670373039728860e-10, 1.914622237667344419e-10, 3.231795127727383425e-11, 2.385119556431776552e-10, 1.404389154669767586e-10, 1.358394522063548732e-10, 1.268245391139713982e-10, 8.658780900493155086e-11, 9.999787679810356181e-12, 4.906639204703628424e-11
1.933000000000000000e+03, 1.100003026612644810e-10, 1.970627740634363013e-10, 3.299553854189230577e-11, 2.408776012592201066e-10, 1.439299338619660850e-10, 1.364055851443564599e-10, 1.295602499811495024e-10, 8.872915815728499953e-11, 1.052119889516551566e-11, 5.612138576789292094e-11
1.934000000000000000e+03, 1.124848385466100058e-10, 1.996650218969970428e-10, 3.377072132151528081e-11, 2.428639829845512201e-10, 1.448752839409632276e-10, 1.374725921492161591e-10, 1.359065677762362013e-10, 9.074060026907675982e-11, 1.052573264749642008e-11, 5.897943746149036215e-11
1.935000000000000000e+03, 1.140626879016568772e-10, 1.986088158026175560e-10, 3.414398524518322014e-11, 2.456447934418117559e-10, 1.462175658961854120e-10, 1.381062890950814115e-10, 1.363996735144598128e-10, 9.308521114098580736e-11, 1.072879415990876903e-11, 5.981058218649016781e-11
1.936000000000000000e+03, 1.156747497838125487e-10, 2.011129283033969509e-10, 3.477106946807836356e-11, 2.496129340468462158e-10, 1.485897384851227318e-10, 1.385495980247713610e-10, 1.349057624163661681e-10, 9.425899874008968299e-11, 1.186158281016877929e-11, 6.150467936058926493e-11
1.937000000000000000e+03, 1.176681368972793122e-10, 2.080991025275416695e-10, 3.512270821121805874e-11, 2.542171713758878056e-10, 1.549910089741809339e-10, 1.391818357288539219e-10, 1.365733431557254073e-10, 9.505373541092299936e-11, 1.176108604714129779e-11, 6.351294769317318892e-11
1.938000000000000000e+03, 1.191333968592325193e-10, 2.033324802957147369e-10, 3.531963798174826463e-11, 2.588139228306222379e-10, 1.533053310839052314e-10, 1.397310832771133668e-10, 1.390699679985302796e-10, 9.677140509990220440e-11, 1.215813923757730796e-11, 7.298173699515051539e-11
1.939000000000000000e+03, 1.196671224921242213e-10, 2.041196103303597384e-10, 3.571918501583499810e-11, 2.627251876787347547e-10, 1.567484648620377130e-10, 1.408745678305142347e-10, 1.422162940871261786e-10, 9.870085907868050603e-11, 1.297449175771304217e-11, 7.586738895612163949e-11
1.940000000000000000e+03, 2.091616770038626072e-10, 2.025878831322377143e-10, 6.855771481169022638e-11, 2.800701951451714752e-10, 1.552314714941554936e-10, 1.419583164917163299e-10, 1.420195485501308276e-10, 9.845823750040845485e-11, 1.736279890330478896e-11, 7.886123660981238738e-11
1.941000000000000000e+03, 2.195367047549188470e-10, 3.756555078579988250e-10, 7.254922162855317679e-11, 2.915525455564676169e-10, 2.200038533309898444e-10, 2.627403108673502609e-10, 2.098952109812010297e-10, 1.782710331544573328e-10, 2.400029778423684414e-11, 9.093381451762967901e-11
1.942000000000000000e+03, 2.281628143082621672e-10, 3.818391610100763752e-10, 7.539382644792777163e-11, 2.979507260935801398e-10, 2.255614715174941145e-10, 2.657320592042341009e-10, 2.206662829849572864e-10, 1.855442196885065736e-10, 2.725883268358256472e-11, 1.002328793551406130e-10
1.943000000000000000e+03, 2.349367577414593951e-10, 3.936933662681552082e-10, 7.746853909508286856e-11, 3.024311903795862408e-10, 2.314605426359282711e-10, 2.685634044978218253e-10, 2.272818615784210077e-10, 1.906939685009014228e-10, 2.974824484261313541e-11, 1.118596257612493017e-10
1.944000000000000000e+03, 2.404168599994237188e-10, 4.004060046391380676e-10, 7.934310790542639041e-11, 3.087653792402983059e-10, 2.441067429691744275e-10, 2.705133649010323654e-10, 2.357826181509564662e-10, 1.971488915540871646e-10, 3.119305086295966437e-11, 1.307878185822027139e-10
