year, NorESM2-LM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, CESM2-WACCM, INM-CM5-0, INM-CM4-8, IPSL-CM6A-LR, TaiESM1, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, GFDL-ESM4
1.884000000000000000e+03, 5.216386707974585590e+00, 1.541786734076384136e+01, 1.114438027714555979e+01, 1.127075272451975607e+01, 1.162654747393157351e+01, 1.106903906609557531e+01, 6.687598226200659468e+00, 7.491528272531072119e+00, 1.490537856937852190e+01, 1.428411290139005629e+01, 1.030622339095512352e+01, 9.201593131790723135e+00, 6.094929374085689133e+00, 1.003837323668049208e+01, 6.484520764445340646e+00, 1.212351276840122871e+01
1.885000000000000000e+03, 5.511186522689546230e+00, 1.506371113043578802e+01, 1.107221359735670596e+01, 1.220539173561285828e+01, 1.159091864085832313e+01, 1.043638493965950609e+01, 6.627494366224690125e+00, 7.614125255395463476e+00, 1.446319620856075439e+01, 1.367089037124263839e+01, 1.036171890532108364e+01, 9.754147814179283671e+00, 6.206640026252409292e+00, 9.853537111097237400e+00, 6.144384317562855635e+00, 1.198731698072727170e+01
1.886000000000000000e+03, 5.552966469537965466e+00, 1.504613328476441758e+01, 1.115989861175164855e+01, 1.214807397628955066e+01, 1.218199030338676003e+01, 1.045793266027372681e+01, 6.313723000546840325e+00, 7.324762853484616976e+00, 1.457869578342378603e+01, 1.391977637185649463e+01, 1.049530925802718784e+01, 8.670007441368509760e+00, 6.349037671724214071e+00, 9.357694609741033176e+00, 6.034413563860161034e+00, 1.246332842563110255e+01
1.887000000000000000e+03, 5.744690995349080787e+00, 1.511625232795248586e+01, 1.144603895343828803e+01, 1.163373592695727510e+01, 1.145843579507884158e+01, 1.053155146619440963e+01, 6.714401739676167047e+00, 7.304698821634146633e+00, 1.494924260437556462e+01, 1.498260844104969181e+01, 1.082255756790683243e+01, 9.433723054136258668e+00, 6.044755022461625771e+00, 9.049373739424639851e+00, 6.074550108671126658e+00, 1.231786748433240497e+01
1.888000000000000000e+03, 5.864402099216894371e+00, 1.507045238161740031e+01, 1.112944441263794992e+01, 1.140231675918220056e+01, 1.240151000785277091e+01, 1.095238976818186494e+01, 6.175015849492980990e+00, 7.409935340159744754e+00, 1.460549668190639849e+01, 1.494706717167028209e+01, 1.050721209163869041e+01, 9.713949505858410660e+00, 6.364634761246253269e+00, 9.709317053494679328e+00, 5.972663387537599178e+00, 1.194340416308113895e+01
1.889000000000000000e+03, 6.045694320179251235e+00, 1.499401203947702932e+01, 1.112579900235544628e+01, 1.080315430665377363e+01, 1.177605504323390662e+01, 1.119644752129086029e+01, 7.049124906591324624e+00, 6.980065810961320061e+00, 1.507591296161288774e+01, 1.392196476970071828e+01, 1.089948736758904424e+01, 9.385229284618342049e+00, 6.152592036201797399e+00, 9.654900399069545003e+00, 6.123265238305980240e+00, 1.137539040234223542e+01
1.890000000000000000e+03, 5.960307407303693239e+00, 1.585104349840968929e+01, 1.124205170933155351e+01, 1.050646242951032150e+01, 1.240121784127346416e+01, 1.110284149688171418e+01, 7.255726733379048277e+00, 7.205852330959770846e+00, 1.404362931820189786e+01, 1.514001463456000707e+01, 1.071042166383124794e+01, 9.377789137200496228e+00, 6.182023401833306231e+00, 9.782291492606741912e+00, 6.127713599320306237e+00, 1.136878997061446661e+01
1.891000000000000000e+03, 5.863185203240137255e+00, 1.576845369393092255e+01, 1.121051150113193096e+01, 1.082489054574281795e+01, 1.261959374503610931e+01, 9.767779669733887005e+00, 6.250503354094401054e+00, 7.243771797687982961e+00, 1.418361344504949173e+01, 1.426702522383428295e+01, 1.029019451154760745e+01, 9.530980621137747022e+00, 6.282881128079474742e+00, 1.035426452134849562e+01, 5.802834268822556041e+00, 1.154032267133110778e+01
1.892000000000000000e+03, 5.836282587353562867e+00, 1.552253221265485195e+01, 1.123359987773089941e+01, 1.201999650117515195e+01, 1.260293421871300623e+01, 1.126827176207541115e+01, 6.683225940685637134e+00, 7.544222005356216343e+00, 1.478694941063882418e+01, 1.447636078994092834e+01, 1.088760696741818990e+01, 9.295833446463237948e+00, 6.110251704101623105e+00, 1.020762734450435616e+01, 6.044993111243697648e+00, 1.100589308358534346e+01
1.893000000000000000e+03, 5.591890518546961175e+00, 1.554212644927689979e+01, 1.101095694802751979e+01, 1.106266101115944522e+01, 1.158489799177819890e+01, 9.816147138068599176e+00, 6.793660777160216213e+00, 7.195234996083390122e+00, 1.451959667597974502e+01, 1.542675814255946598e+01, 1.073765054395657437e+01, 8.807779244242826877e+00, 6.001313108925439010e+00, 1.016571716477322695e+01, 6.337464171825231141e+00, 1.193234600186919359e+01
1.894000000000000000e+03, 5.549657833014210340e+00, 1.578045192334965741e+01, 1.113879539098675586e+01, 1.142285613060942140e+01, 1.178463138699625645e+01, 1.126668028179378034e+01, 6.172150094321561475e+00, 7.036451248256074820e+00, 1.477735615128954194e+01, 1.438370540923376240e+01, 1.049939084497573205e+01, 9.396285128227830796e+00, 6.383069070320146920e+00, 1.076421310575026347e+01, 6.422020593051136039e+00, 1.166989031820792633e+01
