year, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, UKESM1-0-LL, NorESM2-LM, CMCC-ESM2, EC-Earth3-Veg, TaiESM1, CanESM5, INM-CM5-0, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, MPI-ESM1-2-LR, INM-CM4-8
1.892000000000000000e+03, 7.960756845408278881e-01, 9.652556268083474222e-01, 1.383782959736513440e+00, 9.713629055210238894e-01, 2.065813352941193060e+00, 7.776256462792788815e-01, 9.995020015490355680e-01, 2.108979071213001877e+00, 1.780060434266356184e+00, 1.445464750404664045e+00, 1.475297627926111854e+00, 7.867338516919409885e-01, 1.721274264125164155e+00, 1.245715920683122091e+00, 1.315277347693000642e+00, 1.440715218722280477e+00
1.893000000000000000e+03, 8.054206995972249539e-01, 9.540123972168325084e-01, 1.392490527568919223e+00, 1.004927544941589757e+00, 2.037759834202467868e+00, 7.553039642812746646e-01, 9.933893139678147133e-01, 2.038040270629262629e+00, 1.626798905511454230e+00, 1.443670862987029402e+00, 1.473123517150136230e+00, 7.895112195900644281e-01, 1.858078445635398701e+00, 1.247448370025866726e+00, 1.276666929769570746e+00, 1.491471082836065998e+00
1.894000000000000000e+03, 7.831717949110047483e-01, 9.509603950934319982e-01, 1.390760005585138570e+00, 1.019427643308844500e+00, 2.059466012094533394e+00, 7.476612821662218522e-01, 9.663081933177674054e-01, 1.973605171005247128e+00, 1.565443053514514071e+00, 1.468729588015700083e+00, 1.482247070739853845e+00, 8.284473823583058394e-01, 1.807133683550990355e+00, 1.250130200465716435e+00, 1.288268818623193201e+00, 1.449257824455929766e+00
1.895000000000000000e+03, 8.296953082815221592e-01, 9.481809582959739302e-01, 1.365065152484936428e+00, 1.016062305984956504e+00, 2.031674771162114812e+00, 7.411055144062581590e-01, 9.565712008694216006e-01, 2.059122536646169177e+00, 1.763338839639420286e+00, 1.468349112756974773e+00, 1.511640157483364666e+00, 8.319629306144721292e-01, 1.775172088811896920e+00, 1.249282765605634671e+00, 1.308159652905575676e+00, 1.441518027675342539e+00
1.896000000000000000e+03, 7.709802038468172025e-01, 9.681377870799360297e-01, 1.350794471854208645e+00, 1.012653186327370891e+00, 2.024394450042595217e+00, 7.547508061951538894e-01, 9.750647292855866288e-01, 2.169172845457082222e+00, 1.781388686305760416e+00, 1.464657133126523458e+00, 1.474235378992910572e+00, 8.280245850598285662e-01, 1.617970138370818711e+00, 1.245365122440102557e+00, 1.346260112170770018e+00, 1.461818690079058847e+00
1.897000000000000000e+03, 7.893296147740062052e-01, 9.840072207457911668e-01, 1.418482346668846983e+00, 1.001131793633307954e+00, 2.063019332089464974e+00, 7.432816964740734944e-01, 9.766887755156093975e-01, 1.987275458504014880e+00, 1.643491659148121231e+00, 1.463212708776852722e+00, 1.511471882969003921e+00, 8.173163158240496218e-01, 1.739350368791296786e+00, 1.258203047434316213e+00, 1.242104593313987149e+00, 1.474130079365053358e+00
1.898000000000000000e+03, 8.407687043696041584e-01, 9.670376380915109982e-01, 1.391941354822896937e+00, 9.560909473247807266e-01, 2.064768745038013886e+00, 7.440929985247447531e-01, 9.686964295539320924e-01, 1.953557790719308018e+00, 1.643764747777019641e+00, 1.441009568254862483e+00, 1.463374677003044688e+00, 8.317427826171662764e-01, 1.720968984996803952e+00, 1.254626588734642834e+00, 1.186962417410102555e+00, 1.409725149533425093e+00
1.899000000000000000e+03, 7.745081612858800701e-01, 9.652415393138882305e-01, 1.352286662763318326e+00, 9.513833566812728293e-01, 2.065166159279245850e+00, 7.638149520644740287e-01, 9.365513323772188814e-01, 1.943620884616027666e+00, 1.715485480940874385e+00, 1.487026403216921144e+00, 1.411663179183060501e+00, 7.928304848386360515e-01, 1.721205505578909722e+00, 1.251626252339622658e+00, 1.316298295393241169e+00, 1.436709644562643051e+00
1.900000000000000000e+03, 7.876679040803297172e-01, 9.589312611328792979e-01, 1.320009978388397176e+00, 9.276129436913480575e-01, 2.052840751267804187e+00, 7.801674361700814408e-01, 9.122943413332378348e-01, 2.121123333941263400e+00, 1.630576155990243192e+00, 1.419666028484580567e+00, 1.496192468290398647e+00, 7.767477736982142389e-01, 1.714672982768286058e+00, 1.252218068794681782e+00, 1.426936564299208454e+00, 1.443462613261969008e+00
1.901000000000000000e+03, 7.772616449616388534e-01, 9.630514501310896147e-01, 1.391451114546575996e+00, 9.056968535580595114e-01, 2.042365631811274618e+00, 7.643634987842202744e-01, 9.302472601835323207e-01, 1.972732835537533536e+00, 1.688001113347096904e+00, 1.465239942534206863e+00, 1.496408021210618777e+00, 7.971055589926476781e-01, 1.679534465933315568e+00, 1.247195717662135772e+00, 1.386203826643256809e+00, 1.479231195413200695e+00
