year, ACCESS-ESM1-5, CMCC-CM2-SR5, IPSL-CM6A-LR, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, MIROC-ES2L, UKESM1-0-LL, EC-Earth3-Veg
1.945000000000000000e+03, 7.222161972375034100e-01, 1.499304538279646326e-01, 3.025072725220301351e-01, 8.100459243970127288e-01, 8.247176016591746539e-02, 4.059295791329495251e-01, 2.066131930840305664e+00, 1.211367571160393009e-01, 1.995113656880906639e-01
1.946000000000000000e+03, 7.687261186889714493e-01, 1.557158780485154437e-01, 3.210969505060574103e-01, 8.274534292505214550e-01, 9.221396990983456166e-02, 4.247212331291919662e-01, 2.110679339495975526e+00, 1.300055377973356185e-01, 2.142632788792442899e-01
1.947000000000000000e+03, 8.103438210534943398e-01, 1.606593116418050526e-01, 3.372973927335519706e-01, 8.445589427176454222e-01, 1.043570833207740911e-01, 4.426569604834889593e-01, 2.150587755834566295e+00, 1.379685070364714272e-01, 2.294620547115891751e-01
1.948000000000000000e+03, 8.529730801035831922e-01, 1.649363787283910365e-01, 3.512536339574479083e-01, 8.658239711838199293e-01, 1.158308701217330844e-01, 4.556794565654451179e-01, 2.190388073732937979e+00, 1.465420590396255274e-01, 2.450337733573098586e-01
1.949000000000000000e+03, 8.908244908798941264e-01, 1.686526889357897185e-01, 3.616204471804052578e-01, 8.927062978904873880e-01, 1.255222807791368245e-01, 4.671487751086509932e-01, 2.230133396791043054e+00, 1.536180199681333181e-01, 2.611962562498886808e-01
1.950000000000000000e+03, 9.308596454920575747e-01, 1.702210159349192564e-01, 3.691632548746424103e-01, 9.153850679855274342e-01, 1.345224225551973352e-01, 4.801686038114890143e-01, 2.296839905970008644e+00, 1.609135685392363568e-01, 2.780608582324831102e-01
1.951000000000000000e+03, 9.592436754180065916e-01, 1.700716401658947108e-01, 3.808408705598562705e-01, 9.352746990443838726e-01, 1.414387897178871478e-01, 4.914228812698315241e-01, 2.354549870218765051e+00, 1.691185129889600791e-01, 2.900518917907057292e-01
1.952000000000000000e+03, 9.833934931966931137e-01, 1.701656742542876632e-01, 3.921783585114587134e-01, 9.493013721671574867e-01, 1.476789296542415364e-01, 5.010283205431852460e-01, 2.397869623789440574e+00, 1.782053701911468779e-01, 3.024173604832858242e-01
1.953000000000000000e+03, 1.009771656597754141e+00, 1.705694902410796188e-01, 4.035324927841099085e-01, 9.600672378923137407e-01, 1.526470484269202010e-01, 5.157229905818294657e-01, 2.446842946661873075e+00, 1.877161161579685711e-01, 3.151174701422972402e-01
1.954000000000000000e+03, 1.034480248011707459e+00, 1.712862388829057003e-01, 4.135747417321804509e-01, 9.764350952402108819e-01, 1.559538661674151061e-01, 5.236484679316210089e-01, 2.487742925253780157e+00, 1.978244225381182164e-01, 3.274079582253991982e-01
