year, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, NorESM2-MM, NorESM2-LM
1.975000000000000000e+03, 9.743639376566522376e-10, 1.614363052926403848e-09, 4.686201950667947528e-10, 9.147714650599303185e-10, 6.955227902905232156e-10
1.976000000000000000e+03, 9.778894493840304975e-10, 9.368246950302022302e-10, 4.440783048700197113e-10, 8.582083949022720868e-10, 5.931957055129986748e-10
1.977000000000000000e+03, 8.818881398224238938e-10, 1.218895290351198251e-09, 5.242384532481688623e-10, 7.905949935468879680e-10, 6.566645249797704502e-10
1.978000000000000000e+03, 1.047303673614720861e-09, 1.051333890762996657e-09, 6.206955858995035115e-10, 7.579286530422751377e-10, 8.763346650235788976e-10
1.979000000000000000e+03, 1.254670023846001546e-09, 1.069291463422862648e-09, 3.952204148031741765e-10, 8.447677835211538107e-10, 7.123671303602244668e-10
1.980000000000000000e+03, 7.395360354462431883e-10, 1.336377668671040102e-09, 4.472484420077734804e-10, 9.446012222431714235e-10, 6.728449394111175155e-10
1.981000000000000000e+03, 8.972970310553881605e-10, 1.192207349577430177e-09, 6.020197590261682486e-10, 8.704015103274269536e-10, 5.639608145946593684e-10
1.982000000000000000e+03, 8.970909191209996391e-10, 1.121330515987784980e-09, 4.913146734491570924e-10, 6.889032177469291098e-10, 7.624181460801172939e-10
1.983000000000000000e+03, 7.823065009766195596e-10, 1.216139612382360628e-09, 4.369306524197753412e-10, 7.211670132589410879e-10, 7.605574440448245616e-10
1.984000000000000000e+03, 8.677323387740745355e-10, 1.410957086321571572e-09, 4.560489924994923709e-10, 6.744609405768915948e-10, 7.524989070298904898e-10
1.985000000000000000e+03, 1.055163284067202647e-09, 1.422728343693438317e-09, 6.467651590256466671e-10, 8.179074038073084800e-10, 6.617561905325071180e-10
1.986000000000000000e+03, 8.981517568968890364e-10, 1.040622433446182021e-09, 4.456150316536460194e-10, 7.605953704819632901e-10, 6.642083602089665633e-10
1.987000000000000000e+03, 1.001099237170241710e-09, 1.473446370758732528e-09, 5.056793795208091881e-10, 8.422809167300281435e-10, 5.349061798368171266e-10
1.988000000000000000e+03, 9.512311569152344566e-10, 1.166980526619034614e-09, 4.712434536397459471e-10, 9.000074337972357829e-10, 7.532546442653676335e-10
1.989000000000000000e+03, 9.781740721912406085e-10, 9.605299323656969397e-10, 4.847471714494950712e-10, 7.679102165633311512e-10, 7.225961255676630062e-10
1.990000000000000000e+03, 9.596222435138596146e-10, 1.352616627399942319e-09, 4.230620185655419364e-10, 7.293052416544500744e-10, 5.570980399106556277e-10
1.991000000000000000e+03, 8.108431808080095276e-10, 9.055806557136226850e-10, 4.683611441369856718e-10, 6.528934811793984594e-10, 6.882419095407466586e-10
1.992000000000000000e+03, 8.904234051086876881e-10, 1.252259091124435467e-09, 5.395290576527970990e-10, 8.577418393314183500e-10, 8.913465000290206485e-10
1.993000000000000000e+03, 9.327309944210905456e-10, 1.271456655492875320e-09, 4.205404305949437413e-10, 6.619174182091891393e-10, 6.131085016057797734e-10
1.994000000000000000e+03, 8.083965679350354619e-10, 1.090742945055848637e-09, 3.832518117627909994e-10, 6.722496654791991566e-10, 6.010854498894626520e-10
1.995000000000000000e+03, 9.722500177497255719e-10, 1.300155688626911220e-09, 4.719682456516414236e-10, 7.291863576098623019e-10, 7.246106756244974270e-10
1.996000000000000000e+03, 9.092479948716749223e-10, 1.509544620702637244e-09, 4.052017620028812024e-10, 8.585412481653724414e-10, 5.808868590057290267e-10
1.997000000000000000e+03, 9.503121732451136551e-10, 1.055527217006857083e-09, 5.040915641299585132e-10, 7.676985413866366263e-10, 6.403557243957522464e-10
1.998000000000000000e+03, 8.519747142122928798e-10, 1.245039171977197512e-09, 4.328307242381069096e-10, 6.756577217852383605e-10, 6.768107317680205021e-10
1.999000000000000000e+03, 9.917663313508663498e-10, 1.402121791741748747e-09, 4.084507344254186718e-10, 6.817847724279976586e-10, 6.517939165237783031e-10
2.000000000000000000e+03, 1.064788406896716489e-09, 1.933928845444702931e-09, 3.997900050917688578e-10, 1.086030709580069438e-09, 7.000612060524477960e-10
2.001000000000000000e+03, 8.386507677085838803e-10, 1.115053522867772893e-09, 4.986264149360737436e-10, 7.065196283355820808e-10, 5.885454896696663209e-10
2.002000000000000000e+03, 9.034376043066907283e-10, 1.306127473067300914e-09, 4.321490244451898018e-10, 8.542235953908056798e-10, 4.751599273004216655e-10
2.003000000000000000e+03, 8.042922044418064465e-10, 9.607493353910771914e-10, 4.700670415355770123e-10, 8.402026657717233591e-10, 5.920909855210525587e-10
2.004000000000000000e+03, 6.319958050450531324e-10, 1.203600318916590720e-09, 3.333875825153762621e-10, 5.679310034678474230e-10, 6.961406728481103626e-10
2.005000000000000000e+03, 1.006592691908123409e-09, 1.208790064704061143e-09, 3.558941799658688809e-10, 7.534181904447511013e-10, 6.466206986033254938e-10
2.006000000000000000e+03, 7.641584207086934716e-10, 1.266188254893803999e-09, 4.322421913454553130e-10, 9.592422086009606955e-10, 7.416549082513607320e-10
2.007000000000000000e+03, 8.952114499993279160e-10, 1.414377436251441217e-09, 4.744846251048796001e-10, 9.549281940032757479e-10, 5.278112910467870542e-10
2.008000000000000000e+03, 9.241503274802482913e-10, 1.338443548316804372e-09, 4.189549056285784435e-10, 1.019185594074216558e-09, 5.980392608832533733e-10
2.009000000000000000e+03, 1.036977756038791713e-09, 1.264061888097044758e-09, 4.075158560402099645e-10, 9.326059873586376367e-10, 6.378631019215204660e-10
2.010000000000000000e+03, 9.690176843250987432e-10, 1.021024268815599633e-09, 3.561824561211895343e-10, 1.024635545237387184e-09, 9.248892528149593866e-10
2.011000000000000000e+03, 9.138543004203553291e-10, 1.071645191271184482e-09, 3.684802387239963956e-10, 9.034867631871354725e-10, 9.820058319848736856e-10
2.012000000000000000e+03, 6.967600766715884030e-10, 1.368152530327108755e-09, 3.697536074341248170e-10, 7.456320751500537462e-10, 5.019054197279559558e-10
2.013000000000000000e+03, 9.514528778755475508e-10, 1.202556618070281381e-09, 5.670206991197455025e-10, 9.345618534366853235e-10, 8.437370676646260439e-10
2.014000000000000000e+03, 8.543646317783710900e-10, 1.015789448414693151e-09, 4.687832012151754639e-10, 8.390390443600984707e-10, 7.196190921263467832e-10
