year, CESM2-WACCM, INM-CM5-0, CNRM-ESM2-1, UKESM1-0-LL, ACCESS-ESM1-5, NorESM2-LM, CMCC-CM2-SR5, NorESM2-MM, TaiESM1, CanESM5, MIROC-ES2L, EC-Earth3-Veg, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM4-8, GFDL-ESM4
1.895000000000000000e+03, 2.031989187555112153e+00, 2.139486043193917997e+00, 2.252074043922755564e+00, 2.087583342490286764e+00, 2.387004699149301690e+00, 2.127955894478110288e+00, 2.110097758772891297e+00, 1.989511403182379068e+00, 2.117901056149389838e+00, 2.261458359401278262e+00, 2.255488716698346607e+00, 2.062419810657108332e+00, 2.558007251693939388e+00, 2.135891871701240063e+00, 2.121360892610131721e+00, 2.439239676448013316e+00
1.896000000000000000e+03, 2.049805508141303800e+00, 2.311318513044402501e+00, 2.218528478500132461e+00, 2.133777149598700795e+00, 2.395001514976935475e+00, 2.070143044087485951e+00, 2.067276394118534810e+00, 1.888559244871329534e+00, 2.042309140698489678e+00, 2.182370437420448894e+00, 2.207120587663837785e+00, 2.097321180280961705e+00, 2.515877033956148701e+00, 2.195110757010704905e+00, 2.090674658920807616e+00, 2.442953068447641485e+00
1.897000000000000000e+03, 1.979548446606444800e+00, 2.261601132135994341e+00, 2.199299391117341962e+00, 2.109714320352907180e+00, 2.442699046996800405e+00, 1.966006079057174283e+00, 1.974118943463486486e+00, 1.982229042228387028e+00, 1.994494090223018823e+00, 2.071053814976932195e+00, 2.217581367959629901e+00, 1.996649678673318107e+00, 2.456944702052859419e+00, 2.272884210451221687e+00, 2.160731202258393768e+00, 2.423753024916592391e+00
1.898000000000000000e+03, 2.151945447400969602e+00, 2.224972524122426076e+00, 2.197299173556215734e+00, 2.041363231762495900e+00, 2.307927620777109112e+00, 2.011178506661977838e+00, 2.027217400897039390e+00, 1.935359378619075033e+00, 2.089894448631913093e+00, 2.166194362753948166e+00, 2.355820785288138541e+00, 1.993613399534583941e+00, 2.531167564763609601e+00, 2.148055198822002243e+00, 2.195509058817014747e+00, 2.359383113998164916e+00
1.899000000000000000e+03, 2.045976822680163121e+00, 2.217558791790791073e+00, 2.113905711653640829e+00, 2.059191195714885847e+00, 2.368294533374222688e+00, 1.893577742047222623e+00, 2.048710357595387332e+00, 1.964987598751579467e+00, 2.120212102292013956e+00, 2.221176729432176256e+00, 2.245341203630727644e+00, 2.098327436615752717e+00, 2.496327475377658978e+00, 2.240645698996329482e+00, 2.096358764133178010e+00, 2.338919494071183713e+00
1.900000000000000000e+03, 2.057605539435976905e+00, 2.060344508944992548e+00, 2.170838364723739922e+00, 2.077509655688253964e+00, 2.297250907608847204e+00, 1.972259552394214133e+00, 2.090776489450215436e+00, 1.991176598953809718e+00, 2.087126649032164494e+00, 2.188259133618078334e+00, 2.260431571082021751e+00, 2.032517684141674774e+00, 2.501423559019497755e+00, 2.039550068312158349e+00, 2.130030164469111753e+00, 2.480027822840579432e+00
1.901000000000000000e+03, 2.034607630095327746e+00, 2.246005893982562451e+00, 2.267519624135056144e+00, 2.114202690750286440e+00, 2.293931948946964283e+00, 2.007711132163876311e+00, 2.231844821354013408e+00, 1.886044820390892829e+00, 2.101828117415749819e+00, 2.187791096538822089e+00, 2.299837704239171554e+00, 2.041099454997538754e+00, 2.552727182612677392e+00, 2.118550037030358268e+00, 2.108347451101730829e+00, 2.297428362339859920e+00
1.902000000000000000e+03, 2.067234546559217456e+00, 2.265514806349910870e+00, 2.128583887210226955e+00, 2.068168822765909631e+00, 2.327102503303652536e+00, 2.006367737989304789e+00, 2.154867936289001307e+00, 1.959198100517328900e+00, 2.023380396675015902e+00, 2.144753291648394455e+00, 2.262166859631710825e+00, 2.071051983940122909e+00, 2.517251046633850908e+00, 2.156458092165862706e+00, 2.069737537247288817e+00, 2.314756011751112119e+00
1.903000000000000000e+03, 1.992378996070404362e+00, 2.168767065001531602e+00, 2.182622658876934185e+00, 1.984317038632762875e+00, 2.280435267685620104e+00, 2.102408619600398598e+00, 2.045278738359675330e+00, 1.963378578625919024e+00, 2.078235087503419010e+00, 2.006532963296880467e+00, 2.315981739903327341e+00, 1.970041009772401486e+00, 2.512204327309408125e+00, 2.179217159770720613e+00, 2.105364444936570045e+00, 2.285269985839196494e+00
1.904000000000000000e+03, 2.062996222230720544e+00, 2.177708698165555568e+00, 2.100418601400316554e+00, 2.052650603840024512e+00, 2.373774245988349740e+00, 2.040041221089711865e+00, 2.042989096854669118e+00, 1.901925177263061650e+00, 2.133747779722388493e+00, 2.154958076202003081e+00, 2.294491916811975507e+00, 2.003294233963224702e+00, 2.567002776044024603e+00, 2.170527329259785088e+00, 2.159133034334910661e+00, 2.401173626287522733e+00
