year, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL
2.005000000000000000e+03, -1.510584654390081606e-09, 1.698626650870742036e-10, 6.726090926328398626e-11, 5.686469519470259517e-10
2.006000000000000000e+03, -1.458240529556641123e-09, 1.638981061553278748e-10, 4.508665332733188904e-11, 4.915010615187094728e-10
2.007000000000000000e+03, -1.430656927134000199e-09, 1.958023509256666342e-10, 2.660770284058649988e-10, 4.761800298552936781e-10
2.008000000000000000e+03, -1.517789052616846557e-09, 1.957293042627251168e-10, 2.231965848100796433e-10, 5.004674558159229584e-10
2.009000000000000000e+03, -1.518274938707797114e-09, 1.708192454012488571e-10, 7.937705695125923758e-11, 5.167390274303666709e-10
2.010000000000000000e+03, -1.451018059783019216e-09, 1.534365809633843844e-10, 5.901679400958773828e-11, 5.328529028333838034e-10
2.011000000000000000e+03, -1.361538661058816477e-09, 1.521960429215560831e-10, 5.678733400478210319e-11, 5.031610793726397542e-10
2.012000000000000000e+03, -1.525488816457723092e-09, 2.223408561609528370e-10, 4.525648662547455629e-10, 5.259100311567692034e-10
2.013000000000000000e+03, -1.398586847183829333e-09, 1.533103886147568082e-10, 8.060816905133192364e-11, 5.196550113314972713e-10
2.014000000000000000e+03, -1.511840350622261020e-09, 1.955330970765319588e-10, 4.860039778410664842e-10, 5.102796883411842876e-10
