year, EC-Earth3-Veg, CMCC-ESM2, CNRM-ESM2-1, TaiESM1, NorESM2-LM, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, MPI-ESM1-2-LR
1.884000000000000000e+03, 2.208980377562149060e-10, 9.959205815750224641e-11, 3.335040834664606894e-10, 1.267679880219478358e-10, 1.714528491909547961e-10, 9.304477783785777667e-11, 1.425477464424469859e-10, 1.165404135574647043e-11, 1.170352654101216447e-10, 1.343111218503123503e-10
1.885000000000000000e+03, 2.226984335690484180e-10, 9.822080087042399381e-11, 3.281482492891238866e-10, 1.259634556985072476e-10, 1.687139237559703407e-10, 9.309327848660162659e-11, 1.594026273768637565e-10, 1.256270560952128928e-11, 1.144902472411352112e-10, 1.348827396860521891e-10
1.886000000000000000e+03, 2.442197035651026018e-10, 9.849164265315145845e-11, 3.230544963896328254e-10, 1.263495022548093869e-10, 1.703950149811204287e-10, 9.415616735175553610e-11, 1.675433013133525950e-10, 1.306814518889074330e-11, 1.121158421563532789e-10, 1.354676911530365204e-10
1.887000000000000000e+03, 2.504123192105882598e-10, 9.835673144046681646e-11, 3.169386006192185783e-10, 1.255664822928542590e-10, 1.850975251366279021e-10, 9.482246681625931186e-11, 1.737700922451663423e-10, 1.376357265216006949e-11, 1.098793768131069111e-10, 1.345333877944375695e-10
1.888000000000000000e+03, 2.489698804484652258e-10, 1.022468423760368575e-10, 3.122063403409102182e-10, 1.264173293648767263e-10, 1.888141572738884520e-10, 9.631714295659237439e-11, 1.694004362043352448e-10, 1.489372099166219294e-11, 1.076553908691450434e-10, 1.340951290044402346e-10
1.889000000000000000e+03, 2.492217116967304096e-10, 1.021947240741588208e-10, 3.073221377695435117e-10, 1.266140421232175574e-10, 1.911324253462093247e-10, 9.665577034010105371e-11, 1.601692719795372522e-10, 1.524668925746080633e-11, 1.055354976095921062e-10, 1.332479770054924475e-10
1.890000000000000000e+03, 2.519285369013869959e-10, 1.341710916543091995e-10, 3.014482512676880881e-10, 2.146294201255408794e-10, 1.965979694816697349e-10, 9.860810843609019007e-11, 1.626735179158952421e-10, 1.865238805976681748e-11, 1.034471433602781288e-10, 1.226791674977541505e-10
1.891000000000000000e+03, 4.673996036962425420e-10, 1.379165696982885836e-10, 4.126208749796475185e-10, 2.209584544125535175e-10, 2.426603542652097719e-10, 1.357186542372871592e-10, 2.060911990754304288e-10, 2.481391490150585407e-11, 1.468379490936991478e-10, 1.157607324502919663e-10
1.892000000000000000e+03, 4.746477094429157196e-10, 1.421793284893358233e-10, 4.221181369640243020e-10, 2.256273707244545718e-10, 2.425427219315378581e-10, 1.393151689543519472e-10, 2.147560840660214769e-10, 3.124150303116896866e-11, 1.482499063370915471e-10, 1.140660097716043667e-10
1.893000000000000000e+03, 4.757244594229093829e-10, 1.448318426461555437e-10, 4.315397428830224996e-10, 2.324823965932552487e-10, 2.443771139442304120e-10, 1.422409087857469794e-10, 2.064984791980172339e-10, 3.537462073368102848e-11, 1.496217586224307827e-10, 1.123959804075626543e-10
1.894000000000000000e+03, 4.810066325081678071e-10, 1.458493871441109740e-10, 4.427860287148672032e-10, 2.396864702154482567e-10, 2.458408709575319202e-10, 1.458128849797149624e-10, 2.040765317990033274e-10, 3.818607535390335276e-11, 1.512714988073970730e-10, 1.113660132631672321e-10
