year, GFDL-ESM4, NorESM2-MM, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg
1.891000000000000000e+03, 7.735471206265254904e-10, 1.681824096346339257e-10, 5.225847893992510902e-10, 2.054346119261284625e-10, 2.614278030340871830e-10, 2.614278030340871830e-10, 5.225847893992510902e-10, 1.681824096346339257e-10, 7.752494819842191870e-10, 4.804104369955665821e-10, 1.401591947013635694e-10, 6.430938825684086392e-10
1.892000000000000000e+03, 5.923642412410079855e-10, 2.930952479688948534e-10, 4.208883665270484997e-10, 3.048923845409080847e-10, 2.563095302197370577e-10, 2.563095302197370577e-10, 4.208883665270484997e-10, 2.930952479688948534e-10, 5.941474416617701076e-10, 4.586759993705867213e-10, 1.489430811346482724e-10, 4.045543470227882283e-10
1.893000000000000000e+03, 6.641318320337298753e-10, 1.889339271466449692e-10, 4.541543366505969895e-10, 2.292748728962333867e-10, 2.107670276824791768e-10, 2.107670276824791768e-10, 4.541543366505969895e-10, 1.889339271466449692e-10, 6.659413009750298192e-10, 4.130922480671627462e-10, 1.227825898273199957e-10, 4.359590008288929319e-10
1.894000000000000000e+03, 6.043744726191386907e-10, 2.091782391514251496e-10, 4.509970763735008286e-10, 1.488782799353691440e-10, 1.826484454158764118e-10, 1.826484454158764118e-10, 4.509970763735008286e-10, 2.091782391514251496e-10, 6.062024936417030371e-10, 3.822812784670304889e-10, 1.507175957238150491e-10, 6.617310763741870664e-10
1.895000000000000000e+03, 5.725354355241382414e-10, 1.722119247528128279e-10, 3.688348600007908834e-10, 2.177635107585379371e-10, 2.637611066351663830e-10, 2.637611066351663830e-10, 3.688348600007908834e-10, 1.722119247528128279e-10, 5.743953252495273660e-10, 5.648246468407545182e-10, 1.920458930518861182e-10, 4.702795680763242779e-10
1.896000000000000000e+03, 6.398446733845809661e-10, 1.148195016690276863e-10, 3.669180119713119553e-10, 1.705512410858562366e-10, 2.253569957452387713e-10, 2.253569957452387713e-10, 3.669180119713119553e-10, 1.148195016690276863e-10, 6.417963272882538858e-10, 4.156683567730267314e-10, 1.215573550302413061e-10, 5.089930471914320563e-10
1.897000000000000000e+03, 6.733937106029660405e-10, 2.765819948289744478e-10, 5.414374041218571660e-10, 1.948589763651546840e-10, 2.633299912052579008e-10, 2.633299912052579008e-10, 5.414374041218571660e-10, 2.765819948289744478e-10, 6.753430161793628459e-10, 4.672814580092133082e-10, 2.221589053575123654e-10, 4.664651810070887532e-10
1.898000000000000000e+03, 5.355228123629273781e-10, 2.034081659364314928e-10, 6.239935679969200189e-10, 1.793626774392874240e-10, 2.257281949148592856e-10, 2.257281949148592856e-10, 6.239935679969200189e-10, 2.034081659364314928e-10, 5.375167191459530674e-10, 4.644688599508614270e-10, 3.125451825656606829e-10, 6.596454338768569814e-10
1.899000000000000000e+03, 5.170529164586412416e-10, 1.997601609498388365e-10, 4.865849320091005558e-10, 1.688794222842108882e-10, 2.156975790459429494e-10, 2.156975790459429494e-10, 4.865849320091005558e-10, 1.997601609498388365e-10, 5.190991121164678063e-10, 3.588118764111210657e-10, 1.596226639750765572e-10, 5.433848732494000766e-10
1.900000000000000000e+03, 5.445777378557459773e-10, 1.407155944523929183e-10, 3.956840397695304497e-10, 1.528916163680160962e-10, 1.996248502298391896e-10, 1.996248502298391896e-10, 3.956840397695304497e-10, 1.407155944523929183e-10, 5.466623259110299147e-10, 5.454462571465334608e-10, 2.033676711367979900e-10, 6.203769655041492192e-10
1.901000000000000000e+03, 9.820883433712348830e-10, 2.104705219725551833e-10, 3.800972617157182836e-10, 1.545294660884135588e-10, 2.396062905210768734e-10, 2.396062905210768734e-10, 3.800972617157182836e-10, 2.104705219725551833e-10, 9.842188897039303005e-10, 4.309661633460813572e-10, 1.506239446890709133e-10, 4.023374737591334899e-10
1.902000000000000000e+03, 7.264274920734665814e-10, 1.749875744231520650e-10, 3.990992101806825538e-10, 1.701596966614135816e-10, 2.338448685645467188e-10, 2.338448685645467188e-10, 3.990992101806825538e-10, 1.749875744231520650e-10, 7.285447812886545873e-10, 4.702450774108675118e-10, 1.107997257423216504e-10, 6.184444314670708588e-10
1.903000000000000000e+03, 7.358211598167100589e-10, 1.221453109818557679e-10, 3.440197972440436880e-10, 1.250872207392146095e-10, 1.927858974460630040e-10, 1.927858974460630040e-10, 3.440197972440436880e-10, 1.221453109818557679e-10, 7.379528098267610070e-10, 2.727447679142993251e-10, 8.600119795339012416e-11, 5.907203005805455415e-10
