year, TaiESM1, CNRM-ESM2-1, NorESM2-LM, MPI-ESM1-2-LR, GFDL-ESM4, CanESM5, MIROC-ES2L, NorESM2-MM, UKESM1-0-LL, CESM2-WACCM, EC-Earth3-Veg, ACCESS-ESM1-5, CMCC-CM2-SR5, IPSL-CM6A-LR
1.898000000000000000e+03, 4.729425075688109992e+00, 6.119960308821764450e+00, 4.156233765694411275e+00, 8.543725687797664392e+00, 6.778686230974264149e+00, 8.379287992299932597e+00, 9.200582081502670206e+00, 4.520770208525319411e+00, 8.551717181121251343e+00, 4.789893877603675243e+00, 5.700223865995650563e+00, 6.078019580229119256e+00, 6.091380999303027011e+00, 4.613406452893217491e+00
1.899000000000000000e+03, 4.509618039192779371e+00, 6.295742457593513031e+00, 4.261492280661462573e+00, 8.806182648803995150e+00, 6.839281529832787143e+00, 8.425612133041155971e+00, 9.030644018138845652e+00, 4.591661642859740766e+00, 8.527190808920311227e+00, 4.604841852298296345e+00, 5.923991461405209158e+00, 6.016883819697115499e+00, 5.878762643083558004e+00, 4.625934188830739480e+00
1.900000000000000000e+03, 4.667559178143733334e+00, 6.163007897273578450e+00, 4.248673797103409200e+00, 8.361088592587496038e+00, 7.158090991398911029e+00, 8.033833466620341923e+00, 8.835414205076974170e+00, 4.610714406792602027e+00, 8.486098276052141287e+00, 4.640908644336572131e+00, 5.492278475689432504e+00, 6.039295324237333062e+00, 5.979809817309441833e+00, 4.590366797941638488e+00
1.901000000000000000e+03, 4.894407095608797498e+00, 6.590098792487936841e+00, 4.374357925605635522e+00, 8.618662281991905871e+00, 6.859406677519847229e+00, 8.065146297959218558e+00, 8.934504248949910021e+00, 4.460077426977071546e+00, 8.765486527444824816e+00, 4.686078536704794573e+00, 5.384552318633225809e+00, 6.048915656983903766e+00, 6.206004350117331647e+00, 4.681366085480628492e+00
1.902000000000000000e+03, 4.532850163013072198e+00, 6.466676747562266847e+00, 4.417388113421127471e+00, 8.535501754494855930e+00, 6.811064411726544421e+00, 8.091827231176131008e+00, 9.080054626661395289e+00, 4.632920262216566165e+00, 8.670143856653300674e+00, 4.511777710689373500e+00, 5.792600624141244658e+00, 5.954373658280875503e+00, 5.997465321726952681e+00, 4.681647274218249777e+00
1.903000000000000000e+03, 4.664479407893622920e+00, 6.593626619299051583e+00, 4.444549084153966767e+00, 8.525948354658785533e+00, 6.620277327086731667e+00, 8.027457134601206690e+00, 8.667858601489600190e+00, 4.583158642148934980e+00, 8.683230622629913853e+00, 4.601840200475198372e+00, 4.929060712933391208e+00, 5.823825065626440534e+00, 5.765487318657797289e+00, 4.612186921329247014e+00
1.904000000000000000e+03, 4.625086657581012339e+00, 6.157887596602296121e+00, 4.412547002281557162e+00, 8.663567604456947180e+00, 6.932798071200310552e+00, 8.114565316687778918e+00, 8.668172778857513805e+00, 4.697949848155151820e+00, 8.551697930509263301e+00, 4.586406214631295164e+00, 5.341125990772402687e+00, 5.915940814366685174e+00, 5.984626125687222853e+00, 4.660040900800119346e+00
1.905000000000000000e+03, 4.673086736470184022e+00, 5.984424261333808559e+00, 4.460629704239543081e+00, 8.881234170130888117e+00, 6.735582140818483943e+00, 7.993028211405894368e+00, 8.676898106585761994e+00, 4.316492835431391839e+00, 8.187274799017760785e+00, 4.419666499391773584e+00, 5.540055003990256743e+00, 5.986584914661031043e+00, 6.075692512841412096e+00, 4.613934978114247798e+00
1.906000000000000000e+03, 4.673787638783099219e+00, 6.161322047144209613e+00, 4.347551462045425197e+00, 8.879738174671230055e+00, 6.963545255715010818e+00, 8.200640388268766401e+00, 8.707118239258305081e+00, 4.607600757129959312e+00, 8.554887899911797433e+00, 4.613135258555027818e+00, 5.102950205520836668e+00, 6.065905332551865037e+00, 5.711621188774914870e+00, 4.663178938706373344e+00
1.907000000000000000e+03, 4.740045616983092458e+00, 6.452948195135374654e+00, 4.261931127762370153e+00, 8.660563542958673366e+00, 6.713639368258284001e+00, 8.186057001845588488e+00, 8.641091274577942016e+00, 4.318726865653425229e+00, 8.404495563652313095e+00, 4.290956166937749394e+00, 4.948746119542031252e+00, 6.019488237141771059e+00, 5.978111313133487315e+00, 4.607927552953996475e+00
1.908000000000000000e+03, 4.510637655194503104e+00, 6.368933191719027498e+00, 4.306019614369574811e+00, 8.401620404049314317e+00, 6.275737683126914490e+00, 8.317809750193967844e+00, 9.056366836379567076e+00, 4.506204013950772413e+00, 8.644670424817684662e+00, 4.493860335794987115e+00, 6.089044970096736620e+00, 5.935818638167172701e+00, 6.009633299793784467e+00, 4.583305663240422767e+00
1.909000000000000000e+03, 4.677849734284367678e+00, 6.554331408211359289e+00, 4.428285915024528840e+00, 8.722752711110207002e+00, 6.507950424827116720e+00, 8.447351605249030726e+00, 8.810412734340486551e+00, 4.434191485665020416e+00, 8.574073556362971971e+00, 4.677340160420730086e+00, 5.488645267354224089e+00, 6.074601816420376110e+00, 5.971142124977353305e+00, 4.565137079663538877e+00
1.910000000000000000e+03, 4.782304910516436358e+00, 6.362802320671948841e+00, 4.427115073401258094e+00, 8.609190558443650332e+00, 6.821195679252028299e+00, 8.278357945018756325e+00, 8.681750283793521206e+00, 4.510960334017299900e+00, 8.464376573025056416e+00, 4.322111803719733913e+00, 5.196301898721662482e+00, 5.918844033097746760e+00, 6.303007255826652333e+00, 4.634479703671715356e+00
1.911000000000000000e+03, 4.685323549741919003e+00, 6.241464068473589144e+00, 4.279223241695627067e+00, 8.616158397752712972e+00, 6.760340211702962954e+00, 8.382575651957091978e+00, 9.077008602210968391e+00, 4.890121982334981965e+00, 8.136456191473413924e+00, 4.516752078781067326e+00, 5.330843760626834182e+00, 5.999918517983811483e+00, 5.848051504639010467e+00, 4.699045021916629317e+00
1.912000000000000000e+03, 4.496672973702355414e+00, 6.718974836582655819e+00, 4.314263320860524331e+00, 8.506215483775756425e+00, 6.579491544387559898e+00, 8.098936921553265833e+00, 8.944900004211136846e+00, 4.633666994187313648e+00, 8.244737479340674469e+00, 4.324965526769890545e+00, 5.100193300389662454e+00, 5.941925827722177367e+00, 6.190694332853015069e+00, 4.585046476717844932e+00
1.913000000000000000e+03, 4.405991004770007713e+00, 6.219351536806458469e+00, 4.226826057007039950e+00, 8.033760864783676681e+00, 6.563579989204391119e+00, 8.494023365355506172e+00, 8.476336651009150458e+00, 4.578311869098470765e+00, 8.622912877030424639e+00, 4.404104872304058560e+00, 5.354209460846573343e+00, 5.873027463284547167e+00, 5.810977206766116510e+00, 4.505717876888205353e+00
