year, INM-CM5-0, CMCC-CM2-SR5, MIROC-ES2L, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, UKESM1-0-LL, TaiESM1, INM-CM4-8, CanESM5, NorESM2-MM
1.889000000000000000e+03, 1.135306084438344527e+02, 5.867592175346707961e+01, 8.093302813636047688e+01, 5.894446422167400357e+01, 4.156212288905686592e+01, 9.789216582486899654e+01, 4.245434496823720849e+01, 6.187830343076677053e+01, 6.713011707518501225e+01, 9.006084559775764831e+01, 8.422488912902521463e+01, 7.543126794811648494e+01, 4.689054096462413668e+01, 1.124299430550432106e+02, 7.029575286402260303e+01, 6.395781773096606315e+01
1.890000000000000000e+03, 1.136575580407304500e+02, 5.847151076558571958e+01, 8.072397436131939230e+01, 5.869510671973351634e+01, 4.142450179735161697e+01, 9.797208431816598306e+01, 4.225570002087413002e+01, 6.186360668268432761e+01, 6.713324336976450013e+01, 8.982861204109985920e+01, 8.422504428628370476e+01, 7.533956227558149976e+01, 4.692047379348976932e+01, 1.125515846983143859e+02, 7.007871953521262753e+01, 6.394120715012886791e+01
1.891000000000000000e+03, 1.137659898669272138e+02, 5.883229060823509116e+01, 8.011518833305878218e+01, 5.884647999369045124e+01, 4.125611297085047369e+01, 9.784833847022196096e+01, 4.196806846652282985e+01, 6.162390437112566843e+01, 6.690348240763680110e+01, 8.951782946050880696e+01, 8.380024610042232780e+01, 7.525156354244539614e+01, 4.634412710640213362e+01, 1.124526653990222940e+02, 6.981033668933301328e+01, 6.381071918703657531e+01
1.892000000000000000e+03, 1.140662010268584794e+02, 5.874328314188452538e+01, 7.986948653768921247e+01, 5.841770926173185075e+01, 4.074542750838679694e+01, 9.756132090122780198e+01, 4.170131869457338780e+01, 6.147574412188532733e+01, 6.650277130668294490e+01, 8.902013775920842420e+01, 8.328184119924407014e+01, 7.529632627742782347e+01, 4.555453500972276260e+01, 1.126822723283983549e+02, 6.978002827120963047e+01, 6.358425632503917768e+01
1.893000000000000000e+03, 1.140934982685872257e+02, 5.855339990806065487e+01, 7.989028538015392655e+01, 5.774989638093983757e+01, 4.057543937262155964e+01, 9.726330578414237493e+01, 4.151973879052031435e+01, 6.134372292672549776e+01, 6.605021464041432466e+01, 8.857379965513605669e+01, 8.324666898981716656e+01, 7.516655393236493410e+01, 4.517474482385834023e+01, 1.128808343553910447e+02, 6.975517325569173011e+01, 6.331305048235012123e+01
1.894000000000000000e+03, 1.140062615952915195e+02, 5.888593213570889873e+01, 7.985979058388210206e+01, 5.749205385038850835e+01, 4.055335830217424586e+01, 9.706519955260921506e+01, 4.136198484492189209e+01, 6.127339778544667581e+01, 6.595611688167964815e+01, 8.824545248925812757e+01, 8.306795718092200786e+01, 7.490297147769724972e+01, 4.597659098598258254e+01, 1.128817982963230406e+02, 6.963655562646410146e+01, 6.306735883551163369e+01
1.895000000000000000e+03, 1.139195121666678716e+02, 5.853571519811193724e+01, 7.961211171280855581e+01, 5.716251148404438709e+01, 4.046099793960736690e+01, 9.697137216853535335e+01, 4.122227894389840230e+01, 6.114812292927110349e+01, 6.581189954686797705e+01, 8.787249863231943436e+01, 8.295498725675241758e+01, 7.460819704261295726e+01, 4.588694101985645801e+01, 1.128765966538546337e+02, 6.952801954760964520e+01, 6.289424803893537330e+01
1.896000000000000000e+03, 1.138865036409482769e+02, 5.726483257178348651e+01, 7.915295013206002750e+01, 5.689378822854220630e+01, 4.030018158755278534e+01, 9.692905443920147945e+01, 4.115156449473175826e+01, 6.109441507529423632e+01, 6.556039602911592112e+01, 8.760139352228608800e+01, 8.286200856236271761e+01, 7.441946720932706683e+01, 4.506189325070617002e+01, 1.126193712826442095e+02, 6.970055099616489258e+01, 6.280089142791545243e+01
1.897000000000000000e+03, 1.138541092886916886e+02, 5.726787963781488600e+01, 7.866425595498691337e+01, 5.654760433112153351e+01, 4.037332620801171146e+01, 9.700382976197467144e+01, 4.097549392516269506e+01, 6.080452235050378818e+01, 6.535681638616799205e+01, 8.717963368207730923e+01, 8.244965349669649868e+01, 7.427324305880505051e+01, 4.460252401677059453e+01, 1.125938100401979796e+02, 6.974310828724229339e+01, 6.276617927665879648e+01
1.898000000000000000e+03, 1.139065510942160131e+02, 5.679071425666183615e+01, 7.865568037857482864e+01, 5.621396907286712974e+01, 4.027922087336973789e+01, 9.706436395303811082e+01, 4.072324578532258954e+01, 6.050353707088866884e+01, 6.532888316556883979e+01, 8.669376040865009259e+01, 8.207190300801262595e+01, 7.401074310715327442e+01, 4.395033216287161792e+01, 1.128111650773685142e+02, 6.964918133385752697e+01, 6.277769979413638168e+01
