year, NorESM2-LM, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, INM-CM4-8, MIROC-ES2L, GFDL-ESM4, CanESM5, UKESM1-0-LL, TaiESM1, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-ESM2, EC-Earth3-Veg, INM-CM5-0
2.050000000000000000e+03, 1.423455292765592795e+00, 1.546177047523629833e+00, 1.690594723554617262e+00, 1.578003625672746324e+00, 1.092085821996473971e+00, 1.053060781598631701e+00, 8.002732026064403037e-01, 2.735812616851634793e+00, 1.233956298048964229e+00, 2.139078714966185846e+00, 1.366844189272450771e+00, 1.384544876204942154e+00, 1.347214341586969288e+00, 2.169401617436717888e+00, 1.196374863385127219e+00, 1.071329817615510160e+00
2.051000000000000000e+03, 1.496317953708101944e+00, 1.561854343255650868e+00, 1.713652691320345145e+00, 1.591789413294447897e+00, 1.122007047265517476e+00, 1.069897588055468640e+00, 8.724717087799591653e-01, 2.741988207850318826e+00, 1.280533434441792240e+00, 2.118704772661054392e+00, 1.387741385050259346e+00, 1.392210822840782569e+00, 1.315604479344195443e+00, 2.174274984320192061e+00, 1.283563059707247822e+00, 1.053887503668537118e+00
2.052000000000000000e+03, 1.550047848818028040e+00, 1.559191477874553700e+00, 1.674941421290496946e+00, 1.596342286786675002e+00, 1.136903429107617436e+00, 1.048520699163801195e+00, 8.686259370237511268e-01, 2.796284306218382643e+00, 1.289869830274470441e+00, 2.134432666584542115e+00, 1.308584783769107585e+00, 1.430577314077419393e+00, 1.221769124426655306e+00, 2.230441480465088500e+00, 1.377367131146959967e+00, 1.128156332404131046e+00
2.053000000000000000e+03, 1.544482684538925232e+00, 1.578308104343122409e+00, 1.717171165326815130e+00, 1.583196594713374150e+00, 1.121820183708014618e+00, 1.020658922367302601e+00, 8.641348809048607915e-01, 2.769281105040451330e+00, 1.301341290270514151e+00, 2.094694201306995129e+00, 1.321612625815209663e+00, 1.403865681264449439e+00, 1.295351976555714213e+00, 2.280922004615766774e+00, 1.336136409791216506e+00, 1.142556998527136436e+00
2.054000000000000000e+03, 1.453905884472953325e+00, 1.550164817368744785e+00, 1.770818372660241113e+00, 1.556839799431219307e+00, 1.140529953057769053e+00, 1.034385891079105724e+00, 8.603853270083917648e-01, 2.790711245176523025e+00, 1.272847444774031889e+00, 2.158007541836848286e+00, 1.353345818366009201e+00, 1.410165850780765950e+00, 1.333417289532294880e+00, 2.224903525978418894e+00, 1.430506343536432468e+00, 1.044439818345776150e+00
2.055000000000000000e+03, 1.572557693681045476e+00, 1.564558125730318494e+00, 1.812599208425146324e+00, 1.566378647781055733e+00, 1.145925258044138806e+00, 1.055873348231843867e+00, 8.473606857656319491e-01, 2.781322710459768643e+00, 1.303047018920507005e+00, 2.189083192308082015e+00, 1.371318903849248594e+00, 1.430138466306689393e+00, 1.305380163348054623e+00, 2.176924426089563713e+00, 1.366361472884517259e+00, 1.043733607464065738e+00
2.056000000000000000e+03, 1.645460847153767503e+00, 1.576410661979881445e+00, 1.733891553126309493e+00, 1.553073021881276938e+00, 1.140314927074933093e+00, 1.046278201339074343e+00, 8.629894572206242565e-01, 2.783923560801200292e+00, 1.306526983124467467e+00, 2.211445309788893976e+00, 1.394122838439610046e+00, 1.447325662461468765e+00, 1.350653575265119199e+00, 2.208444821931907942e+00, 1.362496927576325234e+00, 1.035872749063757592e+00
2.057000000000000000e+03, 1.599013613987102955e+00, 1.551643076945000033e+00, 1.823527386032454567e+00, 1.517180352302176294e+00, 1.135776431422642618e+00, 1.078521473278388543e+00, 8.933303679346337178e-01, 2.821874427302780486e+00, 1.337676033121684593e+00, 2.196300570911600136e+00, 1.405791291520781749e+00, 1.476958576748877761e+00, 1.318370014345811247e+00, 2.334094690440114306e+00, 1.320400150731320110e+00, 1.095071551682838429e+00
2.058000000000000000e+03, 1.576655753843799079e+00, 1.554153327947766616e+00, 1.769619126224902583e+00, 1.501486980941961091e+00, 1.143421699088922328e+00, 1.082631457479788173e+00, 8.922842229872262054e-01, 2.835801843316744453e+00, 1.348372195419205166e+00, 2.193493982901239647e+00, 1.359743290872142296e+00, 1.492397828798853077e+00, 1.304570457034917252e+00, 2.295716410041925837e+00, 1.341430243318635585e+00, 1.093355826400478126e+00
2.059000000000000000e+03, 1.588176704374693937e+00, 1.551372623361679581e+00, 1.764506822559733346e+00, 1.525219740193253459e+00, 1.164150268108906650e+00, 1.090123606873946160e+00, 9.025656678458796600e-01, 2.833398387092657345e+00, 1.357373845354945763e+00, 2.190268815059011498e+00, 1.378736743197474635e+00, 1.438884849124993703e+00, 1.333704759191528089e+00, 2.264347592631683614e+00, 1.340585499908606426e+00, 1.173683579402209576e+00
2.060000000000000000e+03, 1.625074345826161393e+00, 1.567392425621977115e+00, 1.785375901184304226e+00, 1.495085892350183077e+00, 1.160371367983398905e+00, 1.104021227474486277e+00, 8.791693149048797062e-01, 2.884669063823948054e+00, 1.390302169095991358e+00, 2.196008637669294661e+00, 1.437450259356888305e+00, 1.369073322444149365e+00, 1.331790138848592209e+00, 2.162723611016037939e+00, 1.327943564394339360e+00, 1.158870043335223254e+00
2.061000000000000000e+03, 1.642790005571066247e+00, 1.583171735366704969e+00, 1.794356335325217655e+00, 1.581259424770922628e+00, 1.131055706893260071e+00, 1.116756235628148852e+00, 9.011190475477947048e-01, 2.852406012274658842e+00, 1.401740170445346712e+00, 2.192325757155791255e+00, 1.458664739150822731e+00, 1.375935578655213209e+00, 1.449247908898962489e+00, 2.259656160907260514e+00, 1.389012636565736925e+00, 1.077144425136083550e+00
2.062000000000000000e+03, 1.677324715745363015e+00, 1.584003172529950376e+00, 1.828766472120350928e+00, 1.631151962580307258e+00, 1.155206948757633523e+00, 1.118178127199788152e+00, 8.978298235246934267e-01, 2.867260327993098823e+00, 1.442544711493197518e+00, 2.205328560106760261e+00, 1.441042404606972527e+00, 1.402873121444348392e+00, 1.450923756622826799e+00, 2.370841778552957635e+00, 1.406426012338634290e+00, 1.137992837095519683e+00
2.063000000000000000e+03, 1.643229296639040493e+00, 1.572058950776071606e+00, 1.890554572604699501e+00, 1.674594476626673378e+00, 1.204621625884430225e+00, 1.118336234756841741e+00, 8.527052151553125015e-01, 2.865623436679026081e+00, 1.469503726090284790e+00, 2.189155912162170647e+00, 1.392309304395537239e+00, 1.435535340522856140e+00, 1.330827468727340035e+00, 2.427589217062071647e+00, 1.388540382266141071e+00, 1.127017557999845154e+00
2.064000000000000000e+03, 1.673695858711937712e+00, 1.581493081751284890e+00, 1.954414510998399024e+00, 1.695322559018558328e+00, 1.168979945426550149e+00, 1.127406510470597478e+00, 9.138233352327918002e-01, 2.881292627987598998e+00, 1.435026007127178316e+00, 2.217164494781207029e+00, 1.435332464952970399e+00, 1.472755160304566324e+00, 1.404060816222648223e+00, 2.352554847846034747e+00, 1.373594257416270947e+00, 1.099350553152157906e+00
2.065000000000000000e+03, 1.517490879569268314e+00, 1.573556167776171355e+00, 1.957321917395955735e+00, 1.696575625175455126e+00, 1.195538566892826227e+00, 1.115701584296264759e+00, 9.249201858403458543e-01, 2.905320701211534296e+00, 1.463671761369663038e+00, 2.250597452655804798e+00, 1.479308296786252530e+00, 1.468257404697011159e+00, 1.375055096491010431e+00, 2.359072505584448809e+00, 1.424770598597278726e+00, 1.095689468941298372e+00
