year, NorESM2-LM, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4
2.077000000000000000e+03, 2.422580423317924248e-10, 2.165833067970362112e-10, 1.604329344043908520e-09, 3.014433789400598696e-10, 6.597688943150686312e-10
2.078000000000000000e+03, 4.459111990103506035e-10, 2.076345811662468752e-10, 1.164669680974540866e-09, 4.778224773516191361e-10, 6.613839129556568362e-10
2.079000000000000000e+03, 2.613326731472819403e-10, 2.378240280324642392e-10, 1.032626794473819940e-09, 4.364023168428878217e-10, 6.097591880767372282e-10
2.080000000000000000e+03, 2.273308390770073918e-10, 2.420374281623977462e-10, 1.262241492075298545e-09, 3.265852683306821376e-10, 7.794314703668257528e-10
2.081000000000000000e+03, 1.688931525915779203e-10, 2.367337724565939780e-10, 1.121895041510001100e-09, 1.924700814296071049e-10, 6.690447872059882399e-10
2.082000000000000000e+03, 3.983842040063282373e-10, 2.539894102384524169e-10, 1.175107388596294605e-09, 2.797119559804061343e-10, 7.816875186213980765e-10
2.083000000000000000e+03, 1.195429665748101870e-10, 2.068831204943240439e-10, 1.148760142183427263e-09, 3.168416727755276266e-10, 6.153420836847366587e-10
2.084000000000000000e+03, 2.234048846193450736e-10, 2.557357295414557273e-10, 1.702611695848968115e-09, 4.157771916754496562e-10, 7.948957956330424590e-10
2.085000000000000000e+03, 3.471804649100353070e-10, 2.655892874564279410e-10, 1.410456022731701480e-09, 6.001327786155736083e-10, 9.562922871487560733e-10
2.086000000000000000e+03, 4.852214490971221793e-10, 2.219975076280705339e-10, 1.461390815858140398e-09, 3.194425719458733809e-10, 7.954621944247061390e-10
2.087000000000000000e+03, 3.581239515753271344e-10, 2.228732866868412261e-10, 1.132635921763078557e-09, 4.067372282626950480e-10, 6.319805028444857129e-10
2.088000000000000000e+03, 2.276233401701152253e-10, 2.647713373101525566e-10, 1.062959902590733388e-09, 4.864251502238332635e-10, 1.202960486239341489e-09
2.089000000000000000e+03, 1.808374768068092829e-10, 2.339418781351428367e-10, 9.572201304383847238e-10, 2.358316619595417606e-10, 7.691127704295645891e-10
2.090000000000000000e+03, 5.036778823311926915e-10, 2.773214207046148806e-10, 1.181046973201704011e-09, 3.174392684469841130e-10, 7.282303200438745443e-10
2.091000000000000000e+03, 1.581570789779272543e-10, 2.291441793650726852e-10, 1.207308475274518468e-09, 7.034678435519353110e-10, 7.156441858950795803e-10
2.092000000000000000e+03, 3.202492462124108792e-10, 2.433466459406908732e-10, 1.615487363310510192e-09, 3.330177859776450358e-10, 7.926061493674943066e-10
2.093000000000000000e+03, 1.162869233882201671e-10, 2.748980985024114379e-10, 1.284757355514860500e-09, 4.258735868492080582e-10, 6.888317312067260692e-10
2.094000000000000000e+03, 2.258701234174017649e-10, 2.846920896540743919e-10, 1.067177322726824550e-09, 4.260688057902856271e-10, 6.975653161154058208e-10
2.095000000000000000e+03, 2.418822025130434856e-10, 2.192008902009916150e-10, 1.176502828963018480e-09, 4.242093812762670536e-10, 8.453906488280846438e-10
2.096000000000000000e+03, 3.348751223141434474e-10, 2.396936132007467179e-10, 1.785912754816083275e-09, 6.356401724242989970e-10, 8.850293333092842161e-10
2.097000000000000000e+03, 2.254663197968140876e-10, 2.515348765344095020e-10, 1.397507139627568489e-09, 6.115322355523965749e-10, 8.125760402108988368e-10
2.098000000000000000e+03, 1.855175945986187089e-10, 2.974908576770460344e-10, 1.884138596702153773e-09, 4.385357687602118682e-10, 7.942602499533337604e-10
2.099000000000000000e+03, 2.706004726730517800e-10, 2.254670784633614578e-10, 1.561877635441685184e-09, 5.316376015740575971e-10, 6.679892908031610734e-10
2.100000000000000000e+03, 6.258887626499132668e-11, 2.330016213562826085e-10, 1.323996538276293610e-09, 3.225262552878482417e-10, 8.358650389949186460e-10
