year, IPSL-CM6A-LR, UKESM1-0-LL, INM-CM5-0, NorESM2-MM, EC-Earth3-Veg, TaiESM1, CanESM5, INM-CM4-8, MPI-ESM1-2-LR, MIROC-ES2L, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, GFDL-ESM4
2.053000000000000000e+03, 1.174563805642777936e+01, 1.420286054905339945e+01, 1.164209539333964294e+01, 1.211572773182545859e+01, 1.363763436505130677e+01, 8.233090155366529217e+00, 1.432298911694524968e+01, 1.078816504917120866e+01, 1.466654879781608578e+01, 1.435079402587871833e+01, 1.264514197559049613e+01, 1.319751598479166432e+01, 1.035089786792468303e+01, 1.230174756055876273e+01, 1.005944184960597276e+01, 1.291406174743700674e+01
2.054000000000000000e+03, 1.206825069157698493e+01, 1.445418892899924579e+01, 1.062741057859499882e+01, 1.171193321461052328e+01, 1.315043229711297634e+01, 8.371865397610651627e+00, 1.358831757317291711e+01, 1.084102245559561872e+01, 1.299140835511972725e+01, 1.400214023427717436e+01, 1.253288930080090857e+01, 1.380900015453220320e+01, 9.858448270029004590e+00, 1.275094758573709264e+01, 1.022540333380979583e+01, 1.296988006461774212e+01
2.055000000000000000e+03, 1.227421378737916235e+01, 1.517598950596764773e+01, 1.100993929490487311e+01, 1.184687402961224656e+01, 1.263995202627098280e+01, 8.531227891909447081e+00, 1.432339485266081880e+01, 1.091465329400671180e+01, 1.397993805986951621e+01, 1.366366647206952933e+01, 1.302924725830511399e+01, 1.328208449510112032e+01, 1.230924972453177979e+01, 1.274893189047944908e+01, 1.055366547841585501e+01, 1.310479666074050265e+01
2.056000000000000000e+03, 1.206539581970475083e+01, 1.592395469868244184e+01, 1.084485152329055246e+01, 1.174310881011715857e+01, 1.242937877649076306e+01, 8.680806159185422644e+00, 1.394732484368615211e+01, 1.044523160541958262e+01, 1.469668197384612185e+01, 1.450188506049639159e+01, 1.242310253040284174e+01, 1.278166612668786861e+01, 1.228477053762260951e+01, 1.320410063367562437e+01, 1.082122158249070409e+01, 1.356591767128552384e+01
2.057000000000000000e+03, 1.201462641924161545e+01, 1.527368810632270701e+01, 1.135349123986071085e+01, 1.134526202674000039e+01, 1.232013782889475451e+01, 8.735046054737411581e+00, 1.478398115884543174e+01, 1.170028779589348922e+01, 1.345955124955561999e+01, 1.510290614707725254e+01, 1.297307409710550807e+01, 1.418720131668017004e+01, 1.100228556874311003e+01, 1.322516493014519412e+01, 1.092585365681875587e+01, 1.356179498924723070e+01
2.058000000000000000e+03, 1.226460687130823146e+01, 1.520401570621302589e+01, 1.093010412422947475e+01, 1.163602602670318298e+01, 1.290871719140607432e+01, 8.510619608833295047e+00, 1.457762482045279917e+01, 1.117808597382046187e+01, 1.342580586267981957e+01, 1.528538893616367034e+01, 1.176685757022776357e+01, 1.268367745099763688e+01, 1.121855199424604521e+01, 1.273209572844696069e+01, 1.100331541539348024e+01, 1.409756335794480897e+01
2.059000000000000000e+03, 1.264184577993520620e+01, 1.496202832166933128e+01, 1.172934717863388698e+01, 1.231434313930049207e+01, 1.246228567297208656e+01, 8.707776104630328362e+00, 1.464795362850762928e+01, 1.118604510777645267e+01, 1.413493439020571962e+01, 1.471696633869025739e+01, 1.230532990718117148e+01, 1.301520890342951553e+01, 1.167360430387468107e+01, 1.316768847242324014e+01, 1.032768900812355994e+01, 1.345608186275174312e+01
2.060000000000000000e+03, 1.258164831764061020e+01, 1.573298005766365293e+01, 1.189377781494544273e+01, 1.108915785656849096e+01, 1.291443562849000770e+01, 9.196720549306753867e+00, 1.522686591108506349e+01, 1.119026049413160884e+01, 1.399390225598191506e+01, 1.426947362572504119e+01, 1.299178316129168920e+01, 1.383609129114258529e+01, 1.198651161118404040e+01, 1.312636951898762483e+01, 9.863410904662547551e+00, 1.488788698967364610e+01
2.061000000000000000e+03, 1.179085589234635201e+01, 1.538592745338284651e+01, 1.104116317580604623e+01, 1.274122879407340569e+01, 1.298666916171343289e+01, 8.992697387875338677e+00, 1.552952549366995250e+01, 1.087027816657418455e+01, 1.482134241097865512e+01, 1.508404038503983280e+01, 1.250906938494244969e+01, 1.360819962148576323e+01, 1.148157652367458859e+01, 1.445882034712312070e+01, 1.031471618397432977e+01, 1.380708047356386281e+01
2.062000000000000000e+03, 1.254893268948702811e+01, 1.545982289121681852e+01, 1.193069337280271824e+01, 1.273020353885565648e+01, 1.403167470842391218e+01, 8.994422202272533085e+00, 1.592424811540833929e+01, 1.161974230138000053e+01, 1.512491528560837217e+01, 1.495367655313565791e+01, 1.375750888787281845e+01, 1.391077925327364362e+01, 1.243181806314536786e+01, 1.459475725913303634e+01, 1.054983284030804569e+01, 1.410176424509955595e+01
2.063000000000000000e+03, 1.337882032795143061e+01, 1.531146391616633196e+01, 1.151402965311805104e+01, 1.311339663487562035e+01, 1.241858921193596998e+01, 8.652046467780309058e+00, 1.631288457312407658e+01, 1.108560406308883373e+01, 1.413686205466359347e+01, 1.424609888856082129e+01, 1.251494758117462602e+01, 1.407780299047242600e+01, 1.233772748079157999e+01, 1.341825190969450254e+01, 1.086849630935185651e+01, 1.382367419930679731e+01
2.064000000000000000e+03, 1.245229823700797134e+01, 1.533996667893132226e+01, 1.140429641439034647e+01, 1.291283318281439563e+01, 1.364872368192567187e+01, 9.268434865983957494e+00, 1.549117791786893683e+01, 1.144368978518604152e+01, 1.431522961202366417e+01, 1.520046221099123329e+01, 1.238565309758002364e+01, 1.496066685566457544e+01, 1.156552463034883615e+01, 1.424773418725932395e+01, 1.089849245887062246e+01, 1.402403967138461738e+01
2.065000000000000000e+03, 1.305128674499891694e+01, 1.618064401570731903e+01, 1.149067676825311146e+01, 1.278878804877772168e+01, 1.360184553376041805e+01, 9.209703587910702538e+00, 1.607699139323770865e+01, 1.173097622073998814e+01, 1.413225751933501861e+01, 1.538132000857408066e+01, 1.300147459707964082e+01, 1.442463597020365462e+01, 1.041089324772239877e+01, 1.395661770462778861e+01, 1.123259745441967716e+01, 1.454270196979012120e+01
2.066000000000000000e+03, 1.237540474262703860e+01, 1.582414248728225559e+01, 1.157447811842879482e+01, 1.275484157168621380e+01, 1.388223975323983694e+01, 9.010320864739739477e+00, 1.627950179182833423e+01, 1.191328758915347663e+01, 1.490857759678173444e+01, 1.550508594131524198e+01, 1.289206579461499835e+01, 1.358691006573231874e+01, 1.291091325567837700e+01, 1.527362676073827963e+01, 1.120359373094679079e+01, 1.477911642424651362e+01
2.067000000000000000e+03, 1.292721249295346375e+01, 1.621983165334906474e+01, 1.196995798091665364e+01, 1.258573928633314232e+01, 1.466304218534388681e+01, 9.135945874044235637e+00, 1.660913193463874649e+01, 1.141968068819651450e+01, 1.443574356236113587e+01, 1.467717684381203469e+01, 1.321677840406722737e+01, 1.461522705430818370e+01, 1.227691466740223269e+01, 1.452157868408926156e+01, 1.119581638229284870e+01, 1.478263231409738587e+01
2.068000000000000000e+03, 1.277616257741590289e+01, 1.609233622091214500e+01, 1.168759762551071901e+01, 1.267353940395131495e+01, 1.334941438167900429e+01, 9.461558500120659687e+00, 1.597859150434248576e+01, 1.139692147384830534e+01, 1.556076130601408991e+01, 1.563200436680443239e+01, 1.376546885370407125e+01, 1.399869178796290115e+01, 1.206563774066492734e+01, 1.496692461137109120e+01, 1.122048472210563652e+01, 1.519352232303850947e+01
2.069000000000000000e+03, 1.330239271781501920e+01, 1.543699187278782858e+01, 1.159436981875930073e+01, 1.317403430388187147e+01, 1.432045106042399141e+01, 9.544425533100678649e+00, 1.621220035146960470e+01, 1.193960249880701241e+01, 1.573570717773186445e+01, 1.598802048527813646e+01, 1.249577417874486152e+01, 1.492085280392214308e+01, 1.193996238036719504e+01, 1.509065787957557703e+01, 1.140548370195121564e+01, 1.538499908573645314e+01
2.070000000000000000e+03, 1.304941955768267547e+01, 1.570009493344755214e+01, 1.210237235815606915e+01, 1.379458278939328686e+01, 1.396205901977946162e+01, 9.122035236962116045e+00, 1.535336755259793584e+01, 1.213365501545914071e+01, 1.557278311228623124e+01, 1.539174479753608438e+01, 1.299663294751831799e+01, 1.506238539110267638e+01, 1.199663986511502678e+01, 1.487060745130180450e+01, 1.152431956457795792e+01, 1.551962754868258898e+01
2.071000000000000000e+03, 1.364161196900954032e+01, 1.619377600212667190e+01, 1.218584237050439434e+01, 1.333859776119687268e+01, 1.449771900530445912e+01, 8.988082448387469725e+00, 1.533122149514474231e+01, 1.142884723044340944e+01, 1.484001455462842145e+01, 1.564100009349731657e+01, 1.358685496608654120e+01, 1.439989210438555034e+01, 1.170225431512407610e+01, 1.503094668159865144e+01, 1.120336784204572389e+01, 1.508423852485196015e+01
2.072000000000000000e+03, 1.396856387217821194e+01, 1.614929852492097240e+01, 1.163516893932615304e+01, 1.402495490539769918e+01, 1.351560397537574509e+01, 9.284608424311914021e+00, 1.619478318696269525e+01, 1.172466961101889638e+01, 1.498664790965209370e+01, 1.461521020861611930e+01, 1.373994777778803211e+01, 1.519176750692493094e+01, 1.251847422606526550e+01, 1.489793419678361275e+01, 1.180064805677712236e+01, 1.547940687077682398e+01
2.073000000000000000e+03, 1.318303218831191970e+01, 1.590900554223865981e+01, 1.151872091935142883e+01, 1.354866960344888582e+01, 1.533012513674261612e+01, 9.364907005495563652e+00, 1.660346267535732068e+01, 1.188262588826045452e+01, 1.573399598973549374e+01, 1.578674213326201325e+01, 1.353675340837166452e+01, 1.485377324354969986e+01, 1.294189335880856362e+01, 1.554280530767073465e+01, 1.182357162277671669e+01, 1.570661608013981336e+01
2.074000000000000000e+03, 1.350183368676010431e+01, 1.665343027279158505e+01, 1.236492232210841991e+01, 1.380123743903702405e+01, 1.467276553404940564e+01, 1.004283103554375600e+01, 1.532025533597895972e+01, 1.238076972438229539e+01, 1.542301760548075684e+01, 1.578020342540111542e+01, 1.306230272484509669e+01, 1.470373810434774953e+01, 1.333103095851824627e+01, 1.548060288842401278e+01, 1.168980032979111705e+01, 1.530890680751342892e+01
2.075000000000000000e+03, 1.335923988568892717e+01, 1.741670312629927153e+01, 1.262426075701868378e+01, 1.349436265143786962e+01, 1.525425399893094358e+01, 9.432200406605339538e+00, 1.687039607573272093e+01, 1.129446760622517232e+01, 1.529358573688844380e+01, 1.587604535057857014e+01, 1.312250980601687367e+01, 1.481082623627748873e+01, 1.252464723387928203e+01, 1.557448096073277810e+01, 1.126149240782283911e+01, 1.597172645335057517e+01
