year, NorESM2-MM, NorESM2-LM, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg, TaiESM1
2.090000000000000000e+03, 6.923717609053550909e-11, 7.543493493179592484e-11, 2.615256042110987632e-10, 5.337542541000910564e-10, 1.633469843156339761e-10, 4.044350848365433476e-10, 5.021390086955522211e-10, 4.530746128801919480e-10, 3.948259133335419910e-11
2.091000000000000000e+03, 6.786326189214926561e-11, 7.441933854374024064e-11, 2.715267322742512592e-10, 5.873062212582713993e-10, 1.615749079021624539e-10, 4.070490928271848246e-10, 5.028876352413894163e-10, 4.176327734990527989e-10, 3.916501252181452866e-11
2.092000000000000000e+03, 6.666005204646571741e-11, 7.343916385556171774e-11, 2.832353530668889732e-10, 6.257426200118076309e-10, 1.855835208350623611e-10, 4.000387997616964785e-10, 5.348453949017103971e-10, 4.396229389744631249e-10, 3.902862243063392911e-11
2.093000000000000000e+03, 6.577620258346016485e-11, 7.257923142362067100e-11, 3.146072010508862316e-10, 5.856874496226252996e-10, 1.834309029754263167e-10, 4.012171643523332162e-10, 3.132173629186526690e-10, 4.152351279013397232e-10, 3.870670786670368375e-11
2.094000000000000000e+03, 6.565240513941428675e-11, 7.227776240261750537e-11, 2.798220058401083181e-10, 7.414259930214966141e-10, 2.028174605868584442e-10, 4.061209406172558624e-10, 3.970363686733745753e-10, 4.447169860340522812e-10, 3.840816708062031971e-11
2.095000000000000000e+03, 6.488940424362602911e-11, 7.138570838120891485e-11, 2.883855683016573626e-10, 6.994705379020018478e-10, 2.109932889758537370e-10, 4.030412651078653196e-10, 3.635030000883808993e-10, 4.420279076781718167e-10, 3.802225092589345321e-11
2.096000000000000000e+03, 6.387638972333661012e-11, 7.019598100633677270e-11, 2.586623673655515253e-10, 6.499443870120640279e-10, 1.950784552576104414e-10, 4.011847624432478851e-10, 3.861226860590878051e-10, 4.451462285817897574e-10, 3.765208943658555046e-11
2.097000000000000000e+03, 6.212660422455062430e-11, 6.918816374541633095e-11, 3.177963403265833758e-10, 6.337464779984832140e-10, 1.977502077141618516e-10, 3.973682445156306227e-10, 3.993437169387056914e-10, 4.346315451826636929e-10, 3.769742165006514621e-11
2.098000000000000000e+03, 6.178483508334568277e-11, 6.890194967589721093e-11, 2.835404823664499466e-10, 6.835873695395490674e-10, 2.009285963910735857e-10, 3.979850363890378191e-10, 3.960598149514616395e-10, 4.525668051755051383e-10, 3.771978927666801168e-11
2.099000000000000000e+03, 6.155037973146518101e-11, 6.866504598967118011e-11, 2.635350022804052310e-10, 6.210329629197136020e-10, 1.992005365957354192e-10, 4.071369120825016276e-10, 3.791906708017153375e-10, 4.187932766087688578e-10, 3.328150289570731911e-11
2.100000000000000000e+03, 5.877583807747136222e-11, 6.737057492893791991e-11, 3.175441787491101602e-10, 6.740350850282919609e-10, 1.867810268384736033e-10, 3.961791665451219165e-10, 4.972638336795551682e-10, 4.461100691836391939e-10, 0.000000000000000000e+00
