year, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, CMCC-CM2-SR5, IPSL-CM6A-LR, MIROC-ES2L, GFDL-ESM4, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM
2.045000000000000000e+03, 6.607614587425907793e+00, 4.265127829070132215e+00, 4.223457186493106974e+00, 6.367814801128831803e+00, 4.893563553454227666e+00, 2.755876044575187755e+00, 4.372340916756352058e+00, 5.614143128919931947e+00, 3.857980016501496134e+00, 7.247940858598639124e+00, 5.245863389778757657e+00, 6.404711042642178498e+00, 6.839896761696219407e+00, 5.185925542071838201e+00
2.046000000000000000e+03, 6.339513034373461586e+00, 4.582216776414292703e+00, 4.052453584845578938e+00, 6.272266325314258317e+00, 4.830200354762342663e+00, 2.747481587073648868e+00, 4.051784108744797663e+00, 5.676851378448370511e+00, 4.000317924280478721e+00, 7.529585700638052437e+00, 5.277915037203378290e+00, 6.286890445408182870e+00, 6.744145646946434702e+00, 5.207042156740590677e+00
2.047000000000000000e+03, 6.302201365276124179e+00, 4.400437512008601004e+00, 4.392720187597729087e+00, 6.432720719873811888e+00, 5.011416081806176592e+00, 2.771022750264815038e+00, 4.006369315630790240e+00, 5.540807378444122300e+00, 4.108269109292272070e+00, 7.129222048145668289e+00, 5.426419333679344703e+00, 6.395904710808773430e+00, 7.012808538475181486e+00, 5.079479660121394069e+00
2.048000000000000000e+03, 6.371226482352590814e+00, 4.449911122995844792e+00, 4.262960347721485022e+00, 6.903622968767423096e+00, 5.142638097316169166e+00, 2.726954759921361937e+00, 4.588614529847388823e+00, 5.573674298230166357e+00, 3.922060415326415583e+00, 7.292932919992081153e+00, 5.284278236207172519e+00, 6.364521238157922589e+00, 7.025298200589277897e+00, 5.441239874699946633e+00
2.049000000000000000e+03, 6.303420170909816100e+00, 4.572993853970494627e+00, 4.264787800273683871e+00, 6.703058960656487208e+00, 5.119627337285046487e+00, 2.782964264197530735e+00, 3.778354388922363860e+00, 5.395959676348362599e+00, 4.068963591592956952e+00, 7.267891255522880734e+00, 5.640283065942382379e+00, 6.359330330745634363e+00, 7.176027564595846897e+00, 5.335532185076701239e+00
2.050000000000000000e+03, 6.353566220589516256e+00, 4.492998997737024602e+00, 4.446463032904879320e+00, 6.794086036503259152e+00, 5.105165721853881067e+00, 2.775770725115351834e+00, 3.831765045785867851e+00, 5.804033046850912925e+00, 3.955503915491203060e+00, 7.205959174401935563e+00, 5.330997087533300594e+00, 6.590495537446471097e+00, 6.926589378948182052e+00, 5.397812051684737433e+00
2.051000000000000000e+03, 6.500653700504912536e+00, 4.663406257794234122e+00, 4.339920592682282141e+00, 6.529989867840999551e+00, 5.136511564956964371e+00, 2.899789545921167555e+00, 5.106678992000960982e+00, 5.489005948805924184e+00, 4.081339096422162527e+00, 7.381191974915405574e+00, 5.671228938996238256e+00, 6.609219692799752188e+00, 7.132319881938681938e+00, 5.387647674973493395e+00
2.052000000000000000e+03, 6.497542528031318376e+00, 4.810077260406463218e+00, 4.495302815222847137e+00, 6.458269202827027655e+00, 5.164381244917046310e+00, 2.786738460532266703e+00, 4.826385777153257450e+00, 5.574754015680116304e+00, 4.085080116037505427e+00, 7.352722185621212603e+00, 5.761381205159478824e+00, 6.797667782220340627e+00, 6.946906663973135387e+00, 5.203866570905277378e+00
2.053000000000000000e+03, 6.511667844875355549e+00, 4.914155148112850036e+00, 4.336734796034273920e+00, 6.816492029788931539e+00, 5.180403249284156075e+00, 2.808812406468077949e+00, 5.241034633855714553e+00, 5.521566264793690060e+00, 4.156119323309603431e+00, 7.473526481111461450e+00, 5.630469417521444697e+00, 6.580700477495303957e+00, 7.185512413006356347e+00, 5.443873615820358225e+00
2.054000000000000000e+03, 6.533631816733096009e+00, 4.730908842544407023e+00, 4.266229805351076543e+00, 6.526855435624650426e+00, 5.095689076639195569e+00, 2.834244608796222753e+00, 4.138592925187141169e+00, 5.544275953310614291e+00, 4.081420400554223171e+00, 7.414224014133789176e+00, 5.507743007992953466e+00, 6.483604909431734065e+00, 7.000585438483532208e+00, 5.397967909348181159e+00
