year, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, CanESM5
2.084000000000000000e+03, 2.207073881914697945e-09, 1.347443789889635061e-09, 4.425185456034068737e-10, 7.344159583333197061e-10, -3.882845430530796317e-10, 9.116304657566410154e-10, 1.773647564484600077e-09
2.085000000000000000e+03, 1.930761987230837572e-09, 2.401224810122452333e-09, 5.585295465856273484e-10, 1.000381728974088487e-09, -6.998851735427637338e-10, 1.587529511735397510e-09, 3.194149084763006690e-09
2.086000000000000000e+03, 1.765104624098946018e-09, 2.297016614358673544e-09, 6.438048150368827782e-10, 1.536396500954109316e-09, 2.923947334165879795e-10, 8.429897052016660447e-10, 1.909170115587380674e-09
2.087000000000000000e+03, 1.513683983998613245e-09, 2.397746102675677731e-09, 7.248290108621884502e-10, 1.032206939114469149e-09, 1.242091281047812133e-09, 4.004554630458246208e-10, 2.845376679594494606e-09
2.088000000000000000e+03, 1.205696915904377132e-09, 2.909764502411158567e-09, 7.889944005024017299e-10, 9.098760631157252803e-10, -9.451006483354614538e-11, 3.555282925790947571e-10, 3.071325362999344898e-09
2.089000000000000000e+03, 2.518247910017298890e-09, 2.525760886618388676e-09, 6.713917402683249739e-10, 1.442817832211871847e-10, -1.041130442526260667e-09, 6.016101872885947745e-10, 3.097886587142200843e-09
2.090000000000000000e+03, 2.281908628448418375e-09, 3.284488569021746984e-09, 6.790513766718329041e-10, 1.207231689889968495e-09, 3.802240396798339140e-10, 8.823970693777782510e-10, 2.655954223373173361e-09
2.091000000000000000e+03, 2.005291514658592821e-09, 2.502226089207686815e-09, 1.290775616799293578e-09, 7.376912342114982330e-10, -7.533677590210581159e-10, 1.251467688163178106e-09, 2.386651078172217544e-09
2.092000000000000000e+03, 1.779768719919382804e-09, 2.223500881570393517e-09, 9.660061893104076910e-10, 2.620970220276101562e-10, -3.625666021176841340e-10, 5.926390492124058112e-10, 3.107925980066631797e-09
2.093000000000000000e+03, 2.401599499976594413e-09, 1.974825968313660728e-09, 6.840910851920321886e-10, 7.153191977384183296e-10, 4.665352383348059932e-09, 7.732349175277227128e-10, 2.954392622879955301e-09
2.094000000000000000e+03, 2.120840812782945338e-09, 2.426822870822138808e-09, 4.853584107543410698e-10, 1.030730916221476165e-09, 6.818188240278318590e-10, 3.938811975780318222e-10, 2.567143918857844289e-09
2.095000000000000000e+03, 2.266855796133373253e-09, 2.602212075191237635e-09, 8.972311164166748220e-10, 1.488349309638217837e-09, -5.153698941634415348e-10, 9.558456537726272803e-10, 3.382021728718999074e-09
2.096000000000000000e+03, 2.361364559097662840e-09, 1.335645666513370004e-09, 9.574858525314812798e-11, 5.524016808338607299e-10, -1.409578059344393809e-10, 8.054969586354108581e-10, 3.269861490351249360e-09
2.097000000000000000e+03, 1.815983407090556867e-09, 2.626319180145010295e-09, 7.402972666439689770e-10, 6.498041506984798388e-10, 4.207268037041367315e-09, 1.176374936921489385e-09, 2.751671784264032450e-09
2.098000000000000000e+03, 2.438392054723709730e-09, 1.928965643575813512e-09, 3.224320844115419286e-10, 3.179336348815527178e-10, 4.544279798004993893e-10, 7.791299318251384273e-10, 2.459954779561319406e-09
2.099000000000000000e+03, 2.001821120316028950e-09, 1.658846952067139834e-09, 6.696578588979332303e-10, 5.617079026966041126e-10, -7.752825105198860637e-10, 2.808520295981927398e-10, 1.957770996404324729e-09
2.100000000000000000e+03, 1.426685708886921655e-09, 2.042577005575540265e-09, 1.314794629717689785e-09, 1.120560361766504227e-09, -1.789371416461003870e-10, 6.223423644935786595e-10, 3.418399997986941935e-09
