year, NorESM2-LM, IPSL-CM6A-LR, TaiESM1, CMCC-CM2-SR5, MIROC-ES2L, INM-CM5-0, CanESM5, GFDL-ESM4, INM-CM4-8, NorESM2-MM, ACCESS-ESM1-5, EC-Earth3-Veg, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL
2.061000000000000000e+03, 5.059863186012798053e+00, 5.056099578025112784e+00, 3.324085654132254763e+00, 6.054310015688527002e+00, 9.286810491517494270e+00, 5.556780119065696688e+00, 9.019800755042538754e+00, 7.249663926584753781e+00, 5.477369268301612415e+00, 5.862381932587096500e+00, 5.443048144084502660e+00, 6.284848503960843935e+00, 6.412609862876595734e+00, 7.907537464627459656e+00, 9.355249116152441147e+00, 7.628032499869418892e+00
2.062000000000000000e+03, 5.609728905396700327e+00, 5.480277630077027951e+00, 3.289413850847066279e+00, 6.666251939866117304e+00, 9.195003438763627912e+00, 6.053169357087215374e+00, 9.241121990178941203e+00, 7.345002086378547901e+00, 5.956755913005292946e+00, 5.923738469669303619e+00, 5.597429380423220024e+00, 6.551937401741626310e+00, 6.658169726499938434e+00, 7.898420715723735164e+00, 9.389440638968542530e+00, 7.517686272937393888e+00
2.063000000000000000e+03, 5.514555134566976768e+00, 5.774344016156040205e+00, 3.182783441729299501e+00, 5.948587308200196766e+00, 8.752608433151484846e+00, 5.863267805014459988e+00, 9.417662868645553687e+00, 7.222661540130014046e+00, 5.551375391887244604e+00, 6.123930106754244207e+00, 5.835976062105286744e+00, 5.867433086681391963e+00, 6.677837366164340871e+00, 7.572995780320391113e+00, 8.595841356625504304e+00, 7.689916481869321530e+00
2.064000000000000000e+03, 5.101305312377175660e+00, 5.306123333297589895e+00, 3.469540726087779969e+00, 5.933053448977458899e+00, 9.373326846832830128e+00, 5.756794854777090187e+00, 8.832067850824248723e+00, 7.313964524600475414e+00, 5.804898002546821090e+00, 5.868338961452292502e+00, 5.882264137567096540e+00, 6.530989086061773641e+00, 7.066140879085808457e+00, 7.772825006323876629e+00, 9.183987534136345943e+00, 7.599814203563096449e+00
2.065000000000000000e+03, 4.658898313673079272e+00, 5.542772140892437527e+00, 3.323815428957281881e+00, 6.372950840687326313e+00, 9.474491947411435078e+00, 5.835603673354647469e+00, 9.311464911790677590e+00, 7.630594041460476262e+00, 5.894967768791250506e+00, 5.747887753152601142e+00, 5.826395071697319850e+00, 6.469748604406207804e+00, 6.766947011896650821e+00, 7.702730176330926604e+00, 8.924480334728730924e+00, 7.997316821361899031e+00
2.066000000000000000e+03, 5.929043121880740230e+00, 5.236501265222948120e+00, 3.222241257781756740e+00, 6.231727504886068303e+00, 9.524323001779212206e+00, 5.860649962622566100e+00, 9.402273921760141207e+00, 7.712899204211507431e+00, 6.088362915372671047e+00, 5.777127201015200164e+00, 5.939719262169863789e+00, 6.752447606119893031e+00, 6.239058125144221201e+00, 7.994182231239367553e+00, 9.783364154821734715e+00, 7.767726664656000146e+00
2.067000000000000000e+03, 5.347103470762840871e+00, 5.507331588465742556e+00, 3.331726304012492257e+00, 6.360946323175050487e+00, 8.986709619885907330e+00, 6.032194950341368767e+00, 9.547653990363869525e+00, 7.701631957397672146e+00, 5.749604003080629688e+00, 5.777870808111854828e+00, 5.884484603085975429e+00, 6.842696908263348199e+00, 6.888720120894288534e+00, 7.766784546630055353e+00, 9.348659805118314736e+00, 7.788345551473996764e+00
2.068000000000000000e+03, 5.327951097958828264e+00, 5.461934303028471049e+00, 3.526757479316044108e+00, 6.580489858044945350e+00, 9.617847650513828839e+00, 5.872607081822312836e+00, 9.193950869368080703e+00, 7.959585231589300314e+00, 5.739832160059231470e+00, 5.763828708619591623e+00, 5.900385993752234270e+00, 6.242732094595643488e+00, 6.533328981194392426e+00, 8.178892775029165563e+00, 9.487195262219620062e+00, 7.848266685630887807e+00
2.069000000000000000e+03, 5.278481589123147799e+00, 5.705523684905555726e+00, 3.519442529752488724e+00, 5.934933122060827237e+00, 9.847367342158248604e+00, 5.753131390850224847e+00, 9.240558764841953376e+00, 7.973409742442908232e+00, 6.103455724015642403e+00, 5.974140784373995317e+00, 6.022148401231767423e+00, 6.778238038222496264e+00, 6.977439175661414694e+00, 8.177459300688479260e+00, 9.666473032791740749e+00, 7.496334141403052875e+00
2.070000000000000000e+03, 5.362011885344053930e+00, 5.602844007495719758e+00, 3.257275767694399082e+00, 6.245033941628094887e+00, 9.421396607167759285e+00, 6.134811311703482595e+00, 8.748352624570435054e+00, 8.123051926107802245e+00, 6.250061534532745711e+00, 6.414029004120367361e+00, 5.932396790695594113e+00, 6.495709636745599092e+00, 6.956861718727302524e+00, 8.228733269829650254e+00, 9.407821387828638748e+00, 7.518292977061331150e+00
