year, UKESM1-0-LL, ACCESS-ESM1-5, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L
2.067000000000000000e+03, 7.423476044830838170e-14, 3.014047131911973970e-11, 8.282003088450039931e-11, 4.039987780980515662e-10, 2.481122310743057235e-10, 5.768954064618463595e-10, 1.352437059486570488e-12, 4.962733795309719928e-10
2.068000000000000000e+03, 7.326732146397935446e-14, 3.042431198228449050e-11, 8.259707126838168379e-11, 4.120409953588802111e-10, 2.517986133724100433e-10, 5.716078773997890950e-10, 1.465561215965287546e-12, 4.956069588272843430e-10
2.069000000000000000e+03, 7.266539919430191524e-14, 3.054806468366749781e-11, 8.226338916072569763e-11, 4.023255547044514638e-10, 2.344510004691457314e-10, 5.898177753457159496e-10, 1.579409960406691233e-12, 4.968698268958997296e-10
2.070000000000000000e+03, 7.195064408989932996e-14, 3.048565324171489367e-11, 8.178486124687745221e-11, 4.088885040009687176e-10, 2.344039286112305141e-10, 6.267277523516621484e-10, 1.693537150172735792e-12, 4.978099445430962664e-10
2.071000000000000000e+03, 7.272059067797008349e-14, 3.043738894845866567e-11, 8.130262889416760953e-11, 4.063236409108141365e-10, 2.235400601009557331e-10, 6.096876184158654132e-10, 1.703706130761274598e-12, 4.964608099641860260e-10
2.072000000000000000e+03, 7.419727327259165004e-14, 3.034251277195517009e-11, 8.087465885771566326e-11, 4.012100266036765714e-10, 2.240761655893235280e-10, 6.597430823310820354e-10, 1.636037728074266490e-12, 4.918457966733376747e-10
2.073000000000000000e+03, 7.397790393348080241e-14, 3.041955783578387856e-11, 8.047960172912202021e-11, 4.034501450565824753e-10, 2.534196752446790320e-10, 6.250049859474330172e-10, 1.564377884351841301e-12, 4.329399314682914488e-10
2.074000000000000000e+03, 7.320175667645234648e-14, 3.032683251437335908e-11, 8.136569751560491766e-11, 3.983589220807954797e-10, 2.438146603802026450e-10, 6.000902161870416804e-10, 1.494174387510214542e-12, 4.369657048799688424e-10
2.075000000000000000e+03, 7.278507515465582224e-14, 3.032081199635034532e-11, 8.223933967875452055e-11, 4.103948414210508683e-10, 2.356831272407720713e-10, 6.133510045064288624e-10, 1.422472549928905032e-12, 4.302605664625117835e-10
2.076000000000000000e+03, 7.227366881632010573e-14, 3.007171765353129914e-11, 8.190745121770844432e-11, 4.084723399451586163e-10, 2.675963527168985664e-10, 6.561650473237761320e-10, 1.367803789395886305e-12, 4.181678591520227689e-10
2.077000000000000000e+03, 7.125612117534792798e-14, 2.986005056144484439e-11, 8.133233549884795651e-11, 4.046438085825712457e-10, 2.669399361277522809e-10, 6.791902678123030858e-10, 1.288871736674572636e-12, 4.124530227594999268e-10
2.078000000000000000e+03, 7.044206504807986180e-14, 2.972602930860808323e-11, 8.054686458039575667e-11, 4.096102048102792280e-10, 2.737152265575852187e-10, 5.494665149733654579e-10, 1.207345284880635055e-12, 4.208080040038668401e-10
2.079000000000000000e+03, 6.806104559096124776e-14, 2.961431267529447386e-11, 7.953965180252265861e-11, 4.139229836746589769e-10, 2.538316114879677730e-10, 5.974505367789350851e-10, 1.125386222902996532e-12, 4.082540864182363267e-10
2.080000000000000000e+03, 6.824541716047422317e-14, 2.946348656606522936e-11, 7.837427382935793402e-11, 4.194233411633358791e-10, 2.198294045693870316e-10, 5.987532285428425011e-10, 1.043542963012892680e-12, 4.090853353379236315e-10
2.081000000000000000e+03, 6.887302063587156881e-14, 2.964299895587631188e-11, 7.706945636746079053e-11, 4.041616465508633688e-10, 2.145429243673904833e-10, 6.546886012161932207e-10, 1.033402624972212224e-12, 4.101398734691234025e-10
2.082000000000000000e+03, 6.947727937820493605e-14, 2.967576003095021910e-11, 7.574222043763320617e-11, 4.052530317625215274e-10, 2.186239305708264814e-10, 6.791278229849985127e-10, 1.050211556410997817e-12, 4.147142745123619080e-10
2.083000000000000000e+03, 6.840033028976034371e-14, 2.964543308852237080e-11, 7.437748088946716914e-11, 4.064660761258710168e-10, 2.350857750238863491e-10, 5.988155402123019954e-10, 1.068878926999818557e-12, 4.154792005903078796e-10
2.084000000000000000e+03, 6.725251218991113750e-14, 2.958603635399679387e-11, 7.301547527721314424e-11, 4.004786178607368672e-10, 2.633077413098368365e-10, 7.258472308230132734e-10, 1.129826939568904417e-12, 4.167772006625767049e-10
2.085000000000000000e+03, 6.734550545409670425e-14, 2.936370161154739641e-11, 7.164322514962263105e-11, 4.013914861865173773e-10, 2.911205398543530882e-10, 6.483358658398668147e-10, 1.253870977793936759e-12, 4.169943943683128332e-10
2.086000000000000000e+03, 7.086752466510873206e-14, 3.008948554742005428e-11, 7.032595518537748465e-11, 3.946134379601211853e-10, 3.134800312687236950e-10, 6.911879792442493965e-10, 1.397471483304315520e-12, 4.191054539535804725e-10
2.087000000000000000e+03, 7.165689710155908044e-14, 3.037054767984192872e-11, 6.911233859776879049e-11, 3.993364606146279586e-10, 2.753108599481178968e-10, 6.957500548687320599e-10, 1.645213243368832779e-12, 4.323368540516155369e-10
2.088000000000000000e+03, 7.223402341013106929e-14, 3.052858095351716560e-11, 6.776137462205018500e-11, 3.987608604306925047e-10, 2.617763929948552775e-10, 6.701552537514577679e-10, 1.902420044273326751e-12, 4.262964083984349211e-10
2.089000000000000000e+03, 7.249185808900411723e-14, 3.056691613269591410e-11, 6.653912447794138627e-11, 4.049942378454030899e-10, 2.577479026599374161e-10, 7.435048968743972196e-10, 2.158214339166598923e-12, 4.190855562879347897e-10
2.090000000000000000e+03, 7.099090299197980003e-14, 3.060865888730051853e-11, 6.562256686344044635e-11, 4.075068510159740934e-10, 2.524949268315381860e-10, 5.500424777403315562e-10, 2.414623433146540792e-12, 4.204004993510655599e-10
2.091000000000000000e+03, 6.712579073485490793e-14, 2.999820530581290288e-11, 6.472587227163479182e-11, 4.099361173700081593e-10, 2.488827256482099674e-10, 6.033149859317821866e-10, 2.655310217407632730e-12, 4.195869758092215527e-10
2.092000000000000000e+03, 6.439098107393702723e-14, 2.973983375090021955e-11, 6.381562267084456104e-11, 4.028935318919314259e-10, 2.712490322972960313e-10, 6.418991215840051040e-10, 2.819598753907482778e-12, 4.162412305571540684e-10
2.093000000000000000e+03, 6.569039199190330928e-14, 2.957867999948283454e-11, 6.293327997515055352e-11, 4.040371047896392953e-10, 2.676403192143694418e-10, 6.020566528702560875e-10, 2.968822245540436221e-12, 4.159898869405762452e-10
2.094000000000000000e+03, 6.739636046718729040e-14, 2.945177276712533651e-11, 6.218219333107660199e-11, 4.089179015556165631e-10, 2.857442899228159014e-10, 7.580087808396120983e-10, 3.100088651743594141e-12, 4.208271092765682909e-10
2.095000000000000000e+03, 6.770015413663703416e-14, 2.934710758422454609e-11, 6.141935015847757467e-11, 4.056586636146318320e-10, 2.927215585660477382e-10, 7.163152091333387050e-10, 3.232653029928400344e-12, 4.158305198410848427e-10
2.096000000000000000e+03, 6.616900513499938829e-14, 2.805422543583646819e-11, 6.063607101587626845e-11, 4.036876157438154412e-10, 2.748156499315899373e-10, 6.665962643553095570e-10, 3.268537675368980306e-12, 4.106723890465304004e-10
2.097000000000000000e+03, 6.484146901572628793e-14, 2.743088840547573688e-11, 5.986210778279152438e-11, 3.998522539944393202e-10, 2.757236684382427473e-10, 6.505385547145401607e-10, 3.217668092614598351e-12, 4.075675966728104116e-10
2.098000000000000000e+03, 6.479117881245011523e-14, 2.705717404762490943e-11, 5.913243776116881914e-11, 4.004613625293396834e-10, 2.773992958140184694e-10, 7.005211230178469745e-10, 3.168669400813642926e-12, 4.124874085302167676e-10
2.099000000000000000e+03, 6.455453387588736941e-14, 2.677794472841723053e-11, 5.852850779430441086e-11, 4.096068602274773226e-10, 2.743844639826434035e-10, 6.381285605070409779e-10, 3.118129099714703921e-12, 4.152031023083888222e-10
2.100000000000000000e+03, 6.501557935745696270e-14, 2.653968775620238632e-11, 5.383065252150616124e-11, 3.976864451216077332e-10, 2.602648011883052500e-10, 6.912633081791537975e-10, 3.063007637948817518e-12, 4.135057670092583172e-10
