year, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, NorESM2-MM, TaiESM1, MPI-ESM1-2-LR, CMCC-ESM2, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL
2.070000000000000000e+03, 1.050407401555661491e-11, 1.258801232114775729e-10, 4.968979101839645222e-12, 1.687359770706466797e-10, 6.999514659125923451e-11, 1.222501032400984745e-12, 8.237899121769758417e-11, 3.404126821867945215e-11, 1.911128687520958525e-10, 7.195064373980363015e-14
2.071000000000000000e+03, 1.094614434730233999e-11, 1.304592071301835675e-10, 3.636920187688753411e-12, 1.711720982156298537e-10, 6.997693901204227381e-11, 1.197533769602562902e-12, 8.189156152341981053e-11, 3.447268011651833573e-11, 1.909124491335945301e-10, 7.272059046005163817e-14
2.072000000000000000e+03, 1.111281456225098470e-11, 1.292448953030887987e-10, 3.561596647157488918e-12, 1.917911112749787649e-10, 6.993156580168095082e-11, 1.180016810178019437e-12, 8.149622179744045731e-11, 3.544836431798883277e-11, 1.896310990654034035e-10, 7.419727342157363606e-14
2.073000000000000000e+03, 1.129161665360329406e-11, 1.279386459249664790e-10, 3.494988173717793705e-12, 1.867368970152939281e-10, 6.744814118408953968e-11, 1.157287012342398164e-12, 8.111453764546487130e-11, 3.709059957337323225e-11, 1.844721030665483763e-10, 7.397790349536705726e-14
2.074000000000000000e+03, 1.145942251219516849e-11, 1.269350657911028888e-10, 3.432184266732773727e-12, 1.707365152538817192e-10, 6.341874198252057181e-11, 1.145143409019794342e-12, 8.191801171544855356e-11, 2.523038691017317136e-11, 1.843450007560154446e-10, 7.320175638097780489e-14
2.075000000000000000e+03, 1.152439927024837410e-11, 1.254506260284705775e-10, 3.357102811122010310e-12, 1.579286090952612820e-10, 6.082499196316634773e-11, 1.461501649649611186e-12, 8.309429539483487628e-11, 3.403112589218864738e-11, 1.770994948390004998e-10, 7.278507396420435894e-14
2.076000000000000000e+03, 1.197322280995321001e-11, 1.474197884452932702e-10, 2.895045639459152011e-12, 1.702752221331674193e-10, 5.866677801030274518e-11, 1.638598648703479747e-12, 8.278050020400497127e-11, 3.369075897473077688e-11, 1.896984778452038130e-10, 7.227366768696186795e-14
2.077000000000000000e+03, 1.218370075630369213e-11, 1.484782814305940089e-10, 2.808037840049713336e-12, 1.826202795471299805e-10, 5.688066747885778939e-11, 1.680891352223251351e-12, 8.224584749124209354e-11, 3.342923241678068098e-11, 1.749881513781658122e-10, 7.125612110077797946e-14
2.078000000000000000e+03, 1.241609507443291232e-11, 1.495334070494929643e-10, 2.717476000718929370e-12, 1.692906303810217559e-10, 5.536668473060861092e-11, 1.711180560032541747e-12, 8.141647481919931021e-11, 3.374576890661654994e-11, 1.550436122658416377e-10, 7.044206484049103886e-14
2.079000000000000000e+03, 1.249150015381729991e-11, 1.510288135024573445e-10, 2.645639822329885947e-12, 1.514976998109339743e-10, 5.403953961453470149e-11, 1.734108138459938561e-12, 8.037841001859169631e-11, 3.260883693824817403e-11, 1.590903643528873664e-10, 6.806104568855856360e-14
2.080000000000000000e+03, 1.269928230769953578e-11, 1.499791181131372438e-10, 2.644483135861403927e-12, 1.452665558391674303e-10, 5.372348119629118981e-11, 2.313268402130990714e-12, 8.026875074421778343e-11, 3.344065673896066317e-11, 1.586254051106273963e-10, 6.824541791631213610e-14
2.081000000000000000e+03, 1.349097475018406277e-11, 1.382155204696912342e-10, 3.122033114900359347e-12, 1.596862507040860174e-10, 5.287227541559713257e-11, 2.690626623671629813e-12, 7.898992947018957855e-11, 3.375806738080687400e-11, 1.901999163392059117e-10, 6.887302048785028915e-14
2.082000000000000000e+03, 1.347769631445545265e-11, 1.388380534787868366e-10, 3.176335991308325687e-12, 1.592018159841630762e-10, 5.213738640386333149e-11, 2.771693858594871124e-12, 7.760666035265757321e-11, 3.342431845785704231e-11, 1.915012254628177509e-10, 6.947727975732479756e-14
2.083000000000000000e+03, 1.368368908983702000e-11, 1.376628217320640052e-10, 3.980285490507345996e-12, 1.564125886858405720e-10, 5.118197272089193534e-11, 2.789358030288541090e-12, 7.615740027240530684e-11, 3.398978395213769648e-11, 1.826000187100537431e-10, 6.840033132344544255e-14
2.084000000000000000e+03, 1.390237047191890018e-11, 1.368386403217372301e-10, 5.195702179661114494e-12, 1.575692508412748122e-10, 5.068658432720453323e-11, 2.801703192838145348e-12, 7.480067156234119655e-11, 3.428160814011568556e-11, 1.983825788051106513e-10, 6.725251127499408402e-14
2.085000000000000000e+03, 1.411251832105603916e-11, 1.369387542600933329e-10, 5.344697608723931682e-12, 1.553616792415727603e-10, 5.037716634439283890e-11, 3.103870844952971091e-12, 7.384693904893939716e-11, 3.476765886150980852e-11, 2.191818561092511958e-10, 6.734550519052174129e-14
2.086000000000000000e+03, 1.520943449179986932e-11, 1.111244952378482146e-10, 7.392135428493906529e-12, 1.753112670926744477e-10, 4.991869610891397688e-11, 3.295544884773434083e-12, 7.254527722350162134e-11, 3.832598283537495994e-11, 1.952501028364507661e-10, 7.086752532615035335e-14
2.087000000000000000e+03, 1.550145000018812376e-11, 1.086947796461361485e-10, 7.804397823063009277e-12, 1.787513805191833996e-10, 4.975782572501968653e-11, 3.352655884888486624e-12, 7.133326171535788105e-11, 3.971366597613467698e-11, 1.646212462994409372e-10, 7.165689804062670033e-14
2.088000000000000000e+03, 1.576223047476074593e-11, 1.064550506961158337e-10, 8.046480457234018905e-12, 1.548642863296492338e-10, 4.924135579128868644e-11, 3.351312572629685739e-12, 6.994903417744324319e-11, 3.852924162650480879e-11, 1.781087900779477935e-10, 7.223402257258838379e-14
2.089000000000000000e+03, 1.602518290092959575e-11, 1.046347316116058312e-10, 8.387672408549818092e-12, 1.868954749671603101e-10, 4.856624025528765453e-11, 3.367696486575992677e-12, 6.881779805713310309e-11, 3.758704376009996969e-11, 2.084247566662503188e-10, 7.249185805143536762e-14
2.090000000000000000e+03, 1.628821798999211130e-11, 1.032521325177273388e-10, 8.764621507305409891e-12, 2.178532883099737213e-10, 4.780204184170876160e-11, 3.071297722706290714e-12, 6.789560901630699775e-11, 3.989385073062482464e-11, 2.190253516280998784e-10, 7.099090266739355211e-14
2.091000000000000000e+03, 1.600876860685497968e-11, 9.796025855714342759e-11, 7.639683302715608408e-12, 2.017540689405782313e-10, 4.746241430520203342e-11, 2.886136575854866223e-12, 6.693643952738785314e-11, 3.871534224426772336e-11, 2.178759370415269501e-10, 6.712579050770699198e-14
2.092000000000000000e+03, 1.615650033160051744e-11, 9.635811493736531020e-11, 8.249080860040720467e-12, 1.701452514954126412e-10, 4.711409304067829668e-11, 2.853721574947818335e-12, 6.608515573632060227e-11, 3.775651806816498848e-11, 2.268681719473691009e-10, 6.439098111265929344e-14
2.093000000000000000e+03, 1.636920068225702894e-11, 9.497382888556562682e-11, 9.131677501932509483e-12, 1.656734445316371021e-10, 4.678225132387919497e-11, 2.823303985792331039e-12, 6.512869070392636387e-11, 3.836930119057967579e-11, 2.151866214619766142e-10, 6.569039235208318843e-14
2.094000000000000000e+03, 1.658280244997968539e-11, 9.394102708142268906e-11, 9.308877165319175912e-12, 1.554161367676052912e-10, 4.645243148489479977e-11, 2.798130609413543831e-12, 6.431630908649777183e-11, 3.761301478383837256e-11, 1.999163365825501383e-10, 6.739636004814314061e-14
2.095000000000000000e+03, 1.684466810182542289e-11, 9.358465374338484401e-11, 9.495128523000306327e-12, 1.461969228846704828e-10, 4.590100377046248758e-11, 2.618459757162215217e-12, 6.320956945985204675e-11, 3.789293147102854212e-11, 1.925873374598812315e-10, 6.770015488592875211e-14
2.096000000000000000e+03, 1.665188252010474409e-11, 8.209819650125040839e-11, 8.093622532258724186e-12, 1.504815841927829884e-10, 4.554836824675287698e-11, 2.501030158737447401e-12, 6.238160612423059054e-11, 3.757851613377867709e-11, 1.778124805688727493e-10, 6.616900581385563451e-14
2.097000000000000000e+03, 1.679207652161390071e-11, 8.005264042865116787e-11, 8.062835967105952581e-12, 1.491179361366720754e-10, 4.521679917077886308e-11, 2.484748692956670929e-12, 6.157478506777515006e-11, 3.716790844258143594e-11, 1.948335927905924172e-10, 6.484146941281400273e-14
2.098000000000000000e+03, 1.693375956329976903e-11, 7.830623190460354277e-11, 8.064347482184057784e-12, 1.686470998735971220e-10, 4.486704102078912362e-11, 2.478751714556210145e-12, 6.081295619614836437e-11, 3.687870968004962613e-11, 1.797209215005400516e-10, 6.479117900718968144e-14
2.099000000000000000e+03, 1.709559903454264577e-11, 7.706590106916640408e-11, 8.041393154800959638e-12, 1.623791806503658493e-10, 4.428790442255223450e-11, 2.473313232673172864e-12, 6.019945641783794876e-11, 3.963857922080704861e-11, 1.932133647782874408e-10, 6.455453446861931611e-14
2.100000000000000000e+03, 1.722823139928914650e-11, 7.515520902355426101e-11, 7.995613658920507357e-12, 1.542051115210524206e-10, 3.954016346356454933e-11, 1.509475353030946767e-12, 5.383065252150616124e-11, 3.859253119478194439e-11, 2.031059348552730901e-10, 6.501557796396018710e-14
