year, NorESM2-MM, CESM2-WACCM, GFDL-ESM4, EC-Earth3-Veg, GFDL-ESM4, NorESM2-MM, TaiESM1, CNRM-ESM2-1, MPI-ESM1-2-LR, CNRM-ESM2-1, TaiESM1, NorESM2-LM
2.064000000000000000e+03, 1.321669707579432331e-09, 1.349198358208871686e-09, 2.469462886384397804e-09, 3.174360473636232218e-09, 2.457678395521152862e-09, 1.321669707579432331e-09, 1.735539231240668833e-09, 1.008254079873913154e-09, 8.748805933348920915e-10, 1.008254079873913154e-09, 1.735539231240668833e-09, 1.139112194149532977e-09
2.065000000000000000e+03, 1.535608325083956679e-09, 1.105721595741085747e-09, 2.486527426940587328e-09, 3.990835978410067174e-09, 2.474588322455730281e-09, 1.535608325083956679e-09, 1.989517317348625187e-09, 6.817339836267121112e-10, 8.210500184748009173e-10, 6.817339836267121112e-10, 1.989517317348625187e-09, 1.341483155555868160e-09
2.066000000000000000e+03, 1.198026720278148701e-09, 1.400310817520108004e-09, 3.116995391886129611e-09, 2.142238074179962965e-09, 3.104819058044358903e-09, 1.198026720278148701e-09, 1.409267867411647491e-09, 5.483477919836747023e-10, 8.077841199735446199e-10, 5.483477919836747023e-10, 1.409267867411647491e-09, 8.386290467826186952e-10
2.067000000000000000e+03, 1.171711785634888490e-09, 1.667331687201273432e-09, 2.650326206684652411e-09, 1.996735801887141201e-09, 2.638122026069486019e-09, 1.171711785634888490e-09, 1.403105755288015333e-09, 7.856725891078842572e-10, 7.534107048740305506e-10, 7.856725891078842572e-10, 1.403105755288015333e-09, 9.475469009849582262e-10
2.068000000000000000e+03, 1.871159608028619839e-09, 1.493116212683546768e-09, 3.269098382063775130e-09, 2.698612000617176688e-09, 3.256858609183975647e-09, 1.871159608028619839e-09, 1.778313760251475762e-09, 6.780084506862239084e-10, 8.092083725337593901e-10, 6.780084506862239084e-10, 1.778313760251475762e-09, 1.060388972901227905e-09
2.069000000000000000e+03, 1.752433376501844792e-09, 1.166507001825788629e-09, 2.772546627441624650e-09, 2.112140759917365259e-09, 2.760198428935167376e-09, 1.752433376501844792e-09, 1.846852415989773500e-09, 6.405303599876245620e-10, 8.871470521100219091e-10, 6.405303599876245620e-10, 1.846852415989773500e-09, 6.375888326395288130e-10
2.070000000000000000e+03, 1.273242276187710737e-09, 1.288148673856896503e-09, 1.882130025700244372e-09, 3.117480395411058383e-09, 1.869793418860162845e-09, 1.273242276187710737e-09, 1.427238167535554581e-09, 7.922838590854670551e-10, 7.523955871152961299e-10, 7.922838590854670551e-10, 1.427238167535554581e-09, 6.230701264672973680e-10
2.071000000000000000e+03, 1.941053375745916190e-09, 1.521405045008641116e-09, 3.034629168503074529e-09, 3.071689043566691165e-09, 3.021983698972162620e-09, 1.941053375745916190e-09, 1.513610122596759644e-09, 6.104130478761988929e-10, 8.711255719153732944e-10, 6.104130478761988929e-10, 1.513610122596759644e-09, 1.085556042146581109e-09
2.072000000000000000e+03, 1.272775980041711103e-09, 1.313078125769562727e-09, 2.768050356025613176e-09, 1.889243957026055580e-09, 2.755133717169987034e-09, 1.272775980041711103e-09, 1.803657746289625383e-09, 8.825831828820017547e-10, 9.597038079717069394e-10, 8.825831828820017547e-10, 1.803657746289625383e-09, 1.097725280395672083e-09
2.073000000000000000e+03, 1.683774082984984065e-09, 1.375403772122935332e-09, 2.870585862724253869e-09, 2.649602951251180718e-09, 2.857323761859715442e-09, 1.683774082984984065e-09, 1.705444687948703194e-09, 6.493881758039688963e-10, 7.697225621571072649e-10, 6.493881758039688963e-10, 1.705444687948703194e-09, 1.573832638264813000e-09
