year, UKESM1-0-LL, MIROC-ES2L, MPI-ESM1-2-LR, ACCESS-ESM1-5, EC-Earth3-Veg, IPSL-CM6A-LR, CNRM-ESM2-1, CMCC-CM2-SR5, CESM2-WACCM
2.069000000000000000e+03, 2.489428331940420069e-01, 2.021721057238065278e+00, 1.660814948402845603e+00, 2.329634441226993591e+00, 9.059303897168559383e-02, 2.418144464855988829e-01, 3.077844635956118041e-02, 3.947062637946773811e-01, 7.034076033236109637e-01
2.070000000000000000e+03, 2.486729864704430859e-01, 2.058681186279915920e+00, 1.675779622733227558e+00, 2.322999199702841189e+00, 8.868830130735332051e-02, 2.375627129400910420e-01, 2.913839370916130461e-02, 3.946686202198305682e-01, 7.187606291661037261e-01
2.071000000000000000e+03, 2.392804282005396577e-01, 2.076836455071297660e+00, 1.708004830663516271e+00, 2.315102911649978168e+00, 8.687661947334585077e-02, 2.425064850805441208e-01, 2.980291971565422748e-02, 3.962168966601580800e-01, 7.246396467781280881e-01
2.072000000000000000e+03, 2.322369287334508925e-01, 2.093732291055794725e+00, 1.720852023811289211e+00, 2.307221332602128694e+00, 8.546680293182025434e-02, 2.472272956819939471e-01, 3.056647609286003431e-02, 3.966717919726381880e-01, 7.345477432961345921e-01
2.073000000000000000e+03, 2.270191003616646719e-01, 2.112568983068922712e+00, 1.734921309768316044e+00, 2.299866603677262589e+00, 8.458187804458014436e-02, 2.510416750957533139e-01, 3.274593165168040998e-02, 3.959085777045370236e-01, 7.353991651974771671e-01
2.074000000000000000e+03, 2.226022695271623886e-01, 2.129046362496693767e+00, 1.747443581301646898e+00, 2.297011880824783248e+00, 8.397115610655325746e-02, 2.539293607792019736e-01, 3.589219492804693323e-02, 3.942079965088680082e-01, 7.414044763776806990e-01
2.075000000000000000e+03, 2.182798031043413911e-01, 2.141273440886778623e+00, 1.749153447478706935e+00, 2.289019937881289213e+00, 8.356466978271702428e-02, 2.574040121136741410e-01, 3.885391371928954840e-02, 3.918417216456593910e-01, 7.247077469217803047e-01
2.076000000000000000e+03, 2.130352172279356693e-01, 2.148962246592696523e+00, 1.747619184910584211e+00, 2.261915654107855111e+00, 8.292687633988778118e-02, 2.613265934469616858e-01, 4.584339130195343864e-02, 3.888246685241428247e-01, 7.617619324809392634e-01
2.077000000000000000e+03, 2.125809578363775376e-01, 2.156572319098398083e+00, 1.750892402970561923e+00, 2.239895047406248452e+00, 8.298873136301454512e-02, 2.634086792662101439e-01, 5.191440886177279418e-02, 3.858622978994115105e-01, 7.512372162462669367e-01
2.078000000000000000e+03, 2.205676926626144452e-01, 2.166662511937003099e+00, 1.755404663949145627e+00, 2.219394555609305097e+00, 8.359436909778722447e-02, 2.634936014254605219e-01, 5.679587200281142889e-02, 3.833626156094868120e-01, 7.522000273107721791e-01
