year, UKESM1-0-LL, NorESM2-LM, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L, INM-CM5-0, TaiESM1, EC-Earth3-Veg, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, INM-CM4-8, CanESM5, CMCC-CM2-SR5, CNRM-ESM2-1
2.058000000000000000e+03, 1.913174113255882958e+02, 1.809233735310064333e+02, 1.852969622354293620e+02, 1.461265337721330866e+02, 1.373844944372934265e+02, 1.585085734984045587e+02, 1.558669852174028847e+02, 1.333963624415206084e+02, 1.782670319832085966e+02, 7.373368297808691807e+01, 1.584829185142586425e+02, 1.741893389588571210e+02, 1.545673891454728448e+02, 1.053772382309081337e+02, 1.448128534031650645e+02, 1.374410964615487387e+02
2.059000000000000000e+03, 1.908185443858745032e+02, 1.812887276743791745e+02, 1.842892318575644026e+02, 1.464322974052882387e+02, 1.374708434538248980e+02, 1.581594200127584031e+02, 1.551508176049530334e+02, 1.338385850525584431e+02, 1.789524021513478260e+02, 7.412933031704140774e+01, 1.581382800293269213e+02, 1.748312470638356615e+02, 1.553746954867861234e+02, 1.065349742551593550e+02, 1.452846672129539911e+02, 1.368023488965619094e+02
2.060000000000000000e+03, 1.906768892670913829e+02, 1.814951672342141080e+02, 1.846491339668116893e+02, 1.463830569176704159e+02, 1.374338428920520698e+02, 1.580139062319669563e+02, 1.548685911603485579e+02, 1.313193852056389233e+02, 1.794797914106666781e+02, 7.362835576850649488e+01, 1.584517916022530528e+02, 1.752037636521421859e+02, 1.553265809622300537e+02, 1.061106087421016895e+02, 1.453003016973340777e+02, 1.362550404478604946e+02
2.061000000000000000e+03, 1.912982324710900173e+02, 1.820522376108681897e+02, 1.846033384026951865e+02, 1.465888806377047899e+02, 1.373663946626807899e+02, 1.584679281146536027e+02, 1.533426197727623048e+02, 1.320368205488687181e+02, 1.797785876930398388e+02, 7.227933064700820864e+01, 1.571100324490406592e+02, 1.750369574562785715e+02, 1.557149282193265094e+02, 1.055823647488377048e+02, 1.456328385918941137e+02, 1.368191381248802259e+02
2.062000000000000000e+03, 1.918174086972992995e+02, 1.816116119108148155e+02, 1.840853462375383742e+02, 1.468802866967852481e+02, 1.375082693271938012e+02, 1.587330804426390216e+02, 1.524101827619675191e+02, 1.327051169899544618e+02, 1.799521316410099416e+02, 7.247749964318788329e+01, 1.578065053123866335e+02, 1.753421863609694640e+02, 1.555739866100339839e+02, 1.053507762982340950e+02, 1.459236462681170678e+02, 1.370691201691743402e+02
2.063000000000000000e+03, 1.919305234748328814e+02, 1.820334453228455516e+02, 1.845781152134022420e+02, 1.468648880760617885e+02, 1.374409733594893055e+02, 1.586263778999617955e+02, 1.535682077006861732e+02, 1.336378479747196479e+02, 1.795013023971737596e+02, 7.295191433203331144e+01, 1.589307549313311938e+02, 1.753329514683405250e+02, 1.551732614337804250e+02, 1.044545499150171111e+02, 1.452290311169515178e+02, 1.363816936050204447e+02
2.064000000000000000e+03, 1.915714671213405040e+02, 1.825764676255984966e+02, 1.848886787796770079e+02, 1.470514413438751831e+02, 1.371414819329265811e+02, 1.577937666030824460e+02, 1.540451308178939769e+02, 1.335954146000030391e+02, 1.794862873000370200e+02, 7.347872966343716428e+01, 1.589166812994396594e+02, 1.756202707241479004e+02, 1.551585428848447066e+02, 1.042331938871015495e+02, 1.458805450993380930e+02, 1.363413477877008972e+02
2.065000000000000000e+03, 1.919274333221336519e+02, 1.825457809338651032e+02, 1.858420199550096186e+02, 1.475145024974535204e+02, 1.371164492315731422e+02, 1.573815818545575098e+02, 1.522434872694730927e+02, 1.329739659488612062e+02, 1.796246224396925868e+02, 7.416030942855729791e+01, 1.591858010257674039e+02, 1.756040091259488634e+02, 1.551768638764970945e+02, 1.047616717423312025e+02, 1.472077673054157287e+02, 1.365501678646720336e+02
2.066000000000000000e+03, 1.921375460585273345e+02, 1.828709798171249474e+02, 1.862734752791118069e+02, 1.474964851911650499e+02, 1.371154430287575110e+02, 1.573306088162360652e+02, 1.519011538404465682e+02, 1.315047730576874585e+02, 1.804186570966090528e+02, 7.413017224599249744e+01, 1.587443720796697448e+02, 1.764424468109033910e+02, 1.550842359232131287e+02, 1.045698896649969925e+02, 1.468767135700103381e+02, 1.364319861240324769e+02
2.067000000000000000e+03, 1.916445566625206425e+02, 1.833510740621429420e+02, 1.857160397897842472e+02, 1.479480589227696328e+02, 1.373207211072018481e+02, 1.570974602042618358e+02, 1.528643931665809248e+02, 1.323835556809954710e+02, 1.810829844063245559e+02, 7.430546191511092502e+01, 1.591997303981823393e+02, 1.765168783337156810e+02, 1.551480752541420713e+02, 1.045600822556403102e+02, 1.464002167775069267e+02, 1.375398520503557336e+02
2.068000000000000000e+03, 1.911131371906514005e+02, 1.836521501006404833e+02, 1.862231486687896336e+02, 1.477515663599133688e+02, 1.373993210902424948e+02, 1.573961455868412997e+02, 1.530417392782240142e+02, 1.332183071015728046e+02, 1.810316671698285518e+02, 7.442342737267978237e+01, 1.586689871916115919e+02, 1.762277217951916839e+02, 1.554642056692522658e+02, 1.060087720546657835e+02, 1.466679014946830932e+02, 1.382969422210445600e+02
