year, TaiESM1, CanESM5, NorESM2-LM, INM-CM5-0, MPI-ESM1-2-LR, CESM2-WACCM, INM-CM4-8, EC-Earth3-Veg, CMCC-CM2-SR5, GFDL-ESM4, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, MIROC-ES2L, ACCESS-ESM1-5, CNRM-ESM2-1
2.061000000000000000e+03, -1.516693943678094181e+00, -4.690623826111161021e-01, 2.311208831342405068e-01, 1.236489905329899663e+00, -1.097842043925836508e+00, 8.295817952534994058e-03, 8.073069314331206003e-01, 1.153635244569484630e+00, 6.271094330210392753e-01, -1.008150404242697862e+00, 1.535136534745615400e+00, 5.059581315313099736e-01, 4.287311191160020352e-01, 3.011267762507043866e-01, -4.013034265713739668e-01, 2.271438223663034273e-01
2.062000000000000000e+03, -3.468391855209386754e-01, -4.565540371390300889e-01, 3.188710934531086560e-01, 9.899523864518995631e-02, 9.756728875150004754e-01, 4.471770535922537371e-01, -3.312189112683778802e-01, 9.606629904882908466e-01, 2.066557828625152360e-01, 4.274386326865620145e-01, 7.433931559819602075e-01, -6.837045002970384977e-02, 3.791886795653393039e-01, 4.690855995837410752e-01, -3.640576687837557834e-01, -8.647746188508201315e-02
2.063000000000000000e+03, 9.145920751127086801e-01, -7.986361373551258414e-01, 5.823192807127060000e-01, -1.720059627285340231e-01, 1.030541410398325919e+00, 4.879743689845781884e-01, 1.641810264188217974e-02, 3.891323138720569896e-01, 6.030194594999936653e-02, 1.163670589573370107e+00, -7.321512330184934969e-01, 1.569018030142027564e-01, -1.873534308589606678e-01, -5.422505374110159204e-01, 7.891339296125381431e-01, -6.539921890121096482e-01
2.064000000000000000e+03, -9.392161959709731667e-01, -6.677461810736451397e-02, 4.940145021327371211e-01, -7.617062537400551836e-01, 3.077209449898657065e-02, 2.458704659453970764e-01, 4.708339034298710812e-01, -8.201081691904669180e-01, 8.519506257524567250e-01, 1.473119329257138288e+00, -1.376607519430307347e-01, 3.086971421236093249e-01, 4.287739243393222099e-01, -5.985211338365555855e-01, 2.072720345621892890e-01, 4.932982399298832532e-01
2.065000000000000000e+03, -1.319608911033535614e+00, 1.374929744335873782e-01, 2.356167870445146362e-01, -6.952376621838808335e-01, 1.976917894662753028e-01, 3.683573872958373352e-01, 7.628607881205203001e-02, -2.017254976397135913e+00, 7.345948261425920833e-01, 1.048041362738611149e+00, 1.404993296377144096e+00, 4.670843900924945835e-01, 3.093561589624594377e-01, 5.331600586439030343e-01, 1.630589438507509259e+00, -2.625755353050878704e-01
2.066000000000000000e+03, 3.700700470055180991e-01, -8.605049426152636682e-01, 5.198722620274367490e-01, -5.973130602955991492e-02, -7.094898628576444821e-01, 6.497317198178590436e-01, 2.057226499058323332e-02, 1.180405049681044066e-01, -4.968449947428894564e-01, -7.862671353267750574e-01, -1.604251557681930229e-01, 7.841280092173036342e-01, 1.154035458871364717e-01, 5.998069900896249029e-01, -2.042325955607844912e-01, 2.627952604201584941e-01
2.067000000000000000e+03, 4.048834408750985325e-01, 9.024876671214698831e-01, 5.985682506133734870e-01, -1.234629424221354160e-01, 5.491474908897948648e-01, -1.352330759816831526e-03, 1.287947133861113258e+00, 1.244970400707753111e+00, 2.328488941040099958e-01, 9.044483793703558261e-01, -1.360196637565322053e+00, 4.176189786161071393e-01, 3.094810735448956240e-01, 1.371506112213182194e-01, -5.217313582234354152e-01, 1.264763031587384345e+00
2.068000000000000000e+03, -7.916400183055372075e-01, 6.034090586067427653e-01, 1.118904274633001628e-01, 1.228324219122153060e+00, -6.640685126729046761e-01, -2.318165591733696573e-01, -1.609497522368439626e-01, 2.104690275880824191e-01, 5.532062644069405399e-01, -2.626818616019561681e-01, -4.355981089220772873e-01, -5.249580785510431918e-02, -1.371127647057010512e-01, -7.722214547572010535e-01, 8.324312266467693844e-01, 4.451108120099793175e-01
2.069000000000000000e+03, -4.454460914705661856e-01, 4.095570960110520575e-01, 6.421671526882184455e-01, 1.370764154448915750e+00, 6.030532362383372869e-01, 3.593955827332021014e-01, 7.316366975175000453e-01, 1.033640244542394893e+00, 6.901215946856491534e-01, -2.349235200038981564e-01, 2.596042837824497074e-02, 7.307228047763955625e-02, 5.718413041716334799e-01, 1.048824914684793191e-01, -2.156144532908515210e-01, 7.729794679650661693e-02
2.070000000000000000e+03, 2.840720256287092016e-01, -5.880860005948637115e-01, 6.265869713737524105e-01, 1.002732216500428875e+00, 2.921723408717148973e-01, 6.170918685583863805e-01, 1.416041783012707667e+00, -1.177040438849238403e-02, -2.369624070266823368e-01, 1.789961654739148367e+00, -1.108914787085458764e+00, 1.546225409495537717e-01, -7.999909965537288503e-01, 5.652394128383014804e-01, -1.881681054632228900e+00, -1.445783519011677454e-01
2.071000000000000000e+03, -5.634534590126874520e-02, -1.770903093207780166e-01, 3.934726534975161449e-01, 1.487863376660836456e+00, 1.364968215655416872e-01, 2.791298129293861563e-01, 9.330472504880346074e-01, -9.927129688583894440e-01, 1.966456738334249055e-01, 5.861451440747148522e-01, 2.247267903373053877e-01, 2.464353760236994567e-02, -4.400797511296200004e-01, 9.075077822645472025e-01, 6.523482462458272124e-01, -3.543907729084550540e-01
2.072000000000000000e+03, -6.822869113675502639e-01, 1.872280721620958932e+00, 4.713975135235130565e-01, -3.400382815597252639e-01, -3.288489957689352261e-01, 2.491321541321313560e-01, 1.036653789237697687e+00, 5.855939318373337699e-01, 2.628380934895873100e-01, 1.155967363133191705e+00, 5.634771853063192948e-01, 4.489380565183461735e-01, 6.873085848192791447e-01, 7.831439690786909935e-01, 5.957104407263614787e-01, -3.195114159492471462e-01
2.073000000000000000e+03, -1.388487017818171299e-01, -6.876391808500523783e-01, -3.567862905193845968e-01, -2.030926179057834513e-01, 3.448830956230330980e-01, 5.996484693887794704e-01, 3.717184976166002519e-01, 4.891986493283864701e-01, 7.994348181729267477e-02, 5.823014470654936936e-01, 1.904969753855454140e-01, 2.771144491987215241e-01, 2.693435798452723517e-01, -3.949644668735235314e-02, 3.587992765437321430e-02, 3.906736271806093286e-01
2.074000000000000000e+03, 2.047079856405640552e-01, -9.638362372865670880e-01, 4.689254119659689857e-01, -5.786995245752448724e-01, 5.707376930283070138e-01, -3.824331028462453763e-01, 5.294071770095142293e-01, 1.312829338995859407e+00, 2.272958282458724388e-01, 2.996169434785904140e-01, -7.282816830999988555e-01, 7.509869614339922950e-02, 1.635340739262379772e-01, -1.057206031538318047e+00, -7.811965273753201933e-01, 3.778281010637004611e-01
