year, CNRM-ESM2-1, INM-CM5-0, CanESM5, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5, TaiESM1, CMCC-CM2-SR5, MPI-ESM1-2-LR, INM-CM4-8, NorESM2-LM, EC-Earth3-Veg, UKESM1-0-LL
2.052000000000000000e+03, 3.307379083399784747e+01, 2.412272212891747358e+01, 3.305961310036830980e+01, 1.547293052516686451e+01, 1.706875570164810085e+01, 1.270348777486923986e+01, 2.988142083291278084e+01, 8.796757483518991450e+00, 4.247775261927971968e+01, 4.458671768653354128e+00, 7.985634744924090533e+00, 6.527768144219237456e+00, 2.274361242797306559e+01, 1.498718898525262055e+01, 1.835456950326380721e+01, 1.575686990160450307e+01
2.053000000000000000e+03, 3.334033607958271972e+01, 2.415404635515496778e+01, 3.321652791683214190e+01, 1.534656325124384502e+01, 1.718155389525638910e+01, 1.276791473572847657e+01, 3.005227867884608628e+01, 8.740600095442120576e+00, 4.247509500983081665e+01, 4.674513033457932565e+00, 8.779966259691164510e+00, 6.576946069419358665e+00, 2.281136921492023362e+01, 1.518963253830081683e+01, 1.842326177823978739e+01, 1.585895891211209907e+01
2.054000000000000000e+03, 3.348388315260717718e+01, 2.421501384963115555e+01, 3.341798594183033799e+01, 1.538147932078113556e+01, 1.726120037010778319e+01, 1.285954657414190550e+01, 3.013274362616484225e+01, 8.811800102668597034e+00, 4.249594004858855101e+01, 4.673336336561777493e+00, 9.199186011152491460e+00, 6.632420468808088998e+00, 2.297081457465218080e+01, 1.542389462025103519e+01, 1.860005102590075410e+01, 1.595342582908262585e+01
2.055000000000000000e+03, 3.373326732790168592e+01, 2.426716086982552767e+01, 3.361920067258723321e+01, 1.550525257937597878e+01, 1.726931486328657073e+01, 1.287043892493461605e+01, 3.018568769571986010e+01, 8.816957877488249551e+00, 4.270831011124354859e+01, 4.555435595905106716e+00, 8.965495692833991725e+00, 6.805228276829228484e+00, 2.296039376377159158e+01, 1.549178684552975227e+01, 1.873410693134119498e+01, 1.607714492259301409e+01
2.056000000000000000e+03, 3.380294919824955713e+01, 2.420823752600628609e+01, 3.374609689780549360e+01, 1.564610094215374225e+01, 1.718377589164744634e+01, 1.300620486281900412e+01, 3.031331162102074117e+01, 8.884197992263112909e+00, 4.277840003370101130e+01, 4.400392951824377619e+00, 8.013602439660374444e+00, 6.825231759568857193e+00, 2.292290294380935123e+01, 1.554092951465763406e+01, 1.866031161685861761e+01, 1.613118638430548302e+01
2.057000000000000000e+03, 3.390198075025625002e+01, 2.433429342227546854e+01, 3.382929760224660498e+01, 1.580128476757325551e+01, 1.716799424430054088e+01, 1.317921256260314600e+01, 3.039052480876435425e+01, 8.884863702548351228e+00, 4.267115411208114040e+01, 4.389503599436349823e+00, 8.471879794401358410e+00, 6.933068935606589100e+00, 2.296078278401472517e+01, 1.557459416857726708e+01, 1.891757463074066337e+01, 1.621078039225201550e+01
2.058000000000000000e+03, 3.386597214852707793e+01, 2.436966565515423255e+01, 3.389853475309332964e+01, 1.591716169000484626e+01, 1.722082170951901503e+01, 1.333984119230808219e+01, 3.039236392090337446e+01, 8.904114121259528503e+00, 4.261218534300038385e+01, 4.510057616569280725e+00, 8.831785220366834110e+00, 6.864890020621637667e+00, 2.298864828934121718e+01, 1.567838548541231347e+01, 1.916048598212992005e+01, 1.628692393226623381e+01
2.059000000000000000e+03, 3.395068088496105219e+01, 2.449700557690381331e+01, 3.392477134078210810e+01, 1.595236743750272446e+01, 1.740258203578911989e+01, 1.339716922652908160e+01, 3.025333994606325305e+01, 8.965567163447559551e+00, 4.269774392174760891e+01, 4.845652317719928881e+00, 8.931975194144145647e+00, 6.823256190648919528e+00, 2.299012525743259872e+01, 1.573698407038575020e+01, 1.920931846884699823e+01, 1.634656041617221334e+01
2.060000000000000000e+03, 3.412183682616278446e+01, 2.461580200702355015e+01, 3.409783808651535963e+01, 1.592077022237827499e+01, 1.742140414781324154e+01, 1.344692953242835642e+01, 3.017762793132978416e+01, 9.024175755344831629e+00, 4.260290899271206655e+01, 4.488094437114482638e+00, 8.808813621361727186e+00, 6.713475282086355023e+00, 2.305446341502791796e+01, 1.579926937670319376e+01, 1.931568690188935022e+01, 1.636766342583196376e+01
2.061000000000000000e+03, 3.416095225712081884e+01, 2.452203929229800750e+01, 3.430432759716300950e+01, 1.599361330719591123e+01, 1.753583164291619312e+01, 1.344619406373492687e+01, 3.006994403666417526e+01, 9.062693986908028521e+00, 4.250849368879266876e+01, 4.146270478791795888e+00, 8.681444241169348430e+00, 6.718071425819129416e+00, 2.311747999757815819e+01, 1.575708663327657533e+01, 1.939230519753368398e+01, 1.640863294922427329e+01
