year, TaiESM1, CanESM5, CNRM-ESM2-1, MPI-ESM1-2-LR, EC-Earth3-Veg, IPSL-CM6A-LR, GFDL-ESM4, MIROC-ES2L, NorESM2-MM, CMCC-CM2-SR5, NorESM2-LM, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL
2.046000000000000000e+03, 1.309403954455115704e+00, 4.151582382321650222e+00, 2.568055900658596347e+00, 2.712103611889577159e+00, 1.814146893443101094e+00, 1.806726869594372342e+00, 1.985533638771159959e+00, 3.439842774164510342e+00, 1.749874427194785920e+00, 2.058986551170420398e+00, 1.560940512509343181e+00, 1.862906933352742600e+00, 2.946867773540456259e+00, 2.732734560527998902e+00
2.047000000000000000e+03, 1.338666702271574360e+00, 4.144852963092871434e+00, 2.669354264478760452e+00, 2.857325330533809993e+00, 1.746131380554114321e+00, 1.831711781654750348e+00, 2.036002010810055385e+00, 3.636881295623009436e+00, 1.747433185467448968e+00, 2.005576729103719202e+00, 1.661374807738180026e+00, 1.998363495132854828e+00, 2.968622425250699859e+00, 2.620877085226485104e+00
2.048000000000000000e+03, 1.229059895881712716e+00, 4.189054710475242693e+00, 2.797855222567886990e+00, 3.017053601285565101e+00, 1.822647895080583780e+00, 1.931184805568023855e+00, 1.986231877328662909e+00, 3.472499056691657149e+00, 1.806937196701430715e+00, 2.010805369039937673e+00, 1.701450458460364468e+00, 2.015823432174181029e+00, 2.905144274391614267e+00, 2.618884373547828659e+00
2.049000000000000000e+03, 1.334003815076712840e+00, 4.146298039695942350e+00, 2.714777523213614874e+00, 2.969897142053459227e+00, 1.552262839959507534e+00, 1.946284434076398062e+00, 2.032560089294452865e+00, 3.575368957089402500e+00, 1.836250786171110150e+00, 2.031813788969331291e+00, 1.660289828471026796e+00, 1.975337811026585788e+00, 2.964564902620194342e+00, 2.745093958271338952e+00
2.050000000000000000e+03, 1.260421763627860070e+00, 3.988541416772808823e+00, 2.506165413129673780e+00, 2.917985262521503476e+00, 1.701207994789602385e+00, 2.037319983640017984e+00, 2.038190586608179089e+00, 3.381551215264908539e+00, 1.840741697451673931e+00, 1.975419957111608449e+00, 1.723421472979391744e+00, 1.863109802106684310e+00, 2.986545037842850192e+00, 2.625853085912272622e+00
2.051000000000000000e+03, 1.339214949454796688e+00, 4.191101679839714045e+00, 2.647771678224521530e+00, 2.685330458832257960e+00, 1.835228454335914083e+00, 1.923638554742121531e+00, 2.032408120460318379e+00, 3.447545230678187078e+00, 1.698139643188752546e+00, 2.129423293775613235e+00, 1.631673958077056064e+00, 1.881796815919679622e+00, 3.021041399043278730e+00, 2.632975138549235261e+00
2.052000000000000000e+03, 1.270292232144559552e+00, 4.313149212248907460e+00, 2.745164859601357144e+00, 2.981247790659202757e+00, 1.701563362472793051e+00, 1.897121354225220990e+00, 2.137892083746700145e+00, 3.338309172437009753e+00, 1.742504085572850858e+00, 2.115729860309469856e+00, 1.663118666342477958e+00, 1.908147799498214559e+00, 3.051302973394669493e+00, 2.786542891326110993e+00
2.053000000000000000e+03, 1.267454325322893149e+00, 4.191380813122063564e+00, 2.686661831627343844e+00, 2.829023842665024269e+00, 1.843625026332799788e+00, 1.959596956202777296e+00, 2.134514847626379108e+00, 3.427066377389019092e+00, 1.697560322274591860e+00, 2.015741919328108089e+00, 1.776514529954332122e+00, 2.010414831222640419e+00, 2.976867875238529582e+00, 2.599448136977226653e+00
2.054000000000000000e+03, 1.245916205248334796e+00, 4.445042887003594956e+00, 2.738076695480435419e+00, 2.994171136239565545e+00, 1.582536427582861505e+00, 1.962486934387413173e+00, 2.124648345185462084e+00, 3.437582167891588991e+00, 1.697313096981347691e+00, 2.007984766873351923e+00, 1.736996743576029179e+00, 1.967872062714560499e+00, 2.958428698224897069e+00, 2.796930409768220827e+00
2.055000000000000000e+03, 1.332826577061833273e+00, 4.476412941504413823e+00, 2.745800737397238844e+00, 3.133674221920908387e+00, 1.950599326306341252e+00, 1.858653293982406973e+00, 2.191794582958596305e+00, 3.507250147218291758e+00, 1.702329221690537908e+00, 2.042886699876734102e+00, 1.644459711993008888e+00, 1.743338496066331178e+00, 3.003312185740707019e+00, 2.740831411006090512e+00
2.056000000000000000e+03, 1.284404818522375757e+00, 4.220348107283559358e+00, 2.587606145861757856e+00, 2.880844696111911851e+00, 1.671670102311670458e+00, 1.868944688988744218e+00, 2.112050387081555236e+00, 3.464565866128825888e+00, 1.730355844735573134e+00, 2.214532287688610879e+00, 1.829889780618539463e+00, 1.922867489368843330e+00, 3.067934494299395354e+00, 2.858570488860839198e+00
2.057000000000000000e+03, 1.273349214408512342e+00, 4.207995046803608474e+00, 2.767484640688990361e+00, 3.242024571674844591e+00, 1.630539705411147011e+00, 2.086453881984493997e+00, 2.071071220903745846e+00, 3.450145418488309357e+00, 1.745099101822176202e+00, 2.112057906770792304e+00, 1.713616039029548954e+00, 1.676526923270655223e+00, 3.019293330267036168e+00, 2.722408860888438920e+00
2.058000000000000000e+03, 1.276032560369763535e+00, 4.218196168099590082e+00, 2.487765231468132665e+00, 2.933696627077864161e+00, 1.802505823730819801e+00, 2.049467277403750121e+00, 2.119384740179962368e+00, 3.481603034083879500e+00, 1.774670429040064779e+00, 2.042166410252673980e+00, 1.669927479572521190e+00, 1.919302206426428681e+00, 2.930958278462273636e+00, 2.838050320723642717e+00
2.059000000000000000e+03, 1.199703774451007510e+00, 4.235822788137402206e+00, 2.734499845133393503e+00, 3.051808460636628251e+00, 1.609965271117077990e+00, 1.981515519009624304e+00, 2.182695957858611813e+00, 3.453982621408412168e+00, 1.749070344649156006e+00, 2.124230122704840795e+00, 1.758606403917481575e+00, 1.929508400383638911e+00, 2.977013710539967217e+00, 2.806960524910985910e+00
2.060000000000000000e+03, 1.443208572172841819e+00, 4.557852252604425836e+00, 2.646538937835843264e+00, 2.689511565456369713e+00, 1.706279557236158873e+00, 2.033462399407032439e+00, 2.177782858672776989e+00, 3.424725253971404371e+00, 1.803651164412770402e+00, 2.142159791095623156e+00, 1.688163560247735395e+00, 1.857980208448870796e+00, 3.028181620218132863e+00, 2.600549211990024201e+00
2.061000000000000000e+03, 1.381620422841145501e+00, 4.554066608729574028e+00, 2.517482918806880576e+00, 3.184645699006336983e+00, 1.702051237259321281e+00, 1.926518851533760790e+00, 2.158021556162558863e+00, 3.395282279070903186e+00, 1.779105995587612954e+00, 2.138174531647301535e+00, 1.647838990955311500e+00, 1.874776574695171005e+00, 2.957211798955601267e+00, 2.606261529859073001e+00
2.062000000000000000e+03, 1.173579079125639746e+00, 4.494003177730456322e+00, 2.843525831523330716e+00, 2.938054894025760255e+00, 1.795436012668946590e+00, 1.906337717603779458e+00, 2.078938301115741183e+00, 3.418965852224123747e+00, 1.807069784208122698e+00, 2.193592189921658608e+00, 1.615247245411842059e+00, 1.932586863237544916e+00, 2.901958500412093578e+00, 2.647155714459489939e+00
2.063000000000000000e+03, 1.324046463899401838e+00, 4.426134502220953948e+00, 2.932522818883078308e+00, 3.080599971246178459e+00, 1.724773953079956179e+00, 2.049850406999066621e+00, 2.063291575356127616e+00, 3.458109455213303818e+00, 1.864753384161884187e+00, 2.182232963065884768e+00, 1.775291933493066576e+00, 1.860422082941681321e+00, 2.957345306835900356e+00, 2.859471753150646833e+00
2.064000000000000000e+03, 1.196475620572837073e+00, 4.491384238266127760e+00, 2.499923690598668813e+00, 3.103117863054250858e+00, 1.905299933922915079e+00, 1.925070812673773890e+00, 2.076974828351553448e+00, 3.561239051489421659e+00, 1.856598273515878583e+00, 1.958182585230233697e+00, 1.719038294030382330e+00, 1.962467106777012971e+00, 2.857751326892957966e+00, 3.025862537490474846e+00
2.065000000000000000e+03, 1.317101245650794228e+00, 4.254114724623168087e+00, 2.796140244712241429e+00, 3.226706318559513509e+00, 1.640215353098019913e+00, 1.910632180867657182e+00, 2.073314388859134549e+00, 3.445567231200395319e+00, 1.733521618216205873e+00, 2.084319374070227049e+00, 1.738628412625115915e+00, 1.979455137550802490e+00, 2.945224922525892630e+00, 2.752798337331761047e+00
