year, UKESM1-0-LL, CanESM5, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, TaiESM1, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, EC-Earth3-Veg, CNRM-ESM2-1, MIROC-ES2L, GFDL-ESM4, MPI-ESM1-2-LR
2.069000000000000000e+03, 1.107511754287486383e+02, 7.432816839473696291e+01, 5.461045234841191132e+01, 4.242652441678990272e+01, 4.149883144220364528e+01, 1.736290718082785034e+01, 4.334298980062595064e+01, 1.796690335228340984e+02, 3.062829564954666495e+01, 5.990346629387531863e+01, 9.973999441014468914e+01, 7.364118929612294551e+01, 1.181184944210197685e+01, 3.808306785131460259e+01
2.070000000000000000e+03, 1.107215343781069663e+02, 7.442242233593920275e+01, 5.460865526533364545e+01, 4.243851108788157234e+01, 4.151286822717607805e+01, 1.731964339096124661e+01, 4.336459694367894002e+01, 1.796333951324395457e+02, 3.064578398863389452e+01, 5.986212794549975058e+01, 9.979187106199033508e+01, 7.368314061457547837e+01, 1.177511784953047069e+01, 3.815806106267685749e+01
2.071000000000000000e+03, 1.108435193298970489e+02, 7.451470704898609654e+01, 5.462858014800028883e+01, 4.245529484838834833e+01, 4.154460306604948272e+01, 1.739091380754438987e+01, 4.340503523855617374e+01, 1.796797779312430521e+02, 3.067193935995632614e+01, 5.986666728712249608e+01, 9.988143210472676969e+01, 7.369008141294027325e+01, 1.173150144266753969e+01, 3.813091330665592693e+01
2.072000000000000000e+03, 1.109758830361694066e+02, 7.461098139457816103e+01, 5.464610022982474646e+01, 4.245809424897295514e+01, 4.160065179383109069e+01, 1.737438382307873397e+01, 4.344343422458862136e+01, 1.797189681293575063e+02, 3.068796934563804157e+01, 5.990736971763254815e+01, 9.995879402852786200e+01, 7.369527958297429393e+01, 1.175513722297903030e+01, 3.812341030346090065e+01
2.073000000000000000e+03, 1.110950504692245744e+02, 7.473313213902059715e+01, 5.467350911153609161e+01, 4.245531819574762977e+01, 4.163080979069343357e+01, 1.737262578718310024e+01, 4.347662432663762644e+01, 1.795905045776062252e+02, 3.068688392279034005e+01, 5.995463258546327978e+01, 9.999914192868946827e+01, 7.374349593821456494e+01, 1.177335953774569255e+01, 3.817208352030539942e+01
2.074000000000000000e+03, 1.110618965904692317e+02, 7.485335238819851611e+01, 5.467524972991090237e+01, 4.248714000943875391e+01, 4.162352446935349803e+01, 1.747554530696121589e+01, 4.348088485663318892e+01, 1.795291432239490064e+02, 3.069822990089221548e+01, 5.996281014661539643e+01, 1.000810473752460865e+02, 7.385165415485495544e+01, 1.179591425025298790e+01, 3.817176120414652019e+01
2.075000000000000000e+03, 1.111000790311772164e+02, 7.493304603704017097e+01, 5.464412498037601296e+01, 4.251458940121413832e+01, 4.164142892403387464e+01, 1.744685987496628954e+01, 4.348945961449192765e+01, 1.795732722509443704e+02, 3.070069484202182863e+01, 5.994782109961222005e+01, 1.001710761494292825e+02, 7.392623602051341436e+01, 1.178064736598957829e+01, 3.823326264842843614e+01
2.076000000000000000e+03, 1.111847166187695137e+02, 7.499919358685426118e+01, 5.465449675649070116e+01, 4.253712951210930981e+01, 4.165775814916820963e+01, 1.735964993936064715e+01, 4.350148766715769710e+01, 1.795379267143979973e+02, 3.072401391684148209e+01, 5.992053641902713679e+01, 1.002383652559551166e+02, 7.394461880785527796e+01, 1.178219075220814993e+01, 3.828430810951873298e+01
2.077000000000000000e+03, 1.112584121781654716e+02, 7.508989804286318304e+01, 5.468781628280971319e+01, 4.258553861338756263e+01, 4.168623401186827238e+01, 1.744761652664923446e+01, 4.350474144051495529e+01, 1.794707620169517099e+02, 3.072102160950438687e+01, 5.991917105614938777e+01, 1.003377095740277838e+02, 7.398671527424420447e+01, 1.177067735590980391e+01, 3.829310373915740229e+01
2.078000000000000000e+03, 1.112380849077882488e+02, 7.521779247732406759e+01, 5.470001708074057234e+01, 4.263441040478578259e+01, 4.170534038994386350e+01, 1.748374567067764929e+01, 4.352296915940489441e+01, 1.794011169139693038e+02, 3.072441813211091244e+01, 5.988141616649789967e+01, 1.003811801099767109e+02, 7.404099445001284607e+01, 1.178422618034365676e+01, 3.828307991816565448e+01
