year, ACCESS-ESM1-5, GFDL-ESM4, CNRM-ESM2-1, IPSL-CM6A-LR, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, UKESM1-0-LL
2.085000000000000000e+03, 8.470926753293704393e-11, 2.589283867841929260e-09, 8.889220574575079713e-11, 3.171669403517711166e-09, 2.102479499254921880e-10, 1.811273589239328802e-09, 1.930708792487479373e-09, 2.411597017201454621e-09, 4.837493442109123665e-12
2.086000000000000000e+03, 7.611577429928500391e-11, 2.309901428546163502e-09, 8.792631133257694487e-11, 3.204618360493863819e-09, 2.092749484124827678e-10, 1.860638335487023497e-09, 2.092545940651929873e-09, 2.402137612077302025e-09, 4.433650315814221479e-12
2.087000000000000000e+03, 1.052819077891003897e-10, 2.357424336573413216e-09, 8.486007688416879126e-11, 3.215870648167483283e-09, 2.082466682815455721e-10, 1.816562409857471987e-09, 2.187956836740140708e-09, 2.414630461506725974e-09, 4.525669651122323988e-12
2.088000000000000000e+03, 8.717984554472948888e-11, 2.350985878520095938e-09, 8.188469492220408524e-11, 3.256389460351171500e-09, 2.073990284239130909e-10, 1.871727963303249946e-09, 1.955981192782804148e-09, 2.446664800046512559e-09, 4.992602533915413424e-12
2.089000000000000000e+03, 1.095777125292862834e-10, 2.228031642942907277e-09, 7.916248903790844357e-11, 3.140972495841189547e-09, 2.067369257960872847e-10, 1.855692171809677805e-09, 2.008833878479039326e-09, 2.452885920678137780e-09, 5.827798699747058755e-12
2.090000000000000000e+03, 8.960108049288621403e-11, 2.437587418143298962e-09, 7.744275009738735067e-11, 3.287465833159402139e-09, 2.054449804032785654e-10, 1.856908545083957987e-09, 2.001226163521179636e-09, 2.363106691285580596e-09, 6.611398633550836496e-12
2.091000000000000000e+03, 6.837101396999532482e-11, 2.411380982079588125e-09, 7.810792416054756844e-11, 3.119208025288310304e-09, 2.035824240581564451e-10, 1.858737716316838644e-09, 1.990199954765009899e-09, 2.310856327420339662e-09, 4.067795317599470950e-12
2.092000000000000000e+03, 5.888857232804377130e-11, 2.438425559975987667e-09, 7.248295005596776549e-11, 2.891407237686571616e-09, 2.018354316320783070e-10, 1.822215735309312057e-09, 1.851547709007937078e-09, 2.280358776306740842e-09, 2.490742021580564903e-12
2.093000000000000000e+03, 5.379993780082384019e-11, 2.442530541446006597e-09, 6.671540917692844911e-11, 3.124684158586829681e-09, 2.001837271748295984e-10, 1.849823530781944107e-09, 1.849243883688782196e-09, 2.268783345379601877e-09, 1.900648934326017292e-12
2.094000000000000000e+03, 5.160099423852777257e-11, 2.052530358921841307e-09, 6.044749547237300814e-11, 3.057739877324962949e-09, 1.984820472726801615e-10, 1.852634999088964969e-09, 1.894224848998862059e-09, 2.269738584725437522e-09, 1.657381661576645204e-12
2.095000000000000000e+03, 4.976067722014975901e-11, 2.588777093996302987e-09, 5.383048653847784703e-11, 3.087346880474200986e-09, 1.967662399137529377e-10, 1.766605130626286340e-09, 1.968683191814587984e-09, 2.210726152207814837e-09, 1.422878321308931218e-12
2.096000000000000000e+03, 4.673520336778311346e-11, 2.453579758929836619e-09, 4.894394536092357816e-11, 2.820719315817077123e-09, 1.950793827218986978e-10, 1.777498276396311668e-09, 2.000979924425132871e-09, 2.190690773291421480e-09, 1.716371654257469966e-12
2.097000000000000000e+03, 4.391034567176529742e-11, 2.310719645998335892e-09, 4.299680818907867561e-11, 3.030349291620270140e-09, 1.934401238659168146e-10, 1.818802464971818459e-09, 1.862129194637174690e-09, 2.173145340660672475e-09, 1.705182451927071940e-12
2.098000000000000000e+03, 4.206582170046151988e-11, 2.126279856243175634e-09, 3.691927227926670197e-11, 3.252933962891329301e-09, 1.918603395681242842e-10, 1.808384738227268956e-09, 1.777454914730533274e-09, 2.153497537543806967e-09, 1.691042107589235538e-12
2.099000000000000000e+03, 3.974685453191942823e-11, 2.349781944735643422e-09, 3.026788545912755192e-11, 2.934648724545577992e-09, 1.903877770062868868e-10, 1.784233460268956594e-09, 1.639308823756593307e-09, 2.137466070600369065e-09, 1.518275883300249861e-12
2.100000000000000000e+03, 3.856316015677646787e-11, 2.123448665168805117e-09, 2.360734438699710364e-11, 2.942046682247644821e-09, 1.745019045114314059e-10, 1.773237312808648736e-09, 1.468139201783515564e-09, 2.130666717084919479e-09, 1.262997209597289113e-12
