year, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-MM, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, EC-Earth3-Veg, INM-CM5-0, UKESM1-0-LL, CMCC-ESM2, INM-CM4-8, IPSL-CM6A-LR, CNRM-ESM2-1, CanESM5, CESM2-WACCM, TaiESM1
2.043000000000000000e+03, 1.352871347571789507e+00, 1.382979707283928938e+00, 1.856900050942721592e+00, 1.704050681443888049e+00, 1.756748582981700002e+00, 1.599450518060852255e+00, 1.792763970487658787e+00, 1.607378410827326132e+00, 2.349444625738196013e+00, 2.334812244868404552e+00, 1.532358257799989243e+00, 1.481652416264828132e+00, 1.290118880423465120e+00, 1.728841717182623583e+00, 1.893600597618132042e+00, 1.674499961907199186e+00
2.044000000000000000e+03, 1.346457943275524372e+00, 1.394777673343607693e+00, 1.767705969088232187e+00, 1.704708476459418920e+00, 1.809185561525132213e+00, 1.605806078860608777e+00, 1.741475632540357754e+00, 1.581722677495523532e+00, 2.347619689098824125e+00, 2.505402877902538350e+00, 1.531723048924422459e+00, 1.504205866271483671e+00, 1.477167579896486727e+00, 1.731240724989087321e+00, 1.851384615906201958e+00, 1.667502208467897429e+00
2.045000000000000000e+03, 1.373603640818733540e+00, 1.381771383162328615e+00, 1.816091572048665226e+00, 1.556767811801722301e+00, 1.730066011539848514e+00, 1.770445296022821191e+00, 1.876316954384012359e+00, 1.542823936782563354e+00, 2.338816552329896048e+00, 2.462399438703241739e+00, 1.482400587432023853e+00, 1.465639929188679913e+00, 1.464419200952383981e+00, 1.737602572966161940e+00, 1.868025342175753112e+00, 1.744788199080846924e+00
2.046000000000000000e+03, 1.301783696509805077e+00, 1.389150541168738595e+00, 1.743966924275252683e+00, 1.530952363606063127e+00, 1.795711704307844325e+00, 1.783149425214217265e+00, 1.839074928259351260e+00, 1.572182484539044856e+00, 2.385350807843858778e+00, 2.377966984462416722e+00, 1.482229272320864988e+00, 1.416293114214289162e+00, 1.470472489858942522e+00, 1.808343967952774412e+00, 1.861509022546086412e+00, 1.802811804950264163e+00
2.047000000000000000e+03, 1.464360843138382329e+00, 1.428247996365304751e+00, 1.790806429722284765e+00, 1.622769253145315949e+00, 1.836468903073902093e+00, 1.688063137217455933e+00, 1.795980179368300789e+00, 1.557213648310122434e+00, 2.372165153583270403e+00, 2.554584203671414588e+00, 1.521324197941550382e+00, 1.539610770422094932e+00, 1.589287506362519586e+00, 1.733606532994592220e+00, 1.849359861119183712e+00, 1.661597850110438035e+00
2.048000000000000000e+03, 1.486625260856518471e+00, 1.413634291440845736e+00, 1.757275499099510085e+00, 1.665402414107607143e+00, 1.875814268646174066e+00, 1.675609288512123651e+00, 1.802722040727761765e+00, 1.571752188121298577e+00, 2.372720850026323269e+00, 2.553364922899002742e+00, 1.547732737384511559e+00, 1.512958650877230582e+00, 1.571864893714886691e+00, 1.761846428460654534e+00, 1.877532499204858984e+00, 1.688091992075301473e+00
2.049000000000000000e+03, 1.332642536897632679e+00, 1.414046813372076938e+00, 1.748330671681709303e+00, 1.740327778371088208e+00, 1.887117147120704219e+00, 1.712952469712046621e+00, 1.787748646443390710e+00, 1.570756111038068337e+00, 2.367960303972968639e+00, 2.661415353886045221e+00, 1.554841361380681741e+00, 1.524809509626969373e+00, 1.608412166924055864e+00, 1.732632748867120487e+00, 1.946968183482779668e+00, 1.761516051562591612e+00
2.050000000000000000e+03, 1.304011387298206648e+00, 1.415355301035125857e+00, 1.799627033602577697e+00, 1.674444407382810640e+00, 1.909180265913494878e+00, 1.801337394272122694e+00, 1.843155962082288157e+00, 1.562228142000752440e+00, 2.390201638989178701e+00, 2.354902694107362304e+00, 1.440794413607710434e+00, 1.571601477792546664e+00, 1.530365929958581894e+00, 1.728956255149756371e+00, 1.875160588279031426e+00, 1.631951033511340077e+00
2.051000000000000000e+03, 1.339514995981940793e+00, 1.415205190293952642e+00, 1.757556842949759002e+00, 1.624934036298063322e+00, 1.852046432736900616e+00, 1.826251561875797735e+00, 1.834095884259440812e+00, 1.505991398788766089e+00, 2.353351263151999273e+00, 2.312391939737669322e+00, 1.528108219944544599e+00, 1.587078221737395767e+00, 1.382210668347118032e+00, 1.787901524269936315e+00, 1.938906596484750722e+00, 1.561436111184749009e+00
2.052000000000000000e+03, 1.329499371725368917e+00, 1.416469724876657565e+00, 1.732081863656196985e+00, 1.603353552970945728e+00, 1.832434509139706069e+00, 1.947181118015842705e+00, 1.740076144802052527e+00, 1.511061737812110062e+00, 2.375893805692534944e+00, 2.298303533657982900e+00, 1.491784468232037586e+00, 1.514492652532630546e+00, 1.558414540615040478e+00, 1.751926698571737662e+00, 1.870266360960914254e+00, 1.564429668810198182e+00
